Bureau of Justice Statistics,,,,,,,,,,
Filename:  cjee08fn08.csv,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal year 2008) and full-time equivalent justice employment per 10,000 population (July 2008) of State and local governments by activity and State",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,
,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal year 2008) and full-time equivalent justice employment per 10,000 population (July 2008) of State and local governments by activity and State",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure, fiscal 2008",,,,"Full-time equivalent justice employment per 10,000 population, March 2008",,,,
Idaho,1523816,524.48,210.32,111.02,203.13,62.52,27.77238197,19.59554172,12.16682329,22.58146653
Illinois,12901563,583.5,328.4,101.89,153.21,65.54,36.27002403,28.14775233,12.44965436,16.82044261
Indiana,6376792,438.3,190.33,81.29,166.67,62.58,28.31831429,19.74503794,13.02692639,21.23011069
,,,,,,,,,,
Iowa,3002555,462.5,204.14,111.03,147.34,50.16,23.15694467,17.24198225,10.8141233,16.19287573
Kansas,2802134,507.9,244.19,97.96,165.75,73.61,34.70569216,23.97815379,13.66815434,25.23433926
Kentucky,4269245,438.42,164.37,102.05,171.99,59.58,23.7934342,17.44570761,15.33292186,20.45326516
Louisiana,4410796,721.63,301.64,140.85,279.14,90.71,42.0128249,31.87633253,15.72731997,32.96683864
Maine,1316456,423.64,177.18,84.65,161.81,47.95,24.46720589,18.97518793,7.611344397,15.86836172
,,,,,,,,,,
Maryland,5633597,762.67,325.97,137.85,298.86,73.54,30.87902809,22.36936721,14.59990837,28.05667498
Massachusetts,6497967,649.17,283.63,148.91,216.63,69.67,39.97404111,33.72747199,16.05886887,13.64118962
Michigan,10003422,597.65,242.61,108.92,246.11,56.21,22.3743435,17.87188424,11.7869665,22.05045433
Minnesota,5220393,593.83,292.58,126.06,175.18,51.86,22.14201115,16.47577108,12.26344453,17.45845571
Mississippi,2938618,441.07,200.7,74.14,166.23,59.45,31.54544075,22.4765519,9.443214463,18.45765595
,,,,,,,,,,
Missouri,5911605,470.98,240.86,82.32,147.79,70.37,31.46861132,22.47105482,12.66999402,26.22976332
Montana,967440,578.74,234.7,133.13,210.91,62.28,26.58562805,17.46878359,16.13536757,19.55676838
Nebraska,1783432,498.99,227.78,90.49,180.73,62.52,26.49946844,19.64751109,11.34890481,24.67153219
Nevada,2600167,878.56,414.41,168.75,295.4,74.2,34.04396718,22.12934785,14.35292425,25.80603477
New Hampshire,1315809,467.71,240.59,99.78,127.35,56,30.84034233,23.11885692,9.773454962,15.38977162
,,,,,,,,,,
New Jersey,8682661,759.76,355.49,166.74,237.53,86.59,41.68652905,32.02819965,24.87601439,20.02266356
New Mexico,1984356,740.51,304.28,156.95,279.27,81.18,30.85635844,22.51108168,19.11451373,31.20911772
New York,19490297,911.38,418.29,195.8,297.29,92.9,44.57140905,37.71363771,17.26192269,31.06314901
North Carolina,9222414,505.95,240.39,73.44,192.12,66.43,29.47384492,23.24228776,8.083566841,28.87313452
North Dakota,641481,410.09,185.01,94.32,130.76,51.72,22.49482058,18.17668801,12.59585241,16.63338431
,,,,,,,,,,
Ohio,11485910,586.44,270.2,144.29,171.95,70.33,28.81182249,21.86156778,18.80042591,22.71739897
Oklahoma,3642361,487.56,209.65,84.31,193.6,61.84,31.07874261,20.33021988,11.84945699,18.91355634
Oregon,3790060,646.83,268.56,110.2,268.07,60.93,24.1711213,15.79922218,12.71483829,24.04711271
Pennsylvania,12448279,597.7,228.1,124.54,245.06,66.83,27.55802629,22.13077004,14.50561961,24.76647575
Rhode Island,1050788,631.59,301.82,113.46,216.31,61.58,32.53748615,26.1137356,12.76185111,16.28301808
,,,,,,,,,,
South Carolina,4479800,452.02,218.64,71.39,162,64.29,30.23126032,24.42519755,9.882137595,24.17741863
South Dakota,804194,449.03,175.43,83.09,190.51,54.54,24.55875075,18.91334678,11.31567756,18.66465057
Tennessee,6214888,487.04,237.64,95.38,154.02,64.74,31.94908742,23.73333196,11.46279708,21.3245999
Texas,24326974,535.53,231.3,89.88,214.35,67.99,27.28699426,19.84628257,10.88791397,29.81464115
Utah,2736424,534.76,232.2,117.4,185.17,53.01,22.53671215,15.44351314,10.89377962,19.58395336
,,,,,,,,,,
Vermont,621270,529.44,223.87,113.66,191.92,54.24,24.22457225,15.98338886,10.88093743,19.13821688
Virginia,7769089,597.21,257.73,101.98,237.51,71.71,30.89680141,23.65785744,11.77744263,29.03944079
Washington,6549224,607.9,220.91,122.57,264.41,57.95,23.52339758,16.73938775,12.77861316,21.65142008
West Virginia,1814468,425.41,174.25,101.32,149.84,53.57,20.96482275,16.19758519,12.90736458,19.70274483
Wisconsin,5627967,637.47,275.77,104.68,257.02,64.58,28.98559995,21.95464188,10.07646278,25.51898403
Wyoming,532668,956.08,319.36,185.67,451.05,87.15,38.84220565,27.07127141,18.17267041,30.13133885
,,,,,,,,,,
Note:  Local government data are estimates subject to variability.,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2009.",,,,,,,,,,
