Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  cjee08fn05.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2008",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2008",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
Georgia,539073,75391,69802,72111,13.4,28930,26849,27691,38.4,15609,13119,13982,19.4,30852,29834,30438,42.2,Georgia
State,129749,26496,25891,26214,20.2,2098,2080,2090,8,3720,3667,3678,14,20678,20144,20446,78,State
"Local, total",409324,48895,43911,45897,11.2,26832,24769,25601,55.8,11889,9452,10304,22.5,10174,9690,9992,21.8,"Local, total"
Counties,70868,32678,29267,30792,43.4,13408,12243,12787,41.5,10116,8302,8987,29.2,9154,8722,9018,29.3,Counties
Municipalities,47830,16217,14644,15105,31.6,13424,12526,12814,84.8,1773,1150,1317,8.7,1020,968,974,6.4,Municipalities
,,,,,,,,,,,,,,,,,,
Hawaii,74727,9731,9482,9556,12.8,3978,3811,3851,40.3,3329,3255,3285,34.4,2424,2416,2420,25.3,Hawaii
State,59868,5147,5073,5103,8.5,0,0,0,0,2723,2657,2683,52.6,2424,2416,2420,47.4,State
"Local, total",14859,4584,4409,4453,30,3978,3811,3851,86.5,606,598,602,13.5,0,0,0,0,"Local, total"
Counties,5817,1574,1490,1514,26,1290,1210,1232,81.4,284,280,282,18.6,0,0,0,0,Counties
Municipalities,8875,3010,2919,2939,33.1,2688,2601,2619,89.1,322,318,320,10.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Idaho,81301,9956,9288,9527,11.7,4384,4168,4232,44.4,1994,1780,1854,19.5,3578,3340,3441,36.1,Idaho
State,22721,2996,2906,2961,13,497,474,487,16.4,498,472,481,16.2,2001,1960,1993,67.3,State
"Local, total",58580,6960,6382,6566,11.2,3887,3694,3745,57,1496,1308,1373,20.9,1577,1380,1448,22.1,"Local, total"
Counties,12912,4888,4421,4581,35.5,1984,1840,1873,40.9,1327,1201,1260,27.5,1577,1380,1448,31.6,Counties
Municipalities,7733,2072,1961,1985,25.7,1903,1854,1872,94.3,169,107,113,5.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Illinois,647750,90592,81581,84557,13.1,52126,44364,46794,55.3,16550,15702,16062,19,21916,21515,21701,25.7,Illinois
State,128605,18631,18565,18594,14.5,3924,3920,3922,21.1,2642,2587,2610,14,12065,12058,12062,64.9,State
"Local, total",519145,71961,63016,65963,12.7,48202,40444,42872,65,13908,13115,13452,20.4,9851,9457,9639,14.6,"Local, total"
Counties,56527,29561,27836,28546,50.5,6806,6073,6311,22.1,12920,12318,12608,44.2,9835,9445,9627,33.7,Counties
Municipalities,108152,42400,35180,37417,34.6,41396,34371,36561,97.7,988,797,844,2.3,16,12,12,0,Municipalities
,,,,,,,,,,,,,,,,,,
Indiana,354182,42808,38268,39903,11.3,19887,17253,18058,45.3,9004,7830,8307,20.8,13917,13185,13538,33.9,Indiana
State,91166,10983,10937,10958,12,2098,2097,2098,19.1,1405,1364,1382,12.6,7480,7476,7478,68.2,State
"Local, total",263016,31825,27331,28945,11,17789,15156,15960,55.1,7599,6466,6925,23.9,6437,5709,6060,20.9,"Local, total"
Counties,51936,15768,13534,14519,28,5356,4514,4829,33.3,5112,4413,4741,32.7,5300,4607,4949,34.1,Counties
Municipalities,51556,16057,13797,14426,28,12433,10642,11131,77.2,2487,2053,2184,15.1,1137,1102,1111,7.7,Municipalities
,,,,,,,,,,,,,,,,,,
Iowa,182333,15933,14397,15062,8.3,7511,6736,6953,46.2,3385,3048,3247,21.6,5037,4613,4862,32.3,Iowa
State,54547,6959,6552,6800,12.5,1004,973,984,14.5,2428,2267,2370,34.9,3527,3312,3446,50.7,State
"Local, total",127786,8974,7845,8262,6.5,6507,5763,5969,72.2,957,781,877,10.6,1510,1301,1416,17.1,"Local, total"
Counties,24335,4653,4077,4347,17.9,2281,2069,2135,49.1,864,707,796,18.3,1508,1301,1416,32.6,Counties
Municipalities,22519,4321,3768,3915,17.4,4226,3694,3834,97.9,93,74,81,2.1,2,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Kansas,195117,21755,19986,20626,10.6,10224,9387,9725,47.1,4243,3648,3830,18.6,7288,6951,7071,34.3,Kansas
State,45989,7325,7022,7138,15.5,1177,1114,1143,16,2311,2097,2173,30.4,3837,3811,3822,53.5,State
"Local, total",149128,14430,12964,13488,9,9047,8273,8582,63.6,1932,1551,1657,12.3,3451,3140,3249,24.1,"Local, total"
Counties,25809,8053,7180,7485,29,3655,3310,3435,45.9,1178,957,1029,13.7,3220,2913,3021,40.4,Counties
Municipalities,25284,6377,5784,6003,23.7,5392,4963,5147,85.7,754,594,628,10.5,231,227,228,3.8,Municipalities
,,,,,,,,,,,,,,,,,,
Kentucky,246292,26513,23741,25436,10.3,10625,9701,10158,39.9,6907,5837,6546,25.7,8981,8203,8732,34.3,Kentucky
State,81190,11856,11212,11742,14.5,2289,2289,2289,19.5,5459,4815,5345,45.5,4108,4108,4108,35,State
"Local, total",165102,14657,12529,13694,8.3,8336,7412,7869,57.5,1448,1022,1201,8.8,4873,4095,4624,33.8,"Local, total"
Counties,18096,6918,5411,6239,34.5,2137,1788,1928,30.9,984,598,760,12.2,3797,3025,3551,56.9,Counties
Municipalities,26793,7739,7118,7455,27.8,6199,5624,5941,79.7,464,424,441,5.9,1076,1070,1073,14.4,Municipalities
,,,,,,,,,,,,,,,,,,
Louisiana,282279,41828,38362,40009,14.2,19501,17739,18531,46.3,7478,6556,6937,17.3,14849,14067,14541,36.3,Louisiana
State,91854,11055,10777,10925,11.9,1762,1740,1747,16,1560,1500,1516,13.9,7733,7537,7662,70.1,State
"Local, total",190425,30773,27585,29084,15.3,17739,15999,16784,57.7,5918,5056,5421,18.6,7116,6530,6879,23.7,"Local, total"
Parishes,45586,17779,16016,16842,36.9,8351,7568,7895,46.9,3964,3499,3686,21.9,5464,4949,5261,31.2,Parishes
Municipalities,37798,12994,11569,12242,32.4,9388,8431,8889,72.6,1954,1557,1735,14.2,1652,1581,1618,13.2,Municipalities
,,,,,,,,,,,,,,,,,,
Maine,78134,7180,5932,6312,8.1,3964,2981,3221,51,1076,945,1002,15.9,2140,2006,2089,33.1,Maine
State,23075,2694,2543,2618,11.3,559,529,538,20.6,797,729,761,29.1,1338,1285,1319,50.4,State
"Local, total",55059,4486,3389,3694,6.7,3405,2452,2683,72.6,279,216,241,6.5,802,721,770,20.8,"Local, total"
Counties,1905,1564,1372,1460,76.6,507,446,465,31.8,256,206,226,15.5,801,720,769,52.7,Counties
Municipalities,31327,2922,2017,2234,7.1,2898,2006,2218,99.3,23,10,15,0.7,1,1,1,0,Municipalities
,,,,,,,,,,,,,,,,,,
Maryland,300139,42532,39874,41427,13.8,18161,16773,17396,42,8464,7701,8225,19.9,15907,15400,15806,38.2,Maryland
State,89153,19890,19006,19716,22.1,2396,2364,2391,12.1,5140,4698,5040,25.6,12354,11944,12285,62.3,State
"Local, total",210986,22642,20868,21711,10.3,15765,14409,15005,69.1,3324,3003,3185,14.7,3553,3456,3521,16.2,"Local, total"
Counties,176829,16601,15306,15907,9,10563,9677,10034,63.1,2485,2173,2352,14.8,3553,3456,3521,22.1,Counties
Municipalities,32467,6041,5562,5804,17.9,5202,4732,4971,85.6,839,830,833,14.4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Massachusetts,342978,48849,43881,45274,13.2,29197,24971,25975,57.4,10678,10105,10435,23,8974,8805,8864,19.6,Massachusetts
State,97600,23197,22545,22907,23.5,6740,6632,6666,29.1,10317,9831,10141,44.3,6140,6082,6100,26.6,State
"Local, total",245378,25652,21336,22367,9.1,22457,18339,19309,86.3,361,274,294,1.3,2834,2723,2764,12.4,"Local, total"
Counties,2299,1775,1664,1705,74.2,14,14,14,0.8,19,19,19,1.1,1742,1631,1672,98.1,Counties
Municipalities,204281,23877,19672,20662,10.1,22443,18325,19295,93.4,342,255,275,1.3,1092,1092,1092,5.3,Municipalities
,,,,,,,,,,,,,,,,,,
Michigan,475014,59567,54024,56231,11.8,24871,21237,22382,39.8,12277,11242,11791,21,22419,21545,22058,39.2,Michigan
State,140585,20257,20006,20182,14.4,2710,2669,2686,13.3,1492,1457,1480,7.3,16055,15880,16016,79.4,State
"Local, total",334429,39310,34018,36049,10.8,22161,18568,19696,54.6,10785,9785,10311,28.6,6364,5665,6042,16.8,"Local, total"
Counties,51555,20274,18410,19405,37.6,5087,4655,4905,25.3,8900,8149,8526,43.9,6287,5606,5974,30.8,Counties
Municipalities,63117,19036,15608,16644,26.4,17074,13913,14791,88.9,1885,1636,1785,10.7,77,59,68,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Minnesota,280399,28654,25275,27075,9.7,12416,11055,11559,42.7,6755,5744,6402,23.6,9483,8476,9114,33.7,Minnesota
State,79128,8771,8098,8617,10.9,1002,955,981,11.4,3609,3141,3516,40.8,4160,4002,4120,47.8,State
"Local, total",201271,19883,17177,18458,9.2,11414,10100,10578,57.3,3146,2603,2886,15.6,5323,4474,4994,27.1,"Local, total"
Counties,39404,11960,10040,11075,28.1,3802,3237,3480,31.4,2835,2329,2601,23.5,5323,4474,4994,45.1,Counties
Municipalities,36365,7923,7137,7383,20.3,7612,6863,7098,96.1,311,274,285,3.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Mississippi,191687,19006,16831,17469,9.1,10070,8832,9270,53.1,3427,2646,2775,15.9,5509,5353,5424,31,Mississippi
State,57337,5608,5578,5595,9.8,1280,1280,1280,22.9,704,695,697,12.5,3624,3603,3618,64.7,State
"Local, total",134350,13398,11253,11874,8.8,8790,7552,7990,67.3,2723,1951,2078,17.5,1885,1750,1806,15.2,"Local, total"
Counties,27905,6890,6198,6477,23.2,3294,2939,3092,47.7,1765,1561,1632,25.2,1831,1698,1753,27.1,Counties
Municipalities,22479,6508,5055,5397,24,5496,4613,4898,90.8,958,390,446,8.3,54,52,53,1,Municipalities
,,,,,,,,,,,,,,,,,,
Missouri,328324,44029,40354,41599,12.7,19606,17998,18603,44.7,8567,7111,7490,18,15856,15245,15506,37.3,Missouri
State,89349,18512,17758,18174,20.3,2438,2322,2420,13.3,3588,3286,3470,19.1,12486,12150,12284,67.6,State
"Local, total",238975,25517,22596,23425,9.8,17168,15676,16183,69.1,4979,3825,4020,17.2,3370,3095,3222,13.8,"Local, total"
Counties,22338,9983,9237,9601,43,4452,4182,4312,44.9,2958,2744,2855,29.7,2573,2311,2434,25.4,Counties
Municipalities,46320,15534,13359,13824,29.8,12716,11494,11871,85.9,2021,1081,1165,8.4,797,784,788,5.7,Municipalities
,,,,,,,,,,,,,,,,,,
Montana,55191,6486,5669,6025,10.9,2744,2474,2572,42.7,1784,1363,1561,25.9,1958,1832,1892,31.4,Montana
State,19881,2474,2293,2388,12,456,444,451,18.9,757,629,693,29,1261,1220,1244,52.1,State
"Local, total",35310,4012,3376,3637,10.3,2288,2030,2121,58.3,1027,734,868,23.9,697,612,648,17.8,"Local, total"
Counties,6750,2655,2168,2373,35.2,1174,979,1047,44.1,792,584,685,28.9,689,605,641,27,Counties
Municipalities,4953,1357,1208,1264,25.5,1114,1051,1074,85,235,150,183,14.5,8,7,7,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
Nebraska,117027,11731,10699,11150,9.5,5035,4567,4726,42.4,2167,1865,2024,18.2,4529,4267,4400,39.5,Nebraska
State,32251,4427,4283,4356,13.5,742,740,741,17,761,707,725,16.6,2924,2836,2890,66.3,State
"Local, total",84776,7304,6416,6794,8,4293,3827,3985,58.7,1406,1158,1299,19.1,1605,1431,1510,22.2,"Local, total"
Counties,13362,4477,3834,4121,30.8,1548,1315,1387,33.7,1324,1088,1224,29.7,1605,1431,1510,36.6,Counties
Municipalities,11824,2827,2582,2673,22.6,2745,2512,2598,97.2,82,70,75,2.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Nevada,114287,20275,18670,19294,16.9,9501,8492,8852,45.9,3913,3575,3732,19.3,6861,6603,6710,34.8,Nevada
State,28437,5313,5226,5254,18.5,821,821,821,15.6,682,656,662,12.6,3810,3749,3771,71.8,State
"Local, total",85850,14962,13444,14040,16.4,8680,7671,8031,57.2,3231,2919,3070,21.9,3051,2854,2939,20.9,"Local, total"
Counties,26926,11216,10095,10537,39.1,6359,5667,5916,56.1,2488,2252,2362,22.4,2369,2176,2259,21.4,Counties
Municipalities,11726,3746,3349,3503,29.9,2321,2004,2115,60.4,743,667,708,20.2,682,678,680,19.4,Municipalities
,,,,,,,,,,,,,,,,,,
New Hampshire,72187,7904,6868,7369,10.2,4405,3681,4058,55.1,1428,1225,1286,17.5,2071,1962,2025,27.5,New Hampshire
State,19753,2884,2793,2851,14.4,523,502,516,18.1,1002,996,1000,35.1,1359,1295,1335,46.8,State
"Local, total",52434,5020,4075,4518,8.6,3882,3179,3542,78.4,426,229,286,6.3,712,667,690,15.3,"Local, total"
Counties,4162,1372,1060,1176,28.3,317,225,269,22.9,348,173,222,18.9,707,662,685,58.2,Counties
Municipalities,19319,3648,3015,3342,17.3,3565,2954,3273,97.9,78,56,64,1.9,5,5,5,0.1,Municipalities
,,,,,,,,,,,,,,,,,,
New Jersey,506476,82122,71623,75179,14.8,41244,33602,36195,48.1,23381,20747,21599,28.7,17497,17274,17385,23.1,New Jersey
State,156373,29426,29121,29281,18.7,4613,4577,4597,15.7,14537,14282,14416,49.2,10276,10262,10268,35.1,State
"Local, total",350103,52696,42502,45898,13.1,36631,29025,31598,68.8,8844,6465,7183,15.6,7221,7012,7117,15.5,"Local, total"
Counties,65963,14755,14389,14576,22.1,3550,3446,3498,24,4000,3931,3966,27.2,7205,7012,7112,48.8,Counties
Municipalities,100730,37941,28113,31322,31.1,33081,25579,28100,89.7,4844,2534,3217,10.3,16,0,5,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Mexico,129362,16605,15732,16109,12.5,6434,5904,6123,38,3956,3662,3793,23.5,6215,6166,6193,38.4,New Mexico
State,48532,8269,8085,8185,16.9,734,734,734,9,3407,3257,3336,40.8,4128,4094,4115,50.3,State
"Local, total",80830,8336,7647,7924,9.8,5700,5170,5389,68,549,405,457,5.8,2087,2072,2078,26.2,"Local, total"
Counties,9721,3896,3699,3820,39.3,1768,1613,1698,44.5,97,70,100,2.6,2031,2016,2022,52.9,Counties
Municipalities,18529,4440,3948,4104,22.1,3932,3557,3691,89.9,452,335,357,8.7,56,56,56,1.4,Municipalities
,,,,,,,,,,,,,,,,,,
New York,1235728,192915,172084,181058,14.7,95121,80508,86871,48,36846,31632,33644,18.6,60948,59944,60543,33.4,New York
State,254883,62183,60831,61763,24.2,6758,6606,6704,10.9,21012,20304,20835,33.7,34413,33921,34224,55.4,State
"Local, total",980845,130732,111253,119295,12.2,88363,73902,80167,67.2,15834,11328,12809,10.7,26535,26023,26319,22.1,"Local, total"
Counties,124118,32468,29904,31230,25.2,13991,12462,13218,42.3,5027,4394,4722,15.1,13450,13048,13290,42.6,Counties
Municipalities,534433,98264,81349,88065,16.5,74372,61440,66949,76,10807,6934,8087,9.2,13085,12975,13029,14.8,Municipalities
,,,,,,,,,,,,,,,,,,
North Carolina,566792,63218,60200,61265,10.8,28679,26744,27182,44.4,7526,7353,7455,12.2,27013,26103,26628,43.5,North Carolina
State,145881,32617,31962,32348,22.2,3965,3953,3959,12.2,6759,6709,6735,20.8,21893,21300,21654,66.9,State
"Local, total",420911,30601,28238,28917,6.9,24714,22791,23223,80.3,767,644,720,2.5,5120,4803,4974,17.2,"Local, total"
Counties,337824,14596,13486,14040,4.2,9080,8376,8694,61.9,631,520,588,4.2,4885,4590,4758,33.9,Counties
Municipalities,56208,16005,14752,14877,26.5,15634,14415,14529,97.7,136,124,132,0.9,235,213,216,1.5,Municipalities
,,,,,,,,,,,,,,,,,,
North Dakota,41252,3622,3208,3318,8,1508,1430,1443,43.5,975,771,808,24.4,1139,1007,1067,32.2,North Dakota
State,17983,1537,1409,1449,8.1,185,183,184,12.7,583,530,541,37.3,769,696,724,50,State
"Local, total",23269,2085,1799,1869,8,1323,1247,1259,67.4,392,241,267,14.3,370,311,343,18.4,"Local, total"
Counties,3859,1159,1026,1080,28,535,507,510,47.2,254,208,227,21,370,311,343,31.8,Counties
Municipalities,3652,926,773,789,21.6,788,740,749,94.9,138,33,40,5.1,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Ohio,620383,85893,77726,80780,13,36269,31555,33093,41,23201,20381,21594,26.7,26423,25790,26093,32.3,Ohio
State,142727,22508,21919,22264,15.6,2700,2694,2700,12.1,3232,2722,3005,13.5,16576,16503,16559,74.4,State
"Local, total",477656,63385,55807,58516,12.3,33569,28861,30393,51.9,19969,17659,18589,31.8,9847,9287,9534,16.3,"Local, total"
Counties,101692,32666,30553,31429,30.9,8684,8073,8313,26.5,14853,13769,14233,45.3,9129,8711,8883,28.3,Counties
Municipalities,92342,30719,25254,27087,29.3,24885,20788,22080,81.5,5116,3890,4356,16.1,718,576,651,2.4,Municipalities
,,,,,,,,,,,,,,,,,,
Oklahoma,216152,23569,21899,22525,10.4,11896,10928,11320,50.3,4724,4191,4316,19.2,6949,6780,6889,30.6,Oklahoma
State,71971,10660,10381,10529,14.6,2009,1952,1979,18.8,2927,2792,2845,27,5724,5637,5705,54.2,State
"Local, total",144181,12909,11518,11996,8.3,9887,8976,9341,77.9,1797,1399,1471,12.3,1225,1143,1184,9.9,"Local, total"
Counties,17904,5216,4840,5025,28.1,2930,2724,2819,56.1,1178,1077,1129,22.5,1108,1039,1077,21.4,Counties
Municipalities,31493,7693,6678,6971,22.1,6957,6252,6522,93.6,619,322,342,4.9,117,104,107,1.5,Municipalities
,,,,,,,,,,,,,,,,,,
Oregon,190867,24325,22267,23094,12.1,9614,8920,9161,39.7,5133,4537,4819,20.9,9578,8810,9114,39.5,Oregon
State,60387,10295,9761,10030,16.6,1440,1292,1326,13.2,3337,3066,3229,32.2,5518,5403,5475,54.6,State
"Local, total",130480,14030,12506,13064,10,8174,7628,7835,60,1796,1471,1590,12.2,4060,3407,3639,27.9,"Local, total"
Counties,20958,8374,7312,7746,37,3015,2762,2889,37.3,1377,1193,1269,16.4,3982,3357,3588,46.3,Counties
Municipalities,21527,5656,5194,5318,24.7,5159,4866,4946,93,419,278,321,6,78,50,51,1,Municipalities
,,,,,,,,,,,,,,,,,,
Pennsylvania,595202,89022,78479,83192,14,38333,30952,34305,41.2,19157,17509,18057,21.7,31532,30018,30830,37.1,Pennsylvania
State,161528,27314,26798,27009,16.7,6459,6395,6431,23.8,3055,3055,3055,11.3,17800,17348,17523,64.9,State
"Local, total",433674,61708,51681,56183,13,31874,24557,27874,49.6,16102,14454,15002,26.7,13732,12670,13307,23.7,"Local, total"
