"North Carolina",7195,,138401,19236,,20436613,13771157,,18734570,,114692,114692
"North Dakota",641,,11880,18534,,2212660,1775466,,2048128,,16493,16493
"Ohio",11150,,231843,20793,,34769008,25456658,,27907731,,142580,142580
,,,,,,,,,,,,
"Oklahoma",3277,,57349,17500,,8989785,6541223,,7566468,,67534,67070
"Oregon",3140,,63167,20117,,11029980,8050394,,9509104,,52143,52143
"Pennsylvania",12071,,267501,22161,,39394469,30363515,,33632680,,151950,151950
"Rhode Island",989,,21877,22120,,4265140,3761617,,3544369,,20147,19610
"South Carolina",3673,,64898,17669,,11623103,9256422,,9888930,,78118,76283
,,,,,,,,,,,,
"South Dakota",729,,14156,19418,,1879678,1542983,,1774460,,14135,14135
"Tennessee",5256,,100637,19147,,13432374,10169758,,12578238,,84365,84365
"Texas",18723,,362398,19356,,44807235,33009907,,40474673,,268087,268085
"Utah",1951,,32763,16793,,5780232,4333694,,5289141,,42003,42003
"Vermont",584,,11663,19971,,2013565,1704893,,1854226,,12630,12630
,,,,,,,,,,,,
"Virginia",6618,,147415,22275,,17040384,12743651,,15663812,,115767,115767
"Washington",5430,,120444,22181,,21200290,15860612,,17555108,,95535,95535
"West Virginia",1828,,31146,17038,,6261769,5007133,,5418156,,34560,34560
"Wisconsin",5122,,106142,20723,,16301863,10578866,,14546405,,64478,64478
"Wyoming",480,,9699,20206,,2045221,1368758,,1803163,,10863,10863
,,,,,,,,,,,,
,,,,,,,,,,,,
"Note:  ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia)",,,,,,,,,,,,
"from the Bureau of the Census, Current Population Reports, July 1995.",,,,,,,,,,,,
"a/ ""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 1995.",,,,,,,,,,,,
"b/ ""Total general expenditure"" excludes utilities, State-operated liquor stores, and insurance trust benefits.",,,,,,,,,,,,
"c/ ""General functions only"" FTE excludes utilities, and State-operated liquor stores.",,,,,,,,,,,,
