"Oklahoma",3277,,236.84,114.03,44.52,78.29,,66.2,,29.1,21.0,,10.0,27.1
"Oregon",3140,,310.28,148.94,76.02,85.32,,54.2,,23.6,17.2,,12.4,18.2
"Pennsylvania",12071,,290.81,115.37,65.88,109.57,,58.3,,26.1,20.6,,12.7,19.5
"Rhode Island",989,,359.72,157.43,86.65,115.64,,58.7,,29.1,22.8,,12.9,16.7
,,,,,,,,,,,,,,
"South Carolina",3673,,251.88,110.10,37.11,104.68,,65.5,,29.3,21.8,,8.8,27.4
"South Dakota",729,,204.28,100.89,47.99,55.40,,46.0,,21.9,16.6,,10.5,13.7
"Tennessee",5256,,247.28,112.14,49.83,85.31,,57.0,,25.8,19.7,,9.7,21.6
"Texas",18723,,340.30,125.92,54.77,159.61,,75.5,,30.3,22.4,,11.0,34.1
"Utah",1951,,276.99,121.89,67.81,87.29,,50.6,,24.0,16.2,,10.3,16.4
,,,,,,,,,,,,,,
"Vermont",584,,231.49,103.49,57.52,70.48,,46.3,,21.4,15.4,,10.0,14.9
"Virginia",6618,,292.13,128.71,52.30,111.12,,62.3,,25.2,19.4,,8.5,28.6
"Washington",5430,,328.69,139.95,76.95,111.79,,55.1,,22.9,16.3,,12.1,20.1
"West Virginia",1828,,156.26,67.60,48.24,40.42,,33.8,,17.7,13.9,,9.5,6.6
"Wisconsin",5122,,330.19,160.84,68.62,100.73,,55.2,,27.7,21.7,,10.1,17.4
"Wyoming",480,,292.66,148.88,82.43,61.35,,66.6,,34.0,23.0,,15.8,16.8
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Notes:  Local government data are estimates subject to variability.",,,,,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 1995.",,,,,,,,,,,,,,
