"South Dakota",78272,,76731,73814,2917,,1541,,15728,,15695,13975,1720,,33,,21866,,20648,20147,501,,1218,,40678,,40388,39692,,696,313,,290,,"South Dakota"
"Tennessee",631053,,535377,521272,14105,,95676,,85476,,80422,75539,4883,,5054,,121148,,112525,109862,2663,,8623,,424429,,342430,335871,,6559,4306,,81999,,"Tennessee"
"Texas",3132329,,2855105,2207322,647783,,277224,,239995,,239658,204879,34779,,337,,301929,,290001,285060,4941,,11928,,2590405,,2325446,1717383,,608063,561606,,264959,,"Texas"
"Utah",270573,,269383,247340,22043,,1190,,36543,,36543,33302,3241,,"-",,89704,,88514,79819,8695,,1190,,144326,,144326,134219,,10107,7325,,"-",,"Utah"
"Vermont",99919,,99683,93298,6385,,236,,27078,,26842,24859,1983,,236,,31682,,31682,27990,3692,,"-",,41159,,41159,40449,,710,26,,"-",,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia",1329131,,925746,870497,55249,,403385,,289108,,148714,138786,9928,,140394,,261537,,180261,176408,3853,,81276,,778486,,596771,555303,,41468,26850,,181715,,"Virginia"
"Washington",709998,,661740,568055,93685,,48258,,156600,,113033,95551,17482,,43567,,70637,,65951,58484,7467,,4686,,482761,,482756,414020,,68736,51162,,5,,"Washington"
"West Virginia",177092,,173750,164458,9292,,3342,,37160,,37160,30710,6450,,"-",,62701,,62701,61493,1208,,"-",,77231,,73889,72255,,1634,45,,3342,,"West Virginia"
"Wisconsin",735764,,642135,553374,88761,,93629,,55983,,54514,51158,3356,,1469,,170230,,160667,155047,5620,,9563,,509551,,426954,347169,,79785,71812,,82597,,"Wisconsin"
"Wyoming",65654,,63036,57801,5235,,2618,,12258,,10338,8717,1621,,1920,,23826,,23249,22379,870,,577,,29570,,29449,26705,,2744,2531,,121,,"Wyoming"
