"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9506.csv",,,,,,,,,
"table #:  6 Percent distribution of justice system payrolls by State and level of government, October 1995",,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version:  1/13/2000",,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State and level of government, October 1995",,,,,,,,,
,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"         Total justice system",,"          Police protection",,"             Judicial and Legal",,"                Corrections",
,,,,,,,,,
,"Total",,"Percent of",,"Percent of",,"Percent of",,"Percent of"
"State and level","October","October","total October","October","total October","October","total October","October","total October"
"of government","payrolls/a","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b"
,,,,,,,,,
,,,,,,,,,
"Wyoming",81926,7407,9.0,3904,52.7,1971,26.6,1532,20.7
"State",22687,2441,10.8,511,20.9,1014,41.5,916,37.5
"Local, total",59240,4966,8.4,3393,68.3,957,19.3,615,12.4
"Counties",11988,2563,21.4,1289,50.3,686,26.8,588,22.9
"Municipalities",8883,2403,27.1,2104,87.6,272,11.3,27,1.1
,,,,,,,,,
"Notes: October payroll data may not sum to total because of rounding.",,,,,,,,,
"Local government data are estimates subject to variability.",,,,,,,,,
"This spreadsheet has been corrected since it was first released.",,,,,,,,,
"a/ Total October payroll includes payrolls of States and all types of local governments including independent school districts,",,,,,,,,,
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the",,,,,,,,,
" ""Counties"" and ""Municipalities"" lines.",,,,,,,,,
"b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not",,,,,,,,,
"available.",,,,,,,,,
