"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9511.csv",,,,,,,,,,,,,,,,,,,,,,,,,
"table #:  11 Justice system employment and payrolls of State governments by activity, October 1995",,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/13/2000",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, October 1995",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                      Total justice system",,,,,"                                                    Police protection",,,,,"                                                    Judicial and Legal",,,,,"                                                       Corrections",,,,,,,,,
"Iowa",5606,5206,5479,16487,3048,934,911,918,2993,3269,2321,2031,2235,6987,3227,2351,2264,2326,6507,2799,"Iowa",6337819,6553642,2978359,15869820
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Kansas",6615,6375,6463,15239,2369,970,954,962,2579,2694,2043,1842,1912,4665,2476,3602,3579,3589,7995,2227,"Kansas",7971789,4560819,2569933,15102541
"Kentucky",11142,10079,10804,23707,2231,1719,1684,1711,4180,2435,3973,3226,3809,8742,2441,5450,5169,5284,10784,2034,"Kentucky",10515530,7873216,4100704,22489450
"Louisiana",9628,9435,9510,20656,2180,1085,1076,1080,2497,2317,1700,1608,1641,5123,3154,6843,6751,6789,13036,1926,"Louisiana",13001164,5071239,2492836,20565239
"Maine",2190,2129,2174,5919,2750,460,460,460,1320,2868,534,485,508,1570,3128,1196,1184,1206,3030,2549,"Maine",3017571,1517215,1319504,5854290
"Maryland",16585,15573,16420,44042,2719,2322,2310,2316,7467,3227,3604,3118,3508,8584,2503,10659,10145,10596,27991,2670,"Maryland",27089092,7803364,7453223,42345679
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Massachusetts",14503,14271,14397,46013,3200,1913,1910,1913,6810,3563,6451,6308,6386,20263,3179,6139,6053,6098,18940,3109,"Massachusetts",18816393,20050588,6805230,45672211
"Michigan",22447,22008,22185,74269,3350,3103,2936,2993,10354,3492,2740,2700,2718,10621,3918,16604,16372,16474,53295,3231,"Michigan",52902582,10578303,10251396,73732281
"Minnesota",6013,5776,5934,19990,3389,862,844,855,3242,3812,1754,1635,1701,6631,3929,3397,3297,3378,10117,3014,"Minnesota",9935544,6423969,3217693,19577206
"Mississippi",5097,5063,5071,10503,2069,963,963,963,2216,2302,426,408,412,1792,4339,3708,3692,3696,6495,1758,"Mississippi",6488903,1770215,2216444,10475562
"Missouri",9940,9818,10984,19994,2028,2227,2189,2207,5791,2636,1014,1002,2125,2786,2773,6699,6627,6652,11418,1714,"Missouri",11358113,2778960,5769159,19906232
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Montana",1488,1344,1424,3473,2432,418,402,410,995,2431,225,142,190,682,3765,845,800,824,1797,2195,"Montana",1756200,534580,977289,3268069
"Nebraska",3352,3202,3269,7770,2396,674,668,672,1695,2528,686,622,647,2006,3162,1992,1912,1950,4068,2102,"Nebraska",4018350,1966590,1688456,7673396
"Nevada",3958,3879,3925,11992,3057,602,602,602,1688,2805,429,423,427,1740,4099,2927,2854,2896,8563,2956,"Nevada",8436312,1733683,1688454,11858449
"New Hampshire",2332,2136,2232,6332,2897,442,402,419,1350,3284,831,716,771,1951,2632,1059,1018,1042,3031,2931,"New Hampshire",2983436,1884733,1320055,6188224
"New Jersey",24255,24038,24127,87305,3619,3701,3694,3699,16997,4597,11515,11394,11435,36844,3221,9039,8950,8993,33464,3721,"New Jersey",33305040,36705174,16982938,86993152
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"New Mexico",6485,6367,6437,16231,2529,567,567,567,1349,2379,1984,1889,1938,5475,2852,3934,3911,3932,9408,2395,"New Mexico",9367987,5387200,1348735,16103922
"New York",56531,55131,55842,203184,3645,5492,5396,5445,20752,3835,16867,16215,16542,71330,4331,34172,33520,33855,111102,3283,"New York",110037473,70232030,20694845,200964348
"North Carolina",21079,21044,21059,47980,2279,3346,3346,3346,8366,2500,5349,5343,5346,14631,2737,12384,12355,12367,24984,2020,"North Carolina",24959639,14623838,8365722,47949199
"North Dakota",1180,1093,1123,2786,2513,229,229,229,580,2532,413,371,380,1149,3076,538,493,514,1057,2081,"North Dakota",1025832,1141355,579886,2747073
"Ohio",19683,19228,19408,57971,2994,2458,2442,2451,7657,3129,2509,2168,2273,7493,3345,14716,14618,14684,42821,2919,"Ohio",42674465,7251269,7641840,57567574
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Oklahoma",11679,11445,11549,20430,1771,1685,1656,1664,3807,2292,2120,2048,2061,5417,2628,7874,7741,7824,11207,1432,"Oklahoma",11088965,5381480,3795244,20265689
"Oregon",6917,6381,6612,19339,2948,1385,1226,1241,4523,3657,2552,2377,2498,6877,2788,2980,2778,2873,7938,2771,"Oregon",7697868,6626478,4483655,18808001
"Pennsylvania",21737,21221,21699,66446,3076,6444,6337,6436,22237,3486,2448,2341,2457,9525,3873,12845,12543,12806,34684,2720,"Pennsylvania",34115549,9067196,22092286,65275031
"Rhode Island",3120,3061,3088,12427,4043,270,270,270,1223,4530,1173,1152,1163,3740,3221,1677,1639,1655,7464,4540,"Rhode Island",7440705,3710955,1223177,12374837
"South Carolina",10949,10932,10942,22723,2076,2303,2295,2300,5616,2443,567,565,566,1925,3406,8079,8072,8076,15182,1879,"South Carolina",15167150,1924334,5607234,22698718
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"South Dakota",1548,1371,1473,3359,2192,271,267,269,679,2528,597,459,538,1388,2328,680,645,666,1292,1957,"South Dakota",1262294,1068654,674910,3005858
"Tennessee",10456,10376,10407,24860,2390,1590,1580,1583,4206,2660,1828,1772,1791,6146,3440,7038,7024,7033,14507,2064,"Tennessee",14498144,6095576,4202976,24796696
"Texas",51212,51082,51142,111683,2184,3392,3349,3368,8771,2611,4792,4756,4774,15920,3337,43028,42977,43000,86992,2023,"Texas",86948380,15869742,8745775,111563897
"Utah",4781,4184,4453,11202,2567,730,689,704,1888,2702,1329,1178,1247,3496,2868,2722,2317,2502,5819,2374,"Utah",5500893,3377977,1861920,10740790
"Vermont",1950,1775,1851,5016,2746,535,454,479,1841,3978,538,467,504,1416,2855,877,854,868,1759,2030,"Vermont",1733982,1333204,1806212,4873398
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Virginia",18992,17505,17985,46700,2622,2590,2413,2480,7083,2894,3362,2632,2769,8765,3202,13040,12460,12736,30852,2446,"Virginia",30479660,8428306,6984290,45892256
"Washington",10953,9924,10822,27978,2678,1811,1810,1811,6213,3432,1686,1519,1613,6294,4051,7456,6595,7398,15471,2155,"Washington",14213810,6153836,6212196,26579842
"West Virginia",2746,2707,2728,5912,2172,888,886,886,2043,2306,1059,1027,1046,2528,2435,799,794,796,1340,1683,"West Virginia",1336640,2500964,2042928,5880532
"Wisconsin",9754,8631,9289,27045,2939,902,875,887,2712,3073,2040,1735,1900,8005,4307,6812,6021,6502,16328,2525,"Wisconsin",15205584,7472529,2689301,25367414
"Wyoming",1095,1047,1071,2441,2279,224,221,225,511,2279,386,342,361,1014,2829,485,484,485,916,1890,"Wyoming",914883,967358,503587,2385828
,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: These data are based on a summation of responses from individual state agencies. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Some agency data may be for a prior reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,
"This spreadsheet has been corrected since it was first released.",,,,,,,,,,,,,,,,,,,,,,,,,
