"Kansas City, MO",2031,2030,2031,,6228,3067,,1794,1794,1794,,5674,3162,,143,142,143,,365,2552,,94,94,94,,190,2021,,"Kansas City, MO"
"Long Beach, CA",1343,1237,1315,,5644,4428,,1246,1143,1219,,5175,4388,,97,94,96,,468,4924,,"-","-","-",,"-","-",,"Long Beach, CA"
"Los Angeles, CA",11937,11912,11927,,54600,4578,,11233,11229,11231,,50976,4539,,704,683,696,,3624,5222,,"-","-","-",,"-","-",,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Memphis, TN"
"Miami, FL",1469,1416,1444,,4868,3410,,1424,1372,1399,,4664,3371,,45,44,45,,204,4614,,"-","-","-",,"-","-",,"Miami, FL"
"Milwaukee, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Milwaukee, WI"
"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minneapolis, MN"
"Nashville, TN",2836,2583,2622,,6604,2537,,1783,1577,1608,,4216,2653,,510,478,481,,1217,2523,,543,528,533,,1170,2204,,"Nashville, TN"
"Newark, NJ",1447,1289,1380,,6180,4708,,1300,1142,1233,,5770,4955,,147,147,147,,410,2789,,"-","-","-",,"-","-",,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",3411,3075,3367,,7498,2391,,1893,1676,1738,,5239,3091,,436,419,432,,682,1580,,1082,980,1197,,1577,1541,,"New Orleans, LA"
"New York, NY",65662,62833,63376,,255857,4034,,46227,43952,44369,,177430,3999,,5574,5143,5214,,18354,3471,,13861,13738,13793,,60073,4358,,"New York, NY"
"Oakland, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oakland, CA"
"Oklahoma City, OK",1552,1442,1472,,4777,3278,,1379,1280,1303,,4290,3326,,124,117,120,,384,3183,,49,45,49,,103,2161,,"Oklahoma City, OK"
"Omaha, NE",915,900,908,,3623,4007,,876,862,870,,3461,3998,,39,38,38,,161,4202,,"-","-","-",,"-","-",,"Omaha, NE"
"Philadelphia, PA",13941,12978,13428,,44773,3379,,8477,7520,7967,,26944,3462,,2896,2890,2893,,8723,3017,,2568,2568,2568,,9106,3546,,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",3513,3432,3481,,11852,3416,,2938,2889,2923,,9993,3438,,575,543,558,,1859,3301,,"-","-","-",,"-","-",,"Phoenix, AZ"
"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pittsburgh, PA"
"Portland, OR",1419,1322,1401,,5781,4176,,1378,1293,1363,,5577,4149,,41,29,38,,204,5369,,"-","-","-",,"-","-",,"Portland, OR"
"St.Louis, MO",3394,3343,3358,,8933,2659,,2270,2270,2270,,6428,2832,,521,478,486,,1196,2426,,603,595,602,,1309,2189,,"St.Louis, MO"
"San Antonio, TX",2768,2481,2622,,7855,3090,,2551,2274,2411,,7373,3165,,217,207,211,,482,2268,,"-","-","-",,"-","-",,"San Antonio, TX"
"San Diego, CA",2945,2678,2719,,10734,3969,,2673,2436,2470,,9763,3971,,272,242,249,,971,3949,,"-","-","-",,"-","-",,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",4862,4862,4862,,20527,4222,,2471,2471,2471,,10553,4271,,1254,1254,1254,,5895,4701,,1137,1137,1137,,4079,3587,,"San Francisco, CA"
"San Jose, CA",1907,1737,1791,,8942,5072,,1843,1675,1728,,8574,5043,,64,62,63,,368,5876,,"-","-","-",,"-","-",,"San Jose, CA"
"Seattle, WA",2336,2087,2215,,9248,4279,,1882,1728,1791,,7804,4425,,418,333,390,,1331,3571,,36,26,34,,113,3600,,"Seattle, WA"
"Toledo, OH",987,987,987,,3456,3502,,783,783,783,,2901,3705,,186,186,186,,495,2660,,18,18,18,,61,3368,,"Toledo, OH"
"Tucson, AZ",1366,1333,1349,,4106,3046,,1089,1078,1084,,3383,3124,,277,255,265,,722,2712,,"-","-","-",,"-","-",,"Tucson, AZ"
"Tulsa, OK",973,966,968,,3168,3273,,893,893,893,,2973,3329,,80,73,75,,195,2581,,"-","-","-",,"-","-",,"Tulsa, OK"
"Washington, DC",10578,10375,10511,,37507,3585,,4555,4404,4490,,16211,3639,,1849,1819,1836,,6364,3473,,4174,4152,4185,,14932,3576,,"Washington, DC"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  Jurisdictions without data did not report for 1995, but data are available for prior years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
