Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0205.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2002",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
authors:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2002",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
Counties,"58,276","25,614","23,053","24,134",41.4,,"10,658","9,823","10,141",42,,"8,112","6,767","7,305",30.3,,"6,844","6,463","6,688",27.7,,Counties
Municipalities,"44,714","15,322","13,573","14,156",31.7,,"12,647","11,318","11,777",83.2,,"1,591","1,200","1,313",9.3,,"1,084","1,055","1,066",7.5,,Municipalities
Hawaii,"70,461","9,130","8,851","8,922",12.7,,"3,790","3,603","3,644",40.8,,"2,854","2,785","2,805",31.4,,"2,486","2,463","2,473",27.7,,Hawaii
State,"55,972","4,761","4,681","4,706",8.4,,0,0,0,0,,"2,275","2,218","2,233",47.5,,"2,486","2,463","2,473",52.5,,State
"Local, total","14,489","4,369","4,170","4,216",29.1,,"3,790","3,603","3,644",86.4,,579,567,572,13.6,,0,0,0,0,,"Local, total"
Counties,"5,147","1,432","1,357","1,376",26.7,,"1,184","1,113","1,131",82.2,,248,244,245,17.8,,0,0,0,0,,Counties
Municipalities,"9,231","2,937","2,813","2,840",30.8,,"2,606","2,490","2,513",88.5,,331,323,327,11.5,,0,0,0,0,,Municipalities
Idaho,"77,496","8,928","8,053","8,423",10.9,,"3,988","3,643","3,769",44.7,,"1,760","1,604","1,679",19.9,,"3,180","2,806","2,975",35.3,,Idaho
State,"23,845","2,878","2,715","2,802",11.8,,503,480,492,17.6,,457,449,454,16.2,,"1,918","1,786","1,856",66.2,,State
"Local, total","53,651","6,050","5,338","5,621",10.5,,"3,485","3,163","3,277",58.3,,"1,303","1,155","1,225",21.8,,"1,262","1,020","1,119",19.9,,"Local, total"
Counties,"11,028","4,272","3,712","3,952",35.8,,"1,824","1,625","1,701",43,,"1,186","1,067","1,132",28.6,,"1,262","1,020","1,119",28.3,,Counties
Municipalities,"6,494","1,778","1,626","1,669",25.7,,"1,661","1,538","1,576",94.4,,117,88,93,5.6,,0,0,0,0,,Municipalities
Illinois,"651,459","95,201","87,006","89,990",13.8,,"49,531","42,419","44,961",50,,"18,629","17,837","18,149",20.2,,"27,041","26,750","26,880",29.9,,Illinois
State,"146,669","24,430","24,225","24,317",16.6,,"4,264","4,211","4,229",17.4,,"3,362","3,230","3,293",13.5,,"16,804","16,784","16,795",69.1,,State
"Local, total","504,790","70,771","62,781","65,673",13,,"45,267","38,208","40,732",62,,"15,267","14,607","14,856",22.6,,"10,237","9,966","10,085",15.4,,"Local, total"
Counties,"61,458","30,212","28,900","29,437",47.9,,"5,555","5,049","5,249",17.8,,"14,420","13,885","14,103",47.9,,"10,237","9,966","10,085",34.3,,Counties
Municipalities,"106,246","40,559","33,881","36,236",34.1,,"39,712","33,159","35,483",97.9,,847,722,753,2.1,,0,0,0,0,,Municipalities
Indiana,"327,665","37,800","34,114","35,364",10.8,,"17,423","15,340","15,924",45,,"6,816","5,888","6,246",17.7,,"13,561","12,886","13,194",37.3,,Indiana
State,"90,254","11,700","11,682","11,692",13,,"2,031","2,030","2,031",17.4,,"1,206","1,199","1,203",10.3,,"8,463","8,453","8,458",72.3,,State
"Local, total","237,411","26,100","22,432","23,672",10,,"15,392","13,310","13,893",58.7,,"5,610","4,689","5,043",21.3,,"5,098","4,433","4,736",20,,"Local, total"
Counties,"45,304","12,675","11,090","11,731",25.9,,"3,964","3,554","3,686",31.4,,"4,081","3,541","3,764",32.1,,"4,630","3,995","4,281",36.5,,Counties
Municipalities,"46,530","13,425","11,342","11,941",25.7,,"11,428","9,756","10,207",85.5,,"1,529","1,148","1,279",10.7,,468,438,455,3.8,,Municipalities
Iowa,"177,303","15,769","14,003","14,718",8.3,,"7,830","6,938","7,178",48.8,,"3,327","2,908","3,144",21.4,,"4,612","4,157","4,396",29.9,,Iowa
State,"52,261","6,562","6,195","6,453",12.3,,946,944,946,14.7,,"2,344","2,152","2,288",35.5,,"3,272","3,099","3,219",49.9,,State
"Local, total","125,042","9,207","7,808","8,265",6.6,,"6,884","5,994","6,232",75.4,,983,756,856,10.4,,"1,340","1,058","1,177",14.2,,"Local, total"
Counties,"23,626","4,518","3,827","4,108",17.4,,"2,296","2,088","2,152",52.4,,888,687,785,19.1,,"1,334","1,052","1,171",28.5,,Counties
Municipalities,"21,125","4,689","3,981","4,157",19.7,,"4,588","3,906","4,080",98.1,,95,69,71,1.7,,6,6,6,0.1,,Municipalities
Kansas,"178,165","19,523","17,596","18,145",10.2,,"9,219","8,288","8,582",47.3,,"4,132","3,380","3,552",19.6,,"6,172","5,928","6,011",33.1,,Kansas
State,"44,372","6,893","6,704","6,770",15.3,,"1,133","1,121","1,126",16.6,,"2,142","1,999","2,045",30.2,,"3,618","3,584","3,599",53.2,,State
"Local, total","133,793","12,630","10,892","11,375",8.5,,"8,086","7,167","7,456",65.5,,"1,990","1,381","1,507",13.2,,"2,554","2,344","2,412",21.2,,"Local, total"
Counties,"22,295","5,985","5,341","5,561",24.9,,"2,629","2,358","2,439",43.9,,"1,039",874,946,17,,"2,317","2,109","2,176",39.1,,Counties
Municipalities,"23,837","6,645","5,551","5,814",24.4,,"5,457","4,809","5,017",86.3,,951,507,561,9.6,,237,235,236,4.1,,Municipalities
Kentucky,"230,053","23,708","21,190","22,543",9.8,,"10,087","9,240","9,595",42.6,,"6,420","5,244","6,056",26.9,,"7,201","6,706","6,892",30.6,,Kentucky
State,"78,126","11,131","10,145","10,848",13.9,,"2,251","2,228","2,244",20.7,,"5,016","4,184","4,860",44.8,,"3,864","3,733","3,744",34.5,,State
"Local, total","151,927","12,577","11,045","11,695",7.7,,"7,836","7,012","7,351",62.9,,"1,404","1,060","1,196",10.2,,"3,337","2,973","3,148",26.9,,"Local, total"
Counties,"19,046","6,876","5,855","6,307",33.1,,"2,637","2,275","2,423",38.4,,"1,253",958,"1,087",17.2,,"2,986","2,622","2,797",44.3,,Counties
Municipalities,"21,963","5,701","5,190","5,388",24.5,,"5,199","4,737","4,928",91.5,,151,102,109,2,,351,351,351,6.5,,Municipalities
Louisiana,"279,380","39,756","36,103","37,385",13.4,,"17,311","15,398","16,050",42.9,,"8,273","7,306","7,684",20.6,,"14,172","13,399","13,651",36.5,,Louisiana
State,"91,752","11,543","11,077","11,157",12.2,,"1,654","1,651","1,652",14.8,,"1,760","1,703","1,721",15.4,,"8,129","7,723","7,784",69.8,,State
"Local, total","187,628","28,213","25,026","26,228",14,,"15,657","13,747","14,398",54.9,,"6,513","5,603","5,963",22.7,,"6,043","5,676","5,867",22.4,,"Local, total"
Parishes,"42,300","14,034","12,555","13,120",31,,"6,142","5,461","5,689",43.4,,"4,271","3,651","3,897",29.7,,"3,621","3,443","3,534",26.9,,Parishes
Municipalities,"38,245","14,179","12,471","13,108",34.3,,"9,515","8,286","8,709",66.4,,"2,242","1,952","2,066",15.8,,"2,422","2,233","2,333",17.8,,Municipalities
Maine,"73,701","6,819","5,581","6,083",8.3,,"3,755","2,922","3,220",52.9,,"1,029",865,940,15.5,,"2,035","1,794","1,923",31.6,,Maine
State,"21,904","2,686","2,535","2,617",11.9,,590,581,587,22.4,,723,655,687,26.3,,"1,373","1,299","1,343",51.3,,State
"Local, total","51,797","4,133","3,046","3,466",6.7,,"3,165","2,341","2,633",76,,306,210,253,7.3,,662,495,580,16.7,,"Local, total"
Counties,"1,725","1,560","1,164","1,358",78.7,,622,477,545,40.1,,277,192,233,17.2,,661,495,580,42.7,,Counties
Municipalities,"29,852","2,573","1,882","2,108",7.1,,"2,543","1,864","2,088",99.1,,29,18,20,0.9,,1,0,0,0,,Municipalities
Maryland,"285,484","40,585","37,756","39,436",13.8,,"18,111","16,562","17,269",43.8,,"7,598","6,753","7,356",18.7,,"14,876","14,441","14,811",37.6,,Maryland
State,"92,244","18,522","17,648","18,373",19.9,,"2,418","2,389","2,410",13.1,,"4,186","3,711","4,091",22.3,,"11,918","11,548","11,872",64.6,,State
"Local, total","193,240","22,063","20,108","21,063",10.9,,"15,693","14,173","14,859",70.5,,"3,412","3,042","3,265",15.5,,"2,958","2,893","2,939",14,,"Local, total"
Counties,"156,239","14,967","13,618","14,301",9.2,,"9,489","8,558","8,979",62.8,,"2,520","2,167","2,383",16.7,,"2,958","2,893","2,939",20.6,,Counties
Municipalities,"35,136","7,096","6,490","6,762",19.2,,"6,204","5,615","5,880",87,,892,875,882,13,,0,0,0,0,,Municipalities
Massachusetts,"330,253","46,185","42,186","43,394",13.1,,"26,287","22,984","23,906",55.1,,"9,690","9,120","9,332",21.5,,"10,208","10,082","10,156",23.4,,Massachusetts
State,"95,435","22,467","21,841","22,096",23.2,,"5,914","5,885","5,892",26.7,,"9,365","8,844","9,039",40.9,,"7,188","7,112","7,165",32.4,,State
"Local, total","234,818","23,718","20,345","21,298",9.1,,"20,373","17,099","18,014",84.6,,325,276,293,1.4,,"3,020","2,970","2,991",14,,"Local, total"
Counties,"2,626","1,802","1,752","1,774",67.6,,2,2,2,0.1,,11,8,9,0.5,,"1,789","1,742","1,763",99.4,,Counties
Municipalities,"194,892","21,916","18,593","19,524",10,,"20,371","17,097","18,012",92.3,,314,268,284,1.5,,"1,231","1,228","1,228",6.3,,Municipalities
Michigan,"518,282","66,761","61,205","63,749",12.3,,"28,666","25,256","26,548",41.6,,"12,969","11,935","12,476",19.6,,"25,126","24,014","24,725",38.8,,Michigan
State,"142,860","24,791","24,179","24,642",17.2,,"3,569","3,387","3,506",14.2,,"2,018","1,970","1,997",8.1,,"19,204","18,822","19,139",77.7,,State
"Local, total","375,422","41,970","37,026","39,107",10.4,,"25,097","21,869","23,042",58.9,,"10,951","9,965","10,479",26.8,,"5,922","5,192","5,586",14.3,,"Local, total"
Counties,"51,198","19,864","18,138","19,033",37.2,,"5,395","5,025","5,171",27.2,,"8,694","8,032","8,403",44.1,,"5,775","5,081","5,459",28.7,,Counties
Municipalities,"91,514","22,106","18,888","20,074",21.9,,"19,702","16,844","17,871",89,,"2,257","1,933","2,076",10.3,,147,111,127,0.6,,Municipalities
Minnesota,"281,287","27,592","24,315","25,982",9.2,,"12,017","10,726","11,239",43.3,,"6,526","5,396","6,087",23.4,,"9,049","8,193","8,656",33.3,,Minnesota
State,"75,725","7,514","6,816","7,291",9.6,,967,943,960,13.2,,"2,732","2,189","2,549",35,,"3,815","3,684","3,782",51.9,,State
"Local, total","205,562","20,078","17,499","18,691",9.1,,"11,050","9,783","10,279",55,,"3,794","3,207","3,538",18.9,,"5,234","4,509","4,874",26.1,,"Local, total"
Counties,"41,652","12,373","10,707","11,548",27.7,,"3,618","3,238","3,391",29.4,,"3,521","2,960","3,283",28.4,,"5,234","4,509","4,874",42.2,,Counties
Municipalities,"36,661","7,705","6,792","7,143",19.5,,"7,432","6,545","6,888",96.4,,273,247,255,3.6,,0,0,0,0,,Municipalities
Mississippi,"183,434","18,532","16,319","17,044",9.3,,"9,582","8,315","8,769",51.4,,"3,113","2,366","2,550",15,,"5,837","5,638","5,725",33.6,,Mississippi
State,"56,952","6,120","5,997","6,050",10.6,,"1,199","1,199","1,199",19.8,,699,616,644,10.6,,"4,222","4,182","4,207",69.5,,State
"Local, total","126,482","12,412","10,322","10,994",8.7,,"8,383","7,116","7,570",68.9,,"2,414","1,750","1,906",17.3,,"1,615","1,456","1,518",13.8,,"Local, total"
Counties,"26,764","5,975","5,139","5,435",20.3,,"2,722","2,343","2,488",45.8,,"1,688","1,389","1,478",27.2,,"1,565","1,407","1,469",27,,Counties
Municipalities,"22,456","6,437","5,183","5,559",24.8,,"5,661","4,773","5,082",91.4,,726,361,428,7.7,,50,49,49,0.9,,Municipalities
Missouri,"312,539","42,242","38,778","39,930",12.8,,"19,090","17,601","18,087",45.3,,"8,176","6,996","7,381",18.5,,"14,976","14,181","14,462",36.2,,Missouri
State,"91,713","18,158","17,348","17,678",19.3,,"2,240","2,163","2,220",12.6,,"3,972","3,700","3,820",21.6,,"11,946","11,485","11,638",65.8,,State
"Local, total","220,826","24,084","21,430","22,252",10.1,,"16,850","15,438","15,867",71.3,,"4,204","3,296","3,561",16,,"3,030","2,696","2,824",12.7,,"Local, total"
Counties,"21,911","9,294","8,363","8,692",39.7,,"4,441","4,130","4,245",48.8,,"2,483","2,176","2,277",26.2,,"2,370","2,057","2,170",25,,Counties
Municipalities,"45,132","14,790","13,067","13,560",30,,"12,409","11,308","11,622",85.7,,"1,721","1,120","1,284",9.5,,660,639,654,4.8,,Municipalities
Montana,"52,469","5,449","4,580","4,925",9.4,,"2,428","2,172","2,276",46.2,,"1,389",925,"1,094",22.2,,"1,632","1,483","1,555",31.6,,Montana
State,"17,776","1,615","1,461","1,535",8.6,,447,402,421,27.4,,257,178,214,13.9,,911,881,900,58.6,,State
"Local, total","34,693","3,834","3,119","3,390",9.8,,"1,981","1,770","1,855",54.7,,"1,132",747,880,26,,721,602,655,19.3,,"Local, total"
Counties,"6,342","2,638","2,098","2,308",36.4,,"1,048",892,953,41.3,,890,624,720,31.2,,700,582,635,27.5,,Counties
Municipalities,"4,265","1,196","1,021","1,082",25.4,,933,878,902,83.4,,242,123,160,14.8,,21,20,20,1.8,,Municipalities
Nebraska,"113,929","10,536","9,641","9,993",8.8,,"4,913","4,533","4,675",46.8,,"2,021","1,706","1,830",18.3,,"3,602","3,402","3,488",34.9,,Nebraska
State,"33,155","3,854","3,723","3,784",11.4,,720,713,718,19,,745,677,702,18.6,,"2,389","2,333","2,364",62.5,,State
"Local, total","80,774","6,682","5,918","6,209",7.7,,"4,193","3,820","3,957",63.7,,"1,276","1,029","1,128",18.2,,"1,213","1,069","1,124",18.1,,"Local, total"
Counties,"12,759","3,851","3,356","3,562",27.9,,"1,462","1,334","1,389",39,,"1,176",953,"1,049",29.4,,"1,213","1,069","1,124",31.6,,Counties
Municipalities,"12,002","2,831","2,562","2,647",22.1,,"2,731","2,486","2,568",97,,100,76,79,3,,0,0,0,0,,Municipalities
Nevada,"92,634","16,502","15,112","15,597",16.8,,"7,267","6,467","6,721",43.1,,"3,317","3,073","3,174",20.4,,"5,918","5,572","5,702",36.6,,Nevada
State,"24,454","4,782","4,695","4,723",19.3,,823,820,821,17.4,,660,638,643,13.6,,"3,299","3,237","3,259",69,,State
"Local, total","68,180","11,720","10,417","10,874",15.9,,"6,444","5,647","5,900",54.3,,"2,657","2,435","2,531",23.3,,"2,619","2,335","2,443",22.5,,"Local, total"
Counties,"22,465","8,807","7,783","8,110",36.1,,"4,625","4,054","4,205",51.8,,"2,076","1,896","1,969",24.3,,"2,106","1,833","1,936",23.9,,Counties
Municipalities,"9,942","2,913","2,634","2,764",27.8,,"1,819","1,593","1,695",61.3,,581,539,562,20.3,,513,502,507,18.3,,Municipalities
New Hampshire,"66,254","7,372","6,239","6,671",10.1,,"4,059","3,179","3,492",52.3,,"1,273","1,103","1,172",17.6,,"2,040","1,957","2,007",30.1,,New Hampshire
State,"19,995","2,828","2,750","2,798",14,,430,413,422,15.1,,891,888,890,31.8,,"1,507","1,449","1,486",53.1,,State
"Local, total","46,259","4,544","3,489","3,873",8.4,,"3,629","2,766","3,070",79.3,,382,215,282,7.3,,533,508,521,13.5,,"Local, total"
Counties,"3,637","1,130",870,981,27,,271,194,227,23.1,,326,168,233,23.8,,533,508,521,53.1,,Counties
Municipalities,"17,251","3,414","2,619","2,892",16.8,,"3,358","2,572","2,843",98.3,,56,47,49,1.7,,0,0,0,0,,Municipalities
New Jersey,"485,434","80,842","70,231","74,083",15.3,,"40,468","32,310","35,346",47.7,,"23,135","20,891","21,611",29.2,,"17,239","17,030","17,126",23.1,,New Jersey
State,"147,813","28,616","28,439","28,579",19.3,,"4,139","4,121","4,136",14.5,,"14,310","14,172","14,283",50,,"10,167","10,146","10,160",35.6,,State
"Local, total","337,621","52,226","41,792","45,504",13.5,,"36,329","28,189","31,210",68.6,,"8,825","6,719","7,328",16.1,,"7,072","6,884","6,966",15.3,,"Local, total"
Counties,"61,942","14,087","13,663","13,826",22.3,,"2,738","2,590","2,618",18.9,,"4,321","4,190","4,250",30.7,,"7,028","6,883","6,958",50.3,,Counties
Municipalities,"102,056","38,139","28,129","31,678",31,,"33,591","25,599","28,592",90.3,,"4,504","2,529","3,078",9.7,,44,1,8,0,,Municipalities
New Mexico,"118,239","15,159","14,238","14,703",12.4,,"6,013","5,479","5,755",39.1,,"3,483","3,231","3,335",22.7,,"5,663","5,528","5,613",38.2,,New Mexico
State,"45,490","7,721","7,565","7,662",16.8,,633,633,633,8.3,,"2,996","2,922","2,961",38.6,,"4,092","4,010","4,068",53.1,,State
"Local, total","72,749","7,438","6,673","7,041",9.7,,"5,380","4,846","5,122",72.7,,487,309,374,5.3,,"1,571","1,518","1,545",21.9,,"Local, total"
Counties,"7,784","2,707","2,452","2,585",33.2,,"1,561","1,427","1,502",58.1,,118,50,81,3.1,,"1,028",975,"1,002",38.8,,Counties
