Bureau of Justice Statistics,,,,,,,,,
"Local, total","$434,101","$40,340",9.3,"$39,514",98,$826,2,$0,0
Municipalities,"$399,285","$40,340",10.1,"$39,514",98,$826,2,$0,0
Delaware,"$157,149","$25,200",16,"$9,240",36.7,"$5,255",20.9,"$10,705",42.5
State,"$84,912","$19,143",22.5,"$3,567",18.6,"$4,871",25.4,"$10,705",55.9
"Local, total","$72,238","$6,057",8.4,"$5,672",93.7,$384,6.3,$0,0
Counties,"$7,958","$2,403",30.2,"$2,151",89.5,$252,10.5,$0,0
Municipalities,"$9,464","$3,654",38.6,"$3,521",96.4,$132,3.6,$0,0
District of Columbia,"$185,942","$29,324",15.8,"$21,252",72.5,"$2,233",7.6,"$5,839",19.9
"Local, total","$185,942","$29,324",15.8,"$21,252",72.5,"$2,233",7.6,"$5,839",19.9
Municipality,"$145,397","$29,324",20.2,"$21,252",72.5,"$2,233",7.6,"$5,839",19.9
Florida,"$2,434,021","$449,323",18.5,"$225,613",50.2,"$103,669",23.1,"$120,042",26.7
State,"$582,814","$149,797",25.7,"$14,810",9.9,"$63,679",42.5,"$71,308",47.6
"Local, total","$1,851,207","$299,527",16.2,"$210,803",70.4,"$39,990",13.4,"$48,734",16.3
Counties,"$511,950","$193,283",37.8,"$110,304",57.1,"$36,416",18.8,"$46,564",24.1
Municipalities,"$341,848","$106,244",31.1,"$100,500",94.6,"$3,574",3.4,"$2,170",2
Georgia,"$1,350,505","$177,552",13.1,"$71,549",40.3,"$36,053",20.3,"$69,951",39.4
State,"$373,293","$64,644",17.3,"$7,490",11.6,"$8,617",13.3,"$48,537",75.1
"Local, total","$977,212","$112,908",11.6,"$64,059",56.7,"$27,436",24.3,"$21,413",19
Counties,"$166,452","$72,211",43.4,"$30,644",42.4,"$23,449",32.5,"$18,117",25.1
Municipalities,"$119,827","$40,697",34,"$33,414",82.1,"$3,987",9.8,"$3,296",8.1
Hawaii,"$222,659","$32,953",14.8,"$14,833",45,"$10,090",30.6,"$8,031",24.4
State,"$173,083","$15,904",9.2,$0,0,"$7,873",49.5,"$8,031",50.5
"Local, total","$49,576","$17,049",34.4,"$14,833",87,"$2,216",13,$0,0
Counties,"$17,201","$5,349",31.1,"$4,423",82.7,$927,17.3,$0,0
Municipalities,"$32,020","$11,700",36.5,"$10,410",89,"$1,290",11,$0,0
Idaho,"$210,962","$24,637",11.7,"$11,851",48.1,"$5,232",21.2,"$7,554",30.7
State,"$70,344","$8,585",12.2,"$1,732",20.2,"$1,966",22.9,"$4,887",56.9
"Local, total","$140,618","$16,053",11.4,"$10,119",63,"$3,266",20.3,"$2,668",16.6
Counties,"$29,003","$10,210",35.2,"$4,622",45.3,"$2,921",28.6,"$2,668",26.1
Municipalities,"$20,024","$5,842",29.2,"$5,498",94.1,$345,5.9,$0,0
Illinois,"$2,262,075","$347,558",15.4,"$184,368",53,"$68,429",19.7,"$94,761",27.3
State,"$525,575","$98,981",18.8,"$18,979",19.2,"$19,418",19.6,"$60,584",61.2
"Local, total","$1,736,500","$248,578",14.3,"$165,389",66.5,"$49,011",19.7,"$34,177",13.7
Counties,"$208,871","$98,529",47.2,"$18,892",19.2,"$45,460",46.1,"$34,177",34.7
Municipalities,"$418,001","$150,049",35.9,"$146,498",97.6,"$3,551",2.4,$0,0
Indiana,"$951,513","$107,573",11.3,"$52,243",48.6,"$18,485",17.2,"$36,845",34.3
State,"$270,953","$38,870",14.3,"$7,090",18.2,"$5,766",14.8,"$26,013",66.9
"Local, total","$680,561","$68,703",10.1,"$45,153",65.7,"$12,719",18.5,"$10,831",15.8
Counties,"$118,319","$29,396",24.8,"$10,554",35.9,"$9,158",31.2,"$9,683",32.9
Municipalities,"$140,508","$39,307",28,"$34,598",88,"$3,561",9.1,"$1,148",2.9
Iowa,"$535,815","$49,756",9.3,"$23,962",48.2,"$11,997",24.1,"$13,796",27.7
State,"$194,243","$23,726",12.2,"$3,827",16.1,"$9,096",38.3,"$10,803",45.5
"Local, total","$341,572","$26,030",7.6,"$20,136",77.4,"$2,901",11.1,"$2,994",11.5
Counties,"$62,337","$11,980",19.2,"$6,465",54,"$2,540",21.2,"$2,974",24.8
Municipalities,"$65,164","$14,050",21.6,"$13,670",97.3,$360,2.6,$19,0.1
Kansas,"$499,486","$55,102",11,"$27,307",49.6,"$11,540",20.9,"$16,254",29.5
State,"$143,641","$20,002",13.9,"$3,651",18.3,"$6,780",33.9,"$9,571",47.8
"Local, total","$355,845","$35,099",9.9,"$23,655",67.4,"$4,760",13.6,"$6,684",19
Counties,"$57,719","$15,785",27.3,"$6,841",43.3,"$2,890",18.3,"$6,054",38.4
Municipalities,"$73,867","$19,314",26.1,"$16,815",87.1,"$1,870",9.7,$630,3.3
Kentucky,"$609,249","$64,472",10.6,"$29,701",46.1,"$18,093",28.1,"$16,678",25.9
State,"$243,396","$32,232",13.2,"$7,503",23.3,"$15,165",47,"$9,564",29.7
"Local, total","$365,853","$32,240",8.8,"$22,198",68.9,"$2,928",9.1,"$7,114",22.1
Counties,"$47,453","$15,871",33.4,"$7,155",45.1,"$2,534",16,"$6,181",38.9
Municipalities,"$60,440","$16,369",27.1,"$15,043",91.9,$394,2.4,$933,5.7
Louisiana,"$729,118","$98,962",13.6,"$42,301",42.7,"$20,138",20.3,"$36,523",36.9
State,"$270,451","$33,674",12.5,"$4,839",14.4,"$6,949",20.6,"$21,886",65
"Local, total","$458,667","$65,288",14.2,"$37,462",57.4,"$13,189",20.2,"$14,637",22.4
Parishes,"$107,446","$30,479",28.4,"$14,426",47.3,"$8,773",28.8,"$7,279",23.9
Municipalities,"$93,965","$34,810",37,"$23,036",66.2,"$4,416",12.7,"$7,358",21.1
Maine,"$204,898","$20,390",10,"$10,509",51.5,"$3,370",16.5,"$6,511",31.9
State,"$71,028","$10,133",14.3,"$2,305",22.7,"$2,780",27.4,"$5,048",49.8
"Local, total","$133,870","$10,257",7.7,"$8,205",80,$589,5.7,"$1,463",14.3
Counties,"$4,423","$3,573",80.8,"$1,599",44.8,$512,14.3,"$1,462",40.9
Municipalities,"$79,623","$6,684",8.4,"$6,606",98.8,$78,1.2,$1,0
Maryland,"$1,056,696","$153,139",14.5,"$75,227",49.1,"$25,709",16.8,"$52,203",34.1
State,"$349,498","$66,615",19.1,"$11,457",17.2,"$13,536",20.3,"$41,622",62.5
"Local, total","$707,198","$86,524",12.2,"$63,769",73.7,"$12,173",14.1,"$10,581",12.2
Counties,"$578,040","$60,097",10.4,"$40,631",67.6,"$8,884",14.8,"$10,581",17.6
Municipalities,"$124,072","$26,427",21.3,"$23,138",87.6,"$3,289",12.4,$0,0
Massachusetts,"$1,222,287","$184,768",15.1,"$107,244",58,"$37,112",20.1,"$40,413",21.9
State,"$375,928","$93,886",25,"$28,789",30.7,"$35,803",38.1,"$29,294",31.2
"Local, total","$846,359","$90,882",10.7,"$78,455",86.3,"$1,309",1.4,"$11,119",12.2
Counties,"$8,817","$6,257",71,$6,0.1,$53,0.8,"$6,199",99.1
Municipalities,"$707,625","$84,625",12,"$78,449",92.7,"$1,256",1.5,"$4,920",5.8
Michigan,"$1,823,077","$242,584",13.3,"$105,387",43.4,"$47,162",19.4,"$90,034",37.1
State,"$535,039","$95,472",17.8,"$14,929",15.6,"$9,703",10.2,"$70,840",74.2
"Local, total","$1,288,038","$147,112",11.4,"$90,458",61.5,"$37,460",25.5,"$19,194",13
Counties,"$170,970","$68,223",39.9,"$19,346",28.4,"$30,093",44.1,"$18,783",27.5
Municipalities,"$332,854","$78,889",23.7,"$71,112",90.1,"$7,366",9.3,$411,0.5
Minnesota,"$977,995","$104,697",10.7,"$47,111",45,"$26,213",25,"$31,373",30
State,"$303,056","$29,625",9.8,"$4,179",14.1,"$11,755",39.7,"$13,692",46.2
"Local, total","$674,938","$75,072",11.1,"$42,932",57.2,"$14,459",19.3,"$17,681",23.6
Counties,"$146,695","$43,730",29.8,"$12,877",29.4,"$13,172",30.1,"$17,681",40.4
Municipalities,"$135,196","$31,342",23.2,"$30,055",95.9,"$1,287",4.1,$0,0
Mississippi,"$434,621","$40,332",9.3,"$21,222",52.6,"$7,707",19.1,"$11,402",28.3
State,"$154,268","$15,051",9.8,"$3,226",21.4,"$3,154",21,"$8,671",57.6
"Local, total","$280,353","$25,281",9,"$17,996",71.2,"$4,554",18,"$2,731",10.8
Counties,"$62,529","$11,591",18.5,"$5,490",47.4,"$3,455",29.8,"$2,646",22.8
Municipalities,"$54,320","$13,690",25.2,"$12,506",91.4,"$1,099",8,$85,0.6
Missouri,"$852,946","$111,539",13.1,"$56,957",51.1,"$22,742",20.4,"$31,840",28.5
State,"$251,244","$44,020",17.5,"$6,630",15.1,"$12,488",28.4,"$24,903",56.6
"Local, total","$601,701","$67,519",11.2,"$50,328",74.5,"$10,254",15.2,"$6,937",10.3
Counties,"$55,076","$22,245",40.4,"$11,114",50,"$6,359",28.6,"$4,772",21.5
Municipalities,"$141,574","$45,274",32,"$39,214",86.6,"$3,895",8.6,"$2,165",4.8
Montana,"$142,480","$13,846",9.7,"$6,640",48,"$3,280",23.7,"$3,926",28.4
State,"$55,566","$4,735",8.5,"$1,273",26.9,$974,20.6,"$2,489",52.6
"Local, total","$86,914","$9,111",10.5,"$5,367",58.9,"$2,306",25.3,"$1,437",15.8
Counties,"$14,775","$5,819",39.4,"$2,580",44.3,"$1,855",31.9,"$1,384",23.8
Municipalities,"$11,931","$3,292",27.6,"$2,787",84.7,$451,13.7,$54,1.6
Nebraska,"$320,562","$30,058",9.4,"$14,925",49.7,"$6,013",20,"$9,120",30.3
State,"$91,670","$11,326",12.4,"$2,278",20.1,"$2,729",24.1,"$6,318",55.8
"Local, total","$228,891","$18,732",8.2,"$12,647",67.5,"$3,284",17.5,"$2,801",15
Counties,"$31,897","$9,649",30.2,"$3,956",41,"$2,892",30,"$2,801",29
Municipalities,"$38,414","$9,083",23.6,"$8,691",95.7,$392,4.3,$0,0
Nevada,"$347,612","$70,658",20.3,"$32,592",46.1,"$14,541",20.6,"$23,525",33.3
State,"$86,564","$19,520",22.6,"$4,003",20.5,"$3,183",16.3,"$12,334",63.2
"Local, total","$261,048","$51,138",19.6,"$28,589",55.9,"$11,358",22.2,"$11,191",21.9
Counties,"$97,478","$38,034",39,"$20,607",54.2,"$8,715",22.9,"$8,712",22.9
Municipalities,"$43,952","$13,103",29.8,"$7,982",60.9,"$2,643",20.2,"$2,478",18.9
New Hampshire,"$197,375","$23,544",11.9,"$13,021",55.3,"$4,205",17.9,"$6,318",26.8
State,"$65,040","$9,702",14.9,"$1,764",18.2,"$3,237",33.4,"$4,702",48.5
"Local, total","$132,336","$13,842",10.5,"$11,257",81.3,$968,7,"$1,617",11.7
Counties,"$9,522","$3,125",32.8,$754,24.1,$755,24.2,"$1,617",51.7
Municipalities,"$53,546","$10,716",20,"$10,503",98,$214,2,$0,0
New Jersey,"$2,009,235","$345,068",17.2,"$177,466",51.4,"$93,775",27.2,"$73,827",21.4
State,"$633,761","$128,233",20.2,"$22,246",17.3,"$61,766",48.2,"$44,222",34.5
"Local, total","$1,375,474","$216,835",15.8,"$155,220",71.6,"$32,009",14.8,"$29,605",13.7
Counties,"$226,268","$62,061",27.4,"$11,153",18,"$21,326",34.4,"$29,582",47.7
Municipalities,"$420,089","$154,773",36.8,"$144,067",93.1,"$10,683",6.9,$23,0
New Mexico,"$325,435","$44,133",13.6,"$17,611",39.9,"$10,618",24.1,"$15,904",36
State,"$131,661","$23,721",18,"$2,286",9.6,"$9,531",40.2,"$11,903",50.2
"Local, total","$193,774","$20,412",10.5,"$15,325",75.1,"$1,087",5.3,"$4,000",19.6
Counties,"$19,598","$6,853",35,"$4,210",61.4,$247,3.6,"$2,396",35
Municipalities,"$46,960","$13,559",28.9,"$11,115",82,$840,6.2,"$1,604",11.8
New York,"$5,117,177","$979,575",19.1,"$532,407",54.4,"$162,792",16.6,"$284,376",29
State,"$1,070,548","$287,642",26.9,"$32,949",11.5,"$104,813",36.4,"$149,880",52.1
"Local, total","$4,046,629","$691,932",17.1,"$499,458",72.2,"$57,979",8.4,"$134,496",19.4
Counties,"$428,821","$129,887",30.3,"$69,449",53.5,"$18,593",14.3,"$41,845",32.2
Municipalities,"$2,394,061","$562,045",23.5,"$430,009",76.5,"$39,385",7,"$92,651",16.5
North Carolina,"$1,399,418","$159,466",11.4,"$71,546",44.9,"$23,815",14.9,"$64,105",40.2
State,"$431,425","$87,285",20.2,"$12,274",14.1,"$21,179",24.3,"$53,833",61.7
"Local, total","$967,993","$72,181",7.5,"$59,272",82.1,"$2,637",3.7,"$10,272",14.2
Counties,"$795,254","$31,611",4,"$19,165",60.6,"$2,178",6.9,"$10,267",32.5
Municipalities,"$141,475","$40,570",28.7,"$40,107",98.9,$459,1.1,$5,0
North Dakota,"$110,685","$8,583",7.8,"$4,070",47.4,"$2,451",28.6,"$2,062",24
State,"$46,489","$3,833",8.2,$650,17,"$1,671",43.6,"$1,512",39.4
"Local, total","$64,196","$4,750",7.4,"$3,420",72,$780,16.4,$550,11.6
Counties,"$8,825","$2,418",27.4,"$1,211",50.1,$660,27.3,$547,22.6
Municipalities,"$9,898","$2,331",23.6,"$2,209",94.8,$119,5.1,$3,0.1
Ohio,"$1,973,441","$271,301",13.7,"$124,406",45.9,"$63,512",23.4,"$83,384",30.7
State,"$472,080","$83,239",17.6,"$10,312",12.4,"$11,946",14.4,"$60,980",73.3
"Local, total","$1,501,361","$188,063",12.5,"$114,093",60.7,"$51,566",27.4,"$22,404",11.9
Counties,"$283,942","$81,432",28.7,"$23,389",28.7,"$37,302",45.8,"$20,742",25.5
Municipalities,"$329,299","$106,630",32.4,"$90,705",85.1,"$14,264",13.4,"$1,662",1.6
Oklahoma,"$541,771","$62,497",11.5,"$30,325",48.5,"$13,180",21.1,"$18,992",30.4
State,"$198,391","$32,470",16.4,"$5,907",18.2,"$9,721",29.9,"$16,843",51.9
"Local, total","$343,380","$30,027",8.7,"$24,418",81.3,"$3,459",11.5,"$2,149",7.2
Counties,"$40,130","$7,979",19.9,"$4,089",51.2,"$1,847",23.1,"$2,043",25.6
Municipalities,"$88,223","$22,048",25,"$20,329",92.2,"$1,613",7.3,$106,0.5
Oregon,"$606,538","$83,317",13.7,"$36,072",43.3,"$16,839",20.2,"$30,406",36.5
State,"$183,869","$33,228",18.1,"$5,730",17.2,"$10,751",32.4,"$16,747",50.4
"Local, total","$422,669","$50,089",11.9,"$30,342",60.6,"$6,088",12.2,"$13,659",27.3
Counties,"$74,725","$28,254",37.8,"$9,638",34.1,"$4,957",17.5,"$13,659",48.3
Municipalities,"$77,644","$21,835",28.1,"$20,704",94.8,"$1,131",5.2,$0,0
Pennsylvania,"$1,938,170","$275,157",14.2,"$126,412",45.9,"$56,361",20.5,"$92,383",33.6
State,"$567,937","$95,436",16.8,"$24,873",26.1,"$14,848",15.6,"$55,715",58.4
"Local, total","$1,370,233","$179,721",13.1,"$101,539",56.5,"$41,513",23.1,"$36,669",20.4
Counties,"$154,835","$63,318",40.9,"$7,292",11.5,"$28,434",44.9,"$27,592",43.6
Municipalities,"$263,438","$116,403",44.2,"$94,247",81,"$13,080",11.2,"$9,077",7.8
Rhode Island,"$201,474","$27,096",13.4,"$13,987",51.6,"$5,157",19,"$7,952",29.3
State,"$78,135","$14,582",18.7,"$1,799",12.3,"$4,830",33.1,"$7,952",54.5
"Local, total","$123,340","$12,514",10.1,"$12,188",97.4,$326,2.6,$0,0
Municipalities,"$114,228","$12,514",11,"$12,188",97.4,$326,2.6,$0,0

South Carolina,"$659,730","$74,162",11.2,"$36,718",49.5,"$11,170",15.1,"$26,273",35.4
State,"$226,295","$31,451",13.9,"$8,572",27.3,"$2,804",8.9,"$20,075",63.8
"Local, total","$433,435","$42,711",9.9,"$28,147",65.9,"$8,366",19.6,"$6,198",14.5
Counties,"$69,557","$26,673",38.3,"$13,232",49.6,"$7,327",27.5,"$6,114",22.9
Municipalities,"$51,276","$16,038",31.3,"$14,915",93,"$1,039",6.5,$84,0.5
South Dakota,"$110,482","$10,663",9.7,"$5,054",47.4,"$2,512",23.6,"$3,097",29
State,"$37,844","$4,569",12.1,$845,18.5,"$1,722",37.7,"$2,003",43.8
"Local, total","$72,638","$6,094",8.4,"$4,209",69.1,$791,13,"$1,094",18
Counties,"$8,337","$3,149",37.8,"$1,375",43.7,$708,22.5,"$1,065",33.8
Municipalities,"$15,696","$2,945",18.8,"$2,834",96.2,$82,2.8,$29,1
Tennessee,"$840,162","$103,551",12.3,"$52,965",51.1,"$19,755",19.1,"$30,832",29.8
State,"$240,249","$30,221",12.6,"$6,142",20.3,"$8,256",27.3,"$15,823",52.4
"Local, total","$599,913","$73,330",12.2,"$46,823",63.9,"$11,499",15.7,"$15,008",20.5
Counties,"$312,220","$33,436",10.7,"$12,247",36.6,"$8,028",24,"$13,161",39.4
Municipalities,"$265,186","$39,894",15,"$34,576",86.7,"$3,471",8.7,"$1,847",4.6
Texas,"$3,575,397","$465,384",13,"$205,950",44.3,"$80,655",17.3,"$178,779",38.4
State,"$869,329","$142,827",16.4,"$12,357",8.7,"$20,980",14.7,"$109,491",76.7
"Local, total","$2,706,069","$322,557",11.9,"$193,593",60,"$59,676",18.5,"$69,288",21.5
Counties,"$344,173","$157,450",45.7,"$40,985",26,"$47,178",30,"$69,288",44
Municipalities,"$547,768","$165,106",30.1,"$152,608",92.4,"$12,498",7.6,$0,0
Utah,"$369,354","$44,831",12.1,"$19,754",44.1,"$9,671",21.6,"$15,405",34.4
State,"$155,051","$18,163",11.7,"$3,090",17,"$5,718",31.5,"$9,354",51.5
"Local, total","$214,304","$26,668",12.4,"$16,664",62.5,"$3,953",14.8,"$6,051",22.7
Counties,"$33,552","$14,478",43.1,"$5,859",40.5,"$2,569",17.7,"$6,049",41.8
Municipalities,"$44,444","$12,191",27.4,"$10,805",88.6,"$1,384",11.4,$2,0
Vermont,"$111,943","$10,090",9,"$4,539",45,"$2,327",23.1,"$3,224",32
State,"$46,700","$7,340",15.7,"$1,913",26.1,"$2,203",30,"$3,224",43.9
"Local, total","$65,243","$2,751",4.2,"$2,626",95.5,$124,4.5,$0,0
Counties,$200,$153,76.5,$62,40.3,$91,59.7,$0,0
Municipalities,"$12,120","$2,598",21.4,"$2,565",98.7,$33,1.3,$0,0
Virginia,"$1,261,072","$159,167",12.6,"$69,544",43.7,"$28,284",17.8,"$61,339",38.5
State,"$396,945","$63,880",16.1,"$10,063",15.8,"$14,080",22,"$39,738",62.2
"Local, total","$864,126","$95,287",11,"$59,481",62.4,"$14,204",14.9,"$21,601",22.7
Counties,"$503,189","$50,165",10,"$29,545",58.9,"$9,090",18.1,"$11,530",23
Municipalities,"$314,858","$45,122",14.3,"$29,936",66.3,"$5,114",11.3,"$10,071",22.3
Washington,"$1,211,251","$141,296",11.7,"$64,482",45.6,"$32,561",23,"$44,252",31.3
State,"$410,590","$45,791",11.2,"$9,209",20.1,"$9,442",20.6,"$27,140",59.3
"Local, total","$800,662","$95,506",11.9,"$55,273",57.9,"$23,120",24.2,"$17,113",17.9
Counties,"$140,341","$52,958",37.7,"$18,457",34.9,"$18,345",34.6,"$16,156",30.5
Municipalities,"$169,180","$42,547",25.1,"$36,816",86.5,"$4,775",11.2,$957,2.2
West Virginia,"$254,426","$16,455",6.5,"$9,200",55.9,"$5,874",35.7,"$1,381",8.4
State,"$97,392","$7,609",7.8,"$2,969",39,"$3,735",49.1,$905,11.9
"Local, total","$157,034","$8,846",5.6,"$6,231",70.4,"$2,139",24.2,$475,5.4
Counties,"$15,204","$4,789",31.5,"$2,368",49.5,"$1,946",40.6,$475,9.9
Municipalities,"$19,778","$4,056",20.5,"$3,862",95.2,$193,4.8,$1,0
Wisconsin,"$980,530","$123,889",12.6,"$60,728",49,"$23,193",18.7,"$39,968",32.3
State,"$261,095","$43,415",16.6,"$3,495",8,"$10,821",24.9,"$29,099",67
"Local, total","$719,434","$80,474",11.2,"$57,234",71.1,"$12,372",15.4,"$10,869",13.5
Counties,"$140,961","$38,730",27.5,"$17,291",44.6,"$10,570",27.3,"$10,869",28.1
Municipalities,"$142,314","$41,744",29.3,"$39,943",95.7,"$1,802",4.3,$0,0
Wyoming,"$114,180","$11,531",10.1,"$5,477",47.5,"$2,482",21.5,"$3,571",31
State,"$33,174","$4,754",14.3,$849,17.9,"$1,396",29.4,"$2,509",52.8
"Local, total","$81,006","$6,777",8.4,"$4,629",68.3,"$1,086",16,"$1,062",15.7
Counties,"$15,159","$3,529",23.3,"$1,639",46.4,$828,23.5,"$1,062",30.1
Municipalities,"$10,808","$3,248",30.1,"$2,989",92,$258,8,$0,0

Notes: March payroll data may not sum to total because of rounding.
Local government data are estimates subject to variability.
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts,"
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the"
" ""Counties"" and ""Municipalities"" lines."
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not
available.
