Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
filename:  cjee0215.csv,,,,,,,,,,,,,,,,,,
"table #:  15 Justice system expenditure of 49 large city governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,


"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,
(Thousands of dollars.),,,,,,,,,,,,,,,,,,


,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure
City,Fiscal year ends in month of--,Total  ,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total ,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total ,Total,Direct current,Total capital outlay,Construction only,Intergovernmental expenditure total,City
"Pittsburgh, PA",12,"$74,635 ","$74,635 ","$74,530 ",$105 ,$0 ,"$71,015 ","$71,015 ","$70,927 ",$88 ,$0 ,"$3,620 ","$3,620 ","$3,603 ",$17 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Pittsburgh, PA"
"Portland, OR",6,"$130,644 ","$130,644 ","$130,279 ",$365 ,$0 ,"$125,908 ","$125,908 ","$125,543 ",$365 ,$0 ,"$4,736 ","$4,736 ","$4,736 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Portland, OR"
"St.Louis, MO",4,"$213,292 ","$213,292 ","$209,344 ","$3,948 ",$0 ,"$137,809 ","$137,809 ","$133,861 ","$3,948 ",$0 ,"$39,661 ","$39,661 ","$39,661 ",$0 ,$0 ,"$35,822 ","$35,822 ","$35,822 ",$0 ,$0 ,$0 ,"St.Louis, MO"
"San Antonio, TX",9,"$189,933 ","$189,881 ","$184,679 ","$5,202 ",$52 ,"$185,528 ","$185,528 ","$180,434 ","$5,094 ",$0 ,"$4,304 ","$4,304 ","$4,245 ",$59 ,$0 ,$101 ,$49 ,$0 ,$49 ,$0 ,$52 ,"San Antonio, TX"
"San Diego, CA",6,"$300,532 ","$292,073 ","$290,929 ","$1,144 ","$8,459 ","$264,679 ","$264,679 ","$264,567 ",$112 ,$0 ,"$27,394 ","$27,394 ","$26,362 ","$1,032 ",$0 ,"$8,459 ",$0 ,$0 ,$0 ,$0 ,"$8,459 ","San Diego, CA"

"San Francisco, CA",6,"$680,624 ","$657,723 ","$627,676 ","$30,047 ","$22,901 ","$372,582 ","$372,582 ","$364,831 ","$7,751 ",$0 ,"$182,271 ","$159,370 ","$158,858 ",$512 ,"$22,901 ","$125,771 ","$125,771 ","$103,987 ","$21,784 ","$21,569 ",$0 ,"San Francisco, CA"
"San Jose, CA",6,"$196,215 ","$193,683 ","$186,896 ","$6,787 ","$2,532 ","$186,687 ","$184,155 ","$177,368 ","$6,787 ","$2,532 ","$9,528 ","$9,528 ","$9,528 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"San Jose, CA"
"Seattle, WA",12,"$204,567 ","$186,501 ","$182,197 ","$4,304 ","$18,066 ","$156,683 ","$156,683 ","$152,930 ","$3,753 ",$0 ,"$32,892 ","$27,422 ","$26,967 ",$455 ,"$5,470 ","$14,992 ","$2,396 ","$2,300 ",$96 ,$0 ,"$12,596 ","Seattle, WA"
"Toledo, OH",12,"$92,350 ","$83,480 ","$83,480 ",$0 ,"$8,870 ","$71,599 ","$71,599 ","$71,599 ",$0 ,$0 ,"$10,527 ","$10,527 ","$10,527 ",$0 ,$0 ,"$10,224 ","$1,354 ","$1,354 ",$0 ,$0 ,"$8,870 ","Toledo, OH"
"Tucson, AZ",6,"$112,397 ","$112,397 ","$112,074 ",$323 ,$0 ,"$100,998 ","$100,998 ","$100,675 ",$323 ,$0 ,"$11,399 ","$11,399 ","$11,399 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Tucson, AZ"
"Tulsa, OK",6,"$95,201 ","$95,201 ","$85,997 ","$9,204 ",$0 ,"$90,167 ","$90,167 ","$81,026 ","$9,141 ",$0 ,"$5,034 ","$5,034 ","$4,971 ",$63 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Tulsa, OK"
"Washington, DC",9,"$617,112 ","$617,112 ","$598,683 ","$18,429 ",$0 ,"$384,690 ","$384,690 ","$372,265 ","$12,425 ",$0 ,"$58,604 ","$58,604 ","$58,604 ",$0 ,$0 ,"$173,818 ","$173,818 ","$167,814 ","$6,004 ","$6,004 ",$0 ,"Washington, DC"

"Notes:  Fiscal years end in months between July 2001 and June 2002, except for Washington DC, whose fiscal year ended on September 30, 2002.  Jurisdictions without data did not report for 2002.",,,,,,,,,,,,,,,,,,,,,,,
