Bureau of Justice Statistics,,,,,,,,,,,,,
State,457,254,252,252,55.1,,"$1,457",262,195,205,44.9,,$657
"Local, total","1,205",798,738,772,64.1,,"$3,950",487,414,433,35.9,,"$1,743"
Boroughs,83,58,58,58,69.9,,$372,25,25,25,30.1,,$107
Municipalities,"1,122",740,680,714,63.6,,"$3,577",462,389,408,36.4,,"$1,635"
Arizona,"17,187","12,709","12,647","12,670",73.7,,"$53,711","4,657","4,319","4,517",26.3,,"$15,031"
State,"1,878","1,012","1,012","1,012",53.9,,"$4,180",868,863,866,46.1,,"$2,781"
"Local, total","15,309","11,697","11,635","11,658",76.2,,"$49,531","3,789","3,456","3,651",23.8,,"$12,250"
Counties,"4,227","3,758","3,722","3,737",88.4,,"$12,443",504,474,490,11.6,,"$1,309"
Municipalities,"11,082","7,939","7,913","7,921",71.5,,"$37,088","3,285","2,982","3,161",28.5,,"$10,941"
Arkansas,"7,648","6,023","5,594","5,725",74.9,,"$15,397","2,115","1,845","1,923",25.1,,"$4,009"
State,"1,152",551,551,551,47.8,,"$1,767",601,599,601,52.2,,"$1,598"
"Local, total","6,496","5,472","5,043","5,174",79.6,,"$13,630","1,514","1,246","1,322",20.4,,"$2,411"
Counties,"1,741","1,570","1,385","1,418",81.4,,"$3,093",378,299,323,18.6,,$528
Municipalities,"4,755","3,902","3,658","3,756",79,,"$10,536","1,136",947,999,21,,"$1,883"
California,"100,248","68,533","66,218","66,873",66.7,,"$408,157","37,038","30,454","33,375",33.3,,"$130,435"
State,"13,389","8,160","7,585","7,694",57.5,,"$44,386","6,472","5,337","5,695",42.5,,"$20,362"
"Local, total","86,859","60,373","58,633","59,179",68.1,,"$363,771","30,566","25,117","27,680",31.9,,"$110,073"
Counties,"31,187","21,651","20,393","20,767",66.6,,"$117,601","10,670","10,198","10,420",33.4,,"$44,130"
Municipalities,"55,672","38,722","38,240","38,412",69,,"$246,170","19,896","14,919","17,260",31,,"$65,942"
Colorado,"12,726","9,357","9,234","9,274",72.9,,"$44,795","3,681","3,293","3,452",27.1,,"$11,377"
State,"1,114",726,725,725,65.1,,"$4,323",395,382,389,34.9,,"$1,510"
"Local, total","11,612","8,631","8,509","8,549",73.6,,"$40,472","3,286","2,911","3,063",26.4,,"$9,867"
Counties,"3,267","2,404","2,369","2,381",72.9,,"$9,874",964,845,886,27.1,,"$2,694"
Municipalities,"8,345","6,227","6,140","6,168",73.9,,"$30,598","2,322","2,066","2,177",26.1,,"$7,173"
Connecticut,"10,332","8,354","8,012","8,112",78.5,,"$41,065","2,843","1,922","2,220",21.5,,"$7,060"
State,"1,864","1,301","1,301","1,301",69.8,,"$6,492",580,534,563,30.2,,"$2,119"
"Local, total","8,468","7,053","6,711","6,811",80.4,,"$34,573","2,263","1,388","1,657",19.6,,"$4,941"
Municipalities,"8,468","7,053","6,711","6,811",80.4,,"$34,573","2,263","1,388","1,657",19.6,,"$4,941"
Delaware,"2,491","1,766","1,753","1,758",70.6,,"$7,359",849,618,733,29.4,,"$1,881"
State,914,598,598,598,65.4,,"$2,682",317,315,316,34.6,,$885
"Local, total","1,577","1,168","1,155","1,160",73.6,,"$4,677",532,303,417,26.4,,$996
Counties,613,418,418,418,68.2,,"$1,677",285,103,195,31.8,,$474
Municipalities,964,750,737,742,77,,"$3,000",247,200,222,23,,$522
District of Columbia,"4,317","3,561","3,560","3,561",82.5,,"$18,389",828,683,756,17.5,,"$2,863"
"Local, total","4,317","3,561","3,560","3,561",82.5,,"$18,389",828,683,756,17.5,,"$2,863"
Municipality,"4,317","3,561","3,560","3,561",82.5,,"$18,389",828,683,756,17.5,,"$2,863"
Florida,"59,231","38,569","37,996","38,229",64.5,,"$164,373","24,095","18,990","21,002",35.5,,"$61,239"
State,"4,122","2,325","2,325","2,325",56.4,,"$8,464","1,809","1,785","1,797",43.6,,"$6,346"
"Local, total","55,109","36,244","35,671","35,904",65.2,,"$155,910","22,286","17,205","19,205",34.8,,"$54,893"
Counties,"29,338","17,573","17,388","17,465",59.5,,"$74,998","13,744","10,839","11,873",40.5,,"$35,305"
Municipalities,"25,771","18,671","18,283","18,439",71.5,,"$80,911","8,542","6,366","7,332",28.5,,"$19,588"
Georgia,"24,269","19,588","18,707","19,031",78.4,,"$58,959","6,076","4,776","5,238",21.6,,"$12,589"
State,"2,351","1,238","1,238","1,238",52.7,,"$4,251","1,121","1,104","1,113",47.3,,"$3,239"
"Local, total","21,918","18,350","17,469","17,793",81.2,,"$54,708","4,955","3,672","4,125",18.8,,"$9,351"
Counties,"10,141","8,093","7,863","7,957",78.5,,"$25,408","2,565","1,960","2,184",21.5,,"$5,237"
Municipalities,"11,777","10,257","9,606","9,836",83.5,,"$29,301","2,390","1,712","1,941",16.5,,"$4,114"
Hawaii,"3,644","2,808","2,808","2,808",77.1,,"$12,282",982,795,836,22.9,,"$2,551"
State,0,0,0,0,0,,$0,0,0,0,0,,$0
"Local, total","3,644","2,808","2,808","2,808",77.1,,"$12,282",982,795,836,22.9,,"$2,551"
Counties,"1,131",839,839,839,74.2,,"$3,586",345,274,292,25.8,,$836
Municipalities,"2,513","1,969","1,969","1,969",78.4,,"$8,696",637,521,544,21.6,,"$1,715"
Idaho,"3,769","2,809","2,664","2,724",72.3,,"$9,224","1,179",979,"1,045",27.7,,"$2,627"
State,492,278,278,278,56.5,,"$1,046",225,202,214,43.5,,$685
"Local, total","3,277","2,531","2,386","2,446",74.6,,"$8,178",954,777,831,25.4,,"$1,942"
Counties,"1,701","1,232","1,130","1,178",69.3,,"$3,466",592,495,523,30.7,,"$1,156"
Municipalities,"1,576","1,299","1,256","1,268",80.5,,"$4,712",362,282,308,19.5,,$785
Illinois,"44,961","36,381","34,053","34,801",77.4,,"$152,304","13,150","8,366","10,160",22.6,,"$32,065"
State,"4,229","2,348","2,345","2,347",55.5,,"$11,589","1,916","1,866","1,882",44.5,,"$7,390"
"Local, total","40,732","34,033","31,708","32,454",79.7,,"$140,714","11,234","6,500","8,278",20.3,,"$24,675"
Counties,"5,249","4,085","3,906","3,975",75.7,,"$15,432","1,470","1,143","1,274",24.3,,"$3,459"
Municipalities,"35,483","29,948","27,802","28,479",80.3,,"$125,282","9,764","5,357","7,004",19.7,,"$21,216"
Indiana,"15,924","12,042","11,414","11,580",72.7,,"$42,271","5,381","3,926","4,344",27.3,,"$9,972"
State,"2,031","1,265","1,265","1,265",62.3,,"$5,068",766,765,766,37.7,,"$2,022"
"Local, total","13,893","10,777","10,149","10,315",74.2,,"$37,203","4,615","3,161","3,578",25.8,,"$7,950"
Counties,"3,686","2,453","2,369","2,393",64.9,,"$7,746","1,511","1,185","1,293",35.1,,"$2,808"
Municipalities,"10,207","8,324","7,780","7,922",77.6,,"$29,457","3,104","1,976","2,285",22.4,,"$5,142"
Iowa,"7,178","5,683","5,291","5,376",74.9,,"$19,100","2,147","1,647","1,802",25.1,,"$4,863"
State,946,650,650,650,68.7,,"$2,738",296,294,296,31.3,,"$1,089"
"Local, total","6,232","5,033","4,641","4,726",75.8,,"$16,362","1,851","1,353","1,506",24.2,,"$3,774"
Counties,"2,152","1,465","1,415","1,427",66.3,,"$4,742",831,673,725,33.7,,"$1,723"
Municipalities,"4,080","3,568","3,226","3,299",80.9,,"$11,620","1,020",680,781,19.1,,"$2,050"
Kansas,"8,582","6,460","6,037","6,157",71.7,,"$21,329","2,759","2,251","2,425",28.3,,"$5,978"
State,"1,126",613,613,613,54.4,,"$2,258",520,508,513,45.6,,"$1,394"
"Local, total","7,456","5,847","5,424","5,544",74.4,,"$19,071","2,239","1,743","1,912",25.6,,"$4,584"
Counties,"2,439","1,792","1,666","1,703",69.8,,"$5,248",837,692,736,30.2,,"$1,593"
Municipalities,"5,017","4,055","3,758","3,841",76.6,,"$13,823","1,402","1,051","1,176",23.4,,"$2,992"
Kentucky,"9,595","7,051","6,799","6,910",72,,"$22,565","3,036","2,441","2,685",28,,"$7,137"
State,"2,244","1,026","1,024","1,026",45.7,,"$3,779","1,225","1,204","1,218",54.3,,"$3,724"
"Local, total","7,351","6,025","5,775","5,884",80,,"$18,786","1,811","1,237","1,467",20,,"$3,412"
Counties,"2,423","1,965","1,859","1,900",78.4,,"$5,925",672,416,523,21.6,,"$1,230"
Municipalities,"4,928","4,060","3,916","3,984",80.8,,"$12,860","1,139",821,944,19.2,,"$2,183"
Louisiana,"16,050","12,465","11,839","12,072",75.2,,"$34,040","4,846","3,559","3,978",24.8,,"$8,262"
State,"1,652","1,011","1,011","1,011",61.2,,"$3,716",643,640,641,38.8,,"$1,124"
"Local, total","14,398","11,454","10,828","11,061",76.8,,"$30,324","4,203","2,919","3,337",23.2,,"$7,138"
Parishes,"5,689","4,155","3,957","4,032",70.9,,"$10,518","1,987","1,504","1,657",29.1,,"$3,908"
Municipalities,"8,709","7,299","6,871","7,029",80.7,,"$19,806","2,216","1,415","1,680",19.3,,"$3,230"
Maine,"3,220","2,666","2,223","2,396",74.4,,"$8,478","1,089",699,824,25.6,,"$2,031"
State,587,378,372,376,64.1,,"$1,728",212,209,211,35.9,,$576
"Local, total","2,633","2,288","1,851","2,020",76.7,,"$6,750",877,490,613,23.3,,"$1,455"
Counties,545,462,358,408,74.9,,"$1,291",160,119,137,25.1,,$308
Municipalities,"2,088","1,826","1,493","1,612",77.2,,"$5,458",717,371,476,22.8,,"$1,147"
Maryland,"17,269","12,765","12,493","12,591",72.9,,"$58,381","5,346","4,069","4,678",27.1,,"$16,846"
State,"2,410","1,600","1,600","1,600",66.4,,"$8,179",818,789,810,33.6,,"$3,278"
"Local, total","14,859","11,165","10,893","10,991",74,,"$50,201","4,528","3,280","3,868",26,,"$13,568"
Counties,"8,979","6,401","6,199","6,279",69.9,,"$30,778","3,088","2,359","2,700",30.1,,"$9,854"
Municipalities,"5,880","4,764","4,694","4,712",80.1,,"$19,424","1,440",921,"1,168",19.9,,"$3,715"
Massachusetts,"23,906","21,346","19,879","20,238",84.7,,"$96,599","4,941","3,105","3,668",15.3,,"$10,644"
State,"5,892","5,332","5,308","5,314",90.2,,"$26,440",582,577,578,9.8,,"$2,349"
"Local, total","18,014","16,014","14,571","14,924",82.8,,"$70,160","4,359","2,528","3,090",17.2,,"$8,295"
Counties,2,2,2,2,100,,$6,0,0,0,0,,$0
Municipalities,"18,012","16,012","14,569","14,922",82.8,,"$70,154","4,359","2,528","3,090",17.2,,"$8,295"
Michigan,"26,548","21,394","20,404","20,745",78.1,,"$88,654","7,272","4,852","5,803",21.9,,"$16,734"
State,"3,506","2,296","2,296","2,296",65.5,,"$10,418","1,273","1,091","1,210",34.5,,"$4,511"
"Local, total","23,042","19,098","18,108","18,449",80.1,,"$78,236","5,999","3,761","4,593",19.9,,"$12,222"
Counties,"5,171","4,139","3,983","4,050",78.3,,"$16,167","1,256","1,042","1,121",21.7,,"$3,179"
Municipalities,"17,871","14,959","14,125","14,399",80.6,,"$62,069","4,743","2,719","3,472",19.4,,"$9,043"
Minnesota,"11,239","8,725","8,129","8,314",74,,"$37,438","3,292","2,597","2,925",26,,"$9,673"
State,960,544,544,544,56.7,,"$2,688",423,399,416,43.3,,"$1,491"
"Local, total","10,279","8,181","7,585","7,770",75.6,,"$34,750","2,869","2,198","2,509",24.4,,"$8,182"
Counties,"3,391","2,463","2,292","2,356",69.5,,"$9,626","1,155",946,"1,035",30.5,,"$3,251"
Municipalities,"6,888","5,718","5,293","5,414",78.6,,"$25,124","1,714","1,252","1,474",21.4,,"$4,931"
Mississippi,"8,769","6,622","5,946","6,191",70.6,,"$16,001","2,960","2,369","2,578",29.4,,"$5,222"
State,"1,199",671,671,671,56,,"$1,965",528,528,528,44,,"$1,261"
"Local, total","7,570","5,951","5,275","5,520",72.9,,"$14,036","2,432","1,841","2,050",27.1,,"$3,961"
Counties,"2,488","1,661","1,545","1,589",63.9,,"$3,881","1,061",798,899,36.1,,"$1,609"
Municipalities,"5,082","4,290","3,730","3,931",77.4,,"$10,154","1,371","1,043","1,151",22.6,,"$2,352"
Missouri,"18,087","13,351","12,688","12,857",71.1,,"$44,019","5,739","4,913","5,230",28.9,,"$12,938"
State,"2,220","1,130","1,130","1,130",50.9,,"$4,079","1,110","1,033","1,090",49.1,,"$2,551"
"Local, total","15,867","12,221","11,558","11,727",73.9,,"$39,941","4,629","3,880","4,140",26.1,,"$10,387"
Counties,"4,245","2,926","2,824","2,853",67.2,,"$8,150","1,515","1,306","1,392",32.8,,"$2,964"
Municipalities,"11,622","9,295","8,734","8,874",76.4,,"$31,791","3,114","2,574","2,748",23.6,,"$7,423"
Montana,"2,276","1,553","1,491","1,514",66.5,,"$4,874",875,681,762,33.5,,"$1,766"
State,421,197,193,195,46.3,,$602,250,209,226,53.7,,$671
"Local, total","1,855","1,356","1,298","1,319",71.1,,"$4,272",625,472,536,28.9,,"$1,095"
Counties,953,629,595,604,63.4,,"$1,898",419,297,349,36.6,,$682
Municipalities,902,727,703,715,79.3,,"$2,375",206,175,187,20.7,,$413
Nebraska,"4,675","3,627","3,439","3,487",74.6,,"$12,028","1,286","1,094","1,188",25.4,,"$2,897"
State,718,492,492,492,68.5,,"$1,691",228,221,226,31.5,,$588
"Local, total","3,957","3,135","2,947","2,995",75.7,,"$10,338","1,058",873,962,24.3,,"$2,309"
Counties,"1,389",985,939,951,68.5,,"$2,973",477,395,438,31.5,,$983
Municipalities,"2,568","2,150","2,008","2,044",79.6,,"$7,365",581,478,524,20.4,,"$1,326"
Nevada,"6,721","4,146","4,114","4,123",61.3,,"$21,935","3,121","2,353","2,598",38.7,,"$10,657"
State,821,422,422,422,51.4,,"$2,338",401,398,399,48.6,,"$1,665"
"Local, total","5,900","3,724","3,692","3,701",62.7,,"$19,597","2,720","1,955","2,199",37.3,,"$8,992"
Counties,"4,205","2,580","2,555","2,562",60.9,,"$13,410","2,045","1,499","1,643",39.1,,"$7,197"
Municipalities,"1,695","1,144","1,137","1,139",67.2,,"$6,187",675,456,556,32.8,,"$1,795"
New Hampshire,"3,492","3,023","2,504","2,684",76.9,,"$10,859","1,036",675,808,23.1,,"$2,162"
State,422,297,297,297,70.4,,"$1,387",133,116,125,29.6,,$377
"Local, total","3,070","2,726","2,207","2,387",77.8,,"$9,472",903,559,683,22.2,,"$1,785"
Counties,227,186,134,160,70.5,,$589,85,60,67,29.5,,$165
Municipalities,"2,843","2,540","2,073","2,227",78.3,,"$8,883",818,499,616,21.7,,"$1,620"
New Jersey,"35,346","26,294","24,985","25,484",72.1,,"$141,416","14,174","7,325","9,862",27.9,,"$36,050"
State,"4,136","1,360","1,342","1,357",32.8,,"$4,479","2,779","2,779","2,779",67.2,,"$17,767"
"Local, total","31,210","24,934","23,643","24,127",77.3,,"$136,937","11,395","4,546","7,083",22.7,,"$18,283"
Counties,"2,618","1,852","1,840","1,841",70.3,,"$8,448",886,750,777,29.7,,"$2,705"
Municipalities,"28,592","23,082","21,803","22,286",77.9,,"$128,489","10,509","3,796","6,306",22.1,,"$15,578"
New Mexico,"5,755","4,125","4,045","4,100",71.2,,"$13,659","1,888","1,434","1,655",28.8,,"$3,952"
State,633,462,462,462,73,,"$1,666",171,171,171,27,,$620
"Local, total","5,122","3,663","3,583","3,638",71,,"$11,993","1,717","1,263","1,484",29,,"$3,331"
Counties,"1,502","1,144","1,098","1,133",75.4,,"$3,376",417,329,369,24.6,,$834
Municipalities,"3,620","2,519","2,485","2,505",69.2,,"$8,617","1,300",934,"1,115",30.8,,"$2,498"
New York,"88,793","80,324","71,270","76,615",86.3,,"$479,764","15,267","9,991","12,178",13.7,,"$52,643"
State,"6,159","4,451","4,451","4,451",72.3,,"$26,862","1,792","1,630","1,708",27.7,,"$6,087"
"Local, total","82,634","75,873","66,819","72,164",87.3,,"$452,903","13,475","8,361","10,470",12.7,,"$46,555"
Counties,"13,085","10,612","10,142","10,304",78.7,,"$60,137","3,419","2,280","2,781",21.3,,"$9,312"
Municipalities,"69,549","65,261","56,677","61,860",88.9,,"$392,766","10,056","6,081","7,689",11.1,,"$37,243"
North Carolina,"23,396","19,297","18,646","18,875",80.7,,"$59,510","5,087","4,272","4,521",19.3,,"$12,036"
State,"3,375","2,372","2,372","2,372",70.3,,"$9,232","1,007",999,"1,003",29.7,,"$3,042"
"Local, total","20,021","16,925","16,274","16,503",82.4,,"$50,278","4,080","3,273","3,518",17.6,,"$8,994"
Counties,"7,161","6,018","5,759","5,868",81.9,,"$16,118","1,468","1,205","1,293",18.1,,"$3,048"
Municipalities,"12,860","10,907","10,515","10,635",82.7,,"$34,160","2,612","2,068","2,225",17.3,,"$5,947"
North Dakota,"1,417","1,145","1,076","1,095",77.3,,"$3,342",343,311,322,22.7,,$728
State,223,130,130,130,58.3,,$421,95,92,93,41.7,,$230
"Local, total","1,194","1,015",946,965,80.8,,"$2,922",248,219,229,19.2,,$498
Counties,489,409,386,393,80.4,,"$1,032",104,89,96,19.6,,$179
Municipalities,705,606,560,572,81.1,,"$1,890",144,130,133,18.9,,$319
Ohio,"33,635","26,955","24,303","25,185",74.9,,"$100,895","10,278","7,421","8,450",25.1,,"$23,511"
State,"2,672","1,437","1,437","1,437",53.8,,"$6,595","1,238","1,224","1,235",46.2,,"$3,717"
"Local, total","30,963","25,518","22,866","23,748",76.7,,"$94,299","9,040","6,197","7,215",23.3,,"$19,794"
Counties,"7,658","5,335","5,106","5,200",67.9,,"$16,445","2,617","2,347","2,458",32.1,,"$6,943"
Municipalities,"23,305","20,183","17,760","18,548",79.6,,"$77,854","6,423","3,850","4,757",20.4,,"$12,851"
Oklahoma,"10,625","7,860","7,524","7,663",72.1,,"$23,621","3,371","2,764","2,962",27.9,,"$6,704"
State,"1,852","1,005","1,005","1,005",54.3,,"$3,630",900,807,847,45.7,,"$2,276"
"Local, total","8,773","6,855","6,519","6,658",75.9,,"$19,990","2,471","1,957","2,115",24.1,,"$4,428"
Counties,"2,030","1,416","1,301","1,348",66.4,,"$2,791",759,633,682,33.6,,"$1,298"
Municipalities,"6,743","5,439","5,218","5,310",78.7,,"$17,199","1,712","1,324","1,433",21.3,,"$3,130"
Oregon,"8,870","6,248","6,057","6,117",69,,"$26,749","3,033","2,621","2,753",31,,"$9,323"
State,"1,677",804,804,804,47.9,,"$2,813",984,843,873,52.1,,"$2,917"
"Local, total","7,193","5,444","5,253","5,313",73.9,,"$23,936","2,049","1,778","1,880",26.1,,"$6,406"
Counties,"2,411","1,731","1,646","1,675",69.5,,"$7,053",795,696,736,30.5,,"$2,585"
Municipalities,"4,782","3,713","3,607","3,638",76.1,,"$16,883","1,254","1,082","1,144",23.9,,"$3,821"
Pennsylvania,"31,736","27,733","24,099","25,680",80.9,,"$107,442","9,079","4,491","6,056",19.1,,"$18,970"
State,"5,640","4,470","4,470","4,470",79.3,,"$19,710","1,170","1,167","1,170",20.7,,"$5,163"
"Local, total","26,096","23,263","19,629","21,210",81.3,,"$87,732","7,909","3,324","4,886",18.7,,"$13,807"
Counties,"2,560","1,564","1,296","1,432",55.9,,"$4,199","1,291","1,026","1,128",44.1,,"$3,093"
Municipalities,"23,536","21,699","18,333","19,778",84,,"$83,533","6,618","2,298","3,758",16,,"$10,714"
Rhode Island,"3,392","2,464","2,457","2,460",72.5,,"$10,996","1,156",782,932,27.5,,"$2,991"
State,301,215,215,215,71.4,,"$1,453",89,84,86,28.6,,$346
"Local, total","3,091","2,249","2,242","2,245",72.6,,"$9,543","1,067",698,846,27.4,,"$2,644"
Municipalities,"3,091","2,249","2,242","2,245",72.6,,"$9,543","1,067",698,846,27.4,,"$2,644"
South Carolina,"13,384","9,810","9,660","9,719",72.6,,"$28,417","4,072","3,415","3,665",27.4,,"$8,301"
State,"3,115","1,386","1,386","1,386",44.5,,"$4,451","1,737","1,725","1,729",55.5,,"$4,120"
"Local, total","10,269","8,424","8,274","8,333",81.1,,"$23,966","2,335","1,690","1,936",18.9,,"$4,181"
Counties,"4,992","4,018","3,949","3,980",79.7,,"$11,023","1,260",838,"1,012",20.3,,"$2,209"
Municipalities,"5,277","4,406","4,325","4,353",82.5,,"$12,942","1,075",852,924,17.5,,"$1,972"
South Dakota,"1,738","1,368","1,236","1,266",72.8,,"$4,000",567,438,472,27.2,,"$1,054"
State,277,178,178,178,64.3,,$614,100,97,99,35.7,,$231
"Local, total","1,461","1,190","1,058","1,088",74.5,,"$3,386",467,341,373,25.5,,$823
Counties,560,405,373,379,67.7,,"$1,026",229,163,181,32.3,,$349
Municipalities,901,785,685,709,78.7,,"$2,360",238,178,192,21.3,,$474
Tennessee,"17,557","13,371","12,935","13,113",74.7,,"$41,682","5,159","3,962","4,444",25.3,,"$11,283"
State,"1,953","1,192","1,192","1,192",61,,"$4,303",764,759,761,39,,"$1,840"
"Local, total","15,604","12,179","11,743","11,921",76.4,,"$37,379","4,395","3,203","3,683",23.6,,"$9,443"
Counties,"4,566","3,331","3,182","3,247",71.1,,"$9,168","1,433","1,230","1,319",28.9,,"$3,079"
Municipalities,"11,038","8,848","8,561","8,674",78.6,,"$28,212","2,962","1,973","2,364",21.4,,"$6,364"
Texas,"60,559","44,787","43,978","44,341",73.2,,"$165,270","18,154","15,348","16,218",26.8,,"$40,679"
State,"3,728","2,049","2,049","2,049",55,,"$7,841","1,694","1,666","1,679",45,,"$4,516"
"Local, total","56,831","42,738","41,929","42,292",74.4,,"$157,429","16,460","13,682","14,539",25.6,,"$36,164"
Counties,"14,562","10,545","10,259","10,372",71.2,,"$30,869","4,355","4,011","4,190",28.8,,"$10,116"
Municipalities,"42,269","32,193","31,670","31,920",75.5,,"$126,561","12,105","9,671","10,349",24.5,,"$26,048"
Utah,"5,512","3,902","3,742","3,786",68.7,,"$14,949","2,456","1,268","1,726",31.3,,"$4,805"
State,820,416,408,409,49.9,,"$1,563",504,352,411,50.1,,"$1,527"
"Local, total","4,692","3,486","3,334","3,377",72,,"$13,386","1,952",916,"1,315",28,,"$3,278"
Counties,"1,522","1,059","1,028","1,038",68.2,,"$4,619",596,361,484,31.8,,"$1,240"
Municipalities,"3,170","2,427","2,306","2,339",73.8,,"$8,767","1,356",555,831,26.2,,"$2,038"
Vermont,"1,180",968,866,896,75.9,,"$3,762",339,258,284,24.1,,$777
State,369,281,281,281,76.2,,"$1,642",88,88,88,23.8,,$271
"Local, total",811,687,585,615,75.8,,"$2,121",251,170,196,24.2,,$506
Counties,27,3,3,3,11.1,,$10,29,20,24,88.9,,$52
Municipalities,784,684,582,612,78.1,,"$2,111",222,150,172,21.9,,$454
Virginia,"19,403","15,064","14,827","14,947",77,,"$56,634","5,096","3,968","4,456",23,,"$12,910"
State,"2,602","1,822","1,822","1,822",70,,"$7,815",883,737,780,30,,"$2,247"
"Local, total","16,801","13,242","13,005","13,125",78.1,,"$48,819","4,213","3,231","3,676",21.9,,"$10,662"
Counties,"8,006","6,163","6,047","6,100",76.2,,"$23,643","2,159","1,657","1,906",23.8,,"$5,902"
Municipalities,"8,795","7,079","6,958","7,025",79.9,,"$25,176","2,054","1,574","1,770",20.1,,"$4,760"
Washington,"14,110","9,780","9,585","9,662",68.5,,"$48,687","4,758","4,288","4,448",31.5,,"$15,795"
State,"2,252","1,003","1,003","1,003",44.5,,"$4,809","1,249","1,249","1,249",55.5,,"$4,400"
"Local, total","11,858","8,777","8,582","8,659",73,,"$43,879","3,509","3,039","3,199",27,,"$11,394"
Counties,"4,208","3,085","3,023","3,052",72.5,,"$14,424","1,218","1,114","1,156",27.5,,"$4,034"
Municipalities,"7,650","5,692","5,559","5,607",73.3,,"$29,455","2,291","1,925","2,043",26.7,,"$7,361"
West Virginia,"3,615","2,941","2,760","2,833",78.4,,"$7,810",942,694,782,21.6,,"$1,390"
State,956,609,609,609,63.7,,"$2,273",354,343,347,36.3,,$696
"Local, total","2,659","2,332","2,151","2,224",83.6,,"$5,537",588,351,435,16.4,,$694
Counties,993,846,838,841,84.7,,"$2,112",170,132,152,15.3,,$257
Municipalities,"1,666","1,486","1,313","1,383",83,,"$3,426",418,219,283,17,,$437
Wisconsin,"16,172","13,286","12,108","12,444",76.9,,"$50,032","5,031","3,190","3,728",23.1,,"$10,696"
State,921,616,616,616,66.9,,"$2,510",319,290,305,33.1,,$985
"Local, total","15,251","12,670","11,492","11,828",77.6,,"$47,522","4,712","2,900","3,423",22.4,,"$9,711"
Counties,"4,758","3,708","3,453","3,550",74.6,,"$13,379","1,354","1,118","1,208",25.4,,"$3,912"
Municipalities,"10,493","8,962","8,039","8,278",78.9,,"$34,144","3,358","1,782","2,215",21.1,,"$5,799"
Wyoming,"1,822","1,291","1,241","1,252",68.7,,"$4,095",633,535,570,31.3,,"$1,382"
State,274,190,190,190,69.3,,$596,84,84,84,30.7,,$252
"Local, total","1,548","1,101","1,051","1,062",68.6,,"$3,499",549,451,486,31.4,,"$1,130"
Counties,593,405,389,392,66.1,,"$1,159",227,195,201,33.9,,$480
Municipalities,955,696,662,670,70.2,,"$2,340",322,256,285,29.8,,$650

Notes: March payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection
March payrolls on table 6.  Local government data are estimates subject to variability.
