Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee14fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2014",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2014",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
Arizona - Municipalities,"43,652","13,491","13,182","13,321",30.5,"11,836","11,648","11,743",88.2,"1,589","1,474","1,514",11.4,66,60,64,0.5
Arkansas - Total,"167,973","20,721","19,217","19,746",11.8,"9,041","8,313","8,554",43.3,"3,483","2,892","3,097",15.7,"8,197","8,012","8,095",41
Arkansas - State,"62,170","8,264","8,097","8,184",13.2,"1,247","1,233","1,242",15.2,"1,455","1,312","1,385",16.9,"5,562","5,552","5,557",67.9
"Arkansas - Local, total","105,803","12,457","11,120","11,562",10.9,"7,794","7,080","7,312",63.2,"2,028","1,580","1,712",14.8,"2,635","2,460","2,538",22
Arkansas - Counties,"13,380","6,569","5,665","5,929",44.3,"2,554","2,172","2,259",38.1,"1,433","1,081","1,182",19.9,"2,582","2,412","2,488",42
Arkansas - Municipalities,"20,123","5,888","5,455","5,633",28,"5,240","4,908","5,053",89.7,595,499,530,9.4,53,48,50,0.9
California - Total,"1,747,560","234,512","222,176","228,120",13.1,"103,282","96,533","99,512",43.6,"45,256","42,912","44,031",19.3,"85,974","82,731","84,577",37.1
California - State,"404,879","72,389","69,789","71,099",17.6,"11,553","11,310","11,347",16,"6,720","6,167","6,355",8.9,"54,116","52,312","53,397",75.1
"California - Local, total","1,342,681","162,123","152,387","157,021",11.7,"91,729","85,223","88,165",56.1,"38,536","36,745","37,676",24,"31,858","30,419","31,180",19.9
California - Counties,"378,559","107,064","101,776","104,450",27.6,"41,857","39,563","40,684",39,"34,919","33,265","34,121",32.7,"30,288","28,948","29,645",28.4
California - Municipalities,"218,187","55,059","50,611","52,571",24.1,"49,872","45,660","47,481",90.3,"3,617","3,480","3,555",6.8,"1,570","1,471","1,535",2.9
Colorado - Total,"280,997","34,181","32,432","33,280",11.8,"15,352","14,659","14,947",44.9,"7,827","6,962","7,413",22.3,"11,002","10,811","10,920",32.8
Colorado - State,"81,631","13,389","12,786","13,175",16.1,"1,235","1,218","1,226",9.3,"5,005","4,470","4,810",36.5,"7,149","7,098","7,139",54.2
"Colorado - Local, total","199,366","20,792","19,646","20,105",10.1,"14,117","13,441","13,721",68.2,"2,822","2,492","2,603",12.9,"3,853","3,713","3,781",18.8
Colorado - Counties,"28,165","9,116","8,590","8,792",31.2,"4,730","4,457","4,552",51.8,"1,490","1,372","1,414",16.1,"2,896","2,761","2,826",32.1
Colorado - Municipalities,"46,125","11,676","11,056","11,313",24.5,"9,387","8,984","9,169",81,"1,332","1,120","1,189",10.5,957,952,955,8.4
Connecticut - Total,"189,098","23,198","21,349","21,907",11.6,"10,807","9,376","9,799",44.7,"6,596","6,243","6,346",29,"5,795","5,730","5,762",26.3
Connecticut - State,"62,313","14,369","13,730","13,888",22.3,"2,154","1,913","1,947",14,"6,420","6,087","6,179",44.5,"5,795","5,730","5,762",41.5
"Connecticut - Local, total","126,785","8,829","7,619","8,019",6.3,"8,653","7,463","7,852",97.9,176,156,167,2.1,0,0,0,0
Connecticut - Municipalities,"56,558","4,964","4,404","4,617",8.2,"4,830","4,284","4,489",97.2,134,120,128,2.8,0,0,0,0
Delaware - Total,"49,008","7,443","7,141","7,316",14.9,"2,606","2,415","2,525",34.5,"1,939","1,879","1,913",26.1,"2,898","2,847","2,878",39.3
Delaware - State,"26,083","5,791","5,676","5,746",22,"1,072","1,055","1,065",18.5,"1,821","1,774","1,803",31.4,"2,898","2,847","2,878",50.1
"Delaware - Local, total","22,925","1,652","1,465","1,570",6.8,"1,534","1,360","1,460",93,118,105,110,7,0,0,0,0
Delaware - Counties,"2,580",646,499,583,22.6,565,426,506,86.8,81,73,77,13.2,0,0,0,0
Delaware - Municipalities,"2,725","1,006",966,987,36.2,969,934,954,96.7,37,32,33,3.3,0,0,0,0
District of Columbia - Total,"47,466","7,943","7,862","7,924",16.7,"4,591","4,591","4,591",57.9,"2,005","1,949","1,988",25.1,"1,347","1,322","1,345",17
"District of Columbia - Local, total","47,466","7,943","7,862","7,924",16.7,"4,591","4,591","4,591",57.9,"2,005","1,949","1,988",25.1,"1,347","1,322","1,345",17
District of Columbia - Municipality,"35,720","7,943","7,862","7,924",22.2,"4,591","4,591","4,591",57.9,"2,005","1,949","1,988",25.1,"1,347","1,322","1,345",17
Florida - Total ,"864,175","136,606","129,608","132,665",15.4,"64,942","59,523","61,833",46.6,"32,036","30,825","31,422",23.7,"39,628","39,260","39,410",29.7
Florida - State,"176,537","47,456","46,127","46,664",26.4,"4,554","4,147","4,272",9.2,"19,724","18,968","19,321",41.4,"23,178","23,012","23,071",49.4
"Florida - Local, total","687,638","89,150","83,481","86,001",12.5,"60,388","55,376","57,561",66.9,"12,312","11,857","12,101",14.1,"16,450","16,248","16,339",19
Florida - Counties,"169,311","64,312","60,364","62,070",36.7,"36,881","33,576","34,957",56.3,"11,786","11,345","11,579",18.7,"15,645","15,443","15,534",25
Florida - Municipalities,"90,674","24,838","23,117","23,931",26.4,"23,507","21,800","22,604",94.5,526,512,522,2.2,805,805,805,3.4
Georgia - Total,"504,900","71,900","67,265","69,077",13.7,"29,075","27,405","28,087",40.7,"15,170","13,047","13,820",20,"27,655","26,813","27,170",39.3
Georgia - State,"128,224","24,299","23,671","23,918",18.7,"2,939","2,906","2,924",12.2,"3,823","3,743","3,783",15.8,"17,537","17,022","17,211",72
"Georgia - Local, total","376,676","47,601","43,594","45,159",12,"26,136","24,499","25,163",55.7,"11,347","9,304","10,037",22.2,"10,118","9,791","9,959",22.1
Georgia - Counties,"63,963","30,019","27,341","28,413",44.4,"12,159","11,411","11,696",41.2,"9,423","7,816","8,442",29.7,"8,437","8,114","8,275",29.1
Georgia - Municipalities,"50,192","17,582","16,253","16,746",33.4,"13,977","13,088","13,467",80.4,"1,924","1,488","1,595",9.5,"1,681","1,677","1,684",10.1
Hawaii - Total,"74,920","9,765","9,508","9,565",12.8,"4,158","3,980","4,010",41.9,"3,171","3,104","3,126",32.7,"2,436","2,424","2,429",25.4
Hawaii - State,"58,409","4,973","4,907","4,927",8.4,0,0,0,0,"2,537","2,483","2,498",50.7,"2,436","2,424","2,429",49.3
"Hawaii - Local, total","16,511","4,792","4,601","4,638",28.1,"4,158","3,980","4,010",86.5,634,621,628,13.5,0,0,0,0
Hawaii - Counties,"6,129","1,521","1,449","1,466",23.9,"1,270","1,202","1,217",83,251,247,249,17,0,0,0,0
Hawaii - Municipalities,"10,195","3,271","3,152","3,172",31.1,"2,888","2,778","2,793",88.1,383,374,379,11.9,0,0,0,0
Idaho - Total,"80,304","10,182","9,455","9,748",12.1,"4,102","3,833","3,928",40.3,"2,231","2,032","2,113",21.7,"3,849","3,590","3,707",38
Idaho - State,"23,423","3,090","2,979","3,027",12.9,500,477,488,16.1,557,499,515,17,"2,033","2,003","2,024",66.9
"Idaho - Local, total","56,881","7,092","6,476","6,721",11.8,"3,602","3,356","3,440",51.2,"1,674","1,533","1,598",23.8,"1,816","1,587","1,683",25
Idaho - Counties,"9,434","4,809","4,318","4,519",47.9,"1,463","1,325","1,371",30.3,"1,530","1,406","1,465",32.4,"1,816","1,587","1,683",37.2
Idaho - Municipalities,"8,737","2,283","2,158","2,202",25.2,"2,139","2,031","2,069",94,144,127,133,6,0,0,0,0
Illinois - Total,"628,860","82,552","74,383","77,385",12.3,"45,609","38,550","41,099",53.1,"14,315","13,495","13,808",17.8,"22,628","22,338","22,478",29
Illinois - State,"123,954","17,663","17,619","17,645",14.2,"3,274","3,261","3,266",18.5,"2,580","2,549","2,570",14.6,"11,809","11,809","11,809",66.9
"Illinois - Local, total","504,906","64,889","56,764","59,740",11.8,"42,335","35,289","37,833",63.3,"11,735","10,946","11,238",18.8,"10,819","10,529","10,669",17.9
Illinois - Counties,"55,746","27,361","25,451","26,119",46.9,"5,613","4,699","4,957",19,"10,929","10,223","10,493",40.2,"10,819","10,529","10,669",40.8
Illinois - Municipalities,"103,784","37,528","31,313","33,621",32.4,"36,722","30,590","32,876",97.8,806,723,745,2.2,0,0,0,0
Indiana - Total,"320,077","37,840","34,211","35,628",11.1,"17,236","15,284","15,910",44.7,"7,789","6,885","7,300",20.5,"12,815","12,042","12,418",34.9
Indiana - State,"87,671","9,421","9,365","9,387",10.7,"1,882","1,882","1,882",20,"1,457","1,402","1,423",15.2,"6,082","6,081","6,082",64.8
"Indiana - Local, total","232,406","28,419","24,846","26,241",11.3,"15,354","13,402","14,028",53.5,"6,332","5,483","5,877",22.4,"6,733","5,961","6,336",24.1
Indiana - Counties,"43,849","13,693","11,647","12,522",28.6,"3,790","3,154","3,336",26.6,"4,367","3,719","4,046",32.3,"5,536","4,774","5,140",41
Indiana - Municipalities,"50,840","14,701","13,174","13,694",26.9,"11,564","10,248","10,692",78.1,"1,940","1,739","1,806",13.2,"1,197","1,187","1,196",8.7
Iowa - Total,"181,887","15,692","14,115","14,774",8.1,"7,695","6,835","7,096",48,"3,283","3,059","3,183",21.5,"4,714","4,221","4,495",30.4
Iowa - State,"50,242","6,255","5,958","6,146",12.2,955,937,943,15.3,"2,315","2,220","2,282",37.1,"2,985","2,801","2,921",47.5
"Iowa - Local, total","131,645","9,437","8,157","8,628",6.6,"6,740","5,898","6,153",71.3,968,839,901,10.4,"1,729","1,420","1,574",18.2
Iowa - Counties,"22,738","4,631","4,002","4,282",18.8,"2,033","1,835","1,904",44.5,870,747,805,18.8,"1,728","1,420","1,573",36.7
Iowa - Municipalities,"23,401","4,806","4,155","4,346",18.6,"4,707","4,063","4,249",97.8,98,92,96,2.2,1,0,1,0
Kansas - Total,"196,001","20,088","18,351","18,857",9.6,"9,429","8,596","8,852",46.9,"4,228","3,578","3,745",19.9,"6,431","6,177","6,260",33.2
Kansas - State,"50,184","6,707","6,515","6,590",13.1,"1,082","1,026","1,051",15.9,"2,181","2,062","2,104",31.9,"3,444","3,427","3,435",52.1
"Kansas - Local, total","145,817","13,381","11,836","12,267",8.4,"8,347","7,570","7,801",63.6,"2,047","1,516","1,641",13.4,"2,987","2,750","2,825",23
Kansas - Counties,"21,931","6,245","5,588","5,785",26.4,"2,388","2,162","2,230",38.5,"1,151",954,"1,011",17.5,"2,706","2,472","2,544",44
Kansas - Municipalities,"25,675","7,129","6,242","6,477",25.2,"5,953","5,402","5,566",85.9,895,562,630,9.7,281,278,281,4.3
Kentucky - Total,"246,786","25,476","23,199","24,315",9.9,"10,021","9,188","9,544",39.3,"6,926","6,060","6,514",26.8,"8,529","7,951","8,257",34
Kentucky - State,"84,568","11,644","11,452","11,563",13.7,"2,074","2,069","2,072",17.9,"5,227","5,051","5,154",44.6,"4,343","4,332","4,337",37.5
"Kentucky - Local, total","162,218","13,832","11,747","12,752",7.9,"7,947","7,119","7,472",58.6,"1,699","1,009","1,360",10.7,"4,186","3,619","3,920",30.7
Kentucky - Counties,"15,558","4,934","3,565","4,153",26.7,"1,458","1,175","1,277",30.7,860,334,557,13.4,"2,616","2,056","2,319",55.8
Kentucky - Municipalities,"31,510","8,898","8,182","8,599",27.3,"6,489","5,944","6,195",72,839,675,803,9.3,"1,570","1,563","1,601",18.6
Louisiana - Total,"263,221","39,323","35,620","37,460",14.2,"18,402","16,419","17,341",46.3,"7,887","6,861","7,312",19.5,"13,034","12,340","12,807",34.2
Louisiana - State,"77,005","9,328","9,131","9,227",12,"1,717","1,656","1,689",18.3,"1,679","1,628","1,643",17.8,"5,932","5,847","5,895",63.9
"Louisiana - Local, total","186,216","29,995","26,489","28,233",15.2,"16,685","14,763","15,652",55.4,"6,208","5,233","5,669",20.1,"7,102","6,493","6,912",24.5
Louisiana - Parishes,"45,245","16,806","14,658","15,537",34.3,"8,146","7,004","7,388",47.6,"3,874","3,328","3,526",22.7,"4,786","4,326","4,623",29.8
Louisiana - Municipalities,"36,943","12,903","11,559","12,413",33.6,"8,539","7,759","8,264",66.6,"2,334","1,905","2,143",17.3,"2,030","1,895","2,006",16.2
Maine - Total,"70,745","6,322","5,442","5,785",8.2,"3,271","2,710","2,901",50.1,"1,049",851,936,16.2,"2,002","1,881","1,948",33.7
Maine - State,"21,111","2,498","2,347","2,426",11.5,519,516,518,21.4,790,665,729,30,"1,189","1,166","1,179",48.6
"Maine - Local, total","49,634","3,824","3,095","3,359",6.8,"2,752","2,194","2,383",70.9,259,186,207,6.2,813,715,769,22.9
Maine - Counties,"1,813","1,431","1,208","1,302",71.8,373,318,339,26,245,175,194,14.9,813,715,769,59.1
Maine - Municipalities,"17,492","1,321","1,150","1,226",7,"1,307","1,139","1,213",98.9,14,11,13,1.1,0,0,0,0
Maryland - Total,"302,945","45,501","42,418","44,213",14.6,"20,100","18,420","19,199",43.4,"9,087","8,254","8,832",20,"16,314","15,744","16,182",36.6
Maryland - State,"86,595","20,219","19,227","20,017",23.1,"2,272","2,272","2,272",11.4,"5,277","4,788","5,186",25.9,"12,670","12,167","12,559",62.7
"Maryland - Local, total","216,350","25,282","23,191","24,196",11.2,"17,828","16,148","16,927",70,"3,810","3,466","3,646",15.1,"3,644","3,577","3,623",15
Maryland - Counties,"183,049","19,327","17,710","18,458",10.1,"12,789","11,572","12,100",65.6,"2,894","2,561","2,735",14.8,"3,644","3,577","3,623",19.6
Maryland - Municipalities,"31,861","5,955","5,481","5,738",18,"5,039","4,576","4,827",84.1,916,905,911,15.9,0,0,0,0
Massachusetts - Total,"330,124","43,898","40,523","41,564",12.6,"21,812","19,005","19,869",47.8,"9,686","9,265","9,400",22.6,"12,400","12,253","12,295",29.6
Massachusetts - State,"99,670","24,736","24,197","24,362",24.4,"2,945","2,916","2,926",12,"9,391","9,028","9,141",37.5,"12,400","12,253","12,295",50.5
"Massachusetts - Local, total","230,454","19,162","16,326","17,202",7.5,"18,867","16,089","16,943",98.5,295,237,259,1.5,0,0,0,0
Massachusetts - Counties,"1,284",17,17,17,1.3,16,16,16,94.1,1,1,1,5.9,0,0,0,0
Massachusetts - Municipalities,"161,728","14,742","13,393","14,053",8.7,"14,458","13,161","13,801",98.2,284,232,252,1.8,0,0,0,0
Michigan - Total,"438,095","52,221","46,821","49,232",11.2,"22,452","19,061","20,358",41.4,"11,213","10,179","10,707",21.7,"18,556","17,581","18,167",36.9
Michigan - State,"142,057","16,698","16,442","16,628",11.7,"2,633","2,597","2,617",15.7,"1,492","1,438","1,474",8.9,"12,573","12,407","12,537",75.4
"Michigan - Local, total","296,038","35,523","30,379","32,604",11,"19,819","16,464","17,741",54.4,"9,721","8,741","9,233",28.3,"5,983","5,174","5,630",17.3
Michigan - Counties,"51,624","18,940","16,421","17,526",33.9,"5,396","4,293","4,635",26.4,"7,623","6,989","7,307",41.7,"5,921","5,139","5,584",31.9
Michigan - Municipalities,"51,834","14,943","12,658","13,661",26.4,"12,900","10,956","11,789",86.3,"1,987","1,673","1,831",13.4,56,29,41,0.3
Minnesota - Total,"283,679","29,340","26,157","27,822",9.8,"12,986","11,534","12,103",43.5,"6,488","5,592","6,166",22.2,"9,866","9,031","9,553",34.3
Minnesota - State,"82,223","8,984","8,327","8,835",10.7,933,903,921,10.4,"3,862","3,388","3,735",42.3,"4,189","4,036","4,179",47.3
"Minnesota - Local, total","201,456","20,356","17,830","18,987",9.4,"12,053","10,631","11,182",58.9,"2,626","2,204","2,431",12.8,"5,677","4,995","5,374",28.3
Minnesota - Counties,"35,643","10,798","9,408","10,071",28.3,"3,335","2,911","3,051",30.3,"2,314","1,905","2,125",21.1,"5,149","4,592","4,895",48.6
Minnesota - Municipalities,"37,435","8,970","7,994","8,407",22.5,"8,658","7,695","8,101",96.4,312,299,306,3.6,0,0,0,0
Mississippi - Total,"193,347","19,793","17,255","18,163",9.4,"10,612","9,086","9,678",53.3,"3,416","2,744","2,932",16.1,"5,765","5,425","5,553",30.6
Mississippi - State,"57,725","5,087","5,069","5,083",8.8,"1,203","1,201","1,202",23.6,638,636,637,12.5,"3,246","3,232","3,244",63.8
"Mississippi - Local, total","135,622","14,706","12,186","13,080",9.6,"9,409","7,885","8,476",64.8,"2,778","2,108","2,295",17.5,"2,519","2,193","2,309",17.7
Mississippi - Counties,"28,763","8,294","6,661","7,211",25.1,"3,838","3,042","3,335",46.2,"2,058","1,520","1,664",23.1,"2,398","2,099","2,212",30.7
Mississippi - Municipalities,"25,152","6,412","5,525","5,869",23.3,"5,571","4,843","5,141",87.6,720,588,631,10.8,121,94,97,1.7
Missouri - Total,"315,931","43,607","40,460","41,710",13.2,"19,268","17,818","18,363",44,"8,638","7,416","7,929",19,"15,701","15,226","15,418",37
Missouri - State,"87,666","19,301","18,670","19,025",21.7,"2,543","2,417","2,495",13.1,"4,381","4,029","4,241",22.3,"12,377","12,224","12,289",64.6
"Missouri - Local, total","228,265","24,306","21,790","22,685",9.9,"16,725","15,401","15,868",69.9,"4,257","3,387","3,688",16.3,"3,324","3,002","3,129",13.8
Missouri - Counties,"20,198","8,848","7,704","8,102",40.1,"3,763","3,385","3,496",43.1,"2,479","2,006","2,186",27,"2,606","2,313","2,420",29.9
Missouri - Municipalities,"51,104","15,458","14,086","14,583",28.5,"12,962","12,016","12,372",84.8,"1,778","1,381","1,502",10.3,718,689,709,4.9
Montana - Total,"56,781","6,414","5,723","6,070",10.7,"2,652","2,432","2,519",41.5,"1,808","1,473","1,641",27,"1,954","1,818","1,910",31.5
Montana - State,"20,721","2,515","2,323","2,453",11.8,496,469,487,19.9,757,679,728,29.7,"1,262","1,175","1,238",50.5
"Montana - Local, total","36,060","3,899","3,400","3,617",10,"2,156","1,963","2,032",56.2,"1,051",794,913,25.2,692,643,672,18.6
Montana - Counties,"6,864","2,455","2,127","2,276",33.2,998,882,920,40.4,775,611,694,30.5,682,634,662,29.1
Montana - Municipalities,"5,262","1,445","1,273","1,341",25.5,"1,159","1,081","1,112",82.9,276,183,219,16.3,10,9,10,0.7
Nebraska - Total,"118,566","11,961","11,035","11,439",9.6,"5,221","4,768","4,968",43.4,"2,186","1,923","2,032",17.8,"4,554","4,344","4,439",38.8
Nebraska - State,"32,101","4,583","4,458","4,520",14.1,844,831,842,18.6,774,733,748,16.5,"2,965","2,894","2,930",64.8
"Nebraska - Local, total","86,465","7,378","6,577","6,919",8,"4,377","3,937","4,126",59.6,"1,412","1,190","1,284",18.6,"1,589","1,450","1,509",21.8
Nebraska - Counties,"13,201","4,204","3,705","3,909",29.6,"1,310","1,158","1,212",31,"1,305","1,097","1,188",30.4,"1,589","1,450","1,509",38.6
Nebraska - Municipalities,"13,219","3,174","2,872","3,010",22.8,"3,067","2,779","2,914",96.8,107,93,96,3.2,0,0,0,0
Nevada - Total,"111,601","18,406","17,439","17,801",16,"7,999","7,475","7,656",43,"4,495","4,193","4,320",24.3,"5,912","5,771","5,825",32.7
Nevada - State,"27,236","5,200","5,145","5,163",19,844,838,842,16.3,753,741,743,14.4,"3,603","3,566","3,578",69.3
"Nevada - Local, total","84,365","13,206","12,294","12,638",15,"7,155","6,637","6,814",53.9,"3,742","3,452","3,577",28.3,"2,309","2,205","2,247",17.8
Nevada - Counties,"26,328","10,089","9,574","9,765",37.1,"5,191","5,013","5,060",51.8,"3,111","2,866","2,972",30.4,"1,787","1,695","1,733",17.7
Nevada - Municipalities,"9,449","3,117","2,720","2,873",30.4,"1,964","1,624","1,754",61.1,631,586,605,21.1,522,510,514,17.9
New Hampshire - Total,"71,492","7,514","6,067","6,706",9.4,"4,314","3,451","3,798",56.6,"1,306",883,"1,068",15.9,"1,894","1,733","1,840",27.4
New Hampshire - State,"18,693","2,523","2,148","2,340",12.5,529,482,505,21.6,907,655,764,32.6,"1,087","1,011","1,071",45.8
"New Hampshire - Local, total","52,799","4,991","3,919","4,366",8.3,"3,785","2,969","3,293",75.4,399,228,304,7,807,722,769,17.6
New Hampshire - Counties,"4,136","1,631","1,145","1,324",32,484,245,308,23.3,340,178,247,18.7,807,722,769,58.1
New Hampshire - Municipalities,"16,833","1,677","1,403","1,535",9.1,"1,637","1,368","1,496",97.5,40,35,39,2.5,0,0,0,0
New Jersey - Total,"477,156","73,550","64,133","67,601",14.2,"38,150","30,698","33,494",49.5,"20,439","18,569","19,190",28.4,"14,961","14,866","14,917",22.1
New Jersey - State,"143,707","25,742","25,492","25,621",17.8,"3,975","3,926","3,948",15.4,"12,968","12,782","12,882",50.3,"8,799","8,784","8,791",34.3
"New Jersey - Local, total","333,449","47,808","38,641","41,980",12.6,"34,175","26,772","29,546",70.4,"7,471","5,787","6,308",15,"6,162","6,082","6,126",14.6
New Jersey - Counties,"91,679","17,292","16,490","17,002",18.5,"6,528","6,186","6,376",37.5,"4,619","4,224","4,507",26.5,"6,145","6,080","6,119",36
New Jersey - Municipalities,"71,633","18,426","13,568","15,231",21.3,"16,735","12,547","14,079",92.4,"1,691","1,021","1,152",7.6,0,0,0,0
New Mexico - Total,"125,724","16,156","15,553","15,822",12.6,"6,147","5,789","5,941",37.5,"3,819","3,649","3,711",23.5,"6,190","6,115","6,170",39
New Mexico - State,"46,114","7,561","7,468","7,514",16.3,526,526,526,7,"3,286","3,223","3,246",43.2,"3,749","3,719","3,742",49.8
"New Mexico - Local, total","79,610","8,595","8,085","8,308",10.4,"5,621","5,263","5,415",65.2,533,426,465,5.6,"2,441","2,396","2,428",29.2
New Mexico - Counties,"10,334","4,190","4,072","4,133",40,"1,598","1,536","1,561",37.8,181,153,167,4,"2,411","2,383","2,405",58.2
New Mexico - Municipalities,"17,777","4,405","4,013","4,175",23.5,"4,023","3,727","3,854",92.3,352,273,298,7.1,30,13,23,0.6
New York - Total,"1,165,925","176,663","161,864","168,167",14.4,"89,578","80,700","84,547",50.3,"33,732","28,907","30,757",18.3,"53,353","52,257","52,863",31.4
New York - State,"239,928","53,596","52,706","53,316",22.2,"5,808","5,695","5,785",10.9,"18,593","18,093","18,442",34.6,"29,195","28,918","29,089",54.6
"New York - Local, total","925,997","123,067","109,158","114,851",12.4,"83,770","75,005","78,762",68.6,"15,139","10,814","12,315",10.7,"24,158","23,339","23,774",20.7
New York - Counties,"108,634","30,815","25,820","27,675",25.5,"13,605","11,118","12,086",43.7,"5,513","3,735","4,287",15.5,"11,697","10,967","11,302",40.8
