Bureau of Justice Statistics,,,,,,
Filename: jeee14fut20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
City,Population 2014/a,"Expenditures, fiscal 2014 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2014 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2014 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2014, all functions","Full-time equivalent employment, March 2014, general functions only/c"
"Pittsburgh, PA","306,092","665,934","665,934","580,790","3,329","3,329"
"Portland, OR","620,647","1,583,274","1,583,274","1,254,105","5,711","5,163"
"Raleigh, NC","439,347","713,762","713,762","544,871","3,995","3,551"
"Riverside, CA","317,887","965,774","965,774","570,851","2,353","1,909"
"Sacramento, CA","483,006","925,514","925,514","781,468","3,854","3,577"
"San Antonio, TX","1,435,839","4,497,866","4,497,866","1,889,125","15,538","10,956"
"San Diego, CA","1,376,725","2,879,761","2,870,845","2,050,363","9,559","8,879"
"San Francisco, CA","851,116","10,305,256","10,305,256","7,070,982","30,204","23,429"
"San Jose, CA","1,014,418","1,760,197","1,730,200","1,387,142","4,804","4,542"
"Santa Ana, CA","333,669","418,426","418,426","372,340","1,181","1,103"
"Seattle, WA","670,925","3,010,397","2,837,815","1,761,803","11,111","8,434"
"St. Louis, MO","317,395","1,275,543","1,238,632","1,043,605","6,195","5,886"
"Tampa, FL","358,754","852,452","852,452","671,999","4,161","3,812"
"Toledo, OH","280,672","489,508","463,287","435,333","2,767","2,442"
"Tucson, AZ","534,870","1,054,138","1,054,138","676,583","4,825","4,339"
"Tulsa, OK","400,162","893,619","893,370","724,674","3,826","3,328"
"Virginia Beach, VA","448,913","1,850,862","1,831,963","1,801,909","17,766","17,486"
"Washington, DC","662,513","12,971,722","12,521,759","11,788,188","35,720","35,310"
"Wichita, KS","388,465","769,616","769,616","633,246","2,863","2,614"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, city-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and city-operated liquor stores.",,,,,,
