Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee14fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2014) and full-time equivalent justice employment per 10,000 population (March 2014) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2014) and full-time equivalent justice employment per 10,000 population (March 2014) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2014,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
Hawaii,"1,414,538",689,318.94,217.54,152.52,67.62,28.35,22.04,22.1,17.17
Idaho,"1,631,112",552.25,252.71,111.38,188.16,59.76,24.08,17.05,12.95,22.73
Illinois,"12,884,493",670.52,382.96,119.82,167.74,60.06,31.9,25.68,10.72,17.45
Indiana,"6,593,644",426.78,182.21,86.5,158.06,54.03,24.13,17.87,11.07,18.83
Iowa,"3,109,350",484.99,233.59,107.06,144.33,47.51,22.82,17.36,10.24,14.46
Kansas,"2,900,475",538.84,260.75,106.04,172.05,65.01,30.52,21.7,12.91,21.58
Kentucky,"4,414,349",475.57,170.92,127.12,177.53,55.08,21.62,17.05,14.76,18.7
Louisiana,"4,644,013",706.73,305.96,149.7,251.07,80.66,37.34,28.31,15.75,27.58
Maine,"1,330,513",415.7,197.52,71.11,147.08,43.48,21.8,17.21,7.03,14.64
Maryland,"5,957,283",854.72,406.53,141.47,306.72,74.22,32.23,23.83,14.83,27.16
Massachusetts,"6,762,596",643.42,302.67,162.96,177.8,61.46,29.38,23.87,13.9,18.18
Michigan,"9,929,848",614.43,241.49,118.62,254.33,49.58,20.5,16.48,10.78,18.3
Minnesota,"5,451,079",615.29,319.32,134.57,161.41,51.04,22.2,16.39,11.31,17.52
Mississippi,"2,990,468",484.58,231.81,83.88,168.89,60.74,32.36,24.34,9.8,18.57
Missouri,"6,056,202",519.91,276.46,86.28,157.17,68.87,30.32,22.67,13.09,25.46
Montana,"1,021,869",675.83,288.89,158.01,228.93,59.4,24.65,17.22,16.06,18.69
Nebraska,"1,879,321",538.18,236.19,87.82,214.17,60.87,26.44,20.06,10.81,23.62
Nevada,"2,817,628",797.8,395.44,162.04,240.32,63.18,27.17,17.29,15.33,20.67
New Hampshire,"1,333,341",545.19,299.14,106.91,139.14,50.29,28.48,21.97,8.01,13.8
New Jersey,"8,864,525",796.21,387.48,163.34,245.4,76.26,37.78,29.24,21.65,16.83
New Mexico,"2,089,568",760.65,324.12,154.89,281.64,75.72,28.43,22.12,17.76,29.53
New York,"19,651,049",983.73,477.65,199.56,306.52,85.58,43.02,37.3,15.65,26.9
North Carolina,"9,932,887",547.3,283.89,80.95,182.46,60.16,27.38,22.37,7.28,25.51
North Dakota,"737,401",528.52,223.61,130.42,174.49,54.18,22.84,19.32,12.16,19.18
Ohio,"11,602,700",594.11,282.63,151.62,159.87,61.89,26.55,20.03,16.85,18.49
Oklahoma,"3,878,187",542.59,255.82,101.18,185.6,56.59,28.43,19.96,11.35,16.81
Oregon,"3,963,244",743.93,298.16,160.28,285.48,54.9,22.1,14.92,11.64,21.16
Pennsylvania,"12,788,313",686.26,277.23,149.2,259.84,63.69,25.13,20.79,13.87,24.69
Rhode Island,"1,055,936",709.15,375.42,129.34,204.4,54.02,27.58,21.98,12.04,14.4
South Carolina,"4,823,617",436.95,228.65,66.26,142.04,62.59,28.72,23.18,9.75,24.12
South Dakota,"849,129",514.13,213.22,97.05,203.85,51.7,22.55,18.63,11.14,18.01
Tennessee,"6,541,223",550.49,272.74,106.57,171.18,61.8,31.62,25.65,11.19,18.99
Texas,"26,964,333",562.66,258.93,101.48,202.24,63.17,27.51,20.33,10.35,25.3
Utah,"2,936,879",556.68,244.85,122.49,189.34,49.06,20.71,14.6,10.25,18.1
Vermont,"625,214",642.06,296.18,125.68,220.2,53.98,25.06,16.63,11.4,17.51
Virginia,"8,310,993",668.19,269.42,108.76,290.01,67.11,25.93,20.91,10.7,30.47
Washington,"7,054,655",618.06,253.97,141.74,222.35,50.35,19.83,13.69,11.65,18.87
West Virginia,"1,849,489",516.55,198.37,126.92,191.26,55.68,22.04,17.6,14.42,19.22
Wisconsin,"5,751,525",667.18,299.42,107.83,259.93,59.97,27.24,21.14,9.41,23.32
Wyoming,"582,531",931.05,370.14,204.92,356,84.49,32.89,25.08,17.15,34.45
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,,,
