"Bernalillo, NM",6,"130,249","129,334","129,218",116,915,"49,408","49,408","49,292",116,-,"3,014","3,014","3,014",-,-,"77,827","76,912","76,912",-,-,915
"Bexar, TX",9,"285,809","285,809","264,977","20,832",-,"72,327","72,327","67,453","4,874",-,"101,406","101,406","85,979","15,427",-,"112,076","112,076","111,545",531,513,-
"Brevard, FL",9,"121,159","121,159","118,815","2,344",-,"59,717","59,717","57,791","1,926",-,"21,723","21,723","21,382",341,-,"39,719","39,719","39,642",77,-,-
"Bristol, MA",6,301,301,301,-,-,-,-,-,-,-,301,301,301,-,-,-,-,-,-,-,-
"Broward, FL",9,"643,837","643,837","624,451","19,386",-,"356,260","356,260","354,300","1,960",-,"73,299","73,299","58,063","15,236",-,"214,278","214,278","212,088","2,190",-,-
"Bucks, PA",12,"177,182","177,182","131,033","46,149",-,"18,070","18,070","18,070",-,-,"110,613","110,613","64,464","46,149",-,"48,499","48,499","48,499",-,-,-
"Camden, NJ",12,"104,753","104,753","102,953","1,800",-,"26,560","26,560","24,760","1,800",-,"23,864","23,864","23,864",-,-,"54,329","54,329","54,329",-,-,-
"Clark, NV",6,"1,065,703","1,065,703","1,044,161","21,542",-,"612,687","612,687","593,975","18,712",-,"201,655","201,655","200,908",747,-,"251,361","251,361","249,278","2,083",-,-
"Cobb, GA",9,"228,241","228,241","226,375","1,866",-,"131,871","131,871","130,027","1,844",-,"51,698","51,698","51,688",10,-,"44,672","44,672","44,660",12,-,-
"Collin, TX",9,"80,621","80,621","80,621",-,-,"18,720","18,720","18,720",-,-,"26,476","26,476","26,476",-,-,"35,425","35,425","35,425",-,-,-
"Contra Costa, CA",6,"307,806","292,695","289,797","2,898","15,111","99,695","99,695","98,015","1,680",-,"98,829","83,718","83,337",381,"15,111","109,282","109,282","108,445",837,-,-
"Cook, IL",11,"1,043,729","1,043,729","1,040,229","3,500",-,"83,853","83,853","83,853",-,-,"527,208","527,208","525,898","1,310",-,"432,668","432,668","430,478","2,190","2,190",-
"Cuyahoga, OH",12,"320,487","320,463","315,193","5,270",24,"51,561","51,561","49,714","1,847",-,"180,398","180,398","176,975","3,423",-,"88,528","88,504","88,504",-,-,24
"Dade, FL",9,"1,041,875","1,041,875","968,828","73,047",-,"564,577","564,577","549,197","15,380",-,"196,578","196,578","144,104","52,474",-,"280,720","280,720","275,527","5,193",-,-
"Dallas, TX",9,"290,179","290,179","290,166",13,-,"29,980","29,980","29,980",-,-,"122,723","122,723","122,723",-,-,"137,476","137,476","137,463",13,-,-
"DeKalb, GA",12,"301,842","301,842","298,772","3,070",-,"99,650","99,650","96,739","2,911",-,"150,778","150,778","150,620",158,-,"51,414","51,414","51,413",1,-,-
"Delaware, PA",12,"112,883","112,883","112,859",24,-,"10,838","10,838","10,838",-,-,"50,000","50,000","50,000",-,-,"52,045","52,045","52,021",24,-,-
"Denton, TX",9,"90,921","90,921","86,549","4,372",-,"21,596","21,596","21,596",-,-,"34,066","34,066","29,768","4,298",-,"35,259","35,259","35,185",74,74,-
"Douglas, NE",6,"79,106","79,106","78,861",245,-,"15,087","15,087","14,842",245,-,"23,305","23,305","23,305",-,-,"40,714","40,714","40,714",-,-,-
"Du Page, IL",11,"84,649","84,649","83,221","1,428",-,"41,979","41,979","41,103",876,-,"31,416","31,416","31,416",-,-,"11,254","11,254","10,702",552,-,-
"El Paso, CO",12,"76,748","76,748","76,621",127,-,"54,764","54,764","54,637",127,-,"16,124","16,124","16,124",-,-,"5,860","5,860","5,860",-,-,-
"El Paso, TX",9,"185,949","185,949","183,242","2,707",-,"41,784","41,784","41,784",-,-,"54,870","54,870","54,819",51,-,"89,295","89,295","86,639","2,656","2,260",-
"Erie, NY",12,"176,268","176,268","174,413","1,855",-,"31,873","31,873","30,235","1,638",-,"31,676","31,676","31,573",103,-,"112,719","112,719","112,605",114,-,-
"Essex, NJ",12,"194,361","194,361","194,239",122,-,"41,833","41,833","41,796",37,-,"36,774","36,774","36,761",13,-,"115,754","115,754","115,682",72,-,-
"Fairfax, VA",6,"310,159","310,159","306,589","3,570",-,"204,892","204,892","201,322","3,570",-,"62,800","62,800","62,800",-,-,"42,467","42,467","42,467",-,-,-
"Fort Bend, TX",9,"108,970","108,970","107,294","1,676",-,"36,529","36,529","36,507",22,-,"28,038","28,038","26,675","1,363",-,"44,403","44,403","44,112",291,-,-
"Franklin, OH",12,"244,626","244,626","224,992","19,634",-,"49,769","49,769","44,158","5,611",-,"130,626","130,626","117,874","12,752",-,"64,231","64,231","62,960","1,271",936,-
"Fresno, CA",6,"324,942","310,183","302,931","7,252","14,759","85,226","85,226","82,825","2,401",-,"93,057","78,298","73,447","4,851","14,759","146,659","146,659","146,659",-,-,-
"Fulton, GA",12,"264,594","264,594","256,594","8,000",-,"52,118","52,118","49,251","2,867",-,"131,528","131,528","130,727",801,-,"80,948","80,948","76,616","4,332",-,-
"Gwinnet, GA",12,"242,007","242,007","234,327","7,680",-,"128,751","128,751","121,717","7,034",-,"57,164","57,164","56,977",187,-,"56,092","56,092","55,633",459,-,-
"Hamilton, OH",12,"208,631","208,631","204,761","3,870",-,"75,387","75,387","74,460",927,-,"102,607","102,607","99,705","2,902",-,"30,637","30,637","30,596",41,-,-
"Harris, TX",2,"925,070","925,070","908,987","16,083",-,"365,624","365,624","354,867","10,757",-,"238,375","238,375","234,129","4,246",-,"321,071","321,071","319,991","1,080",-,-
"Hennepin, MN",12,"268,211","268,211","245,339","22,872",-,"104,935","104,935","83,818","21,117",-,"67,465","67,465","67,263",202,-,"95,811","95,811","94,258","1,553",315,-
"Hidalgo, TX",12,"112,569","112,569","108,283","4,286",-,"31,005","31,005","26,719","4,286",-,"25,744","25,744","25,744",-,-,"55,820","55,820","55,820",-,-,-
"Hillsborough, FL",9,"427,605","427,605","406,991","20,614",-,"227,337","227,337","212,604","14,733",-,"64,170","64,170","60,637","3,533",-,"136,098","136,098","133,750","2,348",-,-
"Hudson, NJ",12,"121,539","120,691","107,272","13,419",848,"23,383","23,383","23,383",-,-,"23,959","23,959","23,959",-,-,"74,197","73,349","59,930","13,419","13,419",848
"Jackson, MO",12,"93,287","93,287","93,133",154,-,"37,945","37,945","37,791",154,-,"38,226","38,226","38,226",-,-,"17,116","17,116","17,116",-,-,-
"Jefferson, AL",9,"78,935","78,935","78,935",-,-,"27,269","27,269","27,269",-,-,"23,540","23,540","23,540",-,-,"28,126","28,126","28,126",-,-,-
"Jefferson, CO",12,"114,159","114,159","111,885","2,274",-,"48,189","48,189","46,023","2,166",-,"21,412","21,412","21,304",108,-,"44,558","44,558","44,558",-,-,-
"Johnson, KS",12,"121,623","121,623","121,276",347,-,"80,007","80,007","79,703",304,-,"20,130","20,130","20,087",43,-,"21,486","21,486","21,486",-,-,-
"Kane, IL",11,"54,368","54,368","53,947",421,-,"13,967","13,967","13,546",421,-,"21,242","21,242","21,242",-,-,"19,159","19,159","19,159",-,-,-
"Kent, MI",12,"96,454","96,454","96,360",94,-,"27,110","27,110","27,110",-,-,"35,040","35,040","34,946",94,-,"34,304","34,304","34,304",-,-,-
"Kern, CA",6,"375,260","360,778","355,471","5,307","14,482","115,649","115,649","111,380","4,269",-,"102,013","87,531","87,239",292,"14,482","157,598","157,598","156,852",746,-,-
"King, WA",12,"507,782","507,782","505,080","2,702",-,"150,199","150,199","149,236",963,-,"200,600","200,600","199,681",919,-,"156,983","156,983","156,163",820,740,-
"Lake, IL",11,"112,558","112,558","112,558",-,-,"41,120","41,120","41,120",-,-,"41,558","41,558","41,558",-,-,"29,880","29,880","29,880",-,-,-
"Lake, IN",12,"71,670","71,670","69,088","2,582",-,"15,393","15,393","15,147",246,-,"28,747","28,747","28,502",245,-,"27,530","27,530","25,439","2,091","2,007",-
"Lancaster, PA",12,"105,986","105,986","104,628","1,358",-,"19,177","19,177","18,032","1,145",-,"34,942","34,942","34,735",207,-,"51,867","51,867","51,861",6,-,-
"Lee, FL",9,"180,998","180,998","176,932","4,066",-,"98,624","98,624","95,233","3,391",-,"30,618","30,618","30,180",438,-,"51,756","51,756","51,519",237,-,-
"Los Angeles, CA",6,"4,225,838","3,979,956","3,913,800","66,156","245,882","1,772,604","1,772,604","1,735,253","37,351",-,"1,129,910","884,028","882,463","1,565","245,882","1,323,324","1,323,324","1,296,084","27,240","22,088",-
"Macomb, MI",12,"123,117","123,117","122,676",441,-,"53,766","53,766","53,595",171,-,"40,415","40,415","40,393",22,-,"28,936","28,936","28,688",248,-,-
"Maricopa, AZ",6,"922,469","922,032","898,079","23,953",437,"116,042","115,606","105,260","10,346",436,"350,769","350,769","349,451","1,318",-,"455,658","455,657","443,368","12,289","5,466",1
"Mecklenburg, NC",6,"247,349","234,032","233,798",234,"13,317","130,636","117,319","117,090",229,"13,317","12,180","12,180","12,175",5,-,"104,533","104,533","104,533",-,-,-
"Middlesex, NJ",12,"78,264","78,264","78,264",-,-,"21,762","21,762","21,762",-,-,"18,810","18,810","18,810",-,-,"37,692","37,692","37,692",-,-,-
"Milwaukee, WI",12,"236,726","236,726","235,269","1,457",-,"35,869","35,869","35,869",-,-,"62,264","62,264","62,264",-,-,"138,593","138,593","137,136","1,457","1,457",-
"Monmouth, NJ",12,"93,818","93,818","93,818",-,-,"23,304","23,304","23,304",-,-,"25,107","25,107","25,107",-,-,"45,407","45,407","45,407",-,-,-
"Monroe, NY",12,"212,743","208,840","207,727","1,113","3,903","69,808","69,808","68,695","1,113",-,"39,785","39,785","39,785",-,-,"103,150","99,247","99,247",-,-,"3,903"
"Montgomery, MD",6,"413,233","413,233","413,233",-,-,"287,728","287,728","287,728",-,-,"55,421","55,421","55,421",-,-,"70,084","70,084","70,084",-,-,-
"Montgomery, OH",12,"136,486","134,599","132,096","2,503","1,887","34,240","33,709","32,467","1,242",531,"66,705","65,349","64,373",976,"1,356","35,541","35,541","35,256",285,-,-
"Montgomery, PA",12,"124,339","124,339","124,120",219,-,"3,552","3,552","3,552",-,-,"62,970","62,970","62,970",-,-,"57,817","57,817","57,598",219,219,-
"Multnomah, OR",6,"189,472","189,472","188,846",626,-,"29,884","29,884","29,361",523,-,"26,290","26,290","26,286",4,-,"133,298","133,298","133,199",99,-,-
"Nassau, NY",12,"1,106,409","1,101,184","1,078,272","22,912","5,225","805,829","805,829","786,244","19,585",-,"75,214","75,214","75,140",74,-,"225,366","220,141","216,888","3,253","3,217","5,225"
"New Castle, DE",6,"85,607","85,607","81,777","3,830",-,"76,081","76,081","72,251","3,830",-,"9,526","9,526","9,526",-,-,-,-,-,-,-,-
"Norfolk, MA",12,240,240,240,-,-,-,-,-,-,-,240,240,240,-,-,-,-,-,-,-,-
"Oakland, MI",9,"198,501","195,297","191,638","3,659","3,204","53,082","53,082","49,837","3,245",-,"74,560","71,356","71,125",231,"3,204","70,859","70,859","70,676",183,-,-
"Ocean, NJ",12,"80,667","80,667","79,977",690,-,"32,019","32,019","32,019",-,-,"17,341","17,341","17,341",-,-,"31,307","31,307","30,617",690,690,-
"Oklahoma, OK",6,"65,226","65,226","63,126","2,100",-,"11,609","11,609","11,189",420,-,"8,486","8,486","8,417",69,-,"45,131","45,131","43,520","1,611",-,-
"Orange, CA",6,"861,317","802,197","787,547","14,650","59,120","325,102","325,102","320,236","4,866",-,"262,904","203,784","200,581","3,203","59,120","273,311","273,311","266,730","6,581",-,-
"Orange, FL",9,"387,475","387,475","372,388","15,087",-,"195,614","195,614","183,266","12,348",-,"48,836","48,836","48,052",784,-,"143,025","143,025","141,070","1,955",-,-
"Palm Beach, FL",9,"515,099","515,099","496,870","18,229",-,"327,886","327,886","310,235","17,651",-,"52,093","52,093","51,743",350,-,"135,120","135,120","134,892",228,-,-
"Passaic, NJ",12,"93,694","93,694","93,694",-,-,"11,969","11,969","11,969",-,-,"20,839","20,839","20,839",-,-,"60,886","60,886","60,886",-,-,-
"Pierce, WA",12,"201,719","201,719","199,589","2,130",-,"60,991","60,991","58,898","2,093",-,"73,814","73,814","73,809",5,-,"66,914","66,914","66,882",32,-,-
"Pima, AZ",6,"270,295","270,295","267,873","2,422",-,"92,981","92,981","91,189","1,792",-,"128,920","128,920","128,290",630,-,"48,394","48,394","48,394",-,-,-
"Pinellas, FL",9,"288,869","288,869","272,834","16,035",-,"139,059","139,059","131,869","7,190",-,"42,551","42,551","41,143","1,408",-,"107,259","107,259","99,822","7,437",-,-
"Polk, FL",9,"167,258","167,258","157,393","9,865",-,"93,298","93,298","86,340","6,958",-,"22,459","22,459","21,479",980,-,"51,501","51,501","49,574","1,927",-,-
"Prince Georges, MD",6,"380,867","380,867","380,690",177,-,"265,052","265,052","264,875",177,-,"53,690","53,690","53,690",-,-,"62,125","62,125","62,125",-,-,-
"Riverside, CA",6,"912,498","887,532","843,593","43,939","24,966","394,373","394,373","390,144","4,229",-,"222,394","197,428","172,444","24,984","24,966","295,731","295,731","281,005","14,726",-,-
"Sacramento, CA",6,"568,648","546,085","541,818","4,267","22,563","168,904","168,904","168,904",-,-,"163,056","140,493","137,543","2,950","22,563","236,688","236,688","235,371","1,317",-,-
"Salt Lake, UT",12,"180,760","180,760","179,678","1,082",-,"43,509","43,509","43,498",11,-,"56,809","56,809","55,911",898,-,"80,442","80,442","80,269",173,-,-
"San Bernardino, CA",6,"708,707","685,153","630,889","54,264","23,554","287,340","287,340","278,245","9,095",-,"130,944","107,390","104,443","2,947","23,554","290,423","290,423","248,201","42,222",-,-
"San Diego, CA",6,"1,072,757","1,015,760","869,017","146,743","56,997","277,294","277,294","273,429","3,865",-,"439,613","382,616","240,007","142,609","56,997","355,850","355,850","355,581",269,-,-
"San Joaquin, CA",6,"249,397","240,695","239,231","1,464","8,702","66,924","66,924","66,252",672,-,"78,800","70,098","69,953",145,"8,702","103,673","103,673","103,026",647,-,-
"San Mateo, CA",6,"324,539","309,835","305,471","4,364","14,704","112,364","112,364","108,765","3,599",-,"90,197","75,493","75,483",10,"14,704","121,978","121,978","121,223",755,-,-
"Santa Clara, CA",6,"683,703","644,052","640,967","3,085","39,651","126,558","126,558","126,376",182,-,"216,706","177,055","175,974","1,081","39,651","340,439","340,439","338,617","1,822",-,-
"Shelby, TN",6,"306,948","306,948","298,443","8,505",-,"157,853","157,853","150,514","7,339",-,"89,734","89,734","89,112",622,-,"59,361","59,361","58,817",544,21,-
"Snohomish, WA",12,"150,562","150,562","148,095","2,467",-,"47,128","47,128","45,898","1,230",-,"49,990","49,990","49,122",868,-,"53,444","53,444","53,075",369,368,-
"St. Louis, MO",12,"183,353","183,353","151,000","32,353",-,"126,135","126,135","94,187","31,948",-,"33,665","33,665","33,311",354,-,"23,553","23,553","23,502",51,-,-
"Stanislaus, CA",6,"158,149","153,563","151,717","1,846","4,586","44,405","44,405","42,786","1,619",-,"53,653","49,067","48,886",181,"4,586","60,091","60,091","60,045",46,-,-
"Suffolk, NY",12,"686,103","680,996","673,100","7,896","5,107","463,390","463,390","455,912","7,478",-,"68,300","68,300","68,057",243,-,"154,413","149,306","149,131",175,-,"5,107"
"Summit, OH",12,"104,320","104,320","104,320",-,-,"20,266","20,266","20,266",-,-,"32,895","32,895","32,895",-,-,"51,159","51,159","51,159",-,-,-
"Tarrant, TX",9,"275,516","275,516","251,540","23,976",-,"47,503","47,503","47,438",65,-,"133,365","133,365","112,211","21,154",-,"94,648","94,648","91,891","2,757","2,434",-
"Travis, TX",9,"315,181","315,181","306,610","8,571",-,"59,090","59,090","58,940",150,-,"103,433","103,433","95,031","8,402",-,"152,658","152,658","152,639",19,-,-
"Tulsa, OK",6,"72,857","72,857","71,684","1,173",-,"13,036","13,036","12,183",853,-,"15,438","15,438","15,413",25,-,"44,383","44,383","44,088",295,-,-
"Union, NJ",12,"90,092","90,092","89,268",824,-,"28,011","28,011","27,535",476,-,"23,018","23,018","22,716",302,-,"39,063","39,063","39,017",46,-,-
"Utah, UT",12,"52,930","52,930","52,704",226,-,"12,568","12,568","12,466",102,-,"14,941","14,941","14,917",24,-,"25,421","25,421","25,321",100,13,-
"Ventura, CA",6,"426,019","414,001","409,977","4,024","12,018","152,690","152,690","151,594","1,096",-,"111,197","99,179","97,678","1,501","12,018","162,132","162,132","160,705","1,427",-,-
"Wake, NC",6,"99,606","98,781","87,383","11,398",825,"49,949","49,649","47,234","2,415",300,"11,076","11,076","2,315","8,761",-,"38,581","38,056","37,834",222,149,525
"Washington, OR",6,"124,220","124,220","122,736","1,484",-,"65,944","65,944","64,787","1,157",-,"10,679","10,679","10,679",-,-,"47,597","47,597","47,270",327,-,-
"Wayne, MI",9,"719,345","631,761","587,976","43,785","87,584","36,181","32,650","32,458",192,"3,531","376,858","298,420","296,343","2,077","78,438","306,306","300,691","259,175","41,516","41,368","5,615"
"Westchester, NY",12,"257,137","257,137","256,371",766,-,"35,440","35,440","35,125",315,-,"66,250","66,250","65,962",288,-,"155,447","155,447","155,284",163,-,-
"Will, IL",11,"136,934","136,934","134,630","2,304",-,"56,014","56,014","53,745","2,269",-,"44,381","44,381","44,381",-,-,"36,539","36,539","36,504",35,-,-
Note: Fiscal years ended in months between July 2013 and June 2014.,,,,,,,,,,,,,,,,,,,,,,
