Bureau of Justice Statistics,,,,,,
Filename: jeee14fut19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2014/a,"Expenditures, fiscal 2014 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2014 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2014 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2014, all functions","Full-time equivalent employment, March 2014, general functions only/c"
"Johnson, KS","573,043","623,068","554,478","602,635","3,345","3,336"
"Kane, IL","526,028","188,302","188,302","188,302","1,389","1,389"
"Kent, MI","631,451","587,929","587,929","556,832","1,897","1,897"
"Kern, CA","869,957","2,205,336","2,121,402","1,939,927","9,615","9,615"
"King, WA","2,085,730","2,518,517","2,514,323","1,812,286","13,153","9,143"
"Lake, IL","704,618","447,291","447,291","437,716","2,629","2,596"
"Lake, IN","490,973","178,594","178,594","178,594","2,477","2,477"
"Lancaster, PA","533,320","389,784","389,692","377,697","1,852","1,852"
"Lee, FL","677,361","933,690","928,850","832,979","4,559","4,167"
"Los Angeles, CA","10,048,408","23,502,214","23,110,652","20,632,969","100,642","100,545"
"Macomb, MI","862,959","720,920","707,917","657,696","2,646","2,646"
"Maricopa, AZ","4,095,508","1,847,931","1,623,158","1,847,931","12,914","12,914"
"Mecklenburg, NC","1,010,412","2,591,477","2,520,521","2,478,569","24,625","24,625"
"Middlesex, NJ","824,349","742,336","737,087","742,336","3,408","3,408"
"Milwaukee, WI","958,546","1,433,169","1,433,169","1,106,258","6,754","5,713"
"Monmouth, NJ","625,647","732,877","705,135","732,811","4,342","4,342"
"Monroe, NY","747,425","2,000,103","1,312,473","1,915,267","5,770","5,553"
"Montgomery, MD","1,025,617","7,097,536","6,943,028","6,126,889","37,160","36,321"
"Montgomery, OH","532,469","631,128","594,891","599,525","4,223","4,048"
"Montgomery, PA","815,880","567,863","547,846","528,050","3,311","3,311"
"Multnomah, OR","778,604","984,586","955,614","984,586","4,673","4,673"
"Nassau, NY","1,355,029","3,982,762","3,597,803","3,941,101","13,763","13,763"
"New Castle, DE","550,851","344,503","344,503","313,635","1,620","1,620"
"Norfolk, MA","692,399","84,198","84,198","41,578",214,214
"Oakland, MI","1,242,993","1,117,534","1,089,698","1,031,655","3,786","3,786"
"Ocean, NJ","584,449","603,389","600,538","603,079","3,401","3,263"
"Oklahoma, OK","767,316","140,870","140,870","140,870","2,157","2,157"
"Orange, CA","3,130,322","4,067,379","3,959,079","3,481,095","19,363","19,345"
"Orange, FL","1,256,908","1,845,109","1,784,614","1,759,153","10,193","9,583"
"Palm Beach, FL","1,399,039","2,130,637","2,097,637","1,983,850","11,012","10,480"
"Passaic, NJ","504,758","653,391","624,889","653,367","3,530","3,530"
"Pierce, WA","828,920","608,645","608,639","608,524","3,127","3,127"
"Pima, AZ","1,004,675","878,265","878,166","859,260","6,423","6,360"
"Pinellas, FL","936,517","1,086,825","1,009,576","995,454","5,501","5,267"
"Polk, FL","634,520","608,181","608,181","523,664","4,209","4,058"
"Prince Georges, MD","899,223","4,315,495","4,237,875","3,995,130","29,133","28,879"
"Riverside, CA","2,317,955","3,942,106","3,907,247","3,942,106","21,647","21,647"
"Sacramento, CA","1,475,618","2,936,716","2,861,105","2,531,558","12,046","11,599"
"Salt Lake, UT","1,090,257","698,794","692,835","698,794","5,462","5,462"
"San Bernardino, CA","2,100,776","4,051,855","3,851,111","3,648,267","19,548","19,546"
"San Diego, CA","3,250,993","4,740,920","4,411,220","4,180,170","19,775","19,775"
"San Joaquin, CA","711,771","1,467,019","1,413,431","1,307,541","6,831","6,831"
"San Mateo, CA","757,670","1,718,109","1,639,082","1,555,549","5,531","5,531"
"Santa Clara, CA","1,892,984","4,683,999","4,570,233","4,683,999","18,063","18,063"
"Shelby, TN","938,576","2,672,623","2,549,026","2,598,822","25,188","25,188"
"Snohomish, WA","757,417","501,774","501,774","501,774","2,640","2,640"
"St. Louis, MO","1,000,588","684,865","575,332","524,411","3,921","3,921"
"Stanislaus, CA","528,346","1,046,703","990,320","946,678","4,531","4,531"
"Suffolk, NY","1,495,757","3,483,129","3,209,522","3,172,519","12,717","12,155"
"Summit, OH","542,462","484,841","484,474","484,841","3,568","3,568"
"Tarrant, TX","1,946,639","1,594,754","1,594,754","1,594,754","12,356","12,356"
"Travis, TX","1,152,758","801,411","801,411","801,411","6,753","6,753"
"Tulsa, OK","631,441","283,879","283,518","267,627","2,110","2,110"
"Union, NJ","548,282","667,343","632,719","667,343","3,786","3,786"
"Utah, UT","560,751","182,429","148,666","151,859","1,359","1,357"
"Ventura, CA","842,946","2,216,850","2,113,862","1,955,771","9,088","9,038"
"Wake, NC","997,789","2,258,914","2,155,380","2,190,909","23,723","23,723"
"Washington, OR","562,539","522,859","522,624","522,859","1,823","1,823"
"Wayne, MI","1,771,931","1,987,423","1,661,104","1,853,890","4,100","4,100"
"Westchester, NY","967,407","3,589,843","3,132,094","3,426,974","9,447","9,408"
"Will, IL","685,369","338,062","337,832","338,062","2,302","2,302"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
