"Orange, FL",9,392098,392098,379297,12801,-,192759,192759,185539,7220,-,44593,44593,41805,2788,-,154746,154746,151953,2793,2048,-,"Orange, FL"
"Palm Beach, FL",9,538738,538738,521530,17208,-,328745,328745,311938,16807,-,74847,74847,74571,276,-,135146,135146,135021,125,-,-,"Palm Beach, FL"
"Pima, AZ",6,383170,383170,361787,21383,-,135237,135237,121776,13461,-,157359,157359,149439,7920,-,90574,90574,90572,2,2,-,"Pima, AZ"
,,,,,,,,,,,,,,,,,,,,,,,
"Pinellas, FL",9,296687,296687,290193,6494,-,145508,145508,142930,2578,-,44277,44277,43234,1043,-,106902,106902,104029,2873,-,-,"Pinellas, FL"
"Prince Georges, MD",6,305771,305771,301586,4185,-,198786,198786,194601,4185,-,47367,47367,47367,-,-,59618,59618,59618,-,-,-,"Prince Georges, MD"
"Riverside, CA",6,838815,838815,819814,19001,-,360121,360121,354845,5276,-,240797,240797,231435,9362,-,237897,237897,233534,4363,-,-,"Riverside, CA"
"Sacramento, CA",6,551888,551888,545887,6001,-,157703,157703,157703,-,-,192484,192484,191934,550,-,201701,201701,196250,5451,-,-,"Sacramento, CA"
"St. Louis, MO",12,157011,157011,154924,2087,-,99082,99082,97369,1713,-,35617,35617,35321,296,-,22312,22312,22234,78,-,-,"St. Louis, MO"
"Salt Lake, UT",12,184676,184676,178141,6535,-,50619,50619,50577,42,-,56819,56819,50641,6178,-,77238,77238,76923,315,-,-,"Salt Lake, UT"
"San Bernardino, CA",6,691114,691114,600767,90347,-,249575,249575,247823,1752,-,209008,209008,158374,50634,-,232531,232531,194570,37961,-,-,"San Bernardino, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA",6,811756,811756,785652,26104,-,234928,234928,230998,3930,-,302850,302850,282132,20718,-,273978,273978,272522,1456,-,-,"San Diego, CA"
"San Mateo, CA",6,312680,312680,307011,5669,-,100192,100192,94523,5669,-,90156,90156,90156,-,-,122332,122332,122332,-,-,-,"San Mateo, CA"
"Santa Clara, CA",6,670764,670764,666411,4353,-,119329,119329,118986,343,-,240011,240011,236205,3806,-,311424,311424,311220,204,-,-,"Santa Clara, CA"
"Shelby, TN",6,278832,278655,274560,4095,177,148404,148227,144751,3476,177,69196,69196,69142,54,-,61232,61232,60667,565,-,-,"Shelby, TN"
"Suffolk, NY",12,753498,753498,696812,56686,-,501817,501817,497169,4648,-,67639,67639,57870,9769,-,184042,184042,141773,42269,41746,-,"Suffolk, NY"
"Summit, OH",12,97182,97182,97182,-,-,22663,22663,22663,-,-,39572,39572,39572,-,-,34947,34947,34947,-,-,-,"Summit, OH"
,,,,,,,,,,,,,,,,,,,,,,,
"Tarrant, TX",9,262322,262322,260002,2320,-,57409,57409,56453,956,-,98429,98429,97311,1118,-,106484,106484,106238,246,179,-,"Tarrant, TX"
"Travis, TX",9,378638,378638,298345,80293,-,60738,60738,52734,8004,-,158273,158273,95281,62992,-,159627,159627,150330,9297,8700,-,"Travis, TX"
"Union, NJ",12,94424,94424,89876,4548,-,30027,30027,25799,4228,-,23552,23552,23287,265,-,40845,40845,40790,55,-,-,"Union, NJ"
"Ventura, CA",6,392948,392948,390376,2572,-,146113,146113,145277,836,-,101404,101404,99904,1500,-,145431,145431,145195,236,-,-,"Ventura, CA"
"Wayne, MI",11,596969,582606,556186,26420,14363,37997,32828,32471,357,5169,279172,274839,273935,904,4333,279800,274939,249780,25159,10838,4861,"Wayne, MI"
"Westchester, NY",12,288344,288344,287248,1096,-,40902,40902,40110,792,-,87171,87171,87051,120,-,160271,160271,160087,184,-,-,"Westchester, NY"
Note: Fiscal years end in months between July 2010 and June 2011.,,,,,,,,,,,,,,,,,,,,,,,
