Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee11t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2011",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2011",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
,Population 2011 thousands,Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total criminal justice system,Amount,Percent of total justice system,Amount,Percent of total justice system
State and type of government,,,,,,,,,,
,,,,,,,,,,
West Virginia,1855,16383046,897697,5.5,357197,39.8,216126,24.1,324374,36.1
State,-,10466451,496907,4.7,76036,15.3,151563,30.5,269308,54.2
"Local, total",-,5916595,400790,6.8,281161,70.2,64563,16.1,55066,13.7
Counties,-,903016,260391,28.8,147169,56.5,58156,22.3,55066,21.1
Municipalities,-,1138147,140399,12.3,133992,95.4,6407,4.6,0,0
,,,,,,,,,,
Wisconsin,5710,56892801,3934000,6.9,1792775,45.6,597599,15.2,1543626,39.2
State,-,28920878,1456805,5,127402,8.7,281853,19.3,1047550,71.9
"Local, total",-,27971923,2477195,8.9,1665373,67.2,315746,12.7,496076,20
Counties,-,6174663,1214002,19.7,471718,38.9,252384,20.8,489900,40.4
Municipalities,-,7540518,1239562,16.4,1171961,94.5,61425,5,6176,0.5
,,,,,,,,,,
Wyoming,568,8649067,536390,6.2,218891,40.8,115570,21.5,201929,37.6
State,-,4020493,257244,6.4,49415,19.2,71115,27.6,136714,53.1
"Local, total",-,4628574,279146,6,169476,60.7,44455,15.9,65215,23.4
Counties,-,1065755,168813,15.8,69660,41.3,35279,20.9,63874,37.8
Municipalities,-,905179,109439,12.1,99810,91.2,9176,8.4,453,0.4
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2016 (NST-EST2016-01), December 2016.",,,,,,,,,,
"a/Total direct expenditures include outlays of states and all types of local governments including independent school districts and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
b/Justice system expenditure of independent school districts (primarily for special police forces) are not available. ,,,,,,,,,,
