Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee11t11.csv,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2011",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2011",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
South Dakota,1855,1729,1797,6499,3652,328,315,322,1204,3753,665,577,623,2617,4318,862,837,852,2678,3155,South Dakota
Tennessee,11128,11075,11116,39385,3545,1707,1697,1706,7112,4172,2461,2453,2457,12606,5134,6960,6925,6953,19667,2829,Tennessee
Texas,56131,55205,55712,187556,3359,6647,6556,6603,30577,4649,5745,5537,5706,28941,5013,43739,43112,43403,128038,2950,Texas
Utah,5728,5364,5506,21520,3921,864,783,814,3245,4032,1655,1587,1624,7476,4567,3209,2994,3068,10799,3549,Utah
Vermont,2220,2147,2179,9616,4446,474,423,451,2386,5509,684,666,669,2867,4287,1062,1058,1059,4363,4122,Vermont
,,,,,,,,,,,,,,,,,,,,,
Virginia,20938,20151,20498,73631,3594,2991,2844,2934,13467,4631,3899,3553,3635,17108,4695,14048,13754,13929,43056,3095,Virginia
Washington,13413,12805,13239,64387,4888,2255,2223,2242,11963,5348,1957,1861,1925,10923,5675,9201,8721,9072,41501,4603,Washington
West Virginia,6039,5960,6002,19740,3291,1045,1022,1030,4043,3940,1563,1517,1545,6605,4288,3431,3421,3427,9092,2654,West Virginia
Wisconsin,13250,12333,12841,60536,4665,914,889,899,5074,5669,2278,2007,2178,13224,6192,10058,9437,9764,42238,4246,Wisconsin
Wyoming,2288,2234,2258,9219,4063,299,299,299,1376,4602,593,544,566,3001,5264,1396,1391,1393,4842,3477,Wyoming
