Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee11t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2011",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2011",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
Illinois,642172,102479,93233,95869,14.9,63167,55335,57428,59.9,16866,15806,16191,16.9,22446,22092,22250,23.2,Illinois
State,131153,17935,17837,17881,13.6,3555,3533,3544,19.8,2685,2613,2644,14.8,11695,11691,11693,65.4,State
"Local, total",511019,84544,75396,77988,15.3,59612,51802,53884,69.1,14181,13193,13547,17.4,10751,10401,10557,13.5,"Local, total"
Counties,62334,33138,30199,31077,49.9,9034,7317,7712,24.8,13358,12487,12814,41.2,10746,10395,10551,34,Counties
Municipalities,91126,24175,18936,20466,22.5,23345,18223,19726,96.4,823,706,733,3.6,7,7,7,0,Municipalities
,,,,,,,,,,,,,,,,,,
Indiana,329100,37471,33916,35157,10.7,16948,15047,15555,44.2,7835,6826,7256,20.6,12688,12043,12346,35.1,Indiana
State,89796,9648,9592,9616,10.7,1920,1918,1919,20,1440,1389,1411,14.7,6288,6285,6286,65.4,State
"Local, total",239304,27823,24324,25541,10.7,15028,13129,13636,53.4,6395,5437,5845,22.9,6400,5758,6060,23.7,"Local, total"
Counties,45884,14046,12065,12809,27.9,4068,3399,3534,27.6,4481,3795,4108,32.1,5497,4871,5167,40.3,Counties
Municipalities,46401,14159,12204,12677,27.3,11394,9726,10099,79.7,1862,1591,1685,13.3,903,887,893,7,Municipalities
,,,,,,,,,,,,,,,,,,
Iowa,173067,15856,14107,14811,8.6,7866,6844,7139,48.2,3137,2889,3027,20.4,4853,4374,4645,31.4,Iowa
State,50378,6386,6040,6250,12.4,1002,972,977,15.6,2240,2105,2189,35,3144,2963,3084,49.3,State
"Local, total",122689,9470,8067,8561,7,6864,5872,6162,72,897,784,838,9.8,1709,1411,1561,18.2,"Local, total"
Counties,24691,4990,4181,4500,18.2,2482,2071,2193,48.7,799,699,746,16.6,1709,1411,1561,34.7,Counties
Municipalities,22049,4691,3886,4085,18.5,4593,3801,3993,97.7,98,85,92,2.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Kansas,195425,20266,18652,19138,9.8,9476,8665,8918,46.6,4136,3560,3717,19.4,6654,6427,6503,34,Kansas
State,43555,6711,6509,6591,15.1,1127,1064,1095,16.6,2151,2030,2072,31.4,3433,3415,3424,51.9,State
"Local, total",151870,13555,12143,12547,8.3,8349,7601,7823,62.3,1985,1530,1645,13.1,3221,3012,3079,24.5,"Local, total"
Counties,22820,6588,5992,6206,27.2,2525,2327,2390,38.5,1101,910,996,16,2962,2755,2820,45.4,Counties
Municipalities,25648,6967,6151,6423,25,5824,5274,5468,85.1,884,620,696,10.8,259,257,259,4,Municipalities
,,,,,,,,,,,,,,,,,,
Kentucky,246469,24694,22737,23882,9.7,10131,9543,9854,41.3,6401,5487,6098,25.5,8162,7707,7930,33.2,Kentucky
State,81493,11709,11139,11602,14.2,2308,2308,2308,19.9,5218,4648,5111,44.1,4183,4183,4183,36.1,State
"Local, total",164976,12985,11598,12280,7.4,7823,7235,7546,61.4,1183,839,987,8,3979,3524,3747,30.5,"Local, total"
Counties,15192,4729,3784,4177,27.5,1559,1358,1443,34.5,611,312,424,10.2,2559,2114,2310,55.3,Counties
Municipalities,30726,8256,7814,8103,26.4,6264,5877,6103,75.3,572,527,563,6.9,1420,1410,1437,17.7,Municipalities
,,,,,,,,,,,,,,,,,,
Louisiana,269826,41226,37698,39474,14.6,19086,17192,18118,45.9,7971,6973,7397,18.7,14169,13533,13959,35.4,Louisiana
State,84402,10092,9896,9988,11.8,1797,1716,1757,17.6,1692,1646,1660,16.6,6603,6534,6571,65.8,State
"Local, total",185424,31134,27802,29486,15.9,17289,15476,16361,55.5,6279,5327,5737,19.5,7566,6999,7388,25.1,"Local, total"
Parishes,47285,17420,15357,16309,34.5,8267,7185,7595,46.6,4060,3530,3736,22.9,5093,4642,4978,30.5,Parishes
Municipalities,37878,13405,12144,12873,34,9022,8291,8766,68.1,2219,1797,2001,15.5,2164,2056,2106,16.4,Municipalities
,,,,,,,,,,,,,,,,,,
Maine,77481,6433,5142,5852,7.6,3186,2768,2939,50.2,1164,760,910,15.6,2083,1614,2003,34.2,Maine
State,21354,2717,1976,2430,11.4,527,526,526,21.6,921,551,680,28,1269,899,1224,50.4,State
"Local, total",56127,3716,3166,3422,6.1,2659,2242,2413,70.5,243,209,230,6.7,814,715,779,22.8,"Local, total"
Counties,1845,1480,1248,1377,74.6,383,339,362,26.3,223,193,212,15.4,874,716,803,58.3,Counties
Municipalities,20340,1298,1149,1224,6,1278,1133,1206,98.5,20,16,18,1.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Maryland,308459,45306,42791,44296,14.4,20233,18898,19547,44.1,8819,8041,8581,19.4,16254,15852,16168,36.5,Maryland
State,86714,19823,19014,19663,22.7,2283,2254,2278,11.6,5146,4704,5057,25.7,12394,12056,12328,62.7,State
"Local, total",221745,25483,23777,24633,11.1,17950,16644,17269,70.1,3673,3337,3524,14.3,3860,3796,3840,15.6,"Local, total"
Counties,186374,19059,17602,18316,9.8,12510,11453,11936,65.2,2689,2353,2540,13.9,3860,3796,3840,21,Counties
Municipalities,33786,6424,6175,6317,18.7,5440,5191,5333,84.4,984,984,984,15.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Massachusetts,321705,41573,37734,38989,12.1,26165,22896,23872,61.2,9483,8960,9224,23.7,5925,5878,5893,15.1,Massachusetts
State,92033,21239,20639,20920,22.7,6086,6014,6038,28.9,9228,8747,8989,43,5925,5878,5893,28.2,State
"Local, total",229672,20334,17095,18069,7.9,20079,16882,17834,98.7,255,213,235,1.3,0,0,0,0,"Local, total"
Counties,1165,19,19,20,1.7,18,18,19,95,1,1,1,5,0,0,0,0,Counties
Municipalities,158410,16111,13861,14862,9.4,15860,13651,14631,98.4,251,210,231,1.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Michigan,455358,54938,50050,52167,11.5,23045,20139,21217,40.7,11363,10310,10819,20.7,20530,19601,20131,38.6,Michigan
State,144921,18274,17969,18177,12.5,2407,2328,2365,13,1381,1325,1361,7.5,14486,14316,14451,79.5,State
"Local, total",310437,36664,32081,33990,10.9,20638,17811,18852,55.5,9982,8985,9458,27.8,6044,5285,5680,16.7,"Local, total"
Counties,52342,19134,17046,17975,34.3,5190,4502,4734,26.3,7986,7316,7633,42.5,5958,5228,5608,31.2,Counties
Municipalities,52039,15844,13594,14502,27.9,13886,11955,12703,87.6,1879,1589,1734,12,79,50,65,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Minnesota,277568,28841,25697,27268,9.8,12987,11487,12048,44.2,6251,5304,5896,21.6,9603,8906,9324,34.2,Minnesota
State,79672,8876,8195,8686,10.9,1048,1003,1029,11.8,3608,3094,3456,39.8,4220,4098,4201,48.4,State
"Local, total",197896,19965,17502,18582,9.4,11939,10484,11019,59.3,2643,2210,2440,13.1,5383,4808,5123,27.6,"Local, total"
Counties,35336,11066,9596,10284,29.1,3387,2897,3049,29.6,2296,1891,2112,20.5,5383,4808,5123,49.8,Counties
Municipalities,37968,8899,7906,8298,21.9,8552,7587,7970,96,347,319,328,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Mississippi,190823,19497,17294,17926,9.4,10719,9391,9767,54.5,3308,2652,2831,15.8,5470,5251,5328,29.7,Mississippi
State,57656,5075,5053,5066,8.8,1179,1179,1179,23.3,718,712,713,14.1,3178,3162,3174,62.7,State
"Local, total",133167,14422,12241,12860,9.7,9540,8212,8588,66.8,2590,1940,2118,16.5,2292,2089,2154,16.7,"Local, total"
Counties,29449,7956,6664,7025,23.9,3843,3215,3380,48.1,1910,1445,1577,22.4,2203,2004,2068,29.4,Counties
Municipalities,23631,6466,5577,5835,24.7,5697,4997,5208,89.3,680,495,541,9.3,89,85,86,1.5,Municipalities
,,,,,,,,,,,,,,,,,,
Missouri,316946,43762,41198,42196,13.3,19431,18304,18721,44.4,8459,7466,7871,18.7,15872,15428,15604,37,Missouri
State,87361,19036,18388,18694,21.4,2509,2369,2450,13.1,4198,3827,3993,21.4,12329,12192,12251,65.5,State
"Local, total",229585,24726,22810,23502,10.2,16922,15935,16271,69.2,4261,3639,3878,16.5,3543,3236,3353,14.3,"Local, total"
Counties,21959,9347,8466,8790,40,3885,3603,3694,42,2895,2550,2695,30.7,2567,2313,2401,27.3,Counties
Municipalities,50837,15379,14344,14712,28.9,13037,12332,12577,85.5,1366,1089,1183,8,976,923,952,6.5,Municipalities
,,,,,,,,,,,,,,,,,,
Montana,57284,6685,5943,6254,10.9,2840,2569,2677,42.8,1794,1404,1566,25,2051,1970,2011,32.2,Montana
State,20795,2527,2388,2466,11.9,474,452,468,19,725,636,684,27.7,1328,1300,1314,53.3,State
"Local, total",36489,4158,3555,3788,10.4,2366,2117,2209,58.3,1069,768,882,23.3,723,670,697,18.4,"Local, total"
Counties,7098,2687,2222,2393,33.7,1149,967,1024,42.8,823,593,680,28.4,715,662,689,28.8,Counties
Municipalities,5099,1471,1333,1395,27.4,1217,1150,1185,84.9,246,175,202,14.5,8,8,8,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
Nebraska,120122,11706,10797,11203,9.3,5165,4755,4919,43.9,2107,1834,1954,17.4,4434,4208,4330,38.7,Nebraska
State,32065,4426,4277,4354,13.6,757,746,753,17.3,762,705,726,16.7,2907,2826,2875,66,State
"Local, total",88057,7280,6520,6849,7.8,4408,4009,4166,60.8,1345,1129,1228,17.9,1527,1382,1455,21.2,"Local, total"
Counties,12847,4115,3636,3848,30,1359,1219,1265,32.9,1229,1035,1128,29.3,1527,1382,1455,37.8,Counties
Municipalities,13174,3164,2883,3011,22.9,3049,2790,2912,96.7,115,93,99,3.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Nevada,113923,19607,18044,18683,16.4,9225,8246,8595,46,3860,3583,3736,20,6522,6215,6352,34,Nevada
State,28121,5302,5242,5257,18.7,993,993,993,18.9,755,738,741,14.1,3554,3511,3523,67,State
"Local, total",85802,14305,12802,13426,15.6,8232,7253,7602,56.6,3105,2845,2995,22.3,2968,2704,2829,21.1,"Local, total"
Counties,26694,10737,9642,10114,37.9,6015,5360,5591,55.3,2407,2208,2332,23.1,2315,2074,2191,21.7,Counties
Municipalities,10048,3568,3160,3312,33,2217,1893,2011,60.7,698,637,663,20,653,630,638,19.3,Municipalities
,,,,,,,,,,,,,,,,,,
New Hampshire,72142,7676,6646,7065,9.8,4428,3697,3989,56.5,1351,1164,1233,17.5,1897,1785,1843,26.1,New Hampshire
State,19394,2596,2507,2557,13.2,513,490,506,19.8,934,926,930,36.4,1149,1091,1121,43.8,State
"Local, total",52748,5080,4139,4508,8.5,3915,3207,3483,77.3,417,238,303,6.7,748,694,722,16,"Local, total"
Counties,4399,1588,1139,1317,29.9,488,263,354,26.9,352,182,241,18.3,748,694,722,54.8,Counties
Municipalities,23069,1730,1511,1601,6.9,1687,1474,1561,97.5,43,37,40,2.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Jersey,487286,79390,68109,71668,14.7,41809,32950,35765,49.9,21748,19472,20134,28.1,15833,15687,15769,22,New Jersey
State,146801,26576,26345,26464,18,4165,4130,4147,15.7,13226,13040,13137,49.6,9185,9175,9180,34.7,State
"Local, total",340485,52814,41764,45204,13.3,37644,28820,31618,69.9,8522,6432,6997,15.5,6648,6512,6589,14.6,"Local, total"
Counties,92567,18125,17229,18045,19.5,6106,5895,6129,34,5385,4823,5336,29.6,6634,6511,6580,36.5,Counties
Municipalities,68842,21343,15268,16985,24.7,19072,14166,15703,92.5,2271,1102,1282,7.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Mexico,125645,16027,15398,15690,12.5,6099,5761,5903,37.6,3670,3464,3560,22.7,6258,6173,6227,39.7,New Mexico
State,46794,7503,7346,7433,15.9,504,504,504,6.8,3212,3094,3156,42.5,3787,3748,3773,50.8,State
"Local, total",78851,8524,8052,8257,10.5,5595,5257,5399,65.4,458,370,404,4.9,2471,2425,2454,29.7,"Local, total"
Counties,10505,4351,4226,4291,40.8,1807,1740,1769,41.2,97,85,92,2.1,2447,2401,2430,56.6,Counties
Municipalities,17050,4173,3826,3966,23.3,3788,3517,3630,91.5,361,285,312,7.9,24,24,24,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
New York,1177474,182335,167170,172002,14.6,90595,81994,84600,49.2,35213,29752,31393,18.3,56527,55424,56009,32.6,New York
State,243647,57756,56563,57351,23.5,6152,6031,6140,10.7,19633,18965,19411,33.8,31971,31567,31800,55.4,State
"Local, total",933827,124579,110607,114651,12.3,84443,75963,78460,68.4,15580,10787,11982,10.5,24556,23857,24209,21.1,"Local, total"
Counties,112570,32088,26726,28519,25.3,14358,11628,12682,44.5,5945,3899,4375,15.3,11785,11199,11462,40.2,Counties
Municipalities,669890,87103,80663,82522,12.3,66493,61725,62913,76.2,7846,6280,6865,8.3,12764,12658,12744,15.4,Municipalities
,,,,,,,,,,,,,,,,,,
North Carolina,555658,63561,60794,61795,11.1,28938,27184,27935,45.2,7918,7277,7380,11.9,26705,26333,26480,42.9,North Carolina
State,154364,31622,31107,31143,20.2,3428,3421,3422,11,6976,6517,6546,21,21218,21169,21175,68,State
"Local, total",401294,31939,29687,30652,7.6,25510,23763,24513,80,942,760,834,2.7,5487,5164,5305,17.3,"Local, total"
Counties,318033,16949,15497,16088,5.1,10891,9944,10337,64.3,836,630,692,4.3,5222,4923,5059,31.4,Counties
Municipalities,55027,15055,14190,14564,26.5,14619,13819,14176,97.3,171,130,142,1,265,241,246,1.7,Municipalities
,,,,,,,,,,,,,,,,,,
North Dakota,44556,3999,3537,3658,8.2,1552,1465,1481,40.5,1057,831,867,23.7,1390,1241,1310,35.8,North Dakota
State,18592,1615,1480,1529,8.2,189,185,186,12.2,607,561,571,37.3,819,734,772,50.5,State
"Local, total",25964,2384,2057,2129,8.2,1363,1280,1295,60.8,450,270,296,13.9,571,507,538,25.3,"Local, total"
Counties,3933,1297,1172,1217,30.9,456,438,441,36.2,275,232,243,20,566,502,533,43.8,Counties
Municipalities,4260,1082,880,907,21.3,907,842,854,94.2,175,38,53,5.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Ohio,593552,80920,72006,75540,12.7,34590,29607,31462,41.6,22726,19443,20774,27.5,23604,22956,23304,30.8,Ohio
State,139049,20964,20300,20641,14.8,2524,2513,2523,12.2,3152,2585,2857,13.8,15288,15202,15261,73.9,State
"Local, total",454503,59956,51706,54899,12.1,32066,27094,28939,52.7,19574,16858,17917,32.6,8316,7754,8043,14.7,"Local, total"
Counties,92920,31341,28083,29386,31.6,9175,7866,8288,28.2,14553,13024,13686,46.6,7613,7193,7412,25.2,Counties
Municipalities,81980,27537,22813,24652,30.1,21826,18422,19797,80.3,5008,3830,4224,17.1,703,561,631,2.6,Municipalities
,,,,,,,,,,,,,,,,,,
Oklahoma,214301,22799,21058,21657,10.1,11390,10274,10669,49.3,4780,4332,4461,20.6,6629,6452,6527,30.1,Oklahoma
State,68339,9641,9420,9523,13.9,1920,1849,1885,19.8,2830,2728,2774,29.1,4891,4843,4864,51.1,State
"Local, total",145962,13158,11638,12134,8.3,9470,8425,8784,72.4,1950,1604,1687,13.9,1738,1609,1663,13.7,"Local, total"
Counties,16926,5775,4956,5177,30.6,2575,2053,2178,42.1,1275,1094,1142,22.1,1925,1809,1857,35.9,Counties
Municipalities,33920,7676,6975,7250,21.4,6895,6372,6606,91.1,675,510,545,7.5,106,93,99,1.4,Municipalities
,,,,,,,,,,,,,,,,,,
Oregon,197133,23494,21915,22562,11.4,9522,8923,9149,40.6,4953,4498,4717,20.9,9019,8494,8696,38.5,Oregon
State,65542,9770,9351,9538,14.6,1450,1301,1339,14,3124,2956,3063,32.1,5196,5094,5136,53.8,State
"Local, total",131591,13724,12564,13024,9.9,8072,7622,7810,60,1829,1542,1654,12.7,3823,3400,3560,27.3,"Local, total"
Counties,21226,8272,7430,7812,36.8,3012,2797,2931,37.5,1455,1252,1340,17.2,3805,3381,3541,45.3,Counties
Municipalities,22255,5453,5134,5245,23.6,5060,4825,4912,93.7,374,290,314,6,19,19,19,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Pennsylvania,596074,90648,77538,83075,13.9,39419,29756,33731,40.6,18988,16985,17745,21.4,32241,30797,31599,38,Pennsylvania
State,168548,28765,27587,28294,16.8,6693,6400,6620,23.4,3045,2928,3008,10.6,19027,18259,18666,66,State
"Local, total",427526,61883,49951,54781,12.8,32726,23356,27111,49.5,15943,14057,14737,26.9,13214,12538,12933,23.6,"Local, total"
