Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0505.csv,,,,,,,,,,,,,,,,,,,,,,
"table #.  5 Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
California,"1,770,993","238,013","222,545","230,049",13,,"104,195","96,441","99,567",43.3,,"51,967","48,822","50,410",21.9,,"81,851","77,282","80,072",34.8,,California
State,"386,717","68,214","64,553","66,421",17.2,,"13,636","12,553","12,701",19.1,,"4,551","4,117","4,291",6.5,,"50,027","47,883","49,429",74.4,,State
"Local, total","1,384,276","169,799","157,992","163,628",11.8,,"90,559","83,888","86,866",53.1,,"47,416","44,705","46,119",28.2,,"31,824","29,399","30,643",18.7,,"Local, total"
Counties,"340,381","105,295","98,817","102,023",30,,"31,246","29,799","30,401",29.8,,"43,607","41,001","42,361",41.5,,"30,442","28,017","29,261",28.7,,Counties
Municipalities,"249,208","64,504","59,175","61,605",24.7,,"59,313","54,089","56,465",91.7,,"3,809","3,704","3,758",6.1,,"1,382","1,382","1,382",2.2,,Municipalities

Colorado,"249,980","30,355","28,407","29,269",11.7,,"13,453","12,912","13,112",44.8,,"6,576","5,343","5,903",20.2,,"10,326","10,152","10,254",35,,Colorado
State,"65,947","11,546","10,664","11,195",17,,"1,179","1,160","1,170",10.5,,"3,820","3,032","3,503",31.3,,"6,547","6,472","6,522",58.3,,State
"Local, total","184,033","18,809","17,743","18,074",9.8,,"12,274","11,752","11,942",66.1,,"2,756","2,311","2,400",13.3,,"3,779","3,680","3,732",20.6,,"Local, total"
Counties,"25,656","7,494","7,218","7,331",28.6,,"3,541","3,395","3,440",46.9,,"1,113","1,069","1,092",14.9,,"2,840","2,754","2,799",38.2,,Counties
Municipalities,"42,968","11,315","10,525","10,743",25,,"8,733","8,357","8,502",79.1,,"1,643","1,242","1,308",12.2,,939,926,933,8.7,,Municipalities

Connecticut,"185,183","24,978","22,548","23,329",12.6,,"12,220","10,207","10,845",46.5,,"4,966","4,696","4,757",20.4,,"7,792","7,645","7,727",33.1,,Connecticut
State,"59,791","14,552","14,127","14,279",23.9,,"2,000","1,958","1,984",13.9,,"4,760","4,524","4,568",32,,"7,792","7,645","7,727",54.1,,State
"Local, total","125,392","10,426","8,421","9,050",7.2,,"10,220","8,249","8,861",97.9,,206,172,189,2.1,,--,--,--,--,,"Local, total"
Municipalities,"114,936","10,426","8,421","9,050",7.9,,"10,220","8,249","8,861",97.9,,206,172,189,2.1,,--,--,--,--,,Municipalities

Delaware,"47,115","7,103","6,623","6,868",14.6,,"2,677","2,405","2,528",36.8,,"1,630","1,568","1,601",23.3,,"2,796","2,650","2,739",39.9,,Delaware
State,"24,547","5,265","5,042","5,171",21.1,,948,909,931,18,,"1,521","1,483","1,501",29,,"2,796","2,650","2,739",53,,State
"Local, total","22,568","1,838","1,581","1,697",7.5,,"1,729","1,496","1,597",94.1,,109,85,100,5.9,,--,--,--,--,,"Local, total"
Counties,"2,492",683,503,593,23.8,,614,446,526,88.7,,69,57,67,11.3,,--,--,--,--,,Counties
Municipalities,"3,277","1,155","1,078","1,104",33.7,,"1,115","1,050","1,071",97,,40,28,33,3,,--,--,--,--,,Municipalities

District of Columbia,"45,951","7,320","7,072","7,189",15.6,,"4,396","4,181","4,284",59.6,,"1,702","1,672","1,684",23.4,,"1,222","1,219","1,221",17,,District of Columbia
"Local, total","45,951","7,320","7,072","7,189",15.6,,"4,396","4,181","4,284",59.6,,"1,702","1,672","1,684",23.4,,"1,222","1,219","1,221",17,,"Local, total"
Municipality,"45,951","7,320","7,072","7,189",15.6,,"4,396","4,181","4,284",59.6,,"1,702","1,672","1,684",23.4,,"1,222","1,219","1,221",17,,Municipality

Florida,"843,201","143,137","135,619","139,158",16.5,,"67,267","60,945","63,814",45.9,,"32,213","31,175","31,758",22.8,,"43,657","43,499","43,586",31.3,,Florida
State,"185,872","51,051","50,518","50,807",27.3,,"4,395","4,366","4,379",8.6,,"18,614","18,139","18,400",36.2,,"28,042","28,013","28,028",55.2,,State
"Local, total","657,329","92,086","85,101","88,351",13.4,,"62,872","56,579","59,435",67.3,,"13,599","13,036","13,358",15.1,,"15,615","15,486","15,558",17.6,,"Local, total"
Counties,"161,782","61,669","57,597","59,276",36.6,,"33,896","30,472","31,798",53.6,,"12,720","12,200","12,482",21.1,,"15,053","14,925","14,996",25.3,,Counties
Municipalities,"108,827","30,417","27,504","29,075",26.7,,"28,976","26,107","27,637",95.1,,879,836,876,3,,562,561,562,1.9,,Municipalities

Georgia,"498,701","69,814","64,310","66,744",13.4,,"27,489","25,086","26,195",39.2,,"14,129","12,055","12,763",19.1,,"28,196","27,169","27,786",41.6,,Georgia
State,"120,763","24,936","24,282","24,639",20.4,,"2,038","2,014","2,027",8.2,,"3,116","3,078","3,090",12.5,,"19,782","19,190","19,522",79.2,,State
"Local, total","377,938","44,878","40,028","42,105",11.1,,"25,451","23,072","24,168",57.4,,"11,013","8,977","9,673",23,,"8,414","7,979","8,264",19.6,,"Local, total"
Counties,"62,491","28,898","25,578","26,921",43.1,,"12,027","10,991","11,446",42.5,,"9,518","7,642","8,256",30.7,,"7,353","6,945","7,219",26.8,,Counties
Municipalities,"44,569","15,980","14,450","15,184",34.1,,"13,424","12,081","12,722",83.8,,"1,495","1,335","1,417",9.3,,"1,061","1,034","1,045",6.9,,Municipalities

Hawaii,"68,593","8,874","8,613","8,683",12.7,,"3,711","3,537","3,577",41.2,,"2,873","2,809","2,829",32.6,,"2,290","2,267","2,277",26.2,,Hawaii
State,"54,249","4,580","4,503","4,529",8.3,,--,--,--,--,,"2,290","2,236","2,252",49.7,,"2,290","2,267","2,277",50.3,,State
"Local, total","14,344","4,294","4,110","4,154",29,,"3,711","3,537","3,577",86.1,,583,573,577,13.9,,--,--,--,--,,"Local, total"
Counties,"5,234","1,373","1,299","1,319",25.2,,"1,121","1,047","1,067",80.9,,252,252,252,19.1,,--,--,--,--,,Counties
Municipalities,"8,983","2,921","2,811","2,835",31.6,,"2,590","2,490","2,510",88.5,,331,321,325,11.5,,--,--,--,--,,Municipalities

Idaho,"77,145","8,914","8,043","8,295",10.8,,"4,025","3,601","3,671",44.3,,"1,808","1,619","1,683",20.3,,"3,081","2,823","2,941",35.5,,Idaho
State,"22,877","2,743","2,663","2,702",11.8,,478,468,473,17.5,,451,430,434,16.1,,"1,814","1,765","1,795",66.4,,State
"Local, total","54,268","6,171","5,380","5,593",10.3,,"3,547","3,133","3,198",57.2,,"1,357","1,189","1,249",22.3,,"1,267","1,058","1,146",20.5,,"Local, total"
Counties,"11,158","4,260","3,691","3,865",34.6,,"1,786","1,534","1,572",40.7,,"1,207","1,099","1,147",29.7,,"1,267","1,058","1,146",29.7,,Counties
Municipalities,"6,964","1,911","1,689","1,728",24.8,,"1,761","1,599","1,626",94.1,,150,90,102,5.9,, -   , -   , -   ,0,,Municipalities

Illinois,"637,315","94,091","86,771","89,548",14.1,,"52,260","45,723","48,205",53.8,,"17,579","16,970","17,189",19.2,,"24,252","24,078","24,154",27,,Illinois
State,"132,936","21,087","20,974","21,019",15.8,,"3,909","3,898","3,907",18.6,,"3,129","3,035","3,067",14.6,,"14,049","14,041","14,045",66.8,,State
"Local, total","504,379","73,004","65,797","68,529",13.6,,"48,351","41,825","44,298",64.6,,"14,450","13,935","14,122",20.6,,"10,203","10,037","10,109",14.8,,"Local, total"
Counties,"61,145","30,296","29,046","29,557",48.3,,"6,436","5,837","6,094",20.6,,"13,660","13,175","13,357",45.2,,"10,200","10,034","10,106",34.2,,Counties
Municipalities,"107,348","42,708","36,751","38,972",36.3,,"41,915","35,988","38,204",98,,790,760,765,2,,3,3,3,0,,Municipalities

Indiana,"332,674","42,568","38,600","39,818",12,,"19,466","17,140","17,591",44.2,,"8,144","7,231","7,625",19.1,,"14,958","14,229","14,602",36.7,,Indiana
State,"92,847","12,227","12,172","12,209",13.1,,"1,986","1,986","1,986",16.3,,"1,269","1,235","1,258",10.3,,"8,972","8,951","8,965",73.4,,State
"Local, total","239,827","30,341","26,428","27,609",11.5,,"17,480","15,154","15,605",56.5,,"6,875","5,996","6,367",23.1,,"5,986","5,278","5,637",20.4,,"Local, total"
Counties,"46,923","13,707","12,306","12,923",27.5,,"4,416","4,124","4,207",32.6,,"4,445","4,000","4,192",32.4,,"4,846","4,182","4,524",35,,Counties
Municipalities,"49,971","16,634","14,122","14,686",29.4,,"13,064","11,030","11,398",77.6,,"2,430","1,996","2,175",14.8,,"1,140","1,096","1,113",7.6,,Municipalities

Iowa,"185,809","16,418","14,794","15,523",8.4,,"8,111","7,422","7,645",49.2,,"3,673","3,233","3,494",22.5,,"4,634","4,139","4,384",28.2,,Iowa
State,"52,881","6,424","6,071","6,293",11.9,,909,883,892,14.2,,"2,318","2,159","2,263",36,,"3,197","3,029","3,138",49.9,,State
"Local, total","132,928","9,994","8,723","9,230",6.9,,"7,202","6,539","6,753",73.2,,"1,355","1,074","1,231",13.3,,"1,437","1,110","1,246",13.5,,"Local, total"
Counties,"27,553","5,565","4,781","5,118",18.6,,"2,861","2,664","2,714",53,,"1,270","1,009","1,160",22.7,,"1,434","1,108","1,244",24.3,,Counties
Municipalities,"21,560","4,429","3,942","4,112",19.1,,"4,341","3,875","4,039",98.2,,85,65,71,1.7,,3,2,2,0,,Municipalities

Kansas,"181,552","21,090","18,611","19,182",10.6,,"10,025","8,970","9,238",48.2,,"4,601","3,528","3,713",19.4,,"6,464","6,113","6,231",32.5,,Kansas
State,"44,274","6,961","6,728","6,814",15.4,,"1,120","1,107","1,113",16.3,,"2,240","2,046","2,116",31.1,,"3,601","3,575","3,585",52.6,,State
"Local, total","137,278","14,129","11,883","12,368",9,,"8,905","7,863","8,125",65.7,,"2,361","1,482","1,597",12.9,,"2,863","2,538","2,646",21.4,,"Local, total"
Counties,"24,139","6,785","5,996","6,306",26.1,,"3,036","2,722","2,866",45.4,,"1,117",965,"1,023",16.2,,"2,632","2,309","2,417",38.3,,Counties
Municipalities,"24,765","7,344","5,887","6,062",24.5,,"5,869","5,141","5,259",86.8,,"1,244",517,574,9.5,,231,229,229,3.8,,Municipalities

Kentucky,"238,410","27,585","23,570","25,445",10.7,,"11,653","10,319","10,868",42.7,,"7,431","5,700","6,602",25.9,,"8,501","7,551","7,975",31.3,,Kentucky
State,"79,220","11,529","10,549","11,183",14.1,,"2,317","2,317","2,317",20.7,,"5,203","4,377","4,999",44.7,,"4,009","3,855","3,867",34.6,,State
"Local, total","159,190","16,056","13,021","14,262",9,,"9,336","8,002","8,551",60,,"2,228","1,323","1,603",11.2,,"4,492","3,696","4,108",28.8,,"Local, total"
Counties,"19,938","7,807","5,685","6,601",33.1,,"2,982","2,432","2,696",40.8,,"1,482",699,942,14.3,,"3,343","2,554","2,963",44.9,,Counties
Municipalities,"25,944","8,249","7,336","7,661",29.5,,"6,354","5,570","5,855",76.4,,746,624,661,8.6,,"1,149","1,142","1,145",14.9,,Municipalities

Louisiana,"283,243","40,344","36,336","38,052",13.4,,"18,066","15,884","16,638",43.7,,"8,368","7,309","7,740",20.3,,"13,910","13,143","13,674",35.9,,Louisiana
State,"90,843","11,620","11,126","11,430",12.6,,"1,802","1,760","1,778",15.6,,"1,819","1,767","1,782",15.6,,"7,999","7,599","7,870",68.9,,State
"Local, total","192,400","28,724","25,210","26,622",13.8,,"16,264","14,124","14,860",55.8,,"6,549","5,542","5,958",22.4,,"5,911","5,544","5,804",21.8,,"Local, total"
Parishes,"43,111","14,127","12,470","13,256",30.7,,"6,314","5,522","5,889",44.4,,"4,283","3,621","3,885",29.3,,"3,530","3,327","3,482",26.3,,Parishes
Municipalities,"39,734","14,597","12,740","13,366",33.6,,"9,950","8,602","8,971",67.1,,"2,266","1,921","2,073",15.5,,"2,381","2,217","2,322",17.4,,Municipalities

Maine,"76,000","6,908","5,689","6,019",7.9,,"3,635","2,722","2,946",48.9,,"1,076",923,956,15.9,,"2,197","2,044","2,117",35.2,,Maine
State,"21,132","2,594","2,504","2,561",12.1,,552,526,546,21.3,,716,712,715,27.9,,"1,326","1,266","1,300",50.8,,State
"Local, total","54,868","4,314","3,185","3,458",6.3,,"3,083","2,196","2,400",69.4,,360,211,241,7,,871,778,817,23.6,,"Local, total"
Counties,"1,899","1,617","1,376","1,463",77,,483,404,423,28.9,,264,194,223,15.2,,870,778,817,55.8,,Counties
Municipalities,"31,589","2,697","1,809","1,995",6.3,,"2,600","1,792","1,977",99.1,,96,17,18,0.9,,--,--,--,--,,Municipalities

Maryland,"278,449","40,671","37,975","39,564",14.2,,"17,367","15,851","16,582",41.9,,"8,043","7,205","7,785",19.7,,"15,261","14,919","15,197",38.4,,Maryland
State,"90,494","19,306","18,563","19,170",21.2,,"2,519","2,492","2,514",13.1,,"4,767","4,321","4,673",24.4,,"12,020","11,750","11,983",62.5,,State
"Local, total","187,955","21,365","19,412","20,394",10.9,,"14,848","13,359","14,068",69,,"3,276","2,884","3,112",15.3,,"3,241","3,169","3,214",15.8,,"Local, total"
Counties,"155,624","15,276","13,916","14,605",9.4,,"9,628","8,721","9,141",62.6,,"2,407","2,026","2,250",15.4,,"3,241","3,169","3,214",22,,Counties
Municipalities,"30,697","6,089","5,496","5,789",18.9,,"5,220","4,638","4,927",85.1,,869,858,862,14.9,,--,--,--,--,,Municipalities

Massachusetts,"322,250","45,883","40,379","42,153",13.1,,"26,518","22,033","23,527",55.8,,"9,806","9,064","9,220",21.9,,"9,559","9,282","9,406",22.3,,Massachusetts
State,"88,521","21,811","21,054","21,275",24,,"5,762","5,665","5,703",26.8,,"9,339","8,835","8,973",42.2,,"6,710","6,554","6,599",31,,State
"Local, total","233,729","24,072","19,325","20,878",8.9,,"20,756","16,368","17,824",85.4,,467,229,247,1.2,,"2,849","2,728","2,807",13.4,,"Local, total"
Counties,"2,390","1,772","1,650","1,729",72.3,, -   , -   , -   ,0,,2,1,1,0.1,,"1,770","1,649","1,728",99.9,,Counties
Municipalities,"197,518","22,300","17,675","19,149",9.7,,"20,756","16,368","17,824",93.1,,465,228,246,1.3,,"1,079","1,079","1,079",5.6,,Municipalities

Michigan,"494,891","62,110","56,232","58,605",11.8,,"26,613","22,774","23,956",40.9,,"12,103","10,999","11,621",19.8,,"23,394","22,459","23,028",39.3,,Michigan
State,"131,115","21,738","21,401","21,631",16.5,,"2,784","2,729","2,743",12.7,,"1,535","1,473","1,510",7,,"17,419","17,199","17,378",80.3,,State
"Local, total","363,776","40,372","34,831","36,974",10.2,,"23,829","20,045","21,213",57.4,,"10,568","9,526","10,111",27.3,,"5,975","5,260","5,650",15.3,,"Local, total"
Counties,"51,076","19,686","17,873","18,886",37,,"5,388","4,983","5,202",27.5,,"8,441","7,724","8,138",43.1,,"5,857","5,166","5,546",29.4,,Counties
Municipalities,"87,064","20,686","16,958","18,088",20.8,,"18,441","15,062","16,011",88.5,,"2,127","1,802","1,973",10.9,,118,94,104,0.6,,Municipalities

Minnesota,"269,678","26,869","23,808","25,361",9.4,,"11,537","10,193","10,702",42.2,,"6,263","5,404","5,965",23.5,,"9,069","8,211","8,694",34.3,,Minnesota
State,"74,683","7,672","7,037","7,479",10,,919,898,911,12.2,,"2,886","2,427","2,730",36.5,,"3,867","3,712","3,838",51.3,,State
"Local, total","194,995","19,197","16,771","17,882",9.2,,"10,618","9,295","9,791",54.8,,"3,377","2,977","3,235",18.1,,"5,202","4,499","4,856",27.2,,"Local, total"
Counties,"40,529","12,152","10,508","11,333",28,,"3,845","3,275","3,503",30.9,,"3,105","2,734","2,974",26.2,,"5,202","4,499","4,856",42.8,,Counties
Municipalities,"35,839","7,045","6,263","6,549",18.3,,"6,773","6,020","6,288",96,,272,243,261,4,,--,--,--,--,,Municipalities

Mississippi,"188,673","19,008","16,035","16,940",9,,"9,765","8,092","8,688",51.3,,"3,541","2,544","2,727",16.1,,"5,702","5,399","5,525",32.6,,Mississippi
State,"56,534","5,587","5,516","5,543",9.8,,"1,183","1,183","1,183",21.3,,687,647,659,11.9,,"3,717","3,686","3,701",66.8,,State
"Local, total","132,139","13,421","10,519","11,397",8.6,,"8,582","6,909","7,505",65.9,,"2,854","1,897","2,068",18.1,,"1,985","1,713","1,824",16,,"Local, total"
Counties,"27,653","6,632","5,516","5,899",21.3,,"2,842","2,312","2,504",42.4,,"1,863","1,549","1,629",27.6,,"1,927","1,655","1,766",29.9,,Counties
Municipalities,"22,582","6,789","5,003","5,498",24.3,,"5,740","4,597","5,001",91,,991,348,439,8,,58,58,58,1.1,,Municipalities

Missouri,"318,317","48,500","41,837","42,915",13.5,,"19,346","17,921","18,440",43,,"12,530","7,860","8,194",19.1,,"16,624","16,056","16,281",37.9,,Missouri
State,"91,746","19,805","19,096","19,343",21.1,,"2,303","2,212","2,263",11.7,,"4,367","4,058","4,138",21.4,,"13,135","12,826","12,942",66.9,,State
"Local, total","226,571","28,695","22,741","23,572",10.4,,"17,043","15,709","16,177",68.6,,"8,163","3,802","4,056",17.2,,"3,489","3,230","3,339",14.2,,"Local, total"
Counties,"23,104","10,376","9,325","9,633",41.7,,"4,575","4,150","4,236",44,,"3,149","2,774","2,890",30,,"2,652","2,401","2,507",26,,Counties
Municipalities,"46,097","18,319","13,416","13,939",30.2,,"12,468","11,559","11,941",85.7,,"5,014","1,028","1,166",8.4,,837,829,832,6,,Municipalities

Montana,"55,474","6,216","5,151","5,497",9.9,,"2,779","2,381","2,496",45.4,,"1,669","1,114","1,295",23.6,,"1,768","1,656","1,706",31,,Montana
State,"19,528","2,080","1,900","1,991",10.2,,428,410,421,21.1,,525,408,466,23.4,,"1,127","1,082","1,104",55.4,,State
"Local, total","35,946","4,136","3,251","3,506",9.8,,"2,351","1,971","2,075",59.2,,"1,144",706,829,23.6,,641,574,602,17.2,,"Local, total"
Counties,"6,404","2,672","2,046","2,253",35.2,,"1,210",932,"1,015",45.1,,849,565,662,29.4,,613,549,576,25.6,,Counties
Municipalities,"4,788","1,464","1,205","1,253",26.2,,"1,141","1,039","1,060",84.6,,295,141,167,13.3,,28,25,26,2.1,,Municipalities

Nebraska,"111,559","11,251","10,202","10,753",9.6,,"5,272","4,799","5,071",47.2,,"2,172","1,867","2,013",18.7,,"3,807","3,536","3,669",34.1,,Nebraska
State,"32,445","3,971","3,851","3,906",12,,725,722,724,18.5,,740,678,702,18,,"2,506","2,451","2,480",63.5,,State
"Local, total","79,114","7,280","6,351","6,847",8.7,,"4,547","4,077","4,347",63.5,,"1,432","1,189","1,311",19.1,,"1,301","1,085","1,189",17.4,,"Local, total"
Counties,"13,609","4,303","3,687","4,048",29.7,,"1,658","1,485","1,624",40.1,,"1,344","1,117","1,235",30.5,,"1,301","1,085","1,189",29.4,,Counties
Municipalities,"12,582","2,977","2,664","2,799",22.2,,"2,889","2,592","2,723",97.3,,88,72,76,2.7,,--,--,--,--,,Municipalities

Nevada,"100,394","17,336","15,879","16,374",16.3,,"7,728","6,816","7,082",43.3,,"3,575","3,255","3,405",20.8,,"6,033","5,808","5,887",36,,Nevada
State,"25,752","4,935","4,851","4,874",18.9,,808,807,807,16.6,,650,623,630,12.9,,"3,477","3,421","3,437",70.5,,State
"Local, total","74,642","12,401","11,028","11,500",15.4,,"6,920","6,009","6,275",54.6,,"2,925","2,632","2,775",24.1,,"2,556","2,387","2,450",21.3,,"Local, total"
Counties,"23,551","9,215","8,135","8,469",36,,"4,926","4,234","4,410",52.1,,"2,302","2,076","2,173",25.7,,"1,987","1,825","1,886",22.3,,Counties
Municipalities,"10,084","3,186","2,893","3,031",30.1,,"1,994","1,775","1,865",61.5,,623,556,602,19.9,,569,562,564,18.6,,Municipalities

New Hampshire,"69,185","7,889","6,393","6,899",10,,"4,598","3,348","3,706",53.7,,"1,271","1,122","1,217",17.6,,"2,020","1,923","1,976",28.6,,New Hampshire
State,"19,476","2,734","2,653","2,701",13.9,,428,411,421,15.6,,911,910,911,33.7,,"1,395","1,332","1,369",50.7,,State
"Local, total","49,709","5,155","3,740","4,198",8.4,,"4,170","2,937","3,285",78.3,,360,212,306,7.3,,625,591,607,14.5,,"Local, total"
Counties,"3,847","1,222",960,"1,109",28.8,,295,206,249,22.5,,302,163,253,22.8,,625,591,607,54.7,,Counties
Municipalities,"18,041","3,933","2,780","3,089",17.1,,"3,875","2,731","3,036",98.3,,58,49,53,1.7,,--,--,--,--,,Municipalities

New Jersey,"501,621","83,198","71,669","75,684",15.1,,"41,749","33,366","36,285",47.9,,"24,515","21,515","22,541",29.8,,"16,934","16,788","16,858",22.3,,New Jersey
State,"154,083","29,708","29,409","29,544",19.2,,"4,514","4,430","4,463",15.1,,"14,911","14,721","14,812",50.1,,"10,283","10,258","10,269",34.8,,State
"Local, total","347,538","53,490","42,260","46,140",13.3,,"37,235","28,936","31,822",69,,"9,604","6,794","7,729",16.8,,"6,651","6,530","6,589",14.3,,"Local, total"
Counties,"61,382","13,565","13,284","13,415",21.9,,"2,809","2,716","2,753",20.5,,"4,106","4,039","4,074",30.4,,"6,650","6,529","6,588",49.1,,Counties
Municipalities,"106,050","39,925","28,976","32,725",30.9,,"34,426","26,220","29,069",88.8,,"5,498","2,755","3,655",11.2,,1,1,1,0,,Municipalities

New Mexico,"128,007","15,908","14,758","15,296",11.9,,"6,374","5,752","6,009",39.3,,"3,456","3,070","3,246",21.2,,"6,078","5,936","6,041",39.5,,New Mexico
State,"50,113","7,770","7,547","7,707",15.4,,633,633,633,8.2,,"2,889","2,754","2,838",36.8,,"4,248","4,160","4,236",55,,State
