Bureau of Justice Statistics,,,,,,,,,,
filename:  cjee0507.csv,,,,,,,,,,
"table #.  7 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,

"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,

,,Sworn,,,,,,Nonsworn,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment

State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls
"Local, total","17,717","13,594","13,460","13,524",76.3,,"$64,102 ","4,298","4,048","4,193",23.7,,"$15,841 "
Counties,"4,864","4,259","4,214","4,220",86.8,,"$15,362 ",658,630,644,13.2,,"$1,893 "
Municipalities,"12,853","9,335","9,246","9,304",72.4,,"$48,741 ","3,640","3,418","3,549",27.6,,"$13,948 "

Arkansas,"8,091","6,396","5,839","5,963",73.7,,"$17,985 ","2,290","2,054","2,128",26.3,,"$4,772 "
State,"1,087",528,528,528,48.6,,"$2,120 ",559,559,559,51.4,,"$1,597 "
"Local, total","7,004","5,868","5,311","5,435",77.6,,"$15,865 ","1,731","1,495","1,569",22.4,,"$3,174 "
Counties,"1,957","1,627","1,485","1,518",77.6,,"$3,706 ",477,419,439,22.4,,$888 
Municipalities,"5,047","4,241","3,826","3,917",77.6,,"$12,159 ","1,254","1,076","1,130",22.4,,"$2,286 "

California,"99,567","67,977","66,102","66,674",67,,"$463,552 ","36,218","30,339","32,893",33,,"$148,750 "
State,"12,701","8,127","7,627","7,628",60.1,,"$51,217 ","5,509","4,926","5,073",39.9,,"$19,277 "
"Local, total","86,866","59,850","58,475","59,046",68,,"$412,335 ","30,709","25,413","27,820",32,,"$129,473 "
Counties,"30,401","20,442","19,548","19,914",65.5,,"$126,961 ","10,804","10,251","10,487",34.5,,"$50,292 "
Municipalities,"56,465","39,408","38,927","39,132",69.3,,"$285,374 ","19,905","15,162","17,333",30.7,,"$79,181 "

Colorado,"13,112","9,482","9,431","9,446",72,,"$49,146 ","3,971","3,481","3,666",28,,"$13,433 "
State,"1,170",761,761,761,65,,"$4,468 ",418,399,409,35,,"$1,748 "
"Local, total","11,942","8,721","8,670","8,685",72.7,,"$44,678 ","3,553","3,082","3,257",27.3,,"$11,684 "
Counties,"3,440","2,491","2,452","2,461",71.5,,"$10,864 ","1,050",943,979,28.5,,"$3,484 "
Municipalities,"8,502","6,230","6,218","6,224",73.2,,"$33,813 ","2,503","2,139","2,278",26.8,,"$8,200 "

Connecticut,"10,845","9,084","8,368","8,591",79.2,,"$48,693 ","3,136","1,839","2,254",20.8,,"$8,369 "
State,"1,984","1,417","1,413","1,417",71.4,,"$7,779 ",583,545,567,28.6,,"$2,578 "
"Local, total","8,861","7,667","6,955","7,174",81,,"$40,915 ","2,553","1,294","1,687",19,,"$5,791 "
Municipalities,"8,861","7,667","6,955","7,174",81,,"$40,915 ","2,553","1,294","1,687",19,,"$5,791 "

Delaware,"2,528","1,838","1,808","1,810",71.6,,"$9,630 ",839,597,718,28.4,,"$2,153 "
State,931,637,637,637,68.4,,"$3,885 ",311,272,294,31.6,,$958 
"Local, total","1,597","1,201","1,171","1,173",73.5,,"$5,745 ",528,325,424,26.5,,"$1,196 "
Counties,526,352,352,352,66.9,,"$2,028 ",262,94,174,33.1,,$556 
Municipalities,"1,071",849,819,821,76.7,,"$3,717 ",266,231,250,23.3,,$639 

District of Columbia,"4,284","3,860","3,753","3,807",88.9,,"$20,463 ",536,428,477,11.1,,"$2,099 "
"Local, total","4,284","3,860","3,753","3,807",88.9,,"$20,463 ",536,428,477,11.1,,"$2,099 "
Municipality,"4,284","3,860","3,753","3,807",88.9,,"$20,463 ",536,428,477,11.1,,"$2,099 "

Florida,"63,814","41,102","40,500","40,831",64,,"$189,999 ","26,165","20,445","22,983",36,,"$71,208 "
State,"4,379","2,049","2,047","2,048",46.8,,"$7,345 ","2,346","2,319","2,331",53.2,,"$8,020 "
"Local, total","59,435","39,053","38,453","38,783",65.3,,"$182,654 ","23,819","18,126","20,652",34.7,,"$63,189 "
Counties,"31,798","19,167","19,040","19,094",60,,"$89,755 ","14,729","11,432","12,704",40,,"$39,499 "
Municipalities,"27,637","19,886","19,413","19,689",71.2,,"$92,899 ","9,090","6,694","7,948",28.8,,"$23,689 "

Georgia,"26,195","20,964","19,903","20,457",78.1,,"$69,198 ","6,525","5,183","5,738",21.9,,"$15,520 "
State,"2,027","1,021","1,021","1,021",50.4,,"$3,627 ","1,017",993,"1,006",49.6,,"$3,212 "
"Local, total","24,168","19,943","18,882","19,436",80.4,,"$65,571 ","5,508","4,190","4,732",19.6,,"$12,309 "
Counties,"11,446","9,097","8,794","8,903",77.8,,"$31,637 ","2,930","2,197","2,543",22.2,,"$6,494 "
Municipalities,"12,722","10,846","10,088","10,533",82.8,,"$33,934 ","2,578","1,993","2,189",17.2,,"$5,815 "

Hawaii,"3,577","2,744","2,744","2,744",76.7,,"$13,891 ",967,793,833,23.3,,"$2,922 "
State, -   , -   , -   , -   ,0,, $-   , -   , -   , -   ,0,, $-   
"Local, total","3,577","2,744","2,744","2,744",76.7,,"$13,891 ",967,793,833,23.3,,"$2,922 "
Counties,"1,067",773,773,773,72.4,,"$4,272 ",348,274,294,27.6,,$990 
Municipalities,"2,510","1,971","1,971","1,971",78.5,,"$9,619 ",619,519,539,21.5,,"$1,931 "

Idaho,"3,671","2,730","2,666","2,670",72.7,,"$10,188 ","1,295",935,"1,001",27.3,,"$2,971 "
State,473,286,286,286,60.5,,"$1,150 ",192,182,187,39.5,,$555 
"Local, total","3,198","2,444","2,380","2,384",74.5,,"$9,038 ","1,103",753,814,25.5,,"$2,416 "
Counties,"1,572","1,114","1,081","1,084",69,,"$3,733 ",672,453,488,31,,"$1,445 "
Municipalities,"1,626","1,330","1,299","1,300",80,,"$5,305 ",431,300,326,20,,$971 

Illinois,"48,205","39,044","36,757","37,458",77.7,,"$161,147 ","13,216","8,966","10,747",22.3,,"$36,854 "
State,"3,907","2,204","2,204","2,204",56.4,,"$12,439 ","1,705","1,694","1,703",43.6,,"$7,012 "
"Local, total","44,298","36,840","34,553","35,254",79.6,,"$148,709 ","11,511","7,272","9,044",20.4,,"$29,841 "
Counties,"6,094","4,195","3,969","4,073",66.8,,"$16,594 ","2,241","1,868","2,021",33.2,,"$6,815 "
Municipalities,"38,204","32,645","30,584","31,181",81.6,,"$132,114 ","9,270","5,404","7,023",18.4,,"$23,026 "

Indiana,"17,591","13,261","12,446","12,565",71.4,,"$46,743 ","6,205","4,694","5,026",28.6,,"$12,461 "
State,"1,986","1,182","1,182","1,182",59.5,,"$5,585 ",804,804,804,40.5,,"$2,116 "
"Local, total","15,605","12,079","11,264","11,383",72.9,,"$41,158 ","5,401","3,890","4,222",27.1,,"$10,345 "
Counties,"4,207","2,971","2,905","2,917",69.3,,"$9,770 ","1,445","1,219","1,290",30.7,,"$3,097 "
Municipalities,"11,398","9,108","8,359","8,466",74.3,,"$31,389 ","3,956","2,671","2,932",25.7,,"$7,248 "

Iowa,"7,645","5,759","5,596","5,663",74.1,,"$23,349 ","2,352","1,826","1,982",25.9,,"$5,905 "
State,892,550,550,550,61.7,,"$2,646 ",359,333,342,38.3,,"$1,324 "
"Local, total","6,753","5,209","5,046","5,113",75.7,,"$20,704 ","1,993","1,493","1,640",24.3,,"$4,581 "
Counties,"2,714","1,852","1,818","1,822",67.1,,"$7,042 ","1,009",846,892,32.9,,"$2,419 "
Municipalities,"4,039","3,357","3,228","3,291",81.5,,"$13,662 ",984,647,748,18.5,,"$2,162 "

Kansas,"9,238","6,920","6,423","6,463",70,,"$25,874 ","3,105","2,547","2,775",30,,"$7,403 "
State,"1,113",611,611,611,54.9,,"$2,605 ",509,496,502,45.1,,"$1,515 "
"Local, total","8,125","6,309","5,812","5,852",72,,"$23,269 ","2,596","2,051","2,273",28,,"$5,888 "
Counties,"2,866","1,924","1,798","1,834",64,,"$5,974 ","1,112",924,"1,032",36,,"$2,330 "
Municipalities,"5,259","4,385","4,014","4,018",76.4,,"$17,295 ","1,484","1,127","1,241",23.6,,"$3,558 "

Kentucky,"10,868","7,879","7,497","7,646",70.4,,"$26,746 ","3,774","2,822","3,222",29.6,,"$9,383 "
State,"2,317",996,996,996,43,,"$3,380 ","1,321","1,321","1,321",57,,"$4,661 "
"Local, total","8,551","6,883","6,501","6,650",77.8,,"$23,365 ","2,453","1,501","1,901",22.2,,"$4,722 "
Counties,"2,696","2,109","1,965","2,035",75.5,,"$6,778 ",873,467,661,24.5,,"$1,698 "
Municipalities,"5,855","4,774","4,536","4,615",78.8,,"$16,587 ","1,580","1,034","1,240",21.2,,"$3,024 "

Louisiana,"16,638","12,893","12,354","12,527",75.3,,"$38,883 ","5,173","3,530","4,111",24.7,,"$10,119 "
State,"1,778","1,191","1,191","1,191",67,,"$5,935 ",611,569,587,33,,"$1,739 "
"Local, total","14,860","11,702","11,163","11,336",76.3,,"$32,948 ","4,562","2,961","3,524",23.7,,"$8,380 "
Parishes,"5,889","4,203","4,003","4,111",69.8,,"$12,225 ","2,111","1,519","1,778",30.2,,"$4,560 "
Municipalities,"8,971","7,499","7,160","7,225",80.5,,"$20,723 ","2,451","1,442","1,746",19.5,,"$3,821 "

Maine,"2,946","2,647","2,068","2,201",74.7,,"$8,549 ",988,654,745,25.3,,"$2,163 "
State,546,355,336,350,64.1,,"$1,797 ",197,190,196,35.9,,$598 
"Local, total","2,400","2,292","1,732","1,851",77.1,,"$6,752 ",791,464,549,22.9,,"$1,565 "
Counties,423,352,290,306,72.3,,"$1,008 ",131,114,117,27.7,,$316 
Municipalities,"1,977","1,940","1,442","1,545",78.1,,"$5,743 ",660,350,432,21.9,,"$1,249 "

Maryland,"16,582","12,021","11,949","11,978",72.2,,"$61,791 ","5,346","3,902","4,604",27.8,,"$17,564 "
State,"2,514","1,622","1,622","1,622",64.5,,"$8,586 ",897,870,892,35.5,,"$2,977 "
"Local, total","14,068","10,399","10,327","10,356",73.6,,"$53,206 ","4,449","3,032","3,712",26.4,,"$14,587 "
Counties,"9,141","6,418","6,382","6,395",70,,"$33,682 ","3,210","2,339","2,746",30,,"$11,003 "
Municipalities,"4,927","3,981","3,945","3,961",80.4,,"$19,523 ","1,239",693,966,19.6,,"$3,584 "

Massachusetts,"23,527","20,692","18,760","19,477",82.8,,"$105,404 ","5,826","3,273","4,050",17.2,,"$12,980 "
State,"5,703","5,027","4,951","4,982",87.4,,"$27,166 ",735,714,721,12.6,,"$2,809 "
"Local, total","17,824","15,665","13,809","14,495",81.3,,"$78,239 ","5,091","2,559","3,329",18.7,,"$10,171 "
Counties, -   , -   , -   , -   ,0,, $-   , -   , -   , -   ,0,, $-   
Municipalities,"17,824","15,665","13,809","14,495",81.3,,"$78,239 ","5,091","2,559","3,329",18.7,,"$10,171 "

Michigan,"23,956","20,046","18,707","19,136",79.9,,"$92,525 ","6,567","4,067","4,820",20.1,,"$15,069 "
State,"2,743","1,994","1,994","1,994",72.7,,"$7,903 ",790,735,749,27.3,,"$2,373 "
"Local, total","21,213","18,052","16,713","17,142",80.8,,"$84,622 ","5,777","3,332","4,071",19.2,,"$12,696 "
Counties,"5,202","4,050","3,874","3,952",76,,"$17,493 ","1,338","1,109","1,250",24,,"$4,117 "
Municipalities,"16,011","14,002","12,839","13,190",82.4,,"$67,129 ","4,439","2,223","2,821",17.6,,"$8,578 "

Minnesota,"10,702","8,288","7,600","7,802",72.9,,"$38,957 ","3,249","2,593","2,900",27.1,,"$10,389 "
State,911,507,507,507,55.7,,"$2,889 ",412,391,404,44.3,,"$1,536 "
"Local, total","9,791","7,781","7,093","7,295",74.5,,"$36,067 ","2,837","2,202","2,496",25.5,,"$8,853 "
Counties,"3,503","2,501","2,255","2,346",67,,"$10,808 ","1,344","1,020","1,157",33,,"$4,023 "
Municipalities,"6,288","5,280","4,838","4,949",78.7,,"$25,259 ","1,493","1,182","1,339",21.3,,"$4,831 "

Mississippi,"8,688","6,742","5,839","6,212",71.5,,"$17,481 ","3,023","2,253","2,476",28.5,,"$5,560 "
State,"1,183",658,658,658,55.6,,"$2,163 ",525,525,525,44.4,,"$1,361 "
"Local, total","7,505","6,084","5,181","5,554",74,,"$15,319 ","2,498","1,728","1,951",26,,"$4,198 "
Counties,"2,504","1,820","1,575","1,668",66.6,,"$4,670 ","1,022",737,836,33.4,,"$1,666 "
Municipalities,"5,001","4,264","3,606","3,886",77.7,,"$10,649 ","1,476",991,"1,115",22.3,,"$2,532 "

Missouri,"18,440","13,404","12,897","13,122",71.2,,"$46,808 ","5,942","5,024","5,318",28.8,,"$13,636 "
State,"2,263","1,166","1,166","1,166",51.5,,"$4,628 ","1,137","1,046","1,097",48.5,,"$2,975 "
"Local, total","16,177","12,238","11,731","11,956",73.9,,"$42,180 ","4,805","3,978","4,221",26.1,,"$10,661 "
Counties,"4,236","3,013","2,786","2,805",66.2,,"$9,109 ","1,562","1,364","1,431",33.8,,"$3,070 "
Municipalities,"11,941","9,225","8,945","9,151",76.6,,"$33,072 ","3,243","2,614","2,790",23.4,,"$7,591 "

Montana,"2,496","1,752","1,587","1,614",64.7,,"$5,710 ","1,027",794,882,35.3,,"$2,264 "
State,421,193,190,192,45.6,,$621 ,235,220,229,54.4,,$728 
"Local, total","2,075","1,559","1,397","1,422",68.5,,"$5,089 ",792,574,653,31.5,,"$1,535 "
Counties,"1,015",725,596,613,60.4,,"$2,137 ",485,336,402,39.6,,$894 
Municipalities,"1,060",834,801,809,76.3,,"$2,952 ",307,238,251,23.7,,$641 

Nebraska,"5,071","3,750","3,571","3,688",72.7,,"$14,857 ","1,522","1,228","1,383",27.3,,"$3,486 "
State,724,487,487,487,67.3,,"$1,842 ",238,235,237,32.7,,$688 
"Local, total","4,347","3,263","3,084","3,201",73.6,,"$13,015 ","1,284",993,"1,146",26.4,,"$2,798 "
Counties,"1,624","1,046","1,005","1,067",65.7,,"$3,776 ",612,480,557,34.3,,"$1,231 "
Municipalities,"2,723","2,217","2,079","2,134",78.4,,"$9,239 ",672,513,589,21.6,,"$1,567 "

Nevada,"7,082","4,258","4,254","4,256",60.1,,"$25,375 ","3,470","2,562","2,826",39.9,,"$12,533 "
State,807,392,391,391,48.5,,"$2,376 ",416,416,416,51.5,,"$1,636 "
"Local, total","6,275","3,866","3,863","3,865",61.6,,"$22,999 ","3,054","2,146","2,410",38.4,,"$10,898 "
Counties,"4,410","2,643","2,641","2,642",59.9,,"$15,723 ","2,283","1,593","1,768",40.1,,"$8,498 "
Municipalities,"1,865","1,223","1,222","1,223",65.6,,"$7,276 ",771,553,642,34.4,,"$2,399 "

New Hampshire,"3,706","3,501","2,611","2,814",75.9,,"$12,484 ","1,097",737,892,24.1,,"$2,680 "
State,421,274,274,274,65.1,,"$1,252 ",154,137,147,34.9,,$479 
"Local, total","3,285","3,227","2,337","2,540",77.3,,"$11,232 ",943,600,745,22.7,,"$2,201 "
Counties,249,180,130,162,65.1,,$642 ,115,76,87,34.9,,$279 
Municipalities,"3,036","3,047","2,207","2,378",78.3,,"$10,590 ",828,524,658,21.7,,"$1,923 "

New Jersey,"36,285","27,733","25,723","26,395",72.7,,"$167,374 ","14,016","7,643","9,890",27.3,,"$41,881 "
State,"4,463","1,503","1,419","1,452",32.5,,"$5,248 ","3,011","3,011","3,011",67.5,,"$20,516 "
"Local, total","31,822","26,230","24,304","24,943",78.4,,"$162,126 ","11,005","4,632","6,879",21.6,,"$21,365 "
Counties,"2,753","1,958","1,947","1,952",70.9,,"$10,059 ",851,769,801,29.1,,"$2,946 "
Municipalities,"29,069","24,272","22,357","22,991",79.1,,"$152,067 ","10,154","3,863","6,078",20.9,,"$18,420 "

New Mexico,"6,009","4,467","4,327","4,365",72.6,,"$16,517 ","1,907","1,425","1,644",27.4,,"$4,299 "
State,633,462,462,462,73,,"$1,824 ",171,171,171,27,,$679 
"Local, total","5,376","4,005","3,865","3,903",72.6,,"$14,693 ","1,736","1,254","1,473",27.4,,"$3,620 "
Counties,"1,692","1,276","1,203","1,229",72.6,,"$4,455 ",519,386,463,27.4,,"$1,119 "
Municipalities,"3,684","2,729","2,662","2,674",72.6,,"$10,238 ","1,217",868,"1,010",27.4,,"$2,501 "

New York,"85,424","77,485","69,251","73,002",85.5,,"$429,940 ","16,328","10,568","12,422",14.5,,"$52,156 "
State,"6,507","4,800","4,800","4,800",73.8,,"$32,249 ","1,743","1,586","1,707",26.2,,"$6,174 "
"Local, total","78,917","72,685","64,451","68,202",86.4,,"$397,691 ","14,585","8,982","10,715",13.6,,"$45,982 "
Counties,"12,299","9,161","8,874","8,998",73.2,,"$56,252 ","3,951","2,758","3,301",26.8,,"$11,887 "
Municipalities,"66,618","63,524","55,577","59,204",88.9,,"$341,439 ","10,634","6,224","7,414",11.1,,"$34,094 "

North Carolina,"24,780","20,135","19,295","19,725",79.6,,"$66,373 ","5,677","4,762","5,055",20.4,,"$13,778 "
State,"3,393","2,250","2,250","2,250",66.3,,"$9,351 ","1,150","1,136","1,143",33.7,,"$3,370 "
"Local, total","21,387","17,885","17,045","17,475",81.7,,"$57,022 ","4,527","3,626","3,912",18.3,,"$10,409 "
Counties,"7,575","6,290","5,963","6,083",80.3,,"$18,233 ","1,718","1,402","1,492",19.7,,"$3,697 "
Municipalities,"13,812","11,595","11,082","11,392",82.5,,"$38,789 ","2,809","2,224","2,420",17.5,,"$6,712 "

North Dakota,"1,405","1,282","1,136","1,145",81.5,,"$3,879 ",267,248,260,18.5,,$655 
State,179,130,130,130,72.6,,$410 ,50,47,49,27.4,,$151 
"Local, total","1,226","1,152","1,006","1,015",82.8,,"$3,469 ",217,201,211,17.2,,$504 
Counties,509,471,413,418,82.1,,"$1,239 ",91,84,91,17.9,,$188 
Municipalities,717,681,593,597,83.3,,"$2,230 ",126,117,120,16.7,,$315 

Ohio,"33,186","27,126","23,708","24,832",74.8,,"$108,067 ","9,757","7,706","8,354",25.2,,"$26,384 "
State,"2,686","1,450","1,450","1,450",54,,"$7,279 ","1,241","1,224","1,236",46,,"$4,519 "
"Local, total","30,500","25,676","22,258","23,382",76.7,,"$100,787 ","8,516","6,482","7,118",23.3,,"$21,865 "
Counties,"7,995","5,345","5,204","5,256",65.7,,"$19,116 ","2,742","2,693","2,739",34.3,,"$8,525 "
Municipalities,"22,505","20,331","17,054","18,126",80.5,,"$81,671 ","5,774","3,789","4,379",19.5,,"$13,340 "

Oklahoma,"10,866","7,959","7,018","7,502",69,,"$25,639 ","3,737","3,182","3,364",31,,"$7,964 "
State,"1,850","1,003",978,989,53.5,,"$3,969 ",898,823,861,46.5,,"$2,360 "
"Local, total","9,016","6,956","6,040","6,513",72.2,,"$21,670 ","2,839","2,359","2,503",27.8,,"$5,603 "
Counties,"2,474","1,606","1,405","1,527",61.7,,"$3,203 ","1,028",878,947,38.3,,"$1,755 "
Municipalities,"6,542","5,350","4,635","4,986",76.2,,"$18,467 ","1,811","1,481","1,556",23.8,,"$3,848 "

Oregon,"8,869","6,458","6,143","6,231",70.3,,"$30,166 ","3,013","2,447","2,638",29.7,,"$9,677 "
State,"1,220",702,702,702,57.5,,"$2,930 ",638,489,518,42.5,,"$1,859 "
"Local, total","7,649","5,756","5,441","5,529",72.3,,"$27,236 ","2,375","1,958","2,120",27.7,,"$7,818 "
Counties,"2,782","1,951","1,752","1,804",64.8,,"$8,185 ","1,036",861,978,35.2,,"$3,554 "
Municipalities,"4,867","3,805","3,689","3,725",76.5,,"$19,051 ","1,339","1,097","1,142",23.5,,"$4,264 "

Pennsylvania,"31,138","27,786","23,833","25,406",81.6,,"$118,274 ","9,105","4,280","5,732",18.4,,"$18,912 "
State,"5,955","4,690","4,690","4,690",78.8,,"$22,723 ","1,287","1,225","1,265",21.2,,"$6,103 "
"Local, total","25,183","23,096","19,143","20,716",82.3,,"$95,551 ","7,818","3,055","4,467",17.7,,"$12,809 "
Counties,"2,380","1,485","1,292","1,387",58.3,,"$4,802 ","1,196",916,993,41.7,,"$2,971 "
Municipalities,"22,803","21,611","17,851","19,329",84.8,,"$90,749 ","6,622","2,139","3,474",15.2,,"$9,838 "

Rhode Island,"3,092","2,278","2,276","2,278",73.7,,"$11,344 ","1,013",689,814,26.3,,"$3,165 "
State,310,224,224,224,72.3,,"$1,398 ",90,84,86,27.7,,$376 
"Local, total","2,782","2,054","2,052","2,054",73.8,,"$9,946 ",923,605,728,26.2,,"$2,789 "
Municipalities,"2,782","2,054","2,052","2,054",73.8,,"$9,946 ",923,605,728,26.2,,"$2,789 "

South Carolina,"12,795","10,163","9,994","10,054",78.6,,"$31,235 ","3,130","2,512","2,741",21.4,,"$6,503 "
State,"1,858","1,236","1,236","1,236",66.5,,"$4,241 ",622,622,622,33.5,,"$1,722 "
"Local, total","10,937","8,927","8,758","8,818",80.6,,"$26,993 ","2,508","1,890","2,119",19.4,,"$4,781 "
Counties,"5,516","4,483","4,438","4,459",80.8,,"$13,487 ","1,367",889,"1,057",19.2,,"$2,404 "
Municipalities,"5,421","4,444","4,320","4,359",80.4,,"$13,507 ","1,141","1,001","1,062",19.6,,"$2,377 "

South Dakota,"1,858","1,495","1,349","1,378",74.2,,"$4,846 ",586,430,480,25.8,,"$1,129 "
State,301,195,192,194,64.5,,$725 ,108,104,107,35.5,,$285 
"Local, total","1,557","1,300","1,157","1,184",76,,"$4,121 ",478,326,373,24,,$844 
Counties,633,525,403,425,67.1,,"$1,264 ",273,186,208,32.9,,$443 
Municipalities,924,775,754,759,82.1,,"$2,858 ",205,140,165,17.9,,$401 

Tennessee,"17,548","13,617","13,094","13,276",75.7,,"$42,661 ","5,256","3,708","4,272",24.3,,"$12,297 "
State,"1,968","1,149","1,149","1,149",58.4,,"$4,448 ",826,815,819,41.6,,"$2,365 "
"Local, total","15,580","12,468","11,945","12,127",77.8,,"$38,213 ","4,430","2,893","3,453",22.2,,"$9,931 "
Counties,"4,659","3,826","3,675","3,719",79.8,,"$11,382 ","1,125",872,940,20.2,,"$2,880 "
Municipalities,"10,921","8,642","8,270","8,408",77,,"$26,830 ","3,305","2,021","2,513",23,,"$7,051 "

Texas,"61,536","46,310","45,496","45,765",74.4,,"$191,207 ","17,579","14,674","15,771",25.6,,"$42,572 "
State,"4,117","2,242","2,242","2,242",54.5,,"$8,247 ","1,891","1,861","1,875",45.5,,"$5,177 "
"Local, total","57,419","44,068","43,254","43,523",75.8,,"$182,960 ","15,688","12,813","13,896",24.2,,"$37,395 "
Counties,"15,222","11,114","10,675","10,828",71.1,,"$36,381 ","4,505","4,141","4,394",28.9,,"$11,811 "
Municipalities,"42,197","32,954","32,579","32,695",77.5,,"$146,578 ","11,183","8,672","9,502",22.5,,"$25,584 "

Utah,"5,722","4,115","3,898","3,964",69.3,,"$14,933 ","2,682","1,365","1,758",30.7,,"$4,933 "
State,817,441,441,441,54,,"$1,497 ",404,353,376,46,,"$1,293 "
"Local, total","4,905","3,674","3,457","3,523",71.8,,"$13,436 ","2,278","1,012","1,382",28.2,,"$3,640 "
Counties,"1,556","1,159","1,138","1,144",73.5,,"$4,070 ",659,393,412,26.5,,"$1,103 "
Municipalities,"3,349","2,515","2,319","2,379",71,,"$9,367 ","1,619",619,970,29,,"$2,537 "

Vermont,"1,357","1,009",912,945,69.6,,"$4,027 ",495,376,412,30.4,,"$1,414 "
State,534,326,300,309,57.9,,"$1,594 ",241,205,225,42.1,,$850 
"Local, total",823,683,612,636,77.3,,"$2,434 ",254,171,187,22.7,,$565 
Counties,13,1,1,1,7.7,,$2 ,13,11,12,92.3,,$31 
Municipalities,810,682,611,635,78.4,,"$2,432 ",241,160,175,21.6,,$534 

Virginia,"20,663","16,042","15,689","15,792",76.4,,"$64,457 ","5,524","4,405","4,871",23.6,,"$15,228 "
State,"2,748","1,908","1,908","1,908",69.4,,"$8,272 ",902,744,840,30.6,,"$2,484 "
"Local, total","17,915","14,134","13,781","13,884",77.5,,"$56,185 ","4,622","3,661","4,031",22.5,,"$12,744 "
Counties,"9,419","7,301","7,024","7,061",75,,"$30,104 ","2,731","2,124","2,358",25,,"$7,777 "
Municipalities,"8,496","6,833","6,757","6,823",80.3,,"$26,081 ","1,891","1,537","1,673",19.7,,"$4,967 "

