"Essex, NJ",6,"$160,293 ","$160,293 ","$143,456 ","$16,837 ",--,"$34,724 ","$34,724 ","$34,724 ",--,--,"$45,817 ","$45,817 ","$30,480 ","$15,337 ",--,"$79,752 ","$79,752 ","$78,252 ","$1,500 ","$1,500 ",--,"Essex, NJ"
"Fairfax, VA",6,"$283,020 ","$283,020 ","$247,473 ","$35,547 ",--,"$211,320 ","$211,320 ","$175,940 ","$35,380 ",--,"$37,003 ","$37,003 ","$36,836 ",$167 ,--,"$34,697 ","$34,697 ","$34,697 ",--,--,--,"Fairfax, VA"
"Franklin, OH",12,"$198,688 ","$197,880 ","$194,192 ","$3,688 ",$808 ,"$30,419 ","$30,419 ","$29,201 ","$1,218 ",--,"$111,457 ","$111,457 ","$111,316 ",$141 ,--,"$56,812 ","$56,004 ","$53,675 ","$2,329 ",--,$808 ,"Franklin, OH"
"Fresno, CA",6,"$236,262 ","$236,262 ","$232,821 ","$3,441 ",--,"$72,098 ","$72,098 ","$69,786 ","$2,312 ",--,"$75,216 ","$75,216 ","$75,013 ",$203 ,--,"$88,948 ","$88,948 ","$88,022 ",$926 ,--,--,"Fresno, CA"
"Fulton, GA",12,"$224,271 ","$224,271 ","$219,315 ","$4,956 ",--,"$59,959 ","$59,959 ","$55,690 ","$4,269 ",--,"$105,641 ","$105,641 ","$104,954 ",$687 ,--,"$58,671 ","$58,671 ","$58,671 ",--,--,--,"Fulton, GA"

"Hamilton, OH",12,"$221,165 ","$221,165 ","$219,484 ","$1,681 ",--,"$55,173 ","$55,173 ","$53,816 ","$1,357 ",--,"$114,054 ","$114,054 ","$114,015 ",$39 ,--,"$51,938 ","$51,938 ","$51,653 ",$285 ,--,--,"Hamilton, OH"
"Harris, TX",2,"$575,995 ","$575,995 ","$571,663 ","$4,332 ",--,"$363,431 ","$363,431 ","$359,456 ","$3,975 ",--,"$143,965 ","$143,965 ","$143,608 ",$357 ,--,"$68,599 ","$68,599 ","$68,599 ",--,--,--,"Harris, TX"
"Hennepin, MN",12,"$206,536 ","$206,536 ","$199,652 ","$6,884 ",--,"$63,784 ","$63,784 ","$57,701 ","$6,083 ",--,"$62,025 ","$62,025 ","$61,885 ",$140 ,--,"$80,727 ","$80,727 ","$80,066 ",$661 ,$143 ,--,"Hennepin, MN"
"Hillsborough, FL",9,"$351,832 ","$351,832 ","$331,612 ","$20,220 ",--,"$160,257 ","$160,257 ","$149,328 ","$10,929 ",--,"$86,777 ","$86,777 ","$79,010 ","$7,767 ",--,"$104,798 ","$104,798 ","$103,274 ","$1,524 ",--,--,"Hillsborough, FL"
"Hudson, NJ",6,"$81,592 ","$80,455 ","$80,455 ",--,"$1,137 ","$15,933 ","$15,933 ","$15,933 ",--,--,"$19,608 ","$19,608 ","$19,608 ",--,--,"$46,051 ","$44,914 ","$44,914 ",--,--,"$1,137 ","Hudson, NJ"
"Jackson, MO",12,"$81,657 ","$79,828 ","$77,877 ","$1,951 ","$1,829 ","$13,140 ","$11,311 ","$9,360 ","$1,951 ","$1,829 ","$32,965 ","$32,965 ","$32,965 ",--,--,"$35,552 ","$35,552 ","$35,552 ",--,--,--,"Jackson, MO"
"Jefferson, AL",9,"$83,865 ","$83,865 ","$83,865 ",--,--,"$31,699 ","$31,699 ","$31,699 ",--,--,"$24,196 ","$24,196 ","$24,196 ",--,--,"$27,970 ","$27,970 ","$27,970 ",--,--,--,"Jefferson, AL"

"King, WA",12,"$387,422 ","$387,422 ","$384,682 ","$2,740 ",--,"$116,319 ","$116,319 ","$115,099 ","$1,220 ",--,"$150,614 ","$150,614 ","$150,079 ",$535 ,--,"$120,489 ","$120,489 ","$119,504 ",$985 ,$747 ,--,"King, WA"
"Lake, IN",12,"$50,804 ","$50,804 ","$49,229 ","$1,575 ",--,"$14,246 ","$14,246 ","$12,893 ","$1,353 ",--,"$17,960 ","$17,960 ","$17,897 ",$63 ,--,"$18,598 ","$18,598 ","$18,439 ",$159 ,--,--,"Lake, IN"
"Los Angeles, CA",6,"$3,281,222 ","$3,281,222 ","$3,270,039 ","$11,183 ",--,"$1,117,642 ","$1,117,642 ","$1,109,395 ","$8,247 ",--,"$1,194,108 ","$1,194,108 ","$1,192,625 ","$1,483 ",--,"$969,472 ","$969,472 ","$968,019 ","$1,453 ",--,--,"Los Angeles, CA"
"Macomb, MI",12,"$81,180 ","$81,180 ","$79,463 ","$1,717 ",--,"$37,024 ","$37,024 ","$36,975 ",$49 ,--,"$30,194 ","$30,194 ","$30,163 ",$31 ,--,"$13,962 ","$13,962 ","$12,325 ","$1,637 ",--,--,"Macomb, MI"
"Maricopa, AZ",6,"$612,859 ","$612,859 ","$584,985 ","$27,874 ",--,"$57,149 ","$57,149 ","$56,710 ",$439 ,--,"$231,937 ","$231,937 ","$230,876 ","$1,061 ",--,"$323,773 ","$323,773 ","$297,399 ","$26,374 ","$18,816 ",--,"Maricopa, AZ"
"Middlesex, NJ",6,"$71,454 ","$71,454 ","$70,444 ","$1,010 ",--,"$21,629 ","$21,629 ","$21,629 ",--,--,"$18,222 ","$18,222 ","$17,212 ","$1,010 ",--,"$31,603 ","$31,603 ","$31,603 ",--,--,--,"Middlesex, NJ"
"Milwaukee, WI",12,"$180,857 ","$180,857 ","$179,782 ","$1,075 ",--,"$28,458 ","$28,458 ","$28,458 ",--,--,"$54,752 ","$54,752 ","$54,752 ",--,--,"$97,647 ","$97,647 ","$96,572 ","$1,075 ","$1,075 ",--,"Milwaukee, WI"

"Monmouth, NJ",6,"$84,920 ","$80,897 ","$80,897 ",--,"$4,023 ","$14,536 ","$14,536 ","$14,536 ",--,--,"$22,704 ","$22,704 ","$22,704 ",--,--,"$47,680 ","$43,657 ","$43,657 ",--,--,"$4,023 ","Monmouth, NJ"
"Monroe, NY",12,"$169,317 ","$164,268 ","$162,971 ","$1,297 ","$5,049 ","$51,548 ","$51,548 ","$50,251 ","$1,297 ",--,"$35,892 ","$35,892 ","$35,892 ",--,--,"$81,877 ","$76,828 ","$76,828 ",--,--,"$5,049 ","Monroe, NY"
"Montgomery, MD",6,"$248,945 ","$248,945 ","$241,363 ","$7,582 ",--,"$158,049 ","$158,049 ","$152,506 ","$5,543 ",--,"$37,686 ","$37,686 ","$37,677 ",$9 ,--,"$53,210 ","$53,210 ","$51,180 ","$2,030 ","$2,030 ",--,"Montgomery, MD"
"Montgomery, OH",12,"$127,032 ","$127,032 ","$125,694 ","$1,338 ",--,"$49,828 ","$49,828 ","$49,203 ",$625 ,--,"$59,076 ","$59,076 ","$58,445 ",$631 ,--,"$18,128 ","$18,128 ","$18,046 ",$82 ,--,--,"Montgomery, OH"
"Montgomery, PA",12,"$86,420 ","$86,420 ","$86,169 ",$251 ,--,--,--,--,--,--,"$44,463 ","$44,463 ","$44,463 ",--,--,"$41,957 ","$41,957 ","$41,706 ",$251 ,$199 ,--,"Montgomery, PA"
"Multnomah, OR",6,"$199,961 ","$199,961 ","$193,053 ","$6,908 ",--,"$32,987 ","$32,987 ","$32,509 ",$478 ,--,"$17,714 ","$17,714 ","$17,693 ",$21 ,--,"$149,260 ","$149,260 ","$142,851 ","$6,409 ","$6,409 ",--,"Multnomah, OR"
"Nassau, NY",12,"$943,813 ","$941,434 ","$926,672 ","$14,762 ","$2,379 ","$653,376 ","$653,376 ","$639,280 ","$14,096 ",--,"$82,366 ","$82,366 ","$82,239 ",$127 ,--,"$208,071 ","$205,692 ","$205,153 ",$539 ,$77 ,"$2,379 ","Nassau, NY"

"Norfolk, MA",6,"$26,691 ","$26,691 ","$26,691 ",--,--,--,--,--,--,--,$911 ,$911 ,$911 ,--,--,"$25,780 ","$25,780 ","$25,780 ",--,--,--,"Norfolk, MA"
"Oakland, MI",12,"$249,033 ","$242,533 ","$230,213 ","$12,320 ","$6,500 ","$55,592 ","$55,592 ","$54,330 ","$1,262 ",--,"$87,110 ","$87,110 ","$77,794 ","$9,316 ",--,"$106,331 ","$99,831 ","$98,089 ","$1,742 ","$1,028 ","$6,500 ","Oakland, MI"
"Oklahoma, OK",6,"$46,575 ","$46,575 ","$45,523 ","$1,052 ",--,"$7,147 ","$7,147 ","$6,946 ",$201 ,--,"$6,880 ","$6,880 ","$6,851 ",$29 ,--,"$32,548 ","$32,548 ","$31,726 ",$822 ,--,--,"Oklahoma, OK"
"Orange, CA",6,"$812,638 ","$812,638 ","$790,339 ","$22,299 ",--,"$270,074 ","$270,074 ","$263,447 ","$6,627 ",--,"$290,505 ","$290,505 ","$288,547 ","$1,958 ",--,"$252,059 ","$252,059 ","$238,345 ","$13,714 ","$7,224 ",--,"Orange, CA"
"Orange, FL",9,"$349,377 ","$349,377 ","$310,870 ","$38,507 ",--,"$148,173 ","$148,173 ","$136,768 ","$11,405 ",--,"$51,066 ","$51,066 ","$50,283 ",$783 ,--,"$150,138 ","$150,138 ","$123,819 ","$26,319 ","$24,894 ",--,"Orange, FL"
"Palm Beach, FL",9,"$329,738 ","$329,738 ","$321,068 ","$8,670 ",--,"$192,222 ","$192,222 ","$185,627 ","$6,595 ",--,"$40,108 ","$40,108 ","$38,066 ","$2,042 ",--,"$97,408 ","$97,408 ","$97,375 ",$33 ,$3 ,--,"Palm Beach, FL"
"Pima, AZ",6,"$298,770 ","$298,748 ","$297,428 ","$1,320 ",$22 ,"$88,714 ","$88,714 ","$87,721 ",$993 ,--,"$122,313 ","$122,313 ","$121,986 ",$327 ,--,"$87,743 ","$87,721 ","$87,721 ",--,--,$22 ,"Pima, AZ"

"Pinellas, FL",9,"$260,990 ","$260,990 ","$233,809 ","$27,181 ",--,"$111,157 ","$111,157 ","$104,859 ","$6,298 ",--,"$43,725 ","$43,725 ","$42,265 ","$1,460 ",--,"$106,108 ","$106,108 ","$86,685 ","$19,423 ","$18,941 ",--,"Pinellas, FL"
"Prince Georges, MD",6,"$231,120 ","$231,120 ","$228,668 ","$2,452 ",--,"$147,124 ","$147,124 ","$146,903 ",$221 ,--,"$42,444 ","$42,444 ","$42,412 ",$32 ,--,"$41,552 ","$41,552 ","$39,353 ","$2,199 ","$2,130 ",--,"Prince Georges, MD"
"Riverside, CA",6,"$597,637 ","$597,637 ","$583,346 ","$14,291 ",--,"$242,573 ","$242,573 ","$239,711 ","$2,862 ",--,"$190,110 ","$190,110 ","$185,180 ","$4,930 ",--,"$164,954 ","$164,954 ","$158,455 ","$6,499 ","$4,559 ",--,"Riverside, CA"
"Sacramento, CA",6,"$540,075 ","$540,075 ","$522,072 ","$18,003 ",--,"$196,860 ","$196,860 ","$195,109 ","$1,751 ",--,"$161,040 ","$161,040 ","$155,725 ","$5,315 ",--,"$182,175 ","$182,175 ","$171,238 ","$10,937 ",--,--,"Sacramento, CA"
"St. Louis, MO",12,"$132,410 ","$132,410 ","$131,506 ",$904 ,--,"$75,844 ","$75,844 ","$75,677 ",$167 ,--,"$35,569 ","$35,569 ","$35,251 ",$318 ,--,"$20,997 ","$20,997 ","$20,578 ",$419 ,--,--,"St. Louis, MO"
"Salt Lake, UT",12,"$135,164 ","$135,164 ","$133,583 ","$1,581 ",--,"$35,790 ","$35,790 ","$34,657 ","$1,133 ",--,"$39,839 ","$39,839 ","$39,759 ",$80 ,--,"$59,535 ","$59,535 ","$59,167 ",$368 ,--,--,"Salt Lake, UT"
"San Bernadino, CA",6,"$529,056 ","$529,056 ","$517,027 ","$12,029 ",--,"$204,195 ","$204,195 ","$198,364 ","$5,831 ",--,"$151,555 ","$151,555 ","$151,303 ",$252 ,--,"$173,306 ","$173,306 ","$167,360 ","$5,946 ","$4,009 ",--,"San Bernadino, CA"

"San Diego, CA",6,"$872,682 ","$872,682 ","$857,812 ","$14,870 ",--,"$215,774 ","$215,774 ","$213,952 ","$1,822 ",--,"$351,114 ","$351,114 ","$347,835 ","$3,279 ",--,"$305,794 ","$305,794 ","$296,025 ","$9,769 ","$5,516 ",--,"San Diego, CA"
"San Mateo, CA",6,"$227,298 ","$227,298 ","$226,487 ",$811 ,--,"$62,224 ","$62,224 ","$61,421 ",$803 ,--,"$74,194 ","$74,194 ","$74,194 ",--,--,"$90,880 ","$90,880 ","$90,872 ",$8 ,--,--,"San Mateo, CA"
"Santa Clara, CA",6,"$549,780 ","$549,780 ","$539,373 ","$10,407 ",--,"$94,301 ","$94,301 ","$93,709 ",$592 ,--,"$226,512 ","$226,512 ","$216,749 ","$9,763 ",--,"$228,967 ","$228,967 ","$228,915 ",$52 ,--,--,"Santa Clara, CA"
"Shelby, TN",6,"$242,852 ","$242,852 ","$237,418 ","$5,434 ",--,"$55,138 ","$55,138 ","$52,706 ","$2,432 ",--,"$67,784 ","$67,784 ","$67,772 ",$12 ,--,"$119,930 ","$119,930 ","$116,940 ","$2,990 ","$2,877 ",--,"Shelby, TN"
"Suffolk, NY",12,"$614,904 ","$601,719 ","$578,236 ","$23,483 ","$13,185 ","$433,924 ","$433,924 ","$419,585 ","$14,339 ",--,"$59,690 ","$49,318 ","$44,340 ","$4,978 ","$10,372 ","$121,290 ","$118,477 ","$114,311 ","$4,166 ","$2,981 ","$2,813 ","Suffolk, NY"
"Summit, OH",12,"$74,370 ","$74,370 ","$71,747 ","$2,623 ",--,"$17,411 ","$17,411 ","$17,081 ",$330 ,--,"$43,665 ","$43,665 ","$41,453 ","$2,212 ",--,"$13,294 ","$13,294 ","$13,213 ",$81 ,--,--,"Summit, OH"

"Tarrant, TX",9,"$181,456 ","$181,456 ","$180,604 ",$852 ,--,"$30,141 ","$30,141 ","$29,589 ",$552 ,--,"$74,904 ","$74,904 ","$74,717 ",$187 ,--,"$76,411 ","$76,411 ","$76,298 ",$113 ,$48 ,--,"Tarrant, TX"
"Travis, TX",9,"$213,620 ","$213,620 ","$204,897 ","$8,723 ",--,"$37,337 ","$37,337 ","$35,890 ","$1,447 ",--,"$60,503 ","$60,503 ","$60,313 ",$190 ,--,"$115,780 ","$115,780 ","$108,694 ","$7,086 ","$7,086 ",--,"Travis, TX"
"Union, NJ",6,"$83,199 ","$83,199 ","$77,927 ","$5,272 ",--,"$23,569 ","$23,569 ","$22,923 ",$646 ,--,"$18,841 ","$18,841 ","$18,515 ",$326 ,--,"$40,789 ","$40,789 ","$36,489 ","$4,300 ",--,--,"Union, NJ"
"Ventura, CA",6,"$311,647 ","$311,647 ","$309,564 ","$2,083 ",--,"$105,835 ","$105,835 ","$104,397 ","$1,438 ",--,"$89,528 ","$89,528 ","$88,944 ",$584 ,--,"$116,284 ","$116,284 ","$116,223 ",$61 ,--,--,"Ventura, CA"
"Wayne, MI",11,"$577,064 ","$566,411 ","$565,161 ","$1,250 ","$10,653 ","$29,369 ","$29,369 ","$28,981 ",$388 ,--,"$291,970 ","$291,970 ","$291,136 ",$834 ,--,"$255,725 ","$245,072 ","$245,044 ",$28 ,--,"$10,653 ","Wayne, MI"
"Westchester, NY",12,"$227,114 ","$227,114 ","$212,207 ","$14,907 ",--,"$42,982 ","$42,982 ","$28,573 ","$14,409 ",--,"$54,055 ","$54,055 ","$53,842 ",$213 ,--,"$130,077 ","$130,077 ","$129,792 ",$285 ,--,--,"Westchester, NY"

Note:  Fiscal years end between July 2004 and June 2005.
