Bureau of Justice Statistics,,,,,,,,,,,,
Counties,"$108,448 ","$54,889 ",50.6,,"$17,254 ",31.4,,"$22,100 ",40.3,,"$15,536 ",28.3
Municipalities,"$213,137 ","$71,226 ",33.4,,"$62,689 ",88,,"$8,470 ",11.9,,$67 ,0.1

Arkansas,"$442,449 ","$47,089 ",10.6,,"$22,757 ",48.3,,"$8,925 ",19,,"$15,407 ",32.7
State,"$174,392 ","$20,046 ",11.5,,"$3,717 ",18.5,,"$4,615 ",23,,"$11,713 ",58.4
"Local, total","$268,057 ","$27,043 ",10.1,,"$19,040 ",70.4,,"$4,310 ",15.9,,"$3,694 ",13.7
Counties,"$25,799 ","$10,329 ",40,,"$4,595 ",44.5,,"$2,158 ",20.9,,"$3,576 ",34.6
Municipalities,"$54,625 ","$16,715 ",30.6,,"$14,445 ",86.4,,"$2,152 ",12.9,,$118 ,0.7

California,"$8,478,902 ","$1,306,297 ",15.4,,"$612,302 ",46.9,,"$286,319 ",21.9,,"$407,676 ",31.2
State,"$1,949,478 ","$355,456 ",18.2,,"$70,493 ",19.8,,"$25,675 ",7.2,,"$259,288 ",72.9
"Local, total","$6,529,424 ","$950,841 ",14.6,,"$541,809 ",57,,"$260,644 ",27.4,,"$148,388 ",15.6
Counties,"$1,607,855 ","$549,887 ",34.2,,"$177,253 ",32.2,,"$233,180 ",42.4,,"$139,454 ",25.4
Municipalities,"$1,386,340 ","$400,954 ",28.9,,"$364,555 ",90.9,,"$27,464 ",6.8,,"$8,934 ",2.2

Colorado,"$942,033 ","$128,819 ",13.7,,"$62,579 ",48.6,,"$26,054 ",20.2,,"$40,187 ",31.2
State,"$279,340 ","$47,255 ",16.9,,"$6,217 ",13.2,,"$15,575 ",33,,"$25,463 ",53.9
"Local, total","$662,693 ","$81,564 ",12.3,,"$56,362 ",69.1,,"$10,479 ",12.8,,"$14,724 ",18.1
Counties,"$90,701 ","$29,903 ",33,,"$14,349 ",48,,"$4,901 ",16.4,,"$10,654 ",35.6
Municipalities,"$182,764 ","$51,661 ",28.3,,"$42,013 ",81.3,,"$5,578 ",10.8,,"$4,070 ",7.9

Connecticut,"$825,439 ","$113,034 ",13.7,,"$57,063 ",50.5,,"$20,336 ",18,,"$35,636 ",31.5
State,"$286,766 ","$65,379 ",22.8,,"$10,357 ",15.8,,"$19,386 ",29.7,,"$35,636 ",54.5
"Local, total","$538,674 ","$47,655 ",8.8,,"$46,706 ",98,,$950 ,2,,--,0
Municipalities,"$495,123 ","$47,655 ",9.6,,"$46,706 ",98,,$950 ,2,,--,0

Delaware,"$175,329 ","$27,124 ",15.5,,"$11,783 ",43.4,,"$5,754 ",21.2,,"$9,587 ",35.3
State,"$92,139 ","$19,750 ",21.4,,"$4,843 ",24.5,,"$5,320 ",26.9,,"$9,587 ",48.5
"Local, total","$83,190 ","$7,375 ",8.9,,"$6,941 ",94.1,,$434 ,5.9,,--,0
Counties,"$10,081 ","$2,871 ",28.5,,"$2,584 ",90,,$287 ,10,,--,0
Municipalities,"$11,845 ","$4,504 ",38,,"$4,357 ",96.7,,$147 ,3.3,,--,0

District of Columbia,"$213,448 ","$37,584 ",17.6,,"$22,562 ",60,,"$9,454 ",25.2,,"$5,569 ",14.8
"Local, total","$213,448 ","$37,584 ",17.6,,"$22,562 ",60,,"$9,454 ",25.2,,"$5,569 ",14.8
Municipality,"$213,448 ","$37,584 ",17.6,,"$22,562 ",60,,"$9,454 ",25.2,,"$5,569 ",14.8

Florida,"$2,844,606 ","$513,778 ",18.1,,"$261,208 ",50.8,,"$113,132 ",22,,"$139,438 ",27.1
State,"$626,031 ","$162,524 ",26,,"$15,365 ",9.5,,"$66,929 ",41.2,,"$80,229 ",49.4
"Local, total","$2,218,575 ","$351,254 ",15.8,,"$245,842 ",70,,"$46,203 ",13.2,,"$59,208 ",16.9
Counties,"$608,687 ","$228,730 ",37.6,,"$129,254 ",56.5,,"$42,527 ",18.6,,"$56,948 ",24.9
Municipalities,"$409,171 ","$122,524 ",29.9,,"$116,588 ",95.2,,"$3,676 ",3,,"$2,260 ",1.8

Georgia,"$1,540,617 ","$206,252 ",13.4,,"$84,718 ",41.1,,"$48,083 ",23.3,,"$73,451 ",35.6
State,"$398,386 ","$69,812 ",17.5,,"$6,838 ",9.8,,"$14,070 ",20.2,,"$48,903 ",70.1
"Local, total","$1,142,231 ","$136,440 ",11.9,,"$77,880 ",57.1,,"$34,013 ",24.9,,"$24,548 ",18
Counties,"$197,269 ","$88,708 ",45,,"$38,130 ",43,,"$29,285 ",33,,"$21,293 ",24
Municipalities,"$132,866 ","$47,732 ",35.9,,"$39,750 ",83.3,,"$4,728 ",9.9,,"$3,255 ",6.8

Hawaii,"$253,077 ","$36,809 ",14.5,,"$16,813 ",45.7,,"$11,417 ",31,,"$8,579 ",23.3
State,"$195,763 ","$17,522 ",9,,--,0,,"$8,943 ",51,,"$8,579 ",49
"Local, total","$57,314 ","$19,287 ",33.7,,"$16,813 ",87.2,,"$2,474 ",12.8,,--,0
Counties,"$20,172 ","$6,337 ",31.4,,"$5,262 ",83,,"$1,075 ",17,,--,0
Municipalities,"$36,690 ","$12,949 ",35.3,,"$11,551 ",89.2,,"$1,399 ",10.8,,--,0

Idaho,"$227,904 ","$27,275 ",12,,"$13,159 ",48.2,,"$6,172 ",22.6,,"$7,943 ",29.1
State,"$73,576 ","$9,098 ",12.4,,"$1,705 ",18.7,,"$2,406 ",26.4,,"$4,986 ",54.8
"Local, total","$154,328 ","$18,177 ",11.8,,"$11,454 ",63,,"$3,766 ",20.7,,"$2,957 ",16.3
Counties,"$33,173 ","$11,512 ",34.7,,"$5,178 ",45,,"$3,377 ",29.3,,"$2,957 ",25.7
Municipalities,"$23,033 ","$6,665 ",28.9,,"$6,276 ",94.2,,$389 ,5.8,,--,0

Illinois,"$2,395,059 ","$368,003 ",15.4,,"$198,001 ",53.8,,"$72,843 ",19.8,,"$97,159 ",26.4
State,"$519,883 ","$98,427 ",18.9,,"$19,451 ",19.8,,"$20,655 ",21,,"$58,321 ",59.3
"Local, total","$1,875,176 ","$269,576 ",14.4,,"$178,550 ",66.2,,"$52,188 ",19.4,,"$38,838 ",14.4
Counties,"$234,652 ","$110,725 ",47.2,,"$23,409 ",21.1,,"$48,488 ",43.8,,"$38,827 ",35.1
Municipalities,"$444,559 ","$158,852 ",35.7,,"$155,140 ",97.7,,"$3,701 ",2.3,,$11 ,0

Indiana,"$1,054,278 ","$122,518 ",11.6,,"$59,204 ",48.3,,"$23,662 ",19.3,,"$39,652 ",32.4
State,"$304,334 ","$39,650 ",13,,"$7,701 ",19.4,,"$6,615 ",16.7,,"$25,334 ",63.9
"Local, total","$749,944 ","$82,868 ",11,,"$51,503 ",62.2,,"$17,047 ",20.6,,"$14,319 ",17.3
Counties,"$137,520 ","$34,936 ",25.4,,"$12,866 ",36.8,,"$10,666 ",30.5,,"$11,403 ",32.6
Municipalities,"$163,245 ","$47,933 ",29.4,,"$38,637 ",80.6,,"$6,380 ",13.3,,"$2,915 ",6.1

Iowa,"$593,516 ","$59,959 ",10.1,,"$29,254 ",48.8,,"$14,585 ",24.3,,"$16,120 ",26.9
State,"$215,330 ","$26,517 ",12.3,,"$3,969 ",15,,"$10,039 ",37.9,,"$12,509 ",47.2
"Local, total","$378,186 ","$33,442 ",8.8,,"$25,285 ",75.6,,"$4,546 ",13.6,,"$3,611 ",10.8
Counties,"$81,742 ","$17,189 ",21,,"$9,461 ",55,,"$4,124 ",24,,"$3,604 ",21
Municipalities,"$74,639 ","$16,253 ",21.8,,"$15,824 ",97.4,,$422 ,2.6,,$7 ,0

Kansas,"$548,418 ","$63,886 ",11.6,,"$33,278 ",52.1,,"$12,904 ",20.2,,"$17,705 ",27.7
State,"$153,287 ","$21,263 ",13.9,,"$4,121 ",19.4,,"$7,415 ",34.9,,"$9,727 ",45.7
"Local, total","$395,131 ","$42,623 ",10.8,,"$29,157 ",68.4,,"$5,489 ",12.9,,"$7,978 ",18.7
Counties,"$67,576 ","$18,994 ",28.1,,"$8,304 ",43.7,,"$3,412 ",18,,"$7,278 ",38.3
Municipalities,"$86,497 ","$23,629 ",27.3,,"$20,853 ",88.3,,"$2,077 ",8.8,,$699 ,3

Kentucky,"$698,580 ","$77,927 ",11.2,,"$36,129 ",46.4,,"$21,662 ",27.8,,"$20,136 ",25.8
State,"$262,602 ","$33,758 ",12.9,,"$8,041 ",23.8,,"$15,909 ",47.1,,"$9,808 ",29.1
"Local, total","$435,978 ","$44,168 ",10.1,,"$28,087 ",63.6,,"$5,753 ",13,,"$10,328 ",23.4
Counties,"$55,849 ","$18,803 ",33.7,,"$8,476 ",45.1,,"$3,126 ",16.6,,"$7,201 ",38.3
Municipalities,"$79,295 ","$25,365 ",32,,"$19,611 ",77.3,,"$2,627 ",10.4,,"$3,127 ",12.3

Louisiana,"$805,452 ","$110,131 ",13.7,,"$49,003 ",44.5,,"$22,180 ",20.1,,"$38,948 ",35.4
State,"$303,120 ","$38,047 ",12.6,,"$7,674 ",20.2,,"$7,559 ",19.9,,"$22,813 ",60
"Local, total","$502,332 ","$72,083 ",14.3,,"$41,328 ",57.3,,"$14,620 ",20.3,,"$16,135 ",22.4
Parishes,"$120,786 ","$34,578 ",28.6,,"$16,784 ",48.5,,"$9,601 ",27.8,,"$8,193 ",23.7
Municipalities,"$104,263 ","$37,505 ",36,,"$24,544 ",65.4,,"$5,019 ",13.4,,"$7,942 ",21.2

Maine,"$228,966 ","$20,884 ",9.1,,"$10,712 ",51.3,,"$3,535 ",16.9,,"$6,636 ",31.8
State,"$75,103 ","$9,742 ",13,,"$2,395 ",24.6,,"$2,912 ",29.9,,"$4,434 ",45.5
"Local, total","$153,863 ","$11,142 ",7.2,,"$8,317 ",74.6,,$623 ,5.6,,"$2,202 ",19.8
Counties,"$5,170 ","$4,056 ",78.5,,"$1,324 ",32.6,,$531 ,13.1,,"$2,201 ",54.3
Municipalities,"$91,299 ","$7,086 ",7.8,,"$6,992 ",98.7,,$92 ,1.3,,$1 ,0

Maryland,"$1,160,138 ","$168,785 ",14.5,,"$79,356 ",47,,"$34,380 ",20.4,,"$55,050 ",32.6
State,"$366,234 ","$75,126 ",20.5,,"$11,563 ",15.4,,"$21,396 ",28.5,,"$42,167 ",56.1
"Local, total","$793,904 ","$93,660 ",11.8,,"$67,793 ",72.4,,"$12,984 ",13.9,,"$12,883 ",13.8
Counties,"$667,504 ","$67,003 ",10,,"$44,686 ",66.7,,"$9,434 ",14.1,,"$12,883 ",19.2
Municipalities,"$121,158 ","$26,657 ",22,,"$23,107 ",86.7,,"$3,550 ",13.3,,--,0

Massachusetts,"$1,328,369 ","$201,899 ",15.2,,"$118,384 ",58.6,,"$42,693 ",21.1,,"$40,822 ",20.2
State,"$392,095 ","$100,317 ",25.6,,"$29,974 ",29.9,,"$41,195 ",41.1,,"$29,148 ",29.1
"Local, total","$936,274 ","$101,583 ",10.8,,"$88,410 ",87,,"$1,498 ",1.5,,"$11,675 ",11.5
Counties,"$9,678 ","$7,208 ",74.5,,--,0,,$1 ,0,,"$7,207 ",100
Municipalities,"$791,013 ","$94,375 ",11.9,,"$88,410 ",93.7,,"$1,497 ",1.6,,"$4,468 ",4.7

Michigan,"$1,882,475 ","$250,462 ",13.3,,"$107,593 ",43,,"$48,997 ",19.6,,"$93,872 ",37.5
State,"$538,622 ","$92,706 ",17.2,,"$10,276 ",11.1,,"$9,659 ",10.4,,"$72,771 ",78.5
"Local, total","$1,343,853 ","$157,757 ",11.7,,"$97,318 ",61.7,,"$39,338 ",24.9,,"$21,101 ",13.4
Counties,"$188,286 ","$73,972 ",39.3,,"$21,610 ",29.2,,"$31,638 ",42.8,,"$20,723 ",28
Municipalities,"$346,774 ","$83,785 ",24.2,,"$75,707 ",90.4,,"$7,700 ",9.2,,$378 ,0.5

Minnesota,"$1,026,984 ","$112,752 ",11,,"$49,346 ",43.8,,"$28,836 ",25.6,,"$34,570 ",30.7
State,"$318,442 ","$32,860 ",10.3,,"$4,425 ",13.5,,"$13,821 ",42.1,,"$14,614 ",44.5
"Local, total","$708,541 ","$79,892 ",11.3,,"$44,920 ",56.2,,"$15,015 ",18.8,,"$19,956 ",25
Counties,"$161,904 ","$48,423 ",29.9,,"$14,831 ",30.6,,"$13,636 ",28.2,,"$19,956 ",41.2
Municipalities,"$144,100 ","$31,469 ",21.8,,"$30,089 ",95.6,,"$1,379 ",4.4,,--,0

Mississippi,"$513,115 ","$44,374 ",8.6,,"$23,041 ",51.9,,"$8,700 ",19.6,,"$12,633 ",28.5
State,"$168,303 ","$16,112 ",9.6,,"$3,524 ",21.9,,"$3,444 ",21.4,,"$9,143 ",56.7
"Local, total","$344,812 ","$28,262 ",8.2,,"$19,517 ",69.1,,"$5,256 ",18.6,,"$3,490 ",12.3
Counties,"$73,733 ","$13,660 ",18.5,,"$6,336 ",46.4,,"$3,942 ",28.9,,"$3,382 ",24.8
Municipalities,"$60,296 ","$14,602 ",24.2,,"$13,181 ",90.3,,"$1,314 ",9,,$107 ,0.7

Missouri,"$934,623 ","$127,616 ",13.7,,"$60,444 ",47.4,,"$27,058 ",21.2,,"$40,114 ",31.4
State,"$273,100 ","$54,000 ",19.8,,"$7,603 ",14.1,,"$14,625 ",27.1,,"$31,773 ",58.8
"Local, total","$661,522 ","$73,616 ",11.1,,"$52,842 ",71.8,,"$12,434 ",16.9,,"$8,340 ",11.3
Counties,"$63,383 ","$26,574 ",41.9,,"$12,179 ",45.8,,"$8,522 ",32.1,,"$5,874 ",22.1
Municipalities,"$153,281 ","$47,041 ",30.7,,"$40,663 ",86.4,,"$3,912 ",8.3,,"$2,467 ",5.2

Montana,"$159,745 ","$16,896 ",10.6,,"$7,974 ",47.2,,"$4,190 ",24.8,,"$4,732 ",28
State,"$61,521 ","$6,386 ",10.4,,"$1,349 ",21.1,,"$1,777 ",27.8,,"$3,260 ",51
"Local, total","$98,224 ","$10,510 ",10.7,,"$6,625 ",63,,"$2,413 ",23,,"$1,472 ",14
Counties,"$16,620 ","$6,274 ",37.8,,"$3,032 ",48.3,,"$1,839 ",29.3,,"$1,403 ",22.4
Municipalities,"$14,962 ","$4,235 ",28.3,,"$3,593 ",84.8,,$573 ,13.5,,$69 ,1.6

Nebraska,"$358,259 ","$35,823 ",10,,"$18,343 ",51.2,,"$7,149 ",20,,"$10,330 ",28.8
State,"$97,999 ","$12,422 ",12.7,,"$2,530 ",20.4,,"$2,846 ",22.9,,"$7,046 ",56.7
"Local, total","$260,260 ","$23,401 ",9,,"$15,813 ",67.6,,"$4,303 ",18.4,,"$3,285 ",14
Counties,"$38,274 ","$12,171 ",31.8,,"$5,007 ",41.1,,"$3,880 ",31.9,,"$3,285 ",27
Municipalities,"$44,317 ","$11,230 ",25.3,,"$10,806 ",96.2,,$424 ,3.8,,--,0

Nevada,"$405,630 ","$81,203 ",20,,"$37,909 ",46.7,,"$17,373 ",21.4,,"$25,921 ",31.9
State,"$98,528 ","$21,221 ",21.5,,"$4,012 ",18.9,,"$3,639 ",17.1,,"$13,570 ",63.9
"Local, total","$307,102 ","$59,982 ",19.5,,"$33,897 ",56.5,,"$13,734 ",22.9,,"$12,351 ",20.6
Counties,"$113,697 ","$43,852 ",38.6,,"$24,222 ",55.2,,"$10,649 ",24.3,,"$8,981 ",20.5
Municipalities,"$51,583 ","$16,130 ",31.3,,"$9,675 ",60,,"$3,085 ",19.1,,"$3,370 ",20.9

New Hampshire,"$220,781 ","$26,329 ",11.9,,"$15,164 ",57.6,,"$4,356 ",16.5,,"$6,809 ",25.9
State,"$65,927 ","$9,779 ",14.8,,"$1,731 ",17.7,,"$3,276 ",33.5,,"$4,772 ",48.8
"Local, total","$154,854 ","$16,550 ",10.7,,"$13,433 ",81.2,,"$1,080 ",6.5,,"$2,037 ",12.3
Counties,"$11,508 ","$3,764 ",32.7,,$920 ,24.4,,$807 ,21.4,,"$2,037 ",54.1
Municipalities,"$64,000 ","$12,786 ",20,,"$12,513 ",97.9,,$273 ,2.1,,--,0

New Jersey,"$2,278,593 ","$398,457 ",17.5,,"$209,256 ",52.5,,"$107,460 ",27,,"$81,741 ",20.5
State,"$725,708 ","$146,886 ",20.2,,"$25,764 ",17.5,,"$71,191 ",48.5,,"$49,931 ",34
"Local, total","$1,552,885 ","$251,571 ",16.2,,"$183,492 ",72.9,,"$36,269 ",14.4,,"$31,810 ",12.6
Counties,"$258,579 ","$67,748 ",26.2,,"$13,005 ",19.2,,"$22,935 ",33.9,,"$31,808 ",47
Municipalities,"$490,121 ","$183,823 ",37.5,,"$170,487 ",92.7,,"$13,334 ",7.3,,$2 ,0

New Mexico,"$368,934 ","$50,471 ",13.7,,"$20,816 ",41.2,,"$11,346 ",22.5,,"$18,309 ",36.3
State,"$154,653 ","$25,631 ",16.6,,"$2,503 ",9.8,,"$10,044 ",39.2,,"$13,084 ",51
"Local, total","$214,281 ","$24,840 ",11.6,,"$18,313 ",73.7,,"$1,302 ",5.2,,"$5,225 ",21
Counties,"$24,097 ","$9,305 ",38.6,,"$5,575 ",59.9,,$333 ,3.6,,"$3,397 ",36.5
Municipalities,"$52,838 ","$15,536 ",29.4,,"$12,738 ",82,,$969 ,6.2,,"$1,828 ",11.8

New York,"$5,264,380 ","$903,710 ",17.2,,"$482,096 ",53.3,,"$164,180 ",18.2,,"$257,434 ",28.5
State,"$1,111,287 ","$292,154 ",26.3,,"$38,423 ",13.2,,"$110,061 ",37.7,,"$143,670 ",49.2
"Local, total","$4,153,092 ","$611,556 ",14.7,,"$443,673 ",72.5,,"$54,118 ",8.8,,"$113,764 ",18.6
Counties,"$438,633 ","$129,753 ",29.6,,"$68,139 ",52.5,,"$18,978 ",14.6,,"$42,636 ",32.9
Municipalities,"$2,380,847 ","$481,803 ",20.2,,"$375,534 ",77.9,,"$35,141 ",7.3,,"$71,128 ",14.8

North Carolina,"$1,554,892 ","$176,033 ",11.3,,"$80,151 ",45.5,,"$26,041 ",14.8,,"$69,841 ",39.7
State,"$461,068 ","$91,854 ",19.9,,"$12,720 ",13.8,,"$23,163 ",25.2,,"$55,971 ",60.9
"Local, total","$1,093,825 ","$84,179 ",7.7,,"$67,431 ",80.1,,"$2,879 ",3.4,,"$13,869 ",16.5
Counties,"$894,347 ","$37,091 ",4.1,,"$21,930 ",59.1,,"$2,179 ",5.9,,"$12,982 ",35
Municipalities,"$163,021 ","$47,088 ",28.9,,"$45,501 ",96.6,,$700 ,1.5,,$887 ,1.9

North Dakota,"$128,534 ","$9,787 ",7.6,,"$4,533 ",46.3,,"$2,757 ",28.2,,"$2,497 ",25.5
State,"$55,044 ","$4,173 ",7.6,,$561 ,13.4,,"$1,855 ",44.5,,"$1,757 ",42.1
"Local, total","$73,490 ","$5,613 ",7.6,,"$3,972 ",70.8,,$901 ,16.1,,$740 ,13.2
Counties,"$10,259 ","$2,891 ",28.2,,"$1,427 ",49.4,,$724 ,25,,$740 ,25.6
Municipalities,"$11,451 ","$2,722 ",23.8,,"$2,545 ",93.5,,$177 ,6.5,,--,0

Ohio,"$2,148,090 ","$287,265 ",13.4,,"$134,450 ",46.8,,"$67,631 ",23.5,,"$85,183 ",29.7
State,"$502,589 ","$84,001 ",16.7,,"$11,798 ",14,,"$12,337 ",14.7,,"$59,866 ",71.3
"Local, total","$1,645,502 ","$203,264 ",12.4,,"$122,652 ",60.3,,"$55,294 ",27.2,,"$25,317 ",12.5
Counties,"$316,223 ","$92,393 ",29.2,,"$27,641 ",29.9,,"$41,155 ",44.5,,"$23,597 ",25.5
Municipalities,"$363,803 ","$110,871 ",30.5,,"$95,011 ",85.7,,"$14,139 ",12.8,,"$1,721 ",1.6

Oklahoma,"$559,135 ","$65,994 ",11.8,,"$33,603 ",50.9,,"$14,003 ",21.2,,"$18,387 ",27.9
State,"$203,489 ","$32,070 ",15.8,,"$6,329 ",19.7,,"$9,708 ",30.3,,"$16,033 ",50
"Local, total","$355,646 ","$33,923 ",9.5,,"$27,273 ",80.4,,"$4,295 ",12.7,,"$2,355 ",6.9
Counties,"$41,020 ","$9,650 ",23.5,,"$4,958 ",51.4,,"$2,535 ",26.3,,"$2,157 ",22.4
Municipalities,"$96,052 ","$24,273 ",25.3,,"$22,316 ",91.9,,"$1,760 ",7.3,,$197 ,0.8

Oregon,"$659,513 ","$88,156 ",13.4,,"$39,843 ",45.2,,"$17,735 ",20.1,,"$30,578 ",34.7
State,"$215,037 ","$33,309 ",15.5,,"$4,789 ",14.4,,"$11,205 ",33.6,,"$17,314 ",52
"Local, total","$444,476 ","$54,847 ",12.3,,"$35,054 ",63.9,,"$6,530 ",11.9,,"$13,264 ",24.2
Counties,"$76,401 ","$30,134 ",39.4,,"$11,739 ",39,,"$5,132 ",17,,"$13,264 ",44
Municipalities,"$89,074 ","$24,713 ",27.7,,"$23,315 ",94.3,,"$1,398 ",5.7,,--,0

Pennsylvania,"$2,138,457 ","$297,400 ",13.9,,"$137,185 ",46.1,,"$59,326 ",19.9,,"$100,890 ",33.9
State,"$612,817 ","$104,903 ",17.1,,"$28,825 ",27.5,,"$14,892 ",14.2,,"$61,185 ",58.3
"Local, total","$1,525,640 ","$192,498 ",12.6,,"$108,360 ",56.3,,"$44,433 ",23.1,,"$39,705 ",20.6
Counties,"$168,633 ","$70,717 ",41.9,,"$7,773 ",11,,"$32,194 ",45.5,,"$30,749 ",43.5
Municipalities,"$286,418 ","$121,781 ",42.5,,"$100,587 ",82.6,,"$12,239 ",10,,"$8,956 ",7.4

Rhode Island,"$213,627 ","$28,794 ",13.5,,"$14,509 ",50.4,,"$6,005 ",20.9,,"$8,280 ",28.8
State,"$84,168 ","$15,743 ",18.7,,"$1,775 ",11.3,,"$5,689 ",36.1,,"$8,280 ",52.6
"Local, total","$129,458 ","$13,051 ",10.1,,"$12,735 ",97.6,,$316 ,2.4,,--,0
Municipalities,"$120,878 ","$13,051 ",10.8,,"$12,735 ",97.6,,$316 ,2.4,,--,0

South Carolina,"$718,013 ","$75,950 ",10.6,,"$37,738 ",49.7,,"$12,558 ",16.5,,"$25,654 ",33.8
State,"$235,125 ","$27,122 ",11.5,,"$5,964 ",22,,"$2,972 ",11,,"$18,186 ",67.1
"Local, total","$482,888 ","$48,828 ",10.1,,"$31,774 ",65.1,,"$9,586 ",19.6,,"$7,468 ",15.3
Counties,"$85,398 ","$31,703 ",37.1,,"$15,891 ",50.1,,"$8,427 ",26.6,,"$7,385 ",23.3
Municipalities,"$54,715 ","$17,125 ",31.3,,"$15,883 ",92.7,,"$1,158 ",6.8,,$84 ,0.5

South Dakota,"$126,656 ","$12,267 ",9.7,,"$5,975 ",48.7,,"$2,754 ",22.5,,"$3,538 ",28.8
State,"$41,984 ","$4,897 ",11.7,,"$1,010 ",20.6,,"$1,771 ",36.2,,"$2,116 ",43.2
"Local, total","$84,673 ","$7,371 ",8.7,,"$4,965 ",67.4,,$983 ,13.3,,"$1,422 ",19.3
Counties,"$9,829 ","$3,985 ",40.5,,"$1,707 ",42.8,,$890 ,22.3,,"$1,388 ",34.8
Municipalities,"$18,211 ","$3,386 ",18.6,,"$3,258 ",96.2,,$93 ,2.7,,$34 ,1

Tennessee,"$960,467 ","$114,077 ",11.9,,"$54,958 ",48.2,,"$21,870 ",19.2,,"$37,249 ",32.7
State,"$260,378 ","$36,289 ",13.9,,"$6,814 ",18.8,,"$9,727 ",26.8,,"$19,748 ",54.4
"Local, total","$700,089 ","$77,788 ",11.1,,"$48,144 ",61.9,,"$12,144 ",15.6,,"$17,501 ",22.5
Counties,"$385,717 ","$37,872 ",9.8,,"$14,263 ",37.7,,"$7,831 ",20.7,,"$15,778 ",41.7
Municipalities,"$288,857 ","$39,917 ",13.8,,"$33,881 ",84.9,,"$4,313 ",10.8,,"$1,722 ",4.3

Texas,"$3,974,201 ","$503,288 ",12.7,,"$233,779 ",46.5,,"$90,038 ",17.9,,"$179,472 ",35.7
State,"$949,730 ","$146,574 ",15.4,,"$13,424 ",9.2,,"$23,311 ",15.9,,"$109,839 ",74.9
"Local, total","$3,024,471 ","$356,714 ",11.8,,"$220,354 ",61.8,,"$66,727 ",18.7,,"$69,633 ",19.5
Counties,"$389,270 ","$170,399 ",43.8,,"$48,192 ",28.3,,"$52,575 ",30.9,,"$69,633 ",40.9
Municipalities,"$604,358 ","$186,315 ",30.8,,"$172,162 ",92.4,,"$14,152 ",7.6,,--,0

