"Columbus, OH","2,705","2,642","2,675","$12,547 ","$4,715 ","2,177","2,162","2,170","$10,866 ","$5,014 ",473,425,450,"$1,475 ","$3,321 ",55,55,55,$207 ,"$3,763 ","Columbus, OH"

"Dallas, TX","4,220","3,806","4,015","$20,030 ","$5,188 ","3,854","3,458","3,662","$18,516 ","$5,283 ",366,348,353,"$1,514 ","$4,242 ",--,--,--,--,--,"Dallas, TX"
"Denver, CO",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Denver, CO"
"Detroit, MI","5,033","5,033","5,033","$26,202 ","$5,206 ","4,340","4,340","4,340","$23,317 ","$5,373 ",693,693,693,"$2,885 ","$4,163 ",--,--,--,--,--,"Detroit, MI"
"El Paso, TX","1,580","1,571","1,572","$5,428 ","$3,453 ","1,452","1,448","1,449","$5,064 ","$3,496 ",128,123,123,$364 ,"$2,951 ",--,--,--,--,--,"El Paso, TX"
"Fort Worth, TX","2,147","1,912","1,994","$8,863 ","$4,553 ","1,930","1,700","1,778","$8,056 ","$4,656 ",217,212,216,$807 ,"$3,723 ",--,--,--,--,--,"Fort Worth, TX"
"Honolulu, HI","2,921","2,811","2,835","$12,949 ","$4,589 ","2,590","2,490","2,510","$11,551 ","$4,623 ",331,321,325,"$1,399 ","$4,331 ",--,--,--,--,--,"Honolulu, HI"

"Houston, TX","6,694","6,689","6,691","$27,943 ","$4,177 ","6,023","6,018","6,020","$25,698 ","$4,270 ",671,671,671,"$2,245 ","$3,346 ",--,--,--,--,--,"Houston, TX"
"Indianapolis, IN",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Indianapolis, IN"
"Jacksonville, FL",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Jacksonville, FL"
"Kansas City, MO",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Kansas City, MO"
"Long Beach, CA","1,576","1,420","1,524","$8,898 ","$6,047 ","1,468","1,318","1,418","$8,216 ","$6,010 ",108,102,106,$682 ,"$6,526 ",--,--,--,--,--,"Long Beach, CA"
"Los Angeles, CA","12,953","12,891","12,903","$92,056 ","$7,135 ","11,998","11,966","11,972","$85,060 ","$7,107 ",955,925,931,"$6,996 ","$7,500 ",--,--,--,--,--,"Los Angeles, CA"

"Memphis, TN",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Memphis, TN"
"Miami, FL","1,476","1,423","1,451","$7,518 ","$5,253 ","1,418","1,368","1,394","$7,184 ","$5,227 ",58,55,57,$334 ,"$5,910 ",--,--,--,--,--,"Miami, FL"
"Milwaukee, WI","2,803","2,593","2,715","$11,670 ","$4,327 ","2,704","2,494","2,616","$11,122 ","$4,279 ",99,99,99,$547 ,"$5,526 ",--,--,--,--,--,"Milwaukee, WI"
"Minneapolis, MN","1,127","1,127","1,127","$5,907 ","$5,242 ","1,028","1,028","1,028","$5,377 ","$5,230 ",99,99,99,$531 ,"$5,359 ",--,--,--,--,--,"Minneapolis, MN"
"Nashville, TN","3,356","3,064","3,172","$10,627 ","$3,398 ","1,730","1,537","1,610","$6,000 ","$3,823 ","1,008",923,955,"$3,071 ","$3,240 ",618,604,607,"$1,556 ","$2,559 ","Nashville, TN"
"Newark, NJ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Newark, NJ"

"New Orleans, LA",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"New Orleans, LA"
"New York, NY","70,882","63,649","67,436","$377,933 ","$5,660 ","52,546","45,714","49,243","$280,601 ","$5,775 ","5,213","4,961","5,118","$26,218 ","$5,154 ","13,123","12,974","13,075","$71,114 ","$5,447 ","New York, NY"
"Oakland, CA",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Oakland, CA"
"Oklahoma City, OK","1,543","1,411","1,438","$6,991 ","$4,917 ","1,384","1,258","1,282","$6,321 ","$4,988 ",126,120,123,$534 ,"$4,403 ",33,33,33,$136 ,"$4,114 ","Oklahoma City, OK"
"Omaha, NE","1,011",956,988,"$4,666 ","$4,793 ",974,919,951,"$4,443 ","$4,743 ",37,37,37,$223 ,"$6,021 ",--,--,--,--,--,"Omaha, NE"
"Philadelphia, PA","14,427","13,456","13,712","$58,567 ","$4,274 ","8,532","7,563","7,818","$37,920 ","$4,874 ","3,482","3,482","3,482","$11,728 ","$3,368 ","2,413","2,411","2,412","$8,919 ","$3,699 ","Philadelphia, PA"

"Phoenix, AZ","4,592","4,478","4,541","$24,764 ","$5,471 ","3,977","3,889","3,944","$21,847 ","$5,572 ",615,589,597,"$2,917 ","$4,805 ",--,--,--,--,--,"Phoenix, AZ"
"Pittsburgh, PA","1,169",969,"1,121","$4,518 ","$4,360 ","1,103",903,"1,055","$4,349 ","$4,492 ",66,66,66,$169 ,"$2,558 ",--,--,--,--,--,"Pittsburgh, PA"
"Portland, OR","1,407","1,375","1,392","$7,762 ","$5,585 ","1,356","1,333","1,345","$7,449 ","$5,553 ",51,42,47,$313 ,"$6,587 ",--,--,--,--,--,"Portland, OR"
"St.Louis, MO",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"St.Louis, MO"
"San Antonio, TX",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"San Antonio, TX"
"San Diego, CA","3,101","2,944","2,999","$18,793 ","$6,303 ","2,772","2,639","2,681","$16,888 ","$6,337 ",329,305,318,"$1,906 ","$6,009 ",--,--,--,--,--,"San Diego, CA"

"San Francisco, CA",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"San Francisco, CA"
"San Jose, CA",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"San Jose, CA"
"Seattle, WA","2,441","2,309","2,371","$12,547 ","$5,324 ","2,063","1,983","2,012","$10,796 ","$5,398 ",341,294,322,"$1,585 ","$4,894 ",37,32,37,$165 ,"$4,656 ","Seattle, WA"
"Toledo, OH",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Toledo, OH"
"Tucson, AZ","1,589","1,553","1,572","$7,630 ","$4,883 ","1,331","1,317","1,325","$6,656 ","$5,035 ",258,236,247,$974 ,"$4,038 ",--,--,--,--,--,"Tucson, AZ"
"Tulsa, OK",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Tulsa, OK"
"Washington, DC","7,320","7,072","7,189","$37,584 ","$5,263 ","4,396","4,181","4,284","$22,562 ","$5,341 ","1,702","1,672","1,684","$9,454 ","$5,584 ","1,222","1,219","1,221","$5,569 ","$4,559 ","Washington, DC"

Note: Jurisdictions without data did not report for 2005,,,,,,,,,,,,,,,,,,,,,
