Bureau of Justice Statistics,,,,,,,,
Filename: jeee13fut18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 7/7/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2013 (thousands),"Personal income, calendar year 2013, amount (millions of dollars)/a","Personal income, calendar year 2013, per capita/a","Expenditures, fiscal 2013 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2013 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2013 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2013, all functions","Full-time equivalent employment, 3/1/2013, general functions only/c"
Hawaii,"1,408","63,317","44,969","11,719,130","11,448,886","10,318,086","56,810","56,810"
Idaho,"1,611","58,338","36,212","8,531,736","6,594,537","7,376,618","22,970","22,728"
Illinois,"12,895","607,671","47,125","80,697,442","61,612,565","65,249,323","127,253","127,253"
Indiana,"6,569","260,425","39,645","36,737,110","27,442,650","33,321,050","84,101","84,101"
Iowa,"3,093","134,464","43,474","20,013,121","15,269,141","17,360,638","49,833","49,833"
Kansas,"2,893","132,979","45,966","16,319,278","12,287,904","14,398,435","49,640","49,640"
Kentucky,"4,405","158,218","35,918","29,001,676","24,150,092","24,505,588","85,277","85,277"
Louisiana,"4,625","189,197","40,907","31,268,399","24,599,350","27,030,716","76,806","76,806"
Maine,"1,328","53,346","40,170","8,789,329","7,569,660","7,715,902","21,152","21,151"
Maryland,"5,923","314,267","53,059","39,494,734","30,678,564","33,638,450","86,943","86,228"
Massachusetts,"6,713","385,192","57,380","56,369,796","48,118,593","45,899,150","97,203","96,661"
Michigan,"9,913","390,200","39,362","62,945,176","43,555,522","53,269,915","142,960","142,960"
Minnesota,"5,413","259,539","47,947","39,556,269","26,744,684","34,654,737","80,739","78,082"
Mississippi,"2,989","101,177","33,850","20,101,927","15,048,857","17,386,707","57,846","57,672"
Missouri,"6,041","243,582","40,321","31,046,734","25,254,612","26,512,632","86,712","86,712"
Montana,"1,014","40,721","40,159","6,477,930","5,412,286","5,458,764","20,799","20,769"
Nebraska,"1,865","86,914","46,603","9,776,577","7,436,042","9,080,193","31,976","31,976"
Nevada,"2,776","109,055","39,285","12,973,599","8,772,868","10,336,848","27,233","27,195"
New Hampshire,"1,327","67,320","50,731","7,610,929","5,818,254","6,397,938","18,556","17,966"
New Jersey,"8,857","496,465","56,053","72,462,324","56,978,085","55,151,997","144,475","133,288"
New Mexico,"2,092","73,412","35,092","17,113,543","12,612,909","14,915,183","44,666","44,666"
New York,"19,624","1,069,557","54,502","186,993,298","128,354,689","141,602,996","239,452","223,080"
North Carolina,"9,843","376,024","38,202","56,750,314","42,691,215","49,116,028","145,421","145,421"
North Dakota,722,"38,861","53,824","6,423,374","4,802,050","5,695,883","19,238","19,238"
Ohio,"11,577","475,776","41,097","76,412,160","59,495,851","59,566,818","137,045","137,045"
Oklahoma,"3,853","166,063","43,100","23,045,870","18,792,988","19,717,500","67,837","67,263"
Oregon,"3,922","156,977","40,025","29,745,209","25,223,077","23,937,071","66,229","65,980"
Pennsylvania,"12,776","592,973","46,413","87,901,101","68,936,157","71,605,827","159,018","154,590"
Rhode Island,"1,055","48,773","46,230","8,112,281","6,945,219","6,524,740","18,456","17,702"
South Carolina,"4,764","170,227","35,732","28,257,170","22,902,417","22,342,807","78,857","77,050"
South Dakota,842,"38,109","45,260","4,563,817","3,824,333","4,098,176","14,442","14,442"
Tennessee,"6,494","256,016","39,423","30,167,208","23,408,574","27,406,297","80,587","80,587"
Texas,"26,480","1,159,746","43,797","123,646,575","95,830,012","107,451,550","304,828","304,828"
Utah,"2,898","106,427","36,724","17,134,159","14,012,560","15,267,982","53,868","53,517"
Vermont,626,"28,769","45,957","6,103,135","4,464,551","5,668,740","14,314","14,262"
Virginia,"8,252","403,199","48,861","47,614,065","36,358,360","42,209,552","125,234","123,370"
Washington,"6,964","336,334","48,296","45,003,333","34,719,862","37,534,781","117,911","117,822"
West Virginia,"1,854","64,785","34,943","13,234,175","10,764,640","11,708,869","41,120","41,060"
Wisconsin,"5,737","247,745","43,184","37,863,879","27,564,279","32,048,877","72,347","72,347"
Wyoming,582,"30,790","52,904","5,601,135","4,399,459","4,756,430","13,344","13,306"
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, September 2018.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities and state-operated liquor stores.",,,,,,,,
