Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: jeee13fut11.csv,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments, by activity, March 2013",,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments, by activity, March 2013",,,,,,,,,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,Total justice system total employees,Total justice system full-time employees,Total justice system full-time equivalent employees,Total justice system March payrolls,Total justice system average earnings of full-time employees (dollars),Police protection total employees,Police protection full-time employees,Police protection full-time equivalent employees ,Police protection March payrolls,Police protection average earnings of full-time employees (dollars),Judicial and legal total employees,Judicial and legal full-time employees,Judicial and legal full-time equivalent employees,Judicial and legal March payrolls,Judicial and legal average earnings of full-time employees (dollars),Corrections total employees,Corrections full-time employees,Corrections full-time equivalent employees,Corrections March payrolls,Corrections average earnings of full-time employees (dollars)
North Dakota,"1,691","1,557","1,604","7,070","4,396",199,195,198,923,"4,689",616,566,576,"2,958","5,165",876,796,830,"3,189","3,778"
Ohio,"19,147","18,575","18,837","89,709","4,752","2,614","2,606","2,614","13,217","5,061","3,288","2,751","2,984","17,568","5,899","13,245","13,218","13,239","58,924","4,452"
Oklahoma,"9,481","9,226","9,343","35,351","3,793","1,947","1,864","1,910","8,421","4,461","2,840","2,730","2,777","12,348","4,470","4,694","4,632","4,656","14,582","3,125"
Oregon,"9,607","9,130","9,325","43,370","4,645","1,465","1,280","1,334","7,057","5,345","2,991","2,834","2,923","14,033","4,776","5,151","5,016","5,068","22,280","4,392"
Pennsylvania,"28,621","27,587","27,999","147,824","5,244","6,778","6,461","6,562","39,539","5,977","3,053","3,053","3,053","25,056","8,207","18,790","18,073","18,384","83,229","4,481"
Rhode Island,"3,037","3,020","3,031","18,946","6,259",319,317,318,"2,280","7,182","1,165","1,150","1,160","6,819","5,895","1,553","1,553","1,553","9,847","6,341"
South Carolina,"11,042","10,963","11,006","34,748","3,156","2,020","2,016","2,017","7,456","3,695",822,809,815,"3,978","4,888","8,200","8,138","8,174","23,314","2,851"
South Dakota,"1,888","1,757","1,826","6,784","3,750",326,307,316,"1,247","3,952",684,597,642,"2,763","4,419",878,853,868,"2,774","3,209"
Tennessee,"11,173","11,081","11,132","42,073","3,782","1,609","1,603","1,607","7,800","4,858","2,489","2,443","2,458","13,450","5,480","7,075","7,035","7,067","20,823","2,947"
Texas,"52,846","51,991","52,442","180,731","3,446","6,698","6,611","6,652","33,774","5,094","5,663","5,523","5,630","28,503","5,047","40,485","39,857","40,160","118,454","2,951"
Utah,"5,653","5,271","5,427","20,927","3,879",857,798,822,"3,336","4,101","1,636","1,522","1,573","6,725","4,269","3,160","2,951","3,032","10,866","3,618"
Vermont,"2,479","2,397","2,412","11,142","4,626",675,622,632,"3,243","5,158",697,675,679,"3,226","4,758","1,107","1,100","1,101","4,673","4,245"
Virginia,"20,841","20,044","20,374","75,095","3,688","3,210","3,073","3,148","14,538","4,643","4,017","3,685","3,757","17,826","4,732","13,614","13,286","13,469","42,731","3,178"
Washington,"13,023","10,683","12,497","58,204","4,674","2,209","2,168","2,183","11,651","5,308","1,997","1,798","1,938","10,846","5,580","8,817","6,717","8,376","35,707","4,227"
West Virginia,"6,320","6,246","6,284","21,140","3,367","1,056","1,036","1,044","4,287","4,121","1,619","1,570","1,596","7,378","4,644","3,645","3,640","3,644","9,475","2,601"
Wisconsin,"13,041","12,085","12,689","58,577","4,580",772,734,759,"3,842","5,115","2,390","2,099","2,263","13,844","6,204","9,879","9,252","9,667","40,891","4,169"
Wyoming,"2,192","2,161","2,176","9,242","4,230",292,292,292,"1,396","4,782",559,529,544,"2,971","5,428","1,341","1,340","1,340","4,875","3,637"
Note: These data are based on a summation of responses from individual state agencies. Some agency data may be for a prior reporting period.,,,,,,,,,,,,,,,,,,,,
