"Baltimore, MD",6,"463,256","463,256","463,256",-,-,"409,688","409,688","409,688",-,-,"53,568","53,568","53,568",-,-,-,-,-,-,-,-
"Baton Rouge, LA",12,"240,869","233,742","218,421","15,321","7,127","139,505","139,505","127,183","12,322",-,"58,369","51,242","49,806","1,436","7,127","42,995","42,995","41,432","1,563",-,-
"Boston, MA",6,"326,346","326,346","320,762","5,584",-,"321,048","321,048","315,480","5,568",-,"5,298","5,298","5,282",16,-,-,-,-,-,-,-
"Buffalo, NY",6,"83,757","83,757","80,349","3,408",-,"80,508","80,508","77,100","3,408",-,"3,249","3,249","3,249",-,-,-,-,-,-,-,-
"Charlotte, NC",6,"267,797","266,574","249,770","16,804","1,223","265,547","264,324","247,528","16,796","1,223","2,250","2,250","2,242",8,-,-,-,-,-,-,-
"Chicago, IL",12,"1,446,856","1,446,856","1,400,396","46,460",-,"1,407,390","1,407,390","1,360,930","46,460",-,"39,466","39,466","39,466",-,-,-,-,-,-,-,-
"Cleveland, OH",6,"233,352","233,138","233,120",18,214,"174,303","174,303","174,285",18,-,"45,753","45,753","45,753",-,-,"13,296","13,082","13,082",-,-,214
"Cincinnati, OH",12,"118,878","118,878","116,871","2,007",-,"114,192","114,192","112,275","1,917",-,"4,686","4,686","4,596",90,-,-,-,-,-,-,-
"Colorado Springs, CO",12,"92,225","92,225","91,226",999,-,"86,747","86,747","85,748",999,-,"5,478","5,478","5,478",-,-,-,-,-,-,-,-
"Columbus, OH",12,"311,092","309,960","289,488","20,472","1,132","270,585","270,585","250,291","20,294",-,"36,731","36,731","36,553",178,-,"3,776","2,644","2,644",-,-,"1,132"
"Corpus Christi, TX",9,"77,128","77,128","76,794",334,-,"70,844","70,844","70,510",334,-,"5,189","5,189","5,189",-,-,"1,095","1,095","1,095",-,-,-
"Dallas, TX",9,"391,623","383,771","367,640","16,131","7,852","353,728","353,728","344,642","9,086",-,"28,886","28,886","21,841","7,045",-,"9,009","1,157","1,157",-,-,"7,852"
"Denver, CO",12,"373,668","373,668","373,668",-,-,"198,405","198,405","198,405",-,-,"66,557","66,557","66,557",-,-,"108,706","108,706","108,706",-,-,-
"Detroit, MI",6,"520,258","520,258","478,691","41,567",-,"479,138","479,138","437,571","41,567",-,"41,120","41,120","41,120",-,-,-,-,-,-,-,-
"El Paso, TX",8,"131,834","131,834","131,834",-,-,"126,782","126,782","126,782",-,-,"5,052","5,052","5,052",-,-,-,-,-,-,-,-
"Fort Worth, TX",9,"261,184","261,184","258,890","2,294",-,"238,152","238,152","235,858","2,294",-,"23,032","23,032","23,032",-,-,-,-,-,-,-,-
"Fresno, CA",6,"146,380","146,380","142,312","4,068",-,"142,313","142,313","138,245","4,068",-,"4,067","4,067","4,067",-,-,-,-,-,-,-,-
"Honolulu, HI",6,"259,234","259,234","251,491","7,743",-,"235,507","235,507","227,852","7,655",-,"23,727","23,727","23,639",88,-,-,-,-,-,-,-
"Houston, TX",6,"684,381","684,381","671,937","12,444",-,"639,114","639,114","626,768","12,346",-,"45,267","45,267","45,169",98,-,-,-,-,-,-,-
"Indianapolis, IN",12,"394,949","394,949","380,431","14,518",-,"189,815","189,815","187,846","1,969",-,"93,504","93,504","93,008",496,-,"111,630","111,630","99,577","12,053",-,-
"Jacksonville, FL",9,"368,134","366,732","361,253","5,479","1,402","286,361","285,272","280,742","4,530","1,089","27,118","27,107","26,158",949,11,"54,655","54,353","54,353",-,-,302
"Kansas City, MO",4,"220,068","214,368","214,305",63,"5,700","199,452","199,452","199,389",63,-,"14,916","14,916","14,916",-,-,"5,700",-,-,-,-,"5,700"
"Las Vegas, NV",6,"205,570","84,604","84,527",77,"120,966","130,182","9,216","9,216",-,"120,966","28,070","28,070","28,058",12,-,"47,318","47,318","47,253",65,25,-
"Long Beach, CA",9,"203,598","203,598","200,075","3,523",-,"203,598","203,598","200,075","3,523",-,-,-,-,-,-,-,-,-,-,-,-
"Los Angeles, CA",6,"1,816,832","1,816,832","1,781,167","35,665",-,"1,733,971","1,733,971","1,698,306","35,665",-,"82,861","82,861","82,861",-,-,-,-,-,-,-,-
"Louisville - Jefferson, KY",6,"202,077","202,077","201,639",438,-,"146,226","146,226","145,883",343,-,"7,080","7,080","7,080",-,-,"48,771","48,771","48,676",95,-,-
"Memphis, TN",6,"254,296","254,296","253,129","1,167",-,"235,711","235,711","234,568","1,143",-,"18,585","18,585","18,561",24,-,-,-,-,-,-,-
"Mesa, AZ",6,"177,617","177,617","157,096","20,521",-,"165,893","165,893","145,696","20,197",-,"11,724","11,724","11,400",324,-,-,-,-,-,-,-
"Miami, FL",9,"138,084","138,084","135,609","2,475",-,"133,820","133,820","131,345","2,475",-,"4,264","4,264","4,264",-,-,-,-,-,-,-,-
"Milwaukee, WI",12,"275,421","275,421","271,816","3,605",-,"253,879","253,879","250,274","3,605",-,"16,634","16,634","16,634",-,-,"4,908","4,908","4,908",-,-,-
"Minneapolis, MN",12,"146,452","146,452","146,452",-,-,"138,600","138,600","138,600",-,-,"7,852","7,852","7,852",-,-,-,-,-,-,-,-
"Nashville, TN",6,"360,436","360,436","337,558","22,878",-,"238,960","238,960","218,638","20,322",-,"58,259","58,259","55,703","2,556",-,"63,217","63,217","63,217",-,-,-
"New Orleans, LA",12,"337,662","337,662","253,730","83,932",-,"141,482","141,482","137,557","3,925",-,"40,939","40,939","40,939",-,-,"155,241","155,241","75,234","80,007","79,659",-
"New York, NY",6,"7,599,546","7,538,009","6,849,501","688,508","61,537","5,186,338","5,186,338","4,754,924","431,414",-,"741,203","741,203","623,065","118,138",-,"1,672,005","1,610,468","1,471,512","138,956","131,327","61,537"
"Newark, NJ",12,"148,303","148,303","147,772",531,-,"137,951","137,951","137,425",526,-,"10,352","10,352","10,347",5,-,-,-,-,-,-,-
"Oakland, CA",6,"217,415","217,415","215,572","1,843",-,"210,945","210,945","209,102","1,843",-,"6,470","6,470","6,470",-,-,-,-,-,-,-,-
"Oklahoma City, OK",6,"182,785","182,785","182,448",337,-,"166,083","166,083","165,790",293,-,"16,702","16,702","16,658",44,-,-,-,-,-,-,-
"Omaha, NE",12,"129,442","121,159","119,204","1,955","8,283","121,915","117,572","115,622","1,950","4,343","3,587","3,587","3,582",5,-,"3,940",-,-,-,-,"3,940"
"Philadelphia, PA",6,"1,302,329","1,302,329","1,283,782","18,547",-,"649,361","649,361","634,991","14,370",-,"309,875","309,875","309,155",720,-,"343,093","343,093","339,636","3,457","1,056",-
"Phoenix, AZ",6,"520,927","508,384","492,280","16,104","12,543","461,436","461,436","445,954","15,482",-,"46,948","46,948","46,326",622,-,"12,543",-,-,-,-,"12,543"
"Pittsburgh, PA",12,"79,572","79,572","79,572",-,-,"79,004","79,004","79,004",-,-,568,568,568,-,-,-,-,-,-,-,-
"Portland, OR",6,"184,978","184,978","176,634","8,344",-,"176,000","176,000","167,656","8,344",-,"8,978","8,978","8,978",-,-,-,-,-,-,-,-
"Raleigh, NC",6,"98,536","98,536","95,644","2,892",-,"96,248","96,248","93,356","2,892",-,"2,288","2,288","2,288",-,-,-,-,-,-,-,-
"Riverside, CA",6,"90,944","90,944","90,257",687,-,"87,363","87,363","86,676",687,-,"3,581","3,581","3,581",-,-,-,-,-,-,-,-
"Sacramento, CA",6,"138,519","138,519","138,438",81,-,"138,519","138,519","138,438",81,-,-,-,-,-,-,-,-,-,-,-,-
"San Antonio, TX",9,"334,680","334,680","333,761",919,-,"312,513","312,513","311,686",827,-,"22,167","22,167","22,075",92,-,-,-,-,-,-,-
"San Diego, CA",6,"346,413","346,413","345,184","1,229",-,"311,063","311,063","309,834","1,229",-,"35,350","35,350","35,350",-,-,-,-,-,-,-,-
"San Francisco, CA",6,"641,517","641,517","633,437","8,080",-,"395,548","395,548","390,826","4,722",-,"78,739","78,739","75,762","2,977",-,"167,230","167,230","166,849",381,316,-
"San Jose, CA",6,"215,537","215,537","212,100","3,437",-,"215,537","215,537","212,100","3,437",-,-,-,-,-,-,-,-,-,-,-,-
"Santa Ana, CA",6,"112,590","112,590","112,590",-,-,"110,641","110,641","110,641",-,-,"1,949","1,949","1,949",-,-,-,-,-,-,-,-
"Seattle, WA",12,"212,993","198,253","191,938","6,315","14,740","171,507","170,288","163,973","6,315","1,219","27,966","27,965","27,965",-,1,"13,520",-,-,-,-,"13,520"
"St. Louis, MO",6,"256,081","256,081","256,081",-,-,"138,004","138,004","138,004",-,-,"51,849","51,849","51,849",-,-,"66,228","66,228","66,228",-,-,-
"Tampa, FL",9,"162,354","162,354","140,976","21,378",-,"158,122","158,122","136,744","21,378",-,"4,232","4,232","4,232",-,-,-,-,-,-,-,-
"Toledo, OH",12,"117,192","106,692","72,345","34,347","10,500","96,350","96,350","64,424","31,926",-,"10,342","10,342","7,921","2,421",-,"10,500",-,-,-,-,"10,500"
"Tucson, AZ",6,"121,054","121,054","121,054",-,-,"109,988","109,988","109,988",-,-,"11,066","11,066","11,066",-,-,-,-,-,-,-,-
"Tulsa, OK",6,"95,932","95,932","91,637","4,295",-,"89,927","89,927","85,637","4,290",-,"6,005","6,005","6,000",5,-,-,-,-,-,-,-
"Virginia Beach, VA",6,"152,919","152,919","149,243","3,676",-,"91,469","91,469","87,793","3,676",-,"17,411","17,411","17,411",-,-,"44,039","44,039","44,039",-,-,-
"Washington, DC",9,"925,602","925,602","867,954","57,648",-,"559,765","559,765","526,197","33,568",-,"114,838","114,838","112,828","2,010",-,"250,999","250,999","228,929","22,070","17,791",-
"Wichita, KS",12,"83,096","83,096","83,096",-,-,"75,162","75,162","75,162",-,-,"7,934","7,934","7,934",-,-,-,-,-,-,-,-
"Note: Fiscal years ended in months between July 2012 and June 2013, except for Washington, DC, whose fiscal year ended on September 30, 2013.",,,,,,,,,,,,,,,,,,,,,,
