Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee13fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2013) and full-time equivalent justice employment per 10,000 population (March 2013) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2013) and full-time equivalent justice employment per 10,000 population (March 2013) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2013,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
Nevada,"2,775,970",798.78,392.23,166.74,239.81,62.04,28.07,17.97,13.11,20.86
New Hampshire,"1,326,622",524.57,275.41,109.1,140.05,50.58,28.37,21.57,8.04,14.18
New Jersey,"8,856,972",799.72,388.69,162.76,248.27,76.37,36.58,27.82,22.5,17.28
New Mexico,"2,092,273",736.97,311.54,157.52,267.91,73.75,27.8,21.26,16.88,29.07
New York,"19,624,447",989.48,474.38,200.71,314.39,85.61,43.12,37.24,15.67,26.81
North Carolina,"9,843,336",544.07,278.62,82.29,183.16,61.91,27.93,22.76,7.28,26.7
North Dakota,"722,036",526.92,217.25,125.6,184.06,53.17,22.46,18.66,11.7,19
Ohio,"11,576,684",583.83,279.77,145.68,158.38,61.92,26.45,19.82,16.98,18.49
Oklahoma,"3,853,214",508.36,230.08,98.91,179.37,56.97,28.81,20.95,11.22,16.93
Oregon,"3,922,468",703.91,285.86,146.25,271.8,55.35,22.59,15.63,11.53,21.23
Pennsylvania,"12,776,309",673,259.29,143.12,270.59,63.47,25.2,20.62,13.89,24.38
Rhode Island,"1,055,081",680.08,350.05,127.19,202.84,54.19,27.66,21.82,11.81,14.72
South Carolina,"4,764,080",433.11,227.37,65.69,140.05,62.7,28.61,23.11,9.83,24.27
South Dakota,"842,316",503.01,207.87,101.01,194.13,52.45,22.84,18.26,11.43,18.18
Tennessee,"6,494,340",525.56,266.06,101.18,158.32,61.71,31.73,25.42,10.91,19.06
Texas,"26,480,266",551.04,251.5,96.02,203.52,63.59,27.54,20.3,10.14,25.92
Utah,"2,897,640",535.85,233.95,119.41,182.5,48.82,20.88,14.37,10.35,17.59
Vermont,"626,210",622.87,289.21,120.52,213.14,53.72,24.82,16.14,11.29,17.61
Virginia,"8,252,427",637.04,261.43,104.15,271.46,66.27,25.84,20.71,10.81,29.62
Washington,"6,963,985",590.92,233.81,138.57,218.54,49.93,19.82,13.98,11.25,18.86
West Virginia,"1,853,914",507.36,194.55,125.14,187.67,56.53,21.53,17.2,14.46,20.55
Wisconsin,"5,736,754",664.13,307.74,101.74,254.66,60.13,26.97,20.98,9.52,23.64
Wyoming,"582,122",943.1,374.54,207.5,361.06,86.27,34.24,25.25,17.02,35.01
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,,,
