Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee13fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
Arkansas - Municipalities,"19,722","5,540","5,205","5,364",27.2,"4,866","4,630","4,760",88.7,612,514,542,10.1,62,61,62,1.2
California - Total,"1,713,520","229,348","217,103","223,288",13,"102,862","95,845","99,092",44.4,"43,119","40,905","42,037",18.8,"83,367","80,353","82,159",36.8
California - State,"397,348","69,853","67,473","68,798",17.3,"11,155","10,907","10,944",15.9,"6,718","6,148","6,348",9.2,"51,980","50,418","51,506",74.9
"California - Local, total","1,316,172","159,495","149,630","154,490",11.7,"91,707","84,938","88,148",57.1,"36,401","34,757","35,689",23.1,"31,387","29,935","30,653",19.8
California - Counties,"366,481","102,185","97,345","99,961",27.3,"38,833","36,899","37,977",38,"33,368","31,839","32,709",32.7,"29,984","28,607","29,275",29.3
California - Municipalities,"223,791","58,712","53,672","55,968",25,"54,050","49,211","51,404",91.8,"3,027","2,911","2,969",5.3,"1,635","1,550","1,595",2.8
Colorado - Total,"275,717","33,636","31,836","32,718",11.9,"15,226","14,565","14,847",45.4,"7,614","6,677","7,156",21.9,"10,796","10,594","10,715",32.7
Colorado - State,"77,637","13,124","12,486","12,874",16.6,"1,235","1,218","1,226",9.5,"4,839","4,275","4,613",35.8,"7,050","6,993","7,035",54.6
"Colorado - Local, total","198,080","20,512","19,350","19,844",10,"13,991","13,347","13,621",68.6,"2,775","2,402","2,543",12.8,"3,746","3,601","3,680",18.5
Colorado - Counties,"28,947","8,957","8,447","8,691",30,"4,791","4,539","4,662",53.6,"1,418","1,299","1,353",15.6,"2,748","2,609","2,676",30.8
Colorado - Municipalities,"47,036","11,447","10,818","11,112",23.6,"9,092","8,717","8,919",80.3,"1,356","1,108","1,194",10.7,999,993,999,9
Connecticut - Total,"187,529","22,930","21,158","21,707",11.6,"10,768","9,405","9,834",45.3,"6,448","6,111","6,198",28.6,"5,714","5,642","5,675",26.1
Connecticut - State,"62,634","14,155","13,523","13,663",21.8,"2,165","1,925","1,957",14.3,"6,276","5,956","6,031",44.1,"5,714","5,642","5,675",41.5
"Connecticut - Local, total","124,895","8,775","7,635","8,044",6.4,"8,603","7,480","7,877",97.9,172,155,167,2.1,0,0,0,0
Connecticut - Municipalities,"57,225","5,147","4,598","4,815",8.4,"5,015","4,477","4,687",97.3,132,121,128,2.7,0,0,0,0
Delaware - Total,"50,089","7,468","7,154","7,339",14.7,"2,652","2,456","2,571",35,"1,900","1,826","1,870",25.5,"2,916","2,872","2,898",39.5
Delaware - State,"26,691","5,761","5,647","5,716",21.4,"1,065","1,049","1,058",18.5,"1,780","1,726","1,760",30.8,"2,916","2,872","2,898",50.7
"Delaware - Local, total","23,398","1,707","1,507","1,623",6.9,"1,587","1,407","1,513",93.2,120,100,110,6.8,0,0,0,0
Delaware - Counties,"2,597",674,524,621,23.9,593,451,544,87.6,81,73,77,12.4,0,0,0,0
Delaware - Municipalities,"2,777","1,010",960,980,35.3,994,956,972,99.2,16,4,8,0.8,0,0,0,0
District of Columbia - Total,"45,898","7,979","7,928","7,966",17.4,"4,479","4,477","4,478",56.2,"2,176","2,153","2,168",27.2,"1,324","1,298","1,320",16.6
"District of Columbia - Local, total","45,898","7,979","7,928","7,966",17.4,"4,479","4,477","4,478",56.2,"2,176","2,153","2,168",27.2,"1,324","1,298","1,320",16.6
District of Columbia - Municipality,"34,152","7,979","7,928","7,966",23.3,"4,479","4,477","4,478",56.2,"2,176","2,153","2,168",27.2,"1,324","1,298","1,320",16.6
Florida - Total ,"867,264","138,719","130,967","134,344",15.5,"64,904","59,013","61,394",45.7,"32,570","31,126","31,964",23.8,"41,245","40,828","40,986",30.5
Florida - State,"179,485","48,906","47,487","48,029",26.8,"4,443","4,031","4,128",8.6,"19,736","18,982","19,350",40.3,"24,727","24,474","24,551",51.1
"Florida - Local, total","687,779","89,813","83,480","86,315",12.5,"60,461","54,982","57,266",66.3,"12,834","12,144","12,614",14.6,"16,518","16,354","16,435",19
Florida - Counties,"167,112","63,498","59,473","61,154",36.6,"36,371","32,880","34,258",56,"11,951","11,540","11,781",19.3,"15,176","15,053","15,115",24.7
Florida - Municipalities,"91,057","25,255","23,050","24,135",26.5,"23,490","21,582","22,432",92.9,811,567,780,3.2,954,901,923,3.8
Georgia - Total,"513,604","80,034","68,467","71,420",13.9,"28,963","27,323","28,019",39.2,"15,384","13,254","13,975",19.6,"35,687","27,890","29,426",41.2
Georgia - State,"130,557","32,481","24,961","26,324",20.2,"3,055","2,997","3,032",11.5,"4,003","3,940","3,961",15,"25,423","18,024","19,331",73.4
"Georgia - Local, total","383,047","47,553","43,506","45,096",11.8,"25,908","24,326","24,987",55.4,"11,381","9,314","10,014",22.2,"10,264","9,866","10,095",22.4
Georgia - Counties,"66,235","31,524","28,537","29,564",44.6,"12,693","11,905","12,177",41.2,"9,920","8,099","8,649",29.3,"8,911","8,533","8,738",29.6
Georgia - Municipalities,"46,964","16,021","14,954","15,393",32.8,"13,214","12,441","12,770",83,"1,457","1,179","1,279",8.3,"1,350","1,334","1,344",8.7
Hawaii - Total,"72,429","9,345","9,115","9,176",12.7,"3,942","3,775","3,811",41.5,"3,059","3,007","3,028",33,"2,344","2,333","2,337",25.5
Hawaii - State,"56,810","4,833","4,780","4,798",8.4,0,0,0,0,"2,489","2,447","2,461",51.3,"2,344","2,333","2,337",48.7
"Hawaii - Local, total","15,619","4,512","4,335","4,378",28,"3,942","3,775","3,811",87,570,560,567,13,0,0,0,0
Hawaii - Counties,"6,248","1,544","1,453","1,476",23.6,"1,292","1,203","1,225",83,252,250,251,17,0,0,0,0
Hawaii - Municipalities,"9,228","2,969","2,882","2,908",31.5,"2,651","2,572","2,592",89.1,318,310,316,10.9,0,0,0,0
Idaho - Total,"80,408","10,200","9,482","9,776",12.2,"4,276","4,021","4,117",42.1,"2,166","1,959","2,045",20.9,"3,758","3,502","3,614",37
Idaho - State,"22,970","3,008","2,909","2,954",12.9,489,472,480,16.2,525,469,487,16.5,"1,994","1,968","1,987",67.3
"Idaho - Local, total","57,438","7,192","6,573","6,822",11.9,"3,787","3,549","3,637",53.3,"1,641","1,490","1,558",22.8,"1,764","1,534","1,627",23.8
Idaho - Counties,"9,179","4,927","4,427","4,626",50.4,"1,653","1,518","1,565",33.8,"1,513","1,378","1,441",31.2,"1,761","1,531","1,620",35
Idaho - Municipalities,"8,680","2,267","2,146","2,190",25.2,"2,138","2,034","2,073",94.7,129,112,117,5.3,0,0,0,0
Illinois - Total,"633,265","83,129","74,689","77,769",12.3,"45,509","38,178","40,808",52.5,"15,891","15,079","15,391",19.8,"21,729","21,432","21,570",27.7
Illinois - State,"127,253","16,771","16,690","16,728",13.1,"3,204","3,186","3,194",19.1,"2,630","2,567","2,597",15.5,"10,937","10,937","10,937",65.4
"Illinois - Local, total","506,012","66,358","57,999","61,041",12.1,"42,305","34,992","37,614",61.6,"13,261","12,512","12,794",21,"10,792","10,495","10,633",17.4
Illinois - Counties,"56,534","29,244","27,034","27,611",48.8,"5,971","4,761","4,967",18,"12,488","11,786","12,018",43.5,"10,785","10,487","10,626",38.5
Illinois - Municipalities,"116,237","50,017","43,859","46,200",39.7,"49,228","43,121","45,438",98.4,779,728,752,1.6,10,10,10,0
Indiana - Total,"322,620","37,988","34,374","35,751",11.1,"17,138","15,181","15,768",44.1,"8,000","7,069","7,492",21,"12,850","12,124","12,491",34.9
Indiana - State,"84,101","9,648","9,590","9,620",11.4,"1,900","1,900","1,900",19.8,"1,460","1,403","1,432",14.9,"6,288","6,287","6,288",65.4
"Indiana - Local, total","238,519","28,340","24,784","26,131",11,"15,238","13,281","13,868",53.1,"6,540","5,666","6,060",23.2,"6,562","5,837","6,203",23.7
Indiana - Counties,"43,630","13,887","11,912","12,727",29.2,"3,750","3,159","3,308",26,"4,740","4,074","4,389",34.5,"5,397","4,679","5,030",39.5
Indiana - Municipalities,"46,801","13,400","11,814","12,242",26.2,"11,524","10,158","10,519",85.9,750,537,598,4.9,"1,126","1,119","1,125",9.2
Iowa - Total,"171,386","15,515","13,888","14,560",8.5,"7,547","6,651","6,917",47.5,"3,203","2,964","3,096",21.3,"4,765","4,273","4,547",31.2
Iowa - State,"49,833","6,228","5,921","6,113",12.3,953,935,940,15.4,"2,242","2,139","2,204",36.1,"3,033","2,847","2,969",48.6
"Iowa - Local, total","121,553","9,287","7,967","8,447",6.9,"6,594","5,716","5,977",70.8,961,825,892,10.6,"1,732","1,426","1,578",18.7
Iowa - Counties,"24,291","4,940","4,254","4,524",18.6,"2,337","2,086","2,151",47.5,870,742,796,17.6,"1,733","1,426","1,577",34.9
Iowa - Municipalities,"22,114","4,380","3,751","3,938",17.8,"4,290","3,668","3,850",97.8,90,83,88,2.2,0,0,0,0
Kansas - Total,"200,264","19,914","18,114","18,660",9.3,"9,284","8,438","8,723",46.7,"4,240","3,553","3,726",20,"6,390","6,123","6,211",33.3
Kansas - State,"49,640","6,683","6,505","6,583",13.3,"1,102","1,045","1,073",16.3,"2,173","2,069","2,111",32.1,"3,408","3,391","3,399",51.6
"Kansas - Local, total","150,624","13,231","11,609","12,077",8,"8,182","7,393","7,650",63.3,"2,067","1,484","1,615",13.4,"2,982","2,732","2,812",23.3
Kansas - Counties,"22,431","6,586","5,905","6,102",27.2,"2,413","2,221","2,277",37.3,"1,183",940,"1,004",16.5,"2,990","2,744","2,821",46.2
Kansas - Municipalities,"24,882","6,931","5,988","6,252",25.1,"5,769","5,170","5,350",85.6,883,543,625,10,279,275,277,4.4
Kentucky - Total,"238,745","25,915","23,603","24,763",10.4,"10,110","9,257","9,645",38.9,"7,351","6,512","6,944",28,"8,454","7,834","8,174",33
Kentucky - State,"85,277","12,119","11,937","12,044",14.1,"2,122","2,116","2,119",17.6,"5,681","5,510","5,611",46.6,"4,316","4,311","4,314",35.8
"Kentucky - Local, total","153,468","13,796","11,666","12,719",8.3,"7,988","7,141","7,526",59.2,"1,670","1,002","1,333",10.5,"4,138","3,523","3,860",30.3
Kentucky - Counties,"15,178","5,052","3,653","4,225",27.8,"1,533","1,302","1,389",32.9,830,286,486,11.5,"2,689","2,065","2,350",55.6
Kentucky - Municipalities,"31,045","8,730","7,968","8,438",27.2,"6,444","5,838","6,130",72.6,834,683,808,9.6,"1,452","1,447","1,500",17.8
Louisiana - Total,"258,081","39,246","35,400","37,437",14.5,"18,520","16,408","17,489",46.7,"7,776","6,778","7,232",19.3,"12,950","12,214","12,716",34
Louisiana - State,"76,806","9,469","9,230","9,375",12.2,"1,771","1,706","1,743",18.6,"1,758","1,694","1,714",18.3,"5,940","5,830","5,918",63.1
"Louisiana - Local, total","181,275","29,777","26,170","28,062",15.5,"16,749","14,702","15,746",56.1,"6,018","5,084","5,518",19.7,"7,010","6,384","6,798",24.2
Louisiana - Parishes,"44,321","15,435","13,374","14,317",32.3,"8,180","6,997","7,460",52.1,"2,567","2,209","2,339",16.3,"4,688","4,168","4,518",31.6
Louisiana - Municipalities,"36,131","12,350","11,032","11,857",32.8,"8,255","7,477","8,004",67.5,"2,291","1,805","2,072",17.5,"1,804","1,750","1,781",15
Maine - Total,"73,005","6,405","5,494","5,897",8.1,"3,384","2,815","3,017",51.2,"1,036",830,959,16.3,"1,985","1,849","1,921",32.6
Maine - State,"21,152","2,490","2,332","2,444",11.6,545,543,544,22.3,776,654,748,30.6,"1,169","1,135","1,152",47.1
"Maine - Local, total","51,853","3,915","3,162","3,453",6.7,"2,839","2,272","2,473",71.6,260,176,211,6.1,816,714,769,22.3
Maine - Counties,"1,734","1,432","1,186","1,293",74.6,369,311,332,25.7,247,163,196,15.2,816,712,765,59.2
Maine - Municipalities,"15,336","1,334","1,174","1,254",8.2,"1,321","1,161","1,241",99,13,13,13,1,0,0,0,0
Maryland - Total,"300,208","45,161","42,133","43,925",14.6,"19,979","18,336","19,088",43.5,"8,721","7,946","8,489",19.3,"16,461","15,851","16,348",37.2
Maryland - State,"86,943","20,305","19,277","20,103",23.1,"2,211","2,211","2,211",11,"5,218","4,740","5,116",25.4,"12,876","12,326","12,776",63.6
"Maryland - Local, total","213,265","24,856","22,856","23,822",11.2,"17,768","16,125","16,877",70.8,"3,503","3,206","3,373",14.2,"3,585","3,525","3,572",15
Maryland - Counties,"179,439","18,593","17,101","17,833",9.9,"12,226","11,077","11,598",65,"2,786","2,503","2,667",15,"3,581","3,521","3,568",20
Maryland - Municipalities,"31,770","6,409","5,912","6,150",19.4,"5,495","5,011","5,244",85.3,914,901,906,14.7,0,0,0,0
Massachusetts - Total,"320,570","42,959","39,745","40,842",12.7,"21,185","18,578","19,486",47.7,"9,690","9,216","9,365",22.9,"12,084","11,951","11,991",29.4
Massachusetts - State,"97,203","24,313","23,752","23,926",24.6,"2,842","2,820","2,828",11.8,"9,387","8,981","9,107",38.1,"12,084","11,951","11,991",50.1
"Massachusetts - Local, total","223,367","18,646","15,993","16,916",7.6,"18,343","15,758","16,658",98.5,303,235,258,1.5,0,0,0,0
Massachusetts - Counties,"1,133",16,16,17,1.5,15,15,16,94.1,1,1,1,5.9,0,0,0,0
Massachusetts - Municipalities,"157,911","14,567","12,788","13,574",8.6,"14,272","12,559","13,315",98.1,295,229,259,1.9,0,0,0,0
Michigan - Total,"434,055","52,842","47,346","49,886",11.5,"22,351","18,960","20,271",40.6,"11,223","10,163","10,739",21.5,"19,268","18,223","18,876",37.8
Michigan - State,"142,960","17,211","16,924","17,146",12,"2,482","2,447","2,467",14.4,"1,434","1,380","1,416",8.3,"13,295","13,097","13,263",77.4
"Michigan - Local, total","291,095","35,631","30,422","32,740",11.2,"19,869","16,513","17,804",54.4,"9,789","8,783","9,323",28.5,"5,973","5,126","5,613",17.1
Michigan - Counties,"52,712","19,544","16,939","18,146",34.4,"5,858","4,736","5,096",28.1,"7,797","7,134","7,511",41.4,"5,889","5,069","5,539",30.5
Michigan - Municipalities,"51,249","14,380","12,193","13,160",25.7,"13,042","11,155","11,971",91,"1,296","1,014","1,155",8.8,42,24,34,0.3
Minnesota - Total,"278,728","28,371","25,206","26,815",9.6,"12,848","11,352","11,921",44.5,"6,319","5,394","5,975",22.3,"9,204","8,460","8,919",33.3
Minnesota - State,"80,739","8,853","8,156","8,659",10.7,934,900,921,10.6,"3,770","3,251","3,612",41.7,"4,149","4,005","4,126",47.6
"Minnesota - Local, total","197,989","19,518","17,050","18,156",9.2,"11,914","10,452","11,000",60.6,"2,549","2,143","2,363",13,"5,055","4,455","4,793",26.4
Minnesota - Counties,"34,424","10,672","9,231","9,925",28.8,"3,381","2,933","3,076",31,"2,246","1,854","2,072",20.9,"5,045","4,444","4,777",48.1
Minnesota - Municipalities,"37,046","8,696","7,694","8,083",21.8,"8,404","7,413","7,795",96.4,292,281,288,3.6,0,0,0,0
Mississippi - Total,"193,401","19,823","17,208","18,125",9.4,"10,764","9,154","9,764",53.9,"3,392","2,685","2,877",15.9,"5,667","5,369","5,484",30.3
Mississippi - State,"57,846","5,241","5,216","5,231",9,"1,238","1,235","1,236",23.6,751,743,745,14.2,"3,252","3,238","3,250",62.1
"Mississippi - Local, total","135,555","14,582","11,992","12,894",9.5,"9,526","7,919","8,528",66.1,"2,641","1,942","2,132",16.5,"2,415","2,131","2,234",17.3
Mississippi - Counties,"28,804","7,809","6,229","6,731",23.4,"3,550","2,775","3,035",45.1,"1,923","1,397","1,543",22.9,"2,336","2,057","2,153",32
Mississippi - Municipalities,"22,952","6,347","5,393","5,735",25,"5,546","4,759","5,064",88.3,705,542,578,10.1,96,92,93,1.6
Missouri - Total,"317,128","43,259","40,040","41,356",13,"19,301","17,844","18,435",44.6,"8,515","7,264","7,787",18.8,"15,443","14,932","15,134",36.6
Missouri - State,"86,712","19,000","18,393","18,747",21.6,"2,511","2,378","2,472",13.2,"4,310","3,991","4,188",22.3,"12,179","12,024","12,087",64.5
"Missouri - Local, total","230,416","24,259","21,647","22,609",9.8,"16,790","15,466","15,963",70.6,"4,205","3,273","3,599",15.9,"3,264","2,908","3,047",13.5
Missouri - Counties,"21,669","9,399","8,216","8,609",39.7,"4,036","3,679","3,800",44.1,"2,965","2,432","2,606",30.3,"2,398","2,105","2,203",25.6
Missouri - Municipalities,"51,009","15,172","13,769","14,258",28,"12,681","11,712","12,063",84.6,"1,565","1,180","1,293",9.1,926,877,902,6.3
Montana - Total,"57,205","6,478","5,806","6,125",10.7,"2,673","2,446","2,558",41.8,"1,818","1,446","1,614",26.4,"1,987","1,914","1,953",31.9
Montana - State,"20,799","2,513","2,371","2,453",11.8,480,446,469,19.1,755,662,710,28.9,"1,278","1,263","1,274",51.9
"Montana - Local, total","36,406","3,965","3,435","3,672",10.1,"2,193","2,000","2,089",56.9,"1,063",784,904,24.6,709,651,679,18.5
Montana - Counties,"6,919","2,532","2,133","2,292",33.1,"1,015",880,927,40.4,812,608,694,30.3,705,645,671,29.3
Montana - Municipalities,"5,410","1,456","1,309","1,371",25.3,"1,189","1,124","1,155",84.2,258,177,206,15,9,8,10,0.7
Nebraska - Total,"119,121","11,845","10,916","11,269",9.5,"5,241","4,767","4,952",43.9,"2,136","1,892","1,972",17.5,"4,468","4,257","4,345",38.6
Nebraska - State,"31,976","4,448","4,319","4,377",13.7,777,768,774,17.7,770,725,741,16.9,"2,901","2,826","2,862",65.4
"Nebraska - Local, total","87,145","7,397","6,597","6,892",7.9,"4,464","3,999","4,178",60.6,"1,366","1,167","1,231",17.9,"1,567","1,431","1,483",21.5
Nebraska - Counties,"13,014","4,235","3,720","3,887",29.9,"1,390","1,196","1,250",32.2,"1,276","1,092","1,155",29.7,"1,569","1,432","1,482",38.1
Nebraska - Municipalities,"13,860","3,239","2,873","3,010",21.7,"3,130","2,777","2,911",96.7,109,96,99,3.3,0,0,0,0
Nevada - Total,"107,064","18,153","16,794","17,222",16.1,"8,504","7,554","7,791",45.2,"3,749","3,504","3,640",21.1,"5,900","5,736","5,791",33.6
Nevada - State,"27,233","5,258","5,193","5,209",19.1,890,887,888,17,750,739,741,14.2,"3,618","3,567","3,580",68.7
"Nevada - Local, total","79,831","12,895","11,601","12,013",15,"7,614","6,667","6,903",57.5,"2,999","2,765","2,899",24.1,"2,282","2,169","2,211",18.4
Nevada - Counties,"25,115","9,996","8,918","9,411",37.5,"5,757","5,118","5,360",57,"2,342","2,148","2,274",24.2,"1,897","1,652","1,777",18.9
Nevada - Municipalities,"9,476","3,169","2,775","2,932",30.9,"1,982","1,644","1,778",60.6,653,611,628,21.4,534,520,526,17.9
New Hampshire - Total,"69,282","7,523","6,062","6,710",9.7,"4,253","3,430","3,763",56.1,"1,344",871,"1,066",15.9,"1,926","1,761","1,881",28
New Hampshire - State,"18,556","2,559","2,164","2,371",12.8,514,474,491,20.7,902,640,756,31.9,"1,143","1,050","1,124",47.4
"New Hampshire - Local, total","50,726","4,964","3,898","4,339",8.6,"3,739","2,956","3,272",75.4,442,231,310,7.1,783,711,757,17.4
New Hampshire - Counties,"4,297","1,593","1,155","1,315",30.6,430,267,310,23.6,380,177,249,18.9,783,711,756,57.5
New Hampshire - Municipalities,"21,670","1,615","1,362","1,467",6.8,"1,574","1,325","1,427",97.3,41,37,40,2.7,0,0,0,0
New Jersey - Total,"481,229","72,650","63,731","67,640",14.1,"36,012","29,263","32,402",47.9,"21,269","19,226","19,929",29.5,"15,369","15,242","15,309",22.6
New Jersey - State,"144,475","25,934","25,646","25,795",17.9,"3,792","3,742","3,768",14.6,"13,112","12,891","13,004",50.4,"9,030","9,013","9,023",35
"New Jersey - Local, total","336,754","46,716","38,085","41,845",12.4,"32,220","25,521","28,634",68.4,"8,157","6,335","6,925",16.5,"6,339","6,229","6,286",15
New Jersey - Counties,"88,239","15,771","15,059","15,617",17.7,"5,034","4,805","4,992",32,"4,811","4,436","4,746",30.4,"5,926","5,818","5,879",37.6
New Jersey - Municipalities,"63,733","16,418","12,581","14,095",22.1,"14,780","11,621","13,013",92.3,"1,638",960,"1,082",7.7,0,0,0,0
New Mexico - Total,"123,518","15,788","15,154","15,430",12.5,"6,046","5,677","5,817",37.7,"3,636","3,454","3,531",22.9,"6,106","6,023","6,082",39.4
New Mexico - State,"44,666","7,230","7,131","7,192",16.1,505,505,505,7,"3,073","3,008","3,044",42.3,"3,652","3,618","3,643",50.7
"New Mexico - Local, total","78,852","8,558","8,023","8,238",10.4,"5,541","5,172","5,312",64.5,563,446,487,5.9,"2,454","2,405","2,439",29.6
New Mexico - Counties,"10,723","4,379","4,227","4,295",40.1,"1,738","1,670","1,692",39.4,200,165,179,4.2,"2,441","2,392","2,424",56.4
New Mexico - Municipalities,"17,281","4,195","3,801","3,936",22.8,"3,811","3,505","3,618",91.9,369,281,303,7.7,15,15,15,0.4
New York - Total,"1,174,992","176,847","161,817","168,001",14.3,"89,537","80,690","84,627",50.4,"34,194","29,053","30,755",18.3,"53,116","52,074","52,619",31.3
New York - State,"239,452","54,466","53,513","54,165",22.6,"5,806","5,685","5,782",10.7,"18,955","18,424","18,801",34.7,"29,705","29,404","29,582",54.6
"New York - Local, total","935,540","122,381","108,304","113,836",12.2,"83,731","75,005","78,845",69.3,"15,239","10,629","11,954",10.5,"23,411","22,670","23,037",20.2
New York - Counties,"111,621","30,600","25,554","27,354",24.5,"13,421","10,946","11,969",43.8,"5,729","3,803","4,301",15.7,"11,450","10,805","11,084",40.5
