Bureau of Justice Statistics,,,,,,
Filename: jeee13fut19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 7/7/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2013/a,"Expenditures, fiscal 2013 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2013 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2013 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2013, all functions","Full-time equivalent employment, March 2013, general functions only/c"
"Collin, TX","857,422","230,147","230,147","230,147","1,800","1,800"
"Contra Costa, CA","1,093,758","2,833,931","2,764,347","2,482,543","7,647","7,647"
"Cook, IL","5,254,885","3,671,529","3,658,741","3,103,971","23,274","23,274"
"Cuyahoga, OH","1,265,478","2,037,933","1,992,057","2,037,933","13,388","13,388"
"Dade, FL","2,635,640","8,078,944","7,882,157","7,344,173","36,815","32,451"
"Dallas, TX","2,484,988","2,483,067","2,483,067","2,458,262","17,298","17,298"
"DeKalb, GA","717,736","943,120","943,120","743,749","6,399","5,799"
"Delaware, PA","561,528","689,472","682,673","648,907","2,866","2,866"
"Denton, TX","728,774","249,157","246,141","249,157","1,844","1,844"
"Douglas, NE","536,783","314,386","314,386","314,386","2,848","2,848"
"Du Page, IL","932,519","386,767","375,311","384,195","2,433","2,433"
"El Paso, CO","655,320","284,593","284,232","263,745","2,709","2,709"
"El Paso, TX","831,746","722,417","722,417","720,027","5,352","5,352"
"Erie, NY","920,883","2,038,802","1,602,317","1,934,889","7,969","7,805"
"Essex, NJ","786,817","896,463","823,941","896,331","4,747","4,747"
"Fairfax, VA","1,131,988","5,930,340","5,761,887","4,951,547","41,031","40,627"
"Fort Bend, TX","652,050","307,862","307,862","307,862","2,237","2,223"
"Franklin, OH","1,218,985","911,877","901,905","909,790","6,071","6,071"
"Fresno, CA","952,029","1,721,668","1,660,739","1,501,151","7,570","7,570"
"Fulton, GA","981,562","1,153,508","869,040","954,231","5,491","5,463"
"Gwinnet, GA","853,758","1,170,187","1,133,284","956,142","4,857","4,598"
"Hamilton, OH","805,185","1,001,334","899,916","1,001,334","4,731","4,731"
"Harris, TX","4,355,158","4,391,247","4,391,204","4,390,747","25,668","25,654"
"Hennepin, MN","1,198,181","2,276,605","2,120,706","2,108,730","7,420","7,420"
"Hidalgo, TX","819,374","329,222","328,057","329,222","2,799","2,799"
"Hillsborough, FL","1,293,824","1,776,034","1,736,138","1,573,305","9,462","9,082"
"Hudson, NJ","657,217","887,174","543,984","887,174","4,323","4,323"
"Jackson, MO","679,830","258,751","258,751","250,241","1,214","1,214"
"Jefferson, AL","659,196","688,672","688,672","598,768","3,154","3,154"
"Jefferson, CO","552,254","401,061","379,663","401,061","2,914","2,914"
"Johnson, KS","566,411","600,917","522,570","585,067","3,458","3,448"
"Kane, IL","522,935","185,281","185,281","185,281","1,335","1,335"
"Kent, MI","624,377","579,636","579,636","551,473","1,929","1,929"
"Kern, CA","862,557","2,067,313","1,983,502","1,820,660","9,381","9,381"
"King, WA","2,047,543","2,765,753","2,761,676","2,012,569","12,980","8,913"
"Lake, IL","704,462","461,673","461,673","452,835","2,775","2,772"
"Lake, IN","491,768","193,640","193,606","193,640","2,433","2,433"
"Lancaster, PA","530,027","392,834","392,687","380,310","1,791","1,791"
"Lee, FL","659,920","915,333","910,693","827,220","4,559","4,169"
"Los Angeles, CA","9,998,105","23,220,542","22,833,186","20,481,521","100,208","100,111"
"Macomb, MI","857,158","711,381","701,197","657,368","2,604","2,604"
"Maricopa, AZ","4,019,019","1,726,271","1,556,774","1,725,859","12,827","12,827"
"Mecklenburg, NC","990,785","2,526,181","2,474,387","2,419,546","25,258","25,258"
"Middlesex, NJ","821,844","738,916","733,154","738,916","3,581","3,581"
"Milwaukee, WI","957,513","1,508,464","1,508,464","1,152,007","6,637","5,615"
"Monmouth, NJ","626,980","708,977","682,556","708,911","5,106","5,106"
"Monroe, NY","748,326","1,671,119","1,301,371","1,555,088","5,880","5,670"
"Montgomery, MD","1,016,064","6,593,126","6,250,259","5,761,692","35,168","34,191"
"Montgomery, OH","534,229","663,398","628,499","618,439","4,060","3,885"
"Montgomery, PA","812,665","565,868","540,525","533,725","3,352","3,352"
"Multnomah, OR","766,649","933,955","899,783","933,955","4,574","4,574"
"Nassau, NY","1,352,399","3,873,696","3,514,640","3,836,772","13,575","13,575"
"New Castle, DE","548,383","336,330","336,330","301,298","1,632","1,632"
"Norfolk, MA","688,440","85,018","85,018","43,529",111,111
"Oakland, MI","1,235,554","1,137,961","1,059,052","1,055,617","3,859","3,859"
"Ocean, NJ","582,022","567,216","564,374","566,906","3,374","3,243"
"Oklahoma, OK","756,636","151,329","151,329","151,329","2,160","2,160"
"Orange, CA","3,108,009","4,047,651","3,940,179","3,478,389","17,776","17,776"
"Orange, FL","1,227,642","1,743,468","1,687,461","1,660,041","10,230","9,749"
"Palm Beach, FL","1,376,716","2,127,609","2,057,165","1,973,631","10,746","10,226"
"Passaic, NJ","504,006","592,494","563,879","592,435","3,613","3,613"
"Pierce, WA","819,059","548,760","548,007","548,622","3,405","3,403"
"Pima, AZ","997,437","1,135,396","1,113,616","1,115,184","6,529","6,472"
"Pinellas, FL","928,488","1,012,778","936,643","923,435","5,397","5,153"
"Polk, FL","622,712","613,657","613,657","534,799","4,245","4,093"
"Prince Georges, MD","890,117","4,269,358","4,200,122","3,904,581","28,626","28,359"
"Riverside, CA","2,288,043","3,671,314","3,635,099","3,671,314","20,904","20,904"
"Sacramento, CA","1,457,750","2,913,022","2,839,438","2,537,582","11,762","11,343"
"Salt Lake, UT","1,079,543","750,001","750,001","750,001","5,418","5,418"
"San Bernardino, CA","2,083,871","3,832,371","3,642,565","3,462,102","19,262","19,261"
"San Diego, CA","3,211,248","4,630,335","4,335,487","4,087,051","19,229","19,229"
"San Joaquin, CA","702,387","1,425,976","1,373,844","1,275,029","6,644","6,644"
"San Mateo, CA","749,013","1,579,388","1,502,274","1,424,372","5,805","5,805"
"Santa Clara, CA","1,867,302","4,315,091","4,209,938","4,315,091","18,028","18,028"
"Shelby, TN","939,189","1,973,162","1,474,218","1,887,103","13,363","13,363"
"Snohomish, WA","744,236","467,028","467,028","467,028","2,622","2,622"
"St. Louis, MO","1,000,471","728,036","605,325","556,374","3,908","3,908"
"Stanislaus, CA","523,722","1,025,034","959,320","932,024","4,537","4,537"
"Suffolk, NY","1,497,489","3,578,182","3,306,302","3,287,226","12,938","12,367"
"Summit, OH","541,934","560,317","559,950","560,317","3,567","3,567"
"Tarrant, TX","1,913,161","1,628,479","1,628,479","1,628,479","12,244","12,244"
"Travis, TX","1,122,585","829,808","829,808","829,808","5,590","5,590"
"Tulsa, OK","624,173","235,280","235,280","220,296","2,161","2,161"
"Union, NJ","546,237","664,918","630,533","664,918","3,836","3,836"
"Utah, UT","551,333","225,908","162,721","166,356","1,311","1,311"
"Ventura, CA","838,601","2,103,044","1,998,994","1,861,581","8,882","8,829"
"Wake, NC","974,007","2,248,832","2,171,969","2,187,023","23,502","23,502"
"Washington, OR","555,405","517,429","517,172","517,429","1,810","1,810"
"Wayne, MI","1,780,371","1,954,125","1,637,312","1,819,776","4,225","4,225"
"Westchester, NY","964,805","3,414,056","3,063,893","3,259,585","9,547","9,505"
"Will, IL","683,873","347,442","346,377","347,442","2,271","2,271"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
