"Michigan",$1482946.00,$1382025.00,$1284682.00,$77843.00,$19500.00,93.2,,$100921.00,$98818.00,$2103.00,6.8,
"Minnesota",$292695.00,$207581.00,$199925.00,$2417.00,$5239.00,70.9,,$85114.00,$79656.00,$5458.00,29.1,
"Mississippi",$241948.00,$215864.00,$207504.00,$6038.00,$2322.00,89.2,,$26084.00,$25522.00,$562.00,10.8,
"Missouri",$513835.00,$431921.00,$348714.00,$74213.00,$8994.00,84.1,,$81914.00,$81375.00,$539.00,15.9,
,,,,,,,,,,,,
"Montana",$104143.00,$59588.00,$49731.00,$9286.00,$571.00,57.2,,$44555.00,$43931.00,$624.00,42.8,
"Nebraska",$172628.00,$68031.00,$67764.00,$44.00,$223.00,39.4,,$104597.00,$57451.00,$47146.00,60.6,
"Nevada",$217566.00,$186694.00,$151108.00,$34570.00,$1016.00,85.8,,$30872.00,$30239.00,$633.00,14.2,
"New Hampshire",$84944.00,$70792.00,$54135.00,$14606.00,$2051.00,83.3,,$14152.00,$13667.00,$485.00,16.7,
"New Jersey",$1050277.00,$761289.00,$747502.00,$5066.00,$8721.00,72.5,,$288988.00,$282134.00,$6854.00,27.5,
,,,,,,,,,,,,
"New Mexico",$216722.00,$154351.00,$151805.00,$1426.00,$1120.00,71.2,,$62371.00,$61914.00,$457.00,28.8,
"New York",$2298197.00,$1939695.00,$1606012.00,$313612.00,$20071.00,84.4,,$358502.00,$345539.00,$12963.00,15.6,
"North Carolina",$905664.00,$738897.00,$721512.00,$9446.00,$7939.00,81.6,,$166767.00,$151232.00,$15535.00,18.4,
"North Dakota",$28856.00,$23646.00,$22402.00,$928.00,$316.00,81.9,,$5210.00,$5210.00,$0.00,18.1,
"Ohio",$1486675.00,$1192624.00,$1043094.00,$136714.00,$12816.00,80.2,,$294051.00,$245535.00,$48516.00,19.8,
,,,,,,,,,,,,
"Oklahoma",$462203.00,$199284.00,$194168.00,$1926.00,$3190.00,43.1,,$262919.00,$252333.00,$10586.00,56.9,
"Oregon",$468362.00,$305043.00,$253692.00,$51348.00,$3.00,65.1,,$163319.00,$147458.00,$15861.00,34.9,
"Pennsylvania",$1413640.00,$1336344.00,$1150345.00,$171437.00,$14562.00,94.5,,$77296.00,$77296.00,$0.00,5.5,
"Rhode Island",$139225.00,$128914.00,$124964.00,$3120.00,$830.00,92.6,,$10311.00,$10206.00,$105.00,7.4,
"South Carolina",$436214.00,$385668.00,$361999.00,$17773.00,$5896.00,88.4,,$50546.00,$48428.00,$2118.00,11.6,
,,,,,,,,,,,,
"South Dakota",$62315.00,$38155.00,$37780.00,$0.00,$375.00,61.2,,$24160.00,$23063.00,$1097.00,38.8,
"Tennessee",$350846.00,$295054.00,$274464.00,$18376.00,$2214.00,84.1,,$55792.00,$54810.00,$982.00,15.9,
"Texas",$2677248.00,$2382548.00,$2269087.00,$59205.00,$54256.00,89.0,,$294700.00,$290613.00,$4087.00,11.0,
"Utah",$245372.00,$162014.00,$159956.00,$46.00,$2012.00,66.0,,$83358.00,$82348.00,$1010.00,34.0,
"Vermont",$66127.00,$64910.00,$63525.00,$1385.00,$0.00,98.2,,$1217.00,$1217.00,$0.00,1.8,
,,,,,,,,,,,,
"Virginia",$859433.00,$821304.00,$807807.00,$307.00,$13190.00,95.6,,$38129.00,$35639.00,$2490.00,4.4,
"Washington",$731277.00,$544114.00,$427835.00,$107780.00,$8499.00,74.4,,$187163.00,$185935.00,$1228.00,25.6,
"West Virginia",$156190.00,$145541.00,$108701.00,$32344.00,$4496.00,93.2,,$10649.00,$10641.00,$8.00,6.8,
"Wisconsin",$746057.00,$589135.00,$530376.00,$54259.00,$4500.00,79.0,,$156922.00,$122991.00,$33931.00,21.0,
"Wyoming",$73031.00,$57142.00,$32742.00,$24066.00,$334.00,78.2,,$15889.00,$15596.00,$293.00,21.8,
