"Bureau of Justice Statistics",,,,,,,,,,,,,
"Municipalities",1107,,890,755,809,73.1,3732,,621,285,298,26.9,1356
,,,,,,,,,,,,,
"Arizona",16141,,12284,12235,12258,75.9,46999,,3938,3699,3883,24.1,12027
"State",1902,,1066,1066,1066,56.0,4139,,836,835,836,44.0,2579
"Local, total",14239,,11218,11169,11192,78.6,42860,,3102,2864,3047,21.4,9448
"Counties",4067,,3812,3770,3790,93.2,12510,,297,246,277,6.8,852
"Municipalities",10172,,7406,7399,7402,72.8,30350,,2805,2618,2770,27.2,8595
,,,,,,,,,,,,,
"Arkansas",7871,,6262,5615,5938,75.4,14454,,2190,1839,1933,24.6,3701
"State",1151,,590,590,590,51.3,1843,,561,560,561,48.7,1321
"Local, total",6720,,5672,5025,5348,79.6,12611,,1629,1279,1372,20.4,2380
"Counties",1784,,1630,1323,1365,76.5,2797,,498,377,419,23.5,581
"Municipalities",4936,,4042,3702,3983,80.7,9814,,1131,902,953,19.3,1799
,,,,,,,,,,,,,
"California",96858,,66270,64036,64675,66.8,361959,,35968,29215,32183,33.2,115438
"State",12843,,7778,7255,7343,57.2,40999,,6111,5072,5500,42.8,18316
"Local, total",84015,,58492,56781,57332,68.2,320959,,29857,24143,26683,31.8,97122
"Counties",29840,,20553,19176,19594,65.7,101726,,10490,10008,10246,34.3,39069
"Municipalities",54175,,37939,37605,37738,69.7,219233,,19367,14135,16437,30.3,58053
,,,,,,,,,,,,,
"Colorado",12042,,8941,8726,8783,72.9,39471,,3476,3173,3259,27.1,9760
"State",1144,,707,706,706,61.7,3364,,438,438,438,38.3,1719
"Local, total",10898,,8234,8020,8077,74.1,36107,,3038,2735,2821,25.9,8041
"Counties",3169,,2485,2344,2377,75.0,8970,,892,763,792,25.0,1926
"Municipalities",7729,,5749,5676,5700,73.7,27137,,2146,1972,2029,26.3,6114
,,,,,,,,,,,,,
"Connecticut",10644,,8143,8057,8267,77.7,38482,,3068,1909,2377,22.3,6775
"State",1724,,1054,1054,1054,61.1,5116,,680,616,670,38.9,2392
"Local, total",8920,,7089,7003,7213,80.9,33366,,2388,1293,1707,19.1,4382
"Municipalities",8920,,7089,7003,7213,80.9,33366,,2388,1293,1707,19.1,4382
,,,,,,,,,,,,,
"Delaware",2378,,1685,1680,1683,70.8,6875,,824,555,695,29.2,1768
"State",900,,591,591,591,65.7,2747,,331,281,309,34.3,842
"Local, total",1478,,1094,1089,1092,73.9,4128,,493,274,386,26.1,926
"Counties",507,,324,324,324,63.9,1397,,264,88,183,36.1,492
"Municipalities",971,,770,765,768,79.1,2731,,229,186,203,20.9,433
,,,,,,,,,,,,,
"District of Columbia",4458,,3585,3585,3585,80.4,17276,,983,762,873,19.6,2776
"Local, total",4458,,3585,3585,3585,80.4,17276,,983,762,873,19.6,2776
"Municipality",4458,,3585,3585,3585,80.4,17276,,983,762,873,19.6,2776
,,,,,,,,,,,,,
"Florida",55163,,36532,36350,36655,66.4,142461,,21742,16650,18508,33.6,46879
"State",4468,,2618,2618,2618,58.6,7659,,1909,1786,1850,41.4,4151
"Local, total",50695,,33914,33732,34037,67.1,134802,,19833,14864,16658,32.9,42728
"Counties",25570,,15851,15753,15791,61.8,61414,,11539,8859,9779,38.2,25729
"Municipalities",25125,,18063,17979,18246,72.6,73388,,8294,6005,6879,27.4,16999
,,,,,,,,,,,,,
"Georgia",24261,,19771,19058,19350,79.8,53783,,5714,4488,4911,20.2,11204
"State",2210,,1192,1192,1192,53.9,3962,,1022,992,1018,46.1,2723
"Local, total",22051,,18579,17866,18158,82.3,49821,,4692,3496,3893,17.7,8481
"Counties",10009,,8000,7697,7813,78.1,21978,,2618,1978,2196,21.9,5185
"Municipalities",12042,,10579,10169,10345,85.9,27843,,2074,1518,1697,14.1,3296
,,,,,,,,,,,,,
"Hawaii",3612,,2788,2788,2788,77.2,11311,,981,777,824,22.8,2323
"State",0,,0,0,0,0.0,0,,0,0,0,0.0,0
"Local, total",3612,,2788,2788,2788,77.2,11311,,981,777,824,22.8,2323
"Counties",1110,,822,822,822,74.1,3319,,343,269,288,25.9,770
"Municipalities",2502,,1966,1966,1966,78.6,7992,,638,508,536,21.4,1553
,,,,,,,,,,,,,
"Idaho",3346,,2485,2352,2391,71.5,7519,,1098,889,955,28.5,2150
"State",468,,255,255,255,54.5,964,,217,199,213,45.5,609
"Local, total",2878,,2230,2097,2136,74.2,6556,,881,690,742,25.8,1540
"Counties",1325,,944,884,902,68.1,2355,,493,398,423,31.9,799
"Municipalities",1553,,1286,1213,1234,79.5,4201,,388,292,319,20.5,741
,,,,,,,,,,,,,
"Illinois",44094,,35664,33441,34302,77.8,139520,,12720,8274,9792,22.2,31114
"State",4074,,2195,2195,2195,53.9,11236,,1885,1871,1879,46.1,6705
"Local, total",40020,,33469,31246,32107,80.2,128283,,10835,6403,7913,19.8,24410
"Counties",5725,,4191,4021,4082,71.3,14995,,1830,1574,1643,28.7,3889
"Municipalities",34295,,29278,27225,28025,81.7,113289,,9005,4829,6270,18.3,20521
,,,,,,,,,,,,,
"Indiana",15779,,11833,11254,11440,72.5,37165,,5349,3857,4339,27.5,8965
"State",1971,,1264,1264,1264,64.1,4257,,707,706,707,35.9,1356
"Local, total",13808,,10569,9990,10176,73.7,32908,,4642,3151,3632,26.3,7609
"Counties",3824,,2559,2445,2460,64.3,7059,,1821,1128,1364,35.7,2707
"Municipalities",9984,,8010,7545,7716,77.3,25850,,2821,2023,2268,22.7,4902
,,,,,,,,,,,,,
"Iowa",7251,,5770,5163,5378,74.2,17596,,2179,1658,1873,25.8,4588
"State",995,,668,668,668,67.1,2613,,356,315,327,32.9,1076
"Local, total",6256,,5102,4495,4710,75.3,14982,,1823,1343,1546,24.7,3512
"Counties",2195,,1555,1390,1421,64.7,4580,,891,696,774,35.3,1750
"Municipalities",4061,,3547,3105,3289,81.0,10402,,932,647,772,19.0,1762
,,,,,,,,,,,,,
"Kansas",8984,,6985,6594,6716,74.8,21516,,2751,2064,2268,25.2,5299
"State",992,,615,615,615,62.0,2042,,389,369,377,38.0,853
"Local, total",7992,,6370,5979,6101,76.3,19474,,2362,1695,1891,23.7,4446
"Counties",2760,,2069,1970,2012,72.9,5933,,925,658,748,27.1,1554
"Municipalities",5232,,4301,4009,4089,78.2,13542,,1437,1037,1143,21.8,2892
,,,,,,,,,,,,,
"Kentucky",9784,,7392,6838,7144,73.0,21263,,2935,2367,2640,27.0,6357
"State",2070,,963,960,963,46.5,3578,,1113,1093,1107,53.5,3162
"Local, total",7714,,6429,5878,6181,80.1,17685,,1822,1274,1533,19.9,3195
"Counties",3088,,2709,2360,2552,82.6,6753,,632,422,536,17.4,1160
"Municipalities",4626,,3720,3518,3629,78.4,10932,,1190,852,997,21.6,2036
,,,,,,,,,,,,,
"Louisiana",16058,,12885,11273,11961,74.5,30344,,4877,3707,4097,25.5,8593
"State",1650,,979,979,979,59.3,3486,,678,667,671,40.7,1520
"Local, total",14408,,11906,10294,10982,76.2,26857,,4199,3040,3426,23.8,7073
"Parishes",6496,,4902,4605,4682,72.1,10982,,2157,1626,1814,27.9,4007
"Municipalities",7912,,7004,5689,6300,79.6,15875,,2042,1414,1612,20.4,3066
,,,,,,,,,,,,,
"Maine",3109,,2913,2239,2481,79.8,7658,,984,504,628,20.2,1350
"State",383,,325,325,325,84.9,1209,,59,57,58,15.1,126
"Local, total",2726,,2588,1914,2156,79.1,6448,,925,447,570,20.9,1224
"Counties",539,,476,385,414,76.8,1072,,154,107,125,23.2,266
"Municipalities",2187,,2112,1529,1742,79.7,5376,,771,340,445,20.3,957
,,,,,,,,,,,,,
"Maryland",16628,,12723,12452,12580,75.7,52139,,4678,3530,4048,24.3,13302
"State",2411,,1616,1616,1616,67.0,8053,,802,774,795,33.0,2245
"Local, total",14217,,11107,10836,10964,77.1,44086,,3876,2756,3253,22.9,11057
"Counties",8509,,6552,6329,6439,75.7,27862,,2458,1797,2070,24.3,7629
"Municipalities",5708,,4555,4507,4525,79.3,16224,,1418,959,1183,20.7,3428
,,,,,,,,,,,,,
"Massachusetts",23868,,21268,18785,19516,81.8,84274,,5926,3582,4352,18.2,10739
"State",5469,,4643,4606,4624,84.5,18103,,855,838,845,15.5,2102
"Local, total",18399,,16625,14179,14892,80.9,66171,,5071,2744,3507,19.1,8637
"Counties",27,,14,14,14,51.9,40,,13,13,13,48.1,38
"Municipalities",18372,,16611,14165,14878,81.0,66130,,5058,2731,3494,19.0,8599
,,,,,,,,,,,,,
"Michigan",25813,,20397,19670,20033,77.6,77525,,7098,4722,5780,22.4,15958
"State",3213,,2139,2139,2139,66.6,9581,,1155,1002,1074,33.4,3719
"Local, total",22600,,18258,17531,17894,79.2,67944,,5943,3720,4706,20.8,12239
"Counties",5211,,4000,3870,3944,75.7,14416,,1396,1141,1267,24.3,3591
"Municipalities",17389,,14258,13661,13950,80.2,53528,,4547,2579,3439,19.8,8648
,,,,,,,,,,,,,
"Minnesota",10636,,8197,7713,7840,73.7,34239,,3231,2393,2796,26.3,8251
"State",938,,541,541,541,57.7,2672,,408,380,397,42.3,1322
"Local, total",9698,,7656,7172,7299,75.3,31567,,2823,2013,2399,24.7,6929
"Counties",3245,,2342,2184,2246,69.2,8572,,1177,865,999,30.8,2722
"Municipalities",6453,,5314,4988,5053,78.3,22995,,1646,1148,1400,21.7,4207
,,,,,,,,,,,,,
"Mississippi",8627,,6611,5750,6163,71.4,14995,,3059,2205,2464,28.6,4744
"State",1182,,666,666,666,56.3,1935,,516,516,516,43.7,1255
"Local, total",7445,,5945,5084,5497,73.8,13061,,2543,1689,1948,26.2,3488
"Counties",2308,,1723,1419,1535,66.5,3424,,972,692,773,33.5,1280
"Municipalities",5137,,4222,3665,3962,77.1,9637,,1571,997,1175,22.9,2208
,,,,,,,,,,,,,
"Missouri",17084,,12743,11839,12109,70.9,37645,,5315,4600,4975,29.1,12056
"State",2247,,1162,1162,1162,51.7,3919,,1089,1084,1085,48.3,2691
"Local, total",14837,,11581,10677,10947,73.8,33726,,4226,3516,3890,26.2,9364
"Counties",3941,,2706,2668,2710,68.8,6987,,1273,1041,1231,31.2,2610
"Municipalities",10896,,8875,8009,8237,75.6,26739,,2953,2475,2659,24.4,6754
,,,,,,,,,,,,,
"Montana",2216,,1526,1479,1495,67.5,4412,,875,658,721,32.5,1595
"State",404,,190,187,189,46.8,545,,236,205,215,53.2,615
"Local, total",1812,,1336,1292,1306,72.1,3867,,639,453,506,27.9,980
"Counties",927,,642,607,618,66.7,1766,,414,274,309,33.3,566
"Municipalities",885,,694,685,688,77.7,2101,,225,179,197,22.3,414
,,,,,,,,,,,,,
"Nebraska",4495,,3385,3232,3278,72.9,10975,,1370,1133,1217,27.1,2807
"State",682,,472,470,470,68.9,1626,,215,208,212,31.1,538
"Local, total",3813,,2913,2762,2808,73.6,9349,,1155,925,1005,26.4,2269
"Counties",1311,,913,840,853,65.1,2348,,545,430,458,34.9,1040
"Municipalities",2502,,2000,1922,1955,78.1,7001,,610,495,547,21.9,1229
,,,,,,,,,,,,,
"Nevada",6751,,4064,3983,4022,59.6,18504,,3207,2477,2729,40.4,8910
"State",859,,465,465,465,54.1,1692,,394,394,394,45.9,1243
"Local, total",5892,,3599,3518,3557,60.4,16812,,2813,2083,2335,39.6,7666
"Counties",4240,,2482,2404,2441,57.6,11936,,2098,1653,1799,42.4,6091
"Municipalities",1652,,1117,1114,1116,67.6,4876,,715,430,536,32.4,1575
,,,,,,,,,,,,,
"New Hampshire",4227,,4613,2730,3411,80.7,10635,,1118,678,816,19.3,1902
"State",429,,303,303,303,70.6,1175,,135,118,126,29.4,348
"Local, total",3798,,4310,2427,3108,81.8,9460,,983,560,690,18.2,1554
"Counties",230,,168,143,152,66.1,463,,101,61,78,33.9,182
"Municipalities",3568,,4142,2284,2956,82.8,8997,,882,499,612,17.2,1372
,,,,,,,,,,,,,
"New Jersey",33441,,25367,24071,24624,73.6,123046,,12700,6499,8817,26.4,30689
"State",3731,,1133,1115,1132,30.3,3462,,2599,2599,2599,69.7,15756
"Local, total",29710,,24234,22956,23492,79.1,119584,,10101,3900,6218,20.9,14933
"Counties",2492,,1836,1827,1831,73.5,7394,,695,628,661,26.5,2104
"Municipalities",27218,,22398,21129,21661,79.6,112190,,9406,3272,5557,20.4,12830
,,,,,,,,,,,,,
"New Mexico",5417,,4008,3913,3927,72.5,12163,,1688,1257,1490,27.5,3282
"State",633,,462,462,462,73.0,1617,,171,171,171,27.0,602
"Local, total",4784,,3546,3451,3465,72.4,10545,,1517,1086,1319,27.6,2680
"Counties",1373,,1043,1016,1021,74.4,2960,,380,315,352,25.6,716
"Municipalities",3411,,2503,2435,2444,71.7,7586,,1137,771,967,28.3,1964
,,,,,,,,,,,,,
"New York",86256,,78428,71456,74309,86.1,389702,,14970,9976,11947,13.9,44861
"State",5659,,4064,4064,4064,71.8,21969,,1671,1520,1595,28.2,4729
"Local, total",80597,,74364,67392,70245,87.2,367734,,13299,8456,10352,12.8,40132
"Counties",12555,,10098,9756,9864,78.6,51915,,3377,2220,2691,21.4,9111
"Municipalities",68042,,64266,57636,60381,88.7,315819,,9922,6236,7661,11.3,31021
,,,,,,,,,,,,,
"North Carolina",23053,,18681,17833,18157,78.8,53659,,5470,4512,4896,21.2,11866
"State",3361,,2288,2280,2287,68.0,8383,,1075,1063,1074,32.0,3031
"Local, total",19692,,16393,15553,15870,80.6,45277,,4395,3449,3822,19.4,8836
"Counties",6854,,5583,5218,5367,78.3,13929,,1706,1393,1487,21.7,3280
"Municipalities",12838,,10810,10335,10503,81.8,31348,,2689,2056,2335,18.2,5555
,,,,,,,,,,,,,
"North Dakota",1440,,1163,1097,1108,76.9,3146,,353,314,332,23.1,697
"State",220,,125,125,125,56.8,382,,95,94,95,43.2,216
"Local, total",1220,,1038,972,983,80.6,2764,,258,220,237,19.4,482
"Counties",471,,403,361,365,77.5,895,,117,94,106,22.5,180
"Municipalities",749,,635,611,618,82.5,1869,,141,126,131,17.5,302
,,,,,,,,,,,,,
"Ohio",33476,,28161,24412,25651,76.6,93194,,9822,6795,7825,23.4,20131
"State",2597,,1391,1391,1391,53.6,6076,,1210,1196,1206,46.4,3448
"Local, total",30879,,26770,23021,24260,78.6,87119,,8612,5599,6619,21.4,16683
"Counties",7003,,4911,4727,4774,68.2,14091,,2325,2132,2229,31.8,5673
"Municipalities",23876,,21859,18294,19486,81.6,73027,,6287,3467,4390,18.4,11010
,,,,,,,,,,,,,
"Oklahoma",11048,,8823,7812,8207,74.3,23571,,3146,2591,2841,25.7,5426
"State",1790,,966,966,966,54.0,3242,,839,815,824,46.0,1881
"Local, total",9258,,7857,6846,7241,78.2,20329,,2307,1776,2017,21.8,3545
"Counties",2472,,2045,1706,1875,75.8,3313,,753,482,597,24.2,890
"Municipalities",6786,,5812,5140,5366,79.1,17016,,1554,1294,1420,20.9,2655
,,,,,,,,,,,,,
"Oregon",8627,,6304,6051,6148,71.3,25236,,2789,2265,2479,28.7,7562
"State",1423,,897,841,895,62.9,3483,,599,476,528,37.1,1471
"Local, total",7204,,5407,5210,5253,72.9,21752,,2190,1789,1951,27.1,6091
"Counties",2582,,1896,1800,1833,71.0,7147,,812,690,749,29.0,2153
"Municipalities",4622,,3511,3410,3420,74.0,14605,,1378,1099,1202,26.0,3938
,,,,,,,,,,,,,
"Pennsylvania",31447,,27654,24316,25820,82.1,100344,,9519,4131,5627,17.9,17154
"State",5638,,4399,4399,4399,78.0,17948,,1244,1149,1239,22.0,4838
"Local, total",25809,,23255,19917,21421,83.0,82396,,8275,2982,4388,17.0,12316
"Counties",2359,,1706,1247,1431,60.7,3664,,941,829,928,39.3,2329
"Municipalities",23450,,21549,18670,19990,85.2,78732,,7334,2153,3460,14.8,9987
,,,,,,,,,,,,,
"Rhode Island",3358,,2441,2426,2432,72.4,9991,,1255,780,926,27.6,2748
"State",304,,197,197,197,64.8,1001,,111,106,107,35.2,332
"Local, total",3054,,2244,2229,2235,73.2,8990,,1144,674,819,26.8,2416
"Municipalities",3054,,2244,2229,2235,73.2,8990,,1144,674,819,26.8,2416
,,,,,,,,,,,,,
"South Carolina",13598,,10153,9905,10055,73.9,27381,,3792,3389,3543,26.1,7464
"State",3305,,1495,1495,1495,45.2,4596,,1816,1807,1810,54.8,4000
"Local, total",10293,,8658,8410,8560,83.2,22785,,1976,1582,1733,16.8,3464
"Counties",4767,,3968,3889,3922,82.3,9951,,955,741,845,17.7,1759
"Municipalities",5526,,4690,4521,4638,83.9,12834,,1021,841,888,16.1,1704
,,,,,,,,,,,,,
"South Dakota",1700,,1346,1250,1271,74.8,3642,,509,404,429,25.2,897
"State",278,,183,181,181,65.1,596,,100,94,97,34.9,223
"Local, total",1422,,1163,1069,1090,76.7,3047,,409,310,332,23.3,674
"Counties",571,,430,392,396,69.4,1015,,230,160,175,30.6,319
"Municipalities",851,,733,677,694,81.6,2032,,179,150,157,18.4,356
,,,,,,,,,,,,,
"Tennessee",18057,,13983,13535,13805,76.5,38849,,4714,3927,4252,23.5,9463
"State",1846,,1103,1103,1103,59.8,3629,,748,740,743,40.2,1618
"Local, total",16211,,12880,12432,12702,78.4,35219,,3966,3187,3509,21.6,7844
"Counties",4916,,4000,3777,3847,78.3,9378,,1145,1018,1069,21.7,2014
"Municipalities",11295,,8880,8655,8855,78.4,25841,,2821,2169,2440,21.6,5830
,,,,,,,,,,,,,
"Texas",58854,,44306,42915,43629,74.1,148167,,17210,14452,15225,25.9,34671
"State",3633,,2009,2009,2009,55.3,7946,,1644,1608,1624,44.7,4195
"Local, total",55221,,42297,40906,41620,75.4,140221,,15566,12844,13601,24.6,30476
"Counties",15015,,11534,10873,11271,75.1,31203,,3785,3607,3744,24.9,8448
"Municipalities",40206,,30763,30033,30349,75.5,109018,,11781,9237,9857,24.5,22029
,,,,,,,,,,,,,
"Utah",5400,,3790,3692,3735,69.2,12578,,2324,1304,1665,30.8,4215
"State",782,,404,404,404,51.7,1373,,404,353,378,48.3,1133
"Local, total",4618,,3386,3288,3331,72.1,11204,,1920,951,1287,27.9,3083
"Counties",1658,,1160,1146,1158,69.8,3579,,625,397,500,30.2,1154
"Municipalities",2960,,2226,2142,2173,73.4,7626,,1295,554,787,26.6,1929
,,,,,,,,,,,,,
"Vermont",1302,,1036,883,932,71.6,3359,,458,324,370,28.4,994
"State",509,,353,322,327,64.2,1487,,207,165,182,35.8,569
"Local, total",793,,683,561,605,76.3,1871,,251,159,188,23.7,426
"Counties",32,,5,5,5,15.6,13,,27,26,27,84.4,46
"Municipalities",761,,678,556,600,78.8,1858,,224,133,161,21.2,379
,,,,,,,,,,,,,
"Virginia",18750,,14610,14336,14467,77.2,51441,,5181,3798,4283,22.8,10709
"State",2603,,1793,1793,1793,68.9,7427,,909,719,810,31.1,2103
"Local, total",16147,,12817,12543,12674,78.5,44013,,4272,3079,3473,21.5,8606
"Counties",7631,,5949,5768,5863,76.8,21784,,2226,1587,1768,23.2,4694
"Municipalities",8516,,6868,6775,6811,80.0,22229,,2046,1492,1705,20.0,3913
,,,,,,,,,,,,,
"Washington",14137,,10195,9741,9923,70.2,47037,,4472,3922,4214,29.8,14332
"State",2220,,1004,1004,1004,45.2,4426,,1216,1216,1216,54.8,3903
"Local, total",11917,,9191,8737,8919,74.8,42611,,3256,2706,2998,25.2,10429
"Counties",3923,,2888,2858,2860,72.9,13323,,1126,1025,1063,27.1,3970
"Municipalities",7994,,6303,5879,6059,75.8,29288,,2130,1681,1935,24.2,6459
,,,,,,,,,,,,,
"West Virginia",3767,,3038,2941,2965,78.7,7549,,1039,711,802,21.3,1320
"State",1067,,679,679,679,63.6,2239,,394,382,388,36.4,670
"Local, total",2700,,2359,2262,2286,84.7,5310,,645,329,414,15.3,650
"Counties",991,,833,830,834,84.2,1803,,180,129,157,15.8,243
"Municipalities",1709,,1526,1432,1452,85.0,3507,,465,200,257,15.0,407
,,,,,,,,,,,,,
"Wisconsin",15616,,12201,11412,11753,75.3,44147,,5244,3229,3863,24.7,9486
"State",904,,606,606,606,67.0,2002,,317,281,298,33.0,776
"Local, total",14712,,11595,10806,11147,75.8,42144,,4927,2948,3565,24.2,8709
"Counties",3956,,2709,2688,2712,68.6,9893,,1621,1102,1244,31.4,3259
"Municipalities",10756,,8886,8118,8435,78.4,32251,,3306,1846,2321,21.6,5451
,,,,,,,,,,,,,
"Wyoming",1695,,1189,1128,1143,67.4,3458,,644,502,552,32.6,1416
"State",190,,109,109,109,57.4,374,,81,81,81,42.6,228
"Local, total",1505,,1080,1019,1034,68.7,3084,,563,421,471,31.3,1188
"Counties",617,,377,374,375,60.8,1018,,281,218,242,39.2,651
"Municipalities",888,,703,645,659,74.2,2066,,282,203,229,25.8,537
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Notes: March payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection",,,,,,,,,,,,,
"March payrolls on table 6.  Local government data are estimates subject to variability.",,,,,,,,,,,,,
