"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee0006.csv",,,,,,,,,,,,,
"table  6.  Percent distribution of justice system payrolls by State",,,,,,,,,,,,,
"and level of government, March 2000",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"authors:  Steven Smith ",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State",,,,,,,,,,,,,
"and level of government, March 2000",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"         Total justice system",,,"             Police protection",,,"          Judicial and Legal",,,"                Corrections",
,,,,,,,,,,,,,
,"Total",,,"Percent of",,,"Percent of",,,"Percent of",,,"Percent of"
"State and level","March",,"March","total March",,"March","total March",,"March","total March",,"March","total March"
"of government","payrolls/a",,"payrolls","payrolls/b",,"payrolls","payrolls/b",,"payrolls","payrolls/b",,"payrolls","payrolls/b"
,,,,,,,,,,,,,
"State",84838,,9026,10.6,,2909,32.2,,3578,39.6,,2540,28.1
"Local, total",151170,,8434,5.6,,5960,70.7,,1960,23.2,,515,6.1
"Counties",14375,,4339,30.2,,2046,47.2,,1778,41.0,,515,11.9
"Municipalities",20280,,4096,20.2,,3914,95.6,,182,4.4,,0,0.0
,,,,,,,,,,,,,
"Wisconsin",892928,,112037,12.5,,53632,47.9,,20460,18.3,,37945,33.9
"State",230570,,40357,17.5,,2779,6.9,,10139,25.1,,27439,68.0
"Local, total",662358,,71681,10.8,,50854,70.9,,10321,14.4,,10506,14.7
"Counties",128027,,32314,25.2,,13152,40.7,,8656,26.8,,10506,32.5
"Municipalities",134681,,39366,29.2,,37702,95.8,,1665,4.2,,0,0.0
,,,,,,,,,,,,,
"Wyoming",100413,,9136,9.1,,4874,53.3,,1905,20.8,,2357,25.8
"State",28437,,3335,11.7,,602,18.0,,1065,31.9,,1668,50.0
"Local, total",71976,,5801,8.1,,4272,73.6,,840,14.5,,689,11.9
"Counties",12786,,2975,23.3,,1670,56.1,,616,20.7,,689,23.2
"Municipalities",9739,,2826,29.0,,2602,92.1,,224,7.9,,0,0.0
,,,,,,,,,,,,,
"Notes: March payroll data may not sum to total because of rounding.",,,,,,,,,,,,,
"Local government data are estimates subject to variability.",,,,,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts,",,,,,,,,,,,,,
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the",,,,,,,,,,,,,
" ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,
"b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not",,,,,,,,,,,,,
"available.",,,,,,,,,,,,,
