"Bureau of Justice Statistics",,,,,,
"filename:  cjee0019.csv",,,,,,
"table #:  19 Supplemental data for 68 large county governments",,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 202792",,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,
"author:  Lynn Bauer",,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,
"date of version:  12/19/2003",,,,,,
,,,,,,
"Table 19. Supplemental data for 68 large county governments",,,,,,
,,,,,,
,,"Expenditures, fiscal 2000 (thousands of dollars)",,,"Full-time equivalent employment, March 2000",
"Jefferson, KY",1737034,$1927428.00,$1892241.00,$1398379.00,14186,10392
"King, WA",484564,$234704.00,$232319.00,$232319.00,2001,2001
"Lake, IN",9519338,$0.00,$0.00,$0.00,0,0
"Los Angeles, CA",788149,$376234.00,$364590.00,$347971.00,2773,2773
"Macomb, WI",3072149,$1739872.00,$1524378.00,$1524378.00,14998,14998
"Maricopa, AZ",750162,$371328.00,$369573.00,$369573.00,3968,3968
"Middlesex, NJ",940164,$1101449.00,$1101449.00,$916630.00,8066,6676
,,,,,,
"Milwaukee, WI",615301,$496359.00,$470059.00,$469977.00,5113,5113
"Monmouth, NJ",735343,$1183927.00,$957207.00,$932046.00,5934,5742
"Monroe, NY",873341,$3355931.00,$3153912.00,$2854703.00,28752,28136
"Montgomery, MD",559062,$538628.00,$529887.00,$490109.00,4603,4603
"Montgomery, OH",750097,$381598.00,$371598.00,$361660.00,3367,3367
"Montgomery, PA",660486,$557167.00,$533005.00,$532779.00,5228,5228
"Multnomah, OR",1334544,$2614834.00,$2263752.00,$2238846.00,16882,16882
,,,,,,
"Nassau, NY",650308,$88082.00,$88082.00,$62698.00,542,542
"Norfolk, MA",1194156,$752662.00,$730813.00,$702870.00,4282,4282
"Oakland, MI",660448,$116027.00,$116027.00,$113286.00,2337,2337
"Oklahoma, OK",2846289,$2562964.00,$2324965.00,$2177716.00,22497,22497
"Orange, CA",1131184,$1114383.00,$1087996.00,$1007014.00,8493,8136
"Palm Beach, FL",843746,$674294.00,$657460.00,$657460.00,7177,7177
"Pima, AZ",921482,$811758.00,$774234.00,$712098.00,6084,5716
,,,,,,
"Pinellas, FL",801515,$2368374.00,$2199982.00,$2041326.00,26317,25914
"Prince Georges, MD",1545387,$1911919.00,$1710550.00,$1710336.00,15366,15361
"Riverside, CA",1223499,$2217833.00,$2149434.00,$2027385.00,12564,12564
"Sacramento, CA",1016315,$470101.00,$330654.00,$316517.00,4065,4065
"St. Louis, MO",898387,$428163.00,$428163.00,$428163.00,4484,4484
"Salt Lake, UT",1709434,$2282573.00,$2175351.00,$2060209.00,18752,18751
"San Bernadino, CA",2813833,$2655821.00,$2493470.00,$2337829.00,18191,18191
,,,,,,
"San Diego, CA",707161,$808385.00,$798306.00,$741594.00,5848,5848
"San Mateo, CA",1682585,$2438262.00,$2171521.00,$2171521.00,14331,14331
"Santa Clara, CA",897472,$1163233.00,$1030763.00,$1001316.00,12438,12436
"Shelby, TN",1419369,$2065866.00,$1700865.00,$1557696.00,11251,10677
"Suffolk, NY",542899,$361434.00,$358479.00,$350852.00,3826,3795
"Summit, OH",1446219,$691035.00,$687371.00,$687371.00,6810,6810
,,,,,,
"Tarrant, TX",812280,$393225.00,$393225.00,$393225.00,3473,3473
"Travis, TX",522541,$344995.00,$326826.00,$326826.00,3578,3578
"Union, NJ",753197,$984397.00,$924893.00,$841040.00,8265,8217
"Ventura, CA",2061162,$2167389.00,$2052023.00,$1960206.00,6696,6696
"Wayne, MI",923459,$1921106.00,$1690763.00,$1659311.00,6300,6260
"Westchester, NY",1375765,$2487606.00,$2474106.00,$2193294.00,15187,14051
,,,,,,
"Note: Jurisdictions without data did not report for 2000. ",,,,,,
"a/Population data are from the Bureau of the Census, July 1, 2000 Population Estimates for Places and Minor Civil Divisions.",,,,,,
"b/ ""Total general expenditure"" excludes utilities, city-operated liquor stores, and insurance benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and city-operated liquor stores.",,,,,,
