"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0011.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table 11.  Justice system employment and payrolls of State governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Steven Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                     Total justice system",,,,,,"                                                          Police protection",,,,,,"                                                                              Judicial and Legal",,,,,,"                                             Corrections",,,,,,,,,
"Indiana",9675,9585,9610,27397,2849,,1971,1970,1971,5613,2849,,1212,1134,1151,5796,5057,,6492,6481,6488,15989,2463,"Indiana",15963631,5734497,5611739,27309867
"Iowa",7018,6614,6840,23072,3393,,1024,983,995,3689,3731,,2563,2345,2477,8938,3674,,3431,3286,3368,10445,3092,"Iowa",10160404,8615568,3667790,22443762
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Kansas",6831,6577,6681,18182,2738,,1004,984,992,2894,2927,,2222,2011,2095,6155,2993,,3605,3582,3594,9133,2542,"Kansas",9105757,6019417,2880586,18005760
"Kentucky",10690,9677,10388,28739,2831,,2076,2053,2070,6740,3269,,4828,3981,4627,13186,3011,,3786,3643,3691,8813,2388,"Kentucky",8699598,11985826,6710612,27396036
"Louisiana",11252,10785,11134,30002,2710,,1657,1646,1650,5007,3038,,1777,1712,1739,6587,3823,,7818,7427,7745,18408,2380,"Louisiana",17677298,6544952,5001276,29223526
"Maine",2163,2099,2145,6236,2934,,384,382,383,1336,3491,,603,553,592,1987,3480,,1176,1164,1170,2914,2491,"Maine",2899885,1924612,1333377,6157874
"Maryland",18298,17131,18119,59998,3376,,2418,2390,2411,10298,4283,,4176,3617,4067,13497,3460,,11704,11124,11641,36203,3154,"Maryland",35085520,12515214,10236988,57837722
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Massachusetts",22951,22476,22726,84871,3745,,5498,5444,5469,20206,3699,,10410,10062,10228,36783,3608,,7043,6970,7029,27882,3978,"Massachusetts",27730046,36304731,20138934,84173711
"Michigan",23855,23427,23629,89155,3777,,3294,3141,3213,13300,4186,,2045,1991,2013,8575,4276,,18516,18295,18403,67280,3652,"Michigan",66816884,8513433,13149099,88479416
"Minnesota",6826,6311,6723,25648,3852,,949,921,938,3994,4292,,2137,1778,2074,8887,4419,,3740,3612,3711,12767,3460,"Minnesota",12498034,7857572,3952987,24308593
"Mississippi",6078,6055,6070,14274,2353,,1182,1182,1182,3190,2699,,646,646,646,2960,4582,,4250,4227,4242,8124,1916,"Mississippi",8099225,2959699,3190152,14249076
"Missouri",18149,17250,17663,42349,2406,,2251,2246,2247,6610,2942,,4016,3628,3872,11781,3123,,11882,11376,11544,23958,2071,"Missouri",23563088,11329144,6608507,41500739
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Montana",1757,1588,1664,4701,2809,,426,392,404,1159,2892,,241,164,198,853,4299,,1090,1032,1062,2689,2541,"Montana",2622005,705013,1133583,4460601
"Nebraska",3486,3339,3403,9556,2823,,687,678,682,2164,3179,,780,699,729,2454,3417,,2019,1962,1992,4938,2488,"Nebraska",4881603,2388143,2155454,9425200
"Nevada",4527,4433,4462,15794,3521,,859,859,859,2936,3418,,691,661,668,2974,4425,,2977,2913,2935,9885,3347,"Nevada",9750204,2924717,2935857,15610778
"New Hampshire",2618,2548,2587,7938,3081,,438,421,429,1523,3589,,913,912,913,2926,3208,,1267,1215,1245,3489,2811,"New Hampshire",3414904,2925386,1510986,7851276
"New Jersey",26809,26574,26745,108717,4080,,3732,3714,3731,19218,5167,,13584,13395,13529,52096,3872,,9493,9465,9485,37403,3948,"New Jersey",37368592,51870495,19189070,108428157
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"New Mexico",7430,7263,7361,20876,2845,,633,633,633,2219,3506,,2787,2658,2726,8337,3081,,4010,3972,4002,10320,2582,"New Mexico",10256787,8190291,2219374,20666452
"New York",59977,58869,59497,238592,4016,,5735,5584,5659,26697,4756,,18416,17899,18209,84711,4671,,35826,35386,35629,127184,3568,"New York",126266276,83604011,26557326,236427613
"North Carolina",28714,28315,28464,81914,2876,,3363,3343,3361,11413,3404,,6133,5885,5982,19694,3284,,19218,19087,19121,50807,2657,"North Carolina",50719857,19325197,11378676,81423730
"North Dakota",1248,1167,1191,3232,2738,,220,219,220,597,2722,,440,397,406,1363,3399,,588,551,565,1272,2269,"North Dakota",1250087,1349440,596133,3195660
"Ohio",23669,23122,23477,79097,3373,,2601,2587,2597,9524,3675,,2889,2450,2733,10735,4009,,18179,18085,18147,58838,3244,"Ohio",58670708,9822858,9507671,78001237
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Oklahoma",10831,10233,10489,28556,2730,,1805,1781,1790,5123,2867,,2721,2522,2613,8914,3452,,6305,5930,6086,14518,2382,"Oklahoma",14126117,8705909,5106929,27938955
"Oregon",9233,8291,8996,29667,3354,,1496,1317,1423,4955,3542,,3113,2640,3037,9870,3312,,4624,4334,4536,14842,3322,"Oregon",14398781,8743143,4664587,27806511
"Pennsylvania",23344,22877,23239,83568,3614,,5643,5548,5638,22786,4080,,2661,2615,2643,13414,5081,,15040,14714,14958,47367,3177,"Pennsylvania",46748127,13286564,22635484,82670175
"Rhode Island",3285,3258,3266,13218,4043,,308,303,304,1334,4387,,1155,1133,1140,4387,3835,,1822,1822,1822,7498,4115,"Rhode Island",7497581,4344662,1329150,13171393
"South Carolina",13113,13083,13096,32186,2458,,3311,3302,3305,8597,2601,,700,689,695,2693,3892,,9102,9092,9096,20896,2297,"South Carolina",20883210,2681658,8587170,32152038
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"South Dakota",1732,1603,1660,4326,2629,,283,275,278,818,2947,,561,481,515,1571,3127,,888,847,867,1936,2243,"South Dakota",1900240,1503990,810544,4214774
"Tennessee",10155,9988,10073,26918,2673,,1851,1843,1846,5248,2845,,2004,1958,1985,7547,3826,,6300,6187,6242,14123,2257,"Tennessee",13963334,7491310,5243966,26698610
"Texas",56447,56013,56231,138907,2471,,3653,3617,3633,12141,3347,,5095,5004,5054,19428,3852,,47699,47392,47544,107338,2258,"Texas",107031893,19277164,12105492,138414549
"Utah",5682,5029,5326,15960,3038,,808,757,782,2506,3249,,1689,1461,1562,5159,3310,,3185,2811,2982,8295,2840,"Utah",7982633,4835586,2459291,15277510
"Vermont",2175,2009,2088,6972,3363,,560,487,509,2056,4113,,623,548,591,2052,3499,,992,974,988,2864,2911,"Vermont",2835224,1917556,2002929,6755709
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Virginia",22462,21179,21696,59645,2754,,2702,2512,2603,9531,3720,,3719,3227,3419,13161,3912,,16041,15440,15674,36954,2355,"Virginia",36354453,12625117,9345814,58325384
"Washington",12849,10562,11993,41838,3628,,2220,2220,2220,8328,3752,,1824,1605,1695,7570,4524,,8805,6737,8078,25940,3373,"Washington",22724608,7261702,8328490,38314800
"West Virginia",3598,3553,3577,9026,2530,,1073,1061,1067,2909,2734,,1258,1229,1244,3578,2892,,1267,1263,1266,2540,2006,"West Virginia",2533722,3554393,2900382,8988497
"Wisconsin",12819,11536,12303,40357,3290,,923,887,904,2779,3094,,2161,1832,2018,10139,5140,,9735,8817,9381,27439,2926,"Wisconsin",25794938,9415881,2743988,37954807
"Wyoming",1390,1365,1376,3335,2422,,190,190,190,602,3168,,394,374,383,1065,2780,,806,801,803,1668,2078,"Wyoming",1664565,1039858,601920,3306343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: These data are based on a summation of responses from individual state agencies. Some agency data may be",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for a prior reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
