Bureau of Justice Statistics,,,,,,,,
Filename: jeee17t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2017 (thousands),"Personal income, calendar year 2017, amount (millions of dollars)/a","Personal income, calendar year 2017, per capita/a","Expenditures, fiscal 2017 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2017 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2017 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2017, all functions","Full-time equivalent employment, 3/1/2017, general functions only/c"
Idaho,"1,718","72,355","42,116","9,572,077","7,163,281","8,295,245","24,176","23,918"
Illinois,"12,779","689,724","53,973","87,665,115","66,386,086","70,838,682","122,749","122,743"
Indiana,"6,658","301,203","45,239","40,817,154","30,827,721","37,849,165","97,563","97,563"
Iowa,"3,142","149,191","47,483","22,778,289","17,415,602","19,895,521","51,176","51,176"
Kansas,"2,909","142,242","48,897","19,597,921","14,737,791","17,685,094","53,820","53,820"
Kentucky,"4,452","182,605","41,016","34,766,248","29,894,768","30,164,578","84,020","84,020"
Louisiana,"4,671","205,227","43,936","33,768,006","27,352,936","29,120,186","73,179","73,179"
Maine,"1,335","62,174","46,572","9,023,504","7,716,911","7,974,466","20,109","20,099"
Maryland,"6,024","364,576","60,521","45,442,241","35,755,624","39,274,105","85,163","84,476"
Massachusetts,"6,860","468,300","68,265","65,302,582","56,134,715","55,187,007","102,886","96,916"
Michigan,"9,973","461,486","46,274","72,137,610","50,858,606","62,869,544","147,080","147,080"
Minnesota,"5,566","305,795","54,940","47,186,759","33,458,643","41,122,234","83,359","80,376"
Mississippi,"2,989","108,749","36,383","21,860,679","17,023,221","18,827,203","56,096","55,904"
Missouri,"6,107","279,433","45,756","34,122,733","27,779,353","29,330,069","86,498","86,498"
Montana,"1,052","47,718","45,359","7,717,771","6,575,998","6,549,757","20,870","20,839"
Nebraska,"1,916","97,151","50,705","10,611,367","8,154,307","9,850,088","31,655","31,655"
Nevada,"2,970","139,449","46,953","16,219,923","11,430,341","13,565,388","28,909","28,876"
New Hampshire,"1,349","78,822","58,430","8,815,299","7,075,997","7,462,956","18,931","18,282"
New Jersey,"8,886","577,081","64,943","76,870,239","61,820,229","60,351,325","139,123","127,933"
New Mexico,"2,092","82,733","39,547","20,661,361","15,757,597","18,251,984","45,141","45,141"
New York,"19,590","1,286,023","65,647","201,925,619","138,706,475","159,552,496","247,872","230,670"
North Carolina,"10,268","453,769","44,193","58,301,143","44,038,724","51,868,916","142,398","142,398"
North Dakota,755,"39,775","52,682","7,796,137","5,594,604","6,883,758","18,938","18,938"
Ohio,"11,660","544,141","46,667","87,473,142","68,888,192","69,209,401","137,560","137,560"
Oklahoma,"3,931","171,597","43,652","25,164,053","20,655,614","21,435,850","66,128","65,477"
Oregon,"4,144","200,579","48,402","36,849,066","31,180,235","30,795,740","71,614","71,431"
Pennsylvania,"12,788","679,731","53,154","103,965,031","81,465,841","87,795,012","164,285","159,415"
Rhode Island,"1,056","55,338","52,403","9,141,593","7,897,215","7,731,790","18,153","17,358"
South Carolina,"5,021","211,299","42,083","33,561,621","27,038,235","28,260,896","79,834","78,036"
South Dakota,873,"43,275","49,570","5,136,984","4,274,103","4,564,763","14,449","14,449"
Tennessee,"6,709","301,560","44,949","32,687,827","25,056,923","30,032,921","79,525","79,525"
Texas,"28,295","1,357,466","47,975","146,994,434","116,261,611","128,662,206","314,606","314,606"
Utah,"3,101","136,544","44,032","20,580,329","16,814,435","18,434,857","60,529","60,119"
Vermont,624,"32,461","52,021","6,923,136","5,122,387","6,440,197","14,319","14,262"
Virginia,"8,464","468,177","55,314","53,448,449","41,509,269","47,266,430","125,626","123,387"
Washington,"7,423","434,759","58,569","55,822,459","42,415,958","48,289,364","128,573","128,461"
West Virginia,"1,817","70,218","38,645","15,192,283","12,493,185","13,528,145","39,416","39,330"
Wisconsin,"5,790","285,487","49,307","42,358,466","31,108,209","36,847,393","72,751","72,751"
Wyoming,579,"32,639","56,371","6,300,873","4,814,284","5,323,133","13,088","13,053"
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, September 2018.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities and state-operated liquor stores.",,,,,,,,
