Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee17t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2017) and full-time equivalent justice employment per 10,000 population (March 2017) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2017) and full-time equivalent justice employment per 10,000 population (March 2017) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2017,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
Hawaii,"1,424,393",725.41,338.32,226.57,160.52,71.21,28.41,21.97,26.1,16.71
Idaho,"1,717,715",628.36,264.04,122.35,241.96,61.17,24.39,16.49,12.96,23.82
Illinois,"12,778,828",696.31,413.38,118.05,164.88,61.31,32.45,25.83,10.46,18.4
Indiana,"6,658,078",451.16,200.21,91.53,159.42,53.11,23.47,18.18,11.01,18.63
Iowa,"3,141,550",511.78,258.86,114.22,138.7,46.3,22.61,17.4,10,13.69
Kansas,"2,908,718",594.66,296.45,111.92,186.28,65.87,31.13,22.1,13.24,21.51
Kentucky,"4,452,268",494.96,171.24,125.25,198.47,56.03,22.55,17.17,15.24,18.24
Louisiana,"4,670,560",710.54,352.29,146.96,211.29,79.06,37.95,28.39,14.75,26.37
Maine,"1,334,612",511.56,232.56,83.97,195.02,45.32,22.79,17.81,7.95,14.59
Maryland,"6,023,868",924.58,443.08,160.19,321.31,69.28,30.49,22.53,14.13,24.66
Massachusetts,"6,859,789",691.15,325.81,153.64,211.69,60.67,29.61,24.14,13.98,17.08
Michigan,"9,973,114",625.9,255.38,121.48,249.04,48.89,20.76,16.58,10.56,17.57
Minnesota,"5,566,230",683.92,355.79,137.95,190.18,52.85,22.76,16.66,11.85,18.25
Mississippi,"2,988,510",521.71,256.74,91.98,172.99,56.52,31.75,24.47,9.11,15.66
Missouri,"6,106,670",538.37,291.87,91.62,154.88,67.97,30.72,22.73,12.84,24.4
Montana,"1,052,482",750.04,315.75,189.19,245.1,60.08,25.32,17.63,16.3,18.45
Nebraska,"1,915,947",614.99,259.8,98.05,257.13,59.14,26.33,19.7,10.79,22.01
Nevada,"2,969,905",853.79,427.26,166.91,259.61,60.83,27,17.29,14.46,19.38
New Hampshire,"1,348,787",598.35,311.64,119.17,167.54,51.14,28.86,22.03,9.12,13.16
New Jersey,"8,885,525",810.11,400.91,168.56,240.64,77.14,38.98,29.52,21.54,16.62
New Mexico,"2,091,784",835.14,337.55,154.21,343.38,76.28,29.36,22.79,17.37,29.55
New York,"19,589,572","1,080.40",529.94,217.47,332.99,89.54,44.07,38.71,16.14,29.33
North Carolina,"10,268,233",582.91,312.77,80.57,189.57,59.41,27.62,22.52,7.56,24.23
North Dakota,"754,942",757.24,306.67,153.52,297.05,57.42,24.82,21.17,12.46,20.13
Ohio,"11,659,650",656.81,326.94,156.18,173.7,63.6,27.44,20.6,17.04,19.12
Oklahoma,"3,931,316",549.18,266.08,93.22,189.88,56.64,28.87,20.67,10.49,17.27
Oregon,"4,143,625",837.26,331.22,190.06,315.98,54.65,21.64,14.51,11.56,21.45
Pennsylvania,"12,787,641",738.2,302.51,142.89,292.8,64.21,25.85,21.48,13.88,24.47
Rhode Island,"1,055,673",780.28,430.01,151.24,199.03,53.52,27.69,22.16,11.94,13.9
South Carolina,"5,021,268",485.57,261.44,77.88,146.24,60.53,28.35,22.52,10.23,21.96
South Dakota,"872,868",563.83,240.83,108.76,214.25,51.43,23.37,18.55,11.45,16.61
Tennessee,"6,708,799",583.76,295.05,125.43,163.27,61.6,31.81,25.84,11.86,17.93
Texas,"28,295,273",627.97,289.62,112.75,225.59,62.2,27.27,19.83,10.43,24.5
Utah,"3,101,042",539.92,239.64,120.21,180.06,48.55,20.92,14.25,9.95,17.68
Vermont,"624,344",677.14,310.21,140.58,226.36,52.58,23.85,17.27,11.2,17.54
Virginia,"8,463,587",728.16,298.02,120.47,309.66,65.81,25.89,20.85,11.07,28.86
Washington,"7,423,362",674.43,276.98,164.29,233.16,49.2,19.42,13.96,11.56,18.22
West Virginia,"1,817,004",559.3,217.17,147.52,194.61,56.71,21.66,17.54,15.59,19.46
Wisconsin,"5,790,186",699.93,321.66,114.87,263.4,60.12,27.3,21.08,9.78,23.03
Wyoming,"578,931",945.48,385.92,213.34,346.22,83.33,34.15,24.68,16.86,32.32
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,,,
