Bureau of Justice Statistics,,,,,,
Filename: jeee17t19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2017/a,"Expenditures, fiscal 2017 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2017 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2017 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2017, all functions","Full-time equivalent employment, March 2017, general functions only/c"
"Franklin, OH","1,295,706","1,776,294","1,771,938","1,767,539","6,202","6,202"
"Fresno, CA","986,542","1,880,784","1,745,550","1,623,107","8,234","8,234"
"Fulton, GA","1,038,884","927,747","872,154","738,146","4,718","4,680"
"Gwinnet, GA","918,153","1,245,888","1,207,813","962,207","5,185","4,935"
"Hamilton, OH","814,671","1,042,196","943,135","1,042,196","4,851","4,851"
"Harris, TX","4,664,159","5,779,891","5,779,848","5,738,735","27,585","27,566"
"Hennepin, MN","1,248,246","2,867,765","2,859,079","2,843,227","8,088","8,088"
"Hidalgo, TX","858,323","442,132","440,466","442,132","2,229","2,229"
"Hillsborough, FL","1,410,115","2,059,610","2,040,610","1,721,423","9,415","9,034"
"Hudson, NJ","672,922","688,413","642,028","686,039","4,300","4,300"
"Jackson, MO","697,720","312,952","312,952","300,961","1,136","1,136"
"Jefferson, AL","659,546","531,054","531,054","471,526","2,906","2,906"
"Jefferson, CO","575,817","445,700","423,330","445,700","3,190","3,190"
"Johnson, KS","591,284","675,961","599,120","667,813","3,616","3,606"
"Kane, IL","533,156","200,089","200,089","200,089","1,294","1,290"
"Kent, MI","649,231","703,460","703,460","667,197","1,848","1,848"
"Kern, CA","888,988","1,940,294","1,849,258","1,626,542","9,268","9,268"
"King, WA","2,204,229","3,507,429","3,506,218","2,514,827","13,738","9,351"
"Lake, IL","703,006","435,216","435,076","435,216","2,624","2,539"
"Lake, IN","484,766","229,714","229,714","225,383","2,423","2,423"
"Lancaster, PA","541,054","401,826","401,707","388,776","1,827","1,827"
"Lee, FL","739,506","1,008,206","1,003,566","920,016","4,712","4,297"
"Los Angeles, CA","10,118,759","25,888,146","25,527,589","22,615,156","106,327","106,231"
"Macomb, MI","871,976","748,019","739,070","672,646","2,520","2,520"
"Maricopa, AZ","4,329,580","2,147,232","1,892,419","2,147,232","13,537","13,537"
"Mecklenburg, NC","1,077,311","3,001,703","2,929,209","2,858,648","27,736","27,736"
"Middlesex, NJ","827,684","725,418","717,179","725,418","3,983","3,983"
"Milwaukee, WI","950,588","1,579,915","1,579,915","1,144,053","6,665","5,617"
"Monmouth, NJ","622,327","629,643","597,526","629,642","3,692","3,664"
"Monroe, NY","742,436","2,094,571","1,394,800","2,078,245","5,403","5,192"
"Montgomery, MD","1,048,244","8,745,362","7,922,045","7,526,508","37,359","36,508"
"Montgomery, OH","531,669","541,426","513,376","510,347","5,065","4,782"
"Montgomery, PA","824,562","652,506","632,489","610,309","3,358","3,358"
"Multnomah, OR","808,781","1,138,382","1,103,945","1,138,382","5,311","5,311"
"Nassau, NY","1,357,664","4,321,258","4,016,087","4,268,202","12,759","12,759"
"New Castle, DE","556,419","383,972","383,972","345,427","1,676","1,676"
"Norfolk, MA","701,317","92,093","92,093","29,281",214,214
"Oakland, MI","1,256,182","1,319,980","1,277,408","1,187,588","4,056","4,056"
"Ocean, NJ","595,470","569,872","566,011","569,812","3,434","3,302"
"Oklahoma, OK","787,197","121,221","121,221","119,387","1,967","1,967"
"Orange, CA","3,179,950","4,526,294","4,405,407","3,807,951","19,968","19,950"
"Orange, FL","1,352,933","2,035,045","1,970,017","1,947,386","10,842","10,198"
"Palm Beach, FL","1,470,338","2,355,269","2,322,269","2,196,866","10,458","9,917"
"Passaic, NJ","503,694","621,636","590,446","621,599","3,633","3,633"
"Pierce, WA","877,201","679,720","677,903","679,626","3,195","3,094"
"Pima, AZ","1,027,502","943,198","943,198","929,730","6,508","6,441"
"Pinellas, FL","969,305","1,252,425","1,218,922","1,171,941","5,568","5,220"
"Polk, FL","685,830","715,532","715,532","635,589","4,352","4,316"
"Prince Georges, MD","908,801","4,444,628","4,370,330","4,172,715","31,042","30,795"
"Riverside, CA","2,417,224","4,502,910","4,454,219","4,502,309","22,186","22,186"
"Sacramento, CA","1,527,718","3,468,848","3,387,435","2,933,391","12,347","11,925"
"Salt Lake, UT","1,137,820","948,746","924,463","948,746","5,619","5,619"
"San Bernardino, CA","2,153,203","4,357,801","4,174,891","3,854,402","20,542","20,541"
"San Diego, CA","3,325,468","5,099,677","4,789,081","4,449,032","19,820","19,820"
"San Joaquin, CA","742,516","1,651,028","1,598,450","1,445,739","7,467","7,467"
"San Mateo, CA","768,808","1,592,885","1,501,552","1,396,633","5,974","5,962"
"Santa Clara, CA","1,933,383","5,871,566","5,765,399","5,871,566","19,428","19,428"
"Shelby, TN","935,973","2,629,494","2,428,556","2,541,734","21,017","21,017"
"Snohomish, WA","803,039","573,202","567,591","573,202","2,624","2,624"
"St. Louis, MO","996,648","753,096","611,731","564,865","3,969","3,969"
"Stanislaus, CA","545,267","1,163,445","1,100,838","1,039,997","5,006","5,006"
"Suffolk, NY","1,483,571","3,568,388","3,315,684","3,268,446","12,737","12,172"
"Summit, OH","541,742","518,313","518,091","518,313","3,487","3,487"
"Tarrant, TX","2,057,468","1,787,114","1,787,113","1,787,114","12,123","12,123"
"Travis, TX","1,227,771","1,222,383","1,222,383","1,222,383","8,157","8,157"
"Tulsa, OK","646,727","299,469","299,080","280,126","2,195","2,195"
"Union, NJ","555,273","643,432","605,198","643,432","4,691","4,691"
"Utah, UT","606,503","245,718","245,718","245,616","1,437","1,435"
"Ventura, CA","850,802","2,466,592","2,360,734","2,175,150","9,678","9,622"
"Wake, NC","1,071,886","2,775,292","2,660,469","2,690,188","25,152","25,152"
"Washington, OR","591,164","640,509","640,509","640,509","1,888","1,888"
"Wayne, MI","1,756,264","2,018,996","1,788,856","1,951,033","3,534","3,534"
"Westchester, NY","969,279","4,250,963","3,772,510","4,066,265","9,204","9,164"
"Will, IL","691,017","360,113","360,113","360,113","2,186","2,186"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
