Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee17t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2017",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2017",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
Alaska - Total,"52,168","5,792","5,563","5,662",10.9,"2,080","1,962","1,999",35.3,"1,451","1,390","1,418",25,"2,261","2,211","2,245",39.7
Alaska - State,"24,565","4,292","4,146","4,215",17.2,740,699,710,16.8,"1,352","1,295","1,320",31.3,"2,200","2,152","2,185",51.8
"Alaska - Local, total","27,603","1,500","1,417","1,447",5.2,"1,340","1,263","1,289",89.1,99,95,98,6.8,61,59,60,4.1
Alaska - Boroughs,"11,088",156,155,155,1.4,119,119,119,76.8,28,27,27,17.4,9,9,9,5.8
Alaska - Municipalities,"15,871","1,344","1,262","1,292",8.1,"1,221","1,144","1,170",90.6,71,68,71,5.5,52,50,51,3.9
Arizona - Total,"281,312","46,236","45,279","45,759",16.3,"20,125","19,797","19,963",43.6,"11,143","10,647","10,890",23.8,"14,968","14,835","14,906",32.6
Arizona - State,"72,901","13,909","13,786","13,846",19,"2,017","1,981","1,993",14.4,"2,530","2,458","2,501",18.1,"9,362","9,347","9,352",67.5
"Arizona - Local, total","208,411","32,327","31,493","31,913",15.3,"18,108","17,816","17,970",56.3,"8,613","8,189","8,389",26.3,"5,606","5,488","5,554",17.4
Arizona - Counties,"29,982","17,902","17,478","17,713",59.1,"5,669","5,596","5,629",31.8,"6,719","6,481","6,619",37.4,"5,514","5,401","5,465",30.9
Arizona - Municipalities,"44,905","14,425","14,015","14,200",31.6,"12,439","12,220","12,341",86.9,"1,894","1,708","1,770",12.5,92,87,89,0.6
Arkansas - Total,"167,908","21,182","19,471","20,263",12.1,"9,190","8,453","8,726",43.1,"3,631","3,075","3,287",16.2,"8,361","7,943","8,250",40.7
Arkansas - State,"62,066","8,668","8,262","8,572",13.8,"1,218","1,210","1,214",14.2,"1,648","1,505","1,578",18.4,"5,802","5,547","5,780",67.4
"Arkansas - Local, total","105,842","12,514","11,209","11,691",11,"7,972","7,243","7,512",64.3,"1,983","1,570","1,709",14.6,"2,559","2,396","2,470",21.1
California - Total,"1,863,171","244,222","232,473","238,694",12.8,"105,653","98,761","101,925",42.7,"45,585","43,567","44,817",18.8,"92,984","90,145","91,952",38.5
California - State,"424,156","77,326","75,029","76,412",18,"11,762","11,494","11,538",15.1,"6,553","6,120","6,333",8.3,"59,011","57,415","58,541",76.6
"California - Local, total","1,439,015","166,896","157,444","162,282",11.3,"93,891","87,267","90,387",55.7,"39,032","37,447","38,484",23.7,"33,973","32,730","33,411",20.6
California - Counties,"362,165","103,879","99,522","101,965",28.2,"36,453","34,684","35,551",34.9,"35,096","33,658","34,620",34,"32,330","31,180","31,794",31.2
California - Municipalities,"236,368","62,911","57,838","60,219",25.5,"57,332","52,499","54,738",90.9,"3,936","3,789","3,864",6.4,"1,643","1,550","1,617",2.7
Colorado - Total,"298,020","36,660","34,857","35,945",12.1,"16,767","16,005","16,331",45.4,"8,089","7,269","7,888",21.9,"11,804","11,583","11,726",32.6
Colorado - State,"88,537","13,867","13,322","13,884",15.7,"1,274","1,257","1,265",9.1,"5,178","4,696","5,195",37.4,"7,415","7,369","7,424",53.5
"Colorado - Local, total","209,483","22,793","21,535","22,061",10.5,"15,493","14,748","15,066",68.3,"2,911","2,573","2,693",12.2,"4,389","4,214","4,302",19.5
Colorado - Counties,"28,438","9,385","8,833","9,062",31.9,"4,711","4,440","4,542",50.1,"1,436","1,325","1,367",15.1,"3,238","3,068","3,153",34.8
Colorado - Municipalities,"48,236","13,408","12,702","12,999",26.9,"10,782","10,308","10,524",81,"1,475","1,248","1,326",10.2,"1,151","1,146","1,149",8.8
Connecticut - Total,"186,275","22,737","20,623","21,179",11.4,"10,914","9,604","10,061",47.5,"6,065","5,519","5,580",26.3,"5,758","5,500","5,538",26.1
Connecticut - State,"59,109","13,641","12,733","12,859",21.8,"1,994","1,874","1,912",14.9,"5,889","5,359","5,409",42.1,"5,758","5,500","5,538",43.1
"Connecticut - Local, total","127,166","9,096","7,890","8,320",6.5,"8,920","7,730","8,149",97.9,176,160,171,2.1,0,0,0,0
Connecticut - Municipalities,"43,740","4,436","3,930","4,131",9.4,"4,301","3,803","3,998",96.8,135,127,133,3.2,0,0,0,0
Delaware - Total,"49,756","7,634","7,275","7,483",15,"2,843","2,597","2,736",36.6,"1,933","1,869","1,906",25.5,"2,858","2,809","2,841",38
Delaware - State,"25,872","5,800","5,686","5,757",22.3,"1,100","1,086","1,093",19,"1,842","1,791","1,823",31.7,"2,858","2,809","2,841",49.3
"Delaware - Local, total","23,884","1,834","1,589","1,726",7.2,"1,743","1,511","1,643",95.2,91,78,83,4.8,0,0,0,0
Delaware - Counties,"2,475",728,588,680,27.5,652,516,607,89.3,76,72,73,10.7,0,0,0,0
Delaware - Municipalities,"2,973","1,106","1,001","1,046",35.2,"1,091",995,"1,036",99,15,6,10,1,0,0,0,0
District of Columbia - Total,"50,690","8,371","8,349","8,372",16.5,"4,812","4,811","4,812",57.5,"1,993","1,981","1,993",23.8,"1,566","1,557","1,567",18.7
"District of Columbia - Local, total","50,690","8,371","8,349","8,372",16.5,"4,812","4,811","4,812",57.5,"1,993","1,981","1,993",23.8,"1,566","1,557","1,567",18.7
Florida - Total ,"889,950","136,909","130,351","133,274",15,"64,480","59,380","61,575",46.2,"31,789","30,761","31,286",23.5,"40,640","40,210","40,413",30.3
Florida - State,"179,738","48,118","47,003","47,507",26.4,"4,317","4,042","4,147",8.7,"20,045","19,383","19,708",41.5,"23,756","23,578","23,652",49.8
"Florida - Local, total","710,212","88,791","83,348","85,767",12.1,"60,163","55,338","57,428",67,"11,744","11,378","11,578",13.5,"16,884","16,632","16,761",19.5
Florida - Counties,"157,513","60,516","56,995","58,477",37.1,"33,367","30,412","31,598",54,"11,148","10,815","10,992",18.8,"16,001","15,768","15,887",27.2
Florida - Municipalities,"101,324","28,275","26,353","27,290",26.9,"26,796","24,926","25,830",94.7,596,563,586,2.1,883,864,874,3.2
Georgia - Total,"520,349","70,830","65,924","68,113",13.1,"28,491","26,987","27,634",40.6,"15,744","13,468","14,431",21.2,"26,595","25,469","26,048",38.2
Georgia - State,"130,049","22,805","21,892","22,337",17.2,"2,674","2,616","2,646",11.8,"3,593","3,522","3,558",15.9,"16,538","15,754","16,133",72.2
"Georgia - Local, total","390,300","48,025","44,032","45,776",11.7,"25,817","24,371","24,988",54.6,"12,151","9,946","10,873",23.8,"10,057","9,715","9,915",21.7
Georgia - Counties,"66,418","31,104","28,487","29,687",44.7,"12,112","11,562","11,800",39.7,"10,248","8,469","9,264",31.2,"8,744","8,456","8,623",29
Georgia - Municipalities,"48,227","16,921","15,545","16,089",33.4,"13,705","12,809","13,188",82,"1,903","1,477","1,609",10,"1,313","1,259","1,292",8
Hawaii - Total,"76,611","10,305","10,075","10,143",13.2,"4,147","4,024","4,046",39.9,"3,771","3,677","3,717",36.6,"2,387","2,374","2,380",23.5
Hawaii - State,"59,619","5,437","5,354","5,387",9,0,0,0,0,"3,050","2,980","3,007",55.8,"2,387","2,374","2,380",44.2
"Hawaii - Local, total","16,992","4,868","4,721","4,756",28,"4,147","4,024","4,046",85.1,721,697,710,14.9,0,0,0,0
Hawaii - Counties,"6,361","1,600","1,528","1,546",24.3,"1,327","1,260","1,276",82.5,273,268,270,17.5,0,0,0,0
Hawaii - Municipalities,"10,455","3,268","3,193","3,210",30.7,"2,820","2,764","2,770",86.3,448,429,440,13.7,0,0,0,0
Idaho - Total,"84,806","10,980","10,213","10,507",12.4,"4,403","4,090","4,189",39.9,"2,337","2,134","2,226",21.2,"4,240","3,989","4,092",38.9
Idaho - State,"24,176","3,570","3,466","3,507",14.5,532,511,520,14.8,603,550,568,16.2,"2,435","2,405","2,419",69
"Idaho - Local, total","60,630","7,410","6,747","7,000",11.5,"3,871","3,579","3,669",52.4,"1,734","1,584","1,658",23.7,"1,805","1,584","1,673",23.9
Idaho - Counties,"10,266","5,309","4,769","4,976",48.5,"1,904","1,715","1,768",35.5,"1,601","1,470","1,535",30.8,"1,804","1,584","1,673",33.6
Idaho - Municipalities,"8,372","2,101","1,978","2,024",24.2,"1,967","1,864","1,901",93.9,133,114,123,6.1,1,0,0,0
Illinois - Total,"620,832","83,328","75,076","78,347",12.6,"45,833","38,706","41,472",52.9,"13,846","13,025","13,368",17.1,"23,649","23,345","23,507",30
Illinois - State,"122,749","18,971","18,820","18,844",15.4,"3,267","3,146","3,156",16.7,"2,650","2,620","2,634",14,"13,054","13,054","13,054",69.3
"Illinois - Local, total","498,083","64,357","56,256","59,503",11.9,"42,566","35,560","38,316",64.4,"11,196","10,405","10,734",18,"10,595","10,291","10,453",17.6
Illinois - Counties,"51,085","26,640","25,066","25,747",50.4,"5,717","5,052","5,307",20.6,"10,344","9,731","10,000",38.8,"10,579","10,283","10,440",40.5
Illinois - Municipalities,"92,596","37,657","31,183","33,732",36.4,"36,847","30,507","33,005",97.8,794,668,714,2.1,16,8,13,0
Indiana - Total,"333,321","37,772","33,887","35,364",10.6,"17,010","15,067","15,628",44.2,"7,794","6,998","7,333",20.7,"12,968","11,822","12,403",35.1
Indiana - State,"97,563","9,641","9,249","9,407",9.6,"1,831","1,829","1,829",19.4,"1,525","1,460","1,482",15.8,"6,285","5,960","6,096",64.8
"Indiana - Local, total","235,758","28,131","24,638","25,957",11,"15,179","13,238","13,799",53.2,"6,269","5,538","5,851",22.5,"6,683","5,862","6,307",24.3
Indiana - Counties,"46,008","15,096","13,327","14,183",30.8,"4,399","3,944","4,114",29,"4,681","4,183","4,424",31.2,"6,016","5,200","5,645",39.8
Indiana - Municipalities,"45,897","12,919","11,242","11,683",25.5,"10,763","9,287","9,663",82.7,"1,490","1,293","1,358",11.6,666,662,662,5.7
Iowa - Total,"186,475","15,333","13,947","14,544",7.8,"7,622","6,872","7,102",48.8,"3,246","3,004","3,142",21.6,"4,465","4,071","4,300",29.6
Iowa - State,"51,176","5,847","5,596","5,765",11.3,855,846,850,14.7,"2,225","2,138","2,201",38.2,"2,767","2,612","2,714",47.1
"Iowa - Local, total","135,299","9,486","8,351","8,779",6.5,"6,767","6,026","6,252",71.2,"1,021",866,941,10.7,"1,698","1,459","1,586",18.1
Iowa - Counties,"24,563","5,012","4,440","4,708",19.2,"2,392","2,191","2,264",48.1,922,790,858,18.2,"1,698","1,459","1,586",33.7
Iowa - Municipalities,"22,901","4,474","3,911","4,071",17.8,"4,375","3,835","3,988",98,99,76,83,2,0,0,0,0
Kansas - Total,"201,375","20,283","18,644","19,161",9.5,"9,640","8,759","9,055",47.3,"4,255","3,710","3,850",20.1,"6,388","6,175","6,256",32.6
Kansas - State,"53,820","6,536","6,367","6,440",12,"1,094","1,036","1,062",16.5,"2,170","2,075","2,113",32.8,"3,272","3,256","3,265",50.7
"Kansas - Local, total","147,555","13,747","12,277","12,721",8.6,"8,546","7,723","7,993",62.8,"2,085","1,635","1,737",13.7,"3,116","2,919","2,991",23.5
Kansas - Counties,"24,168","6,972","6,449","6,640",27.5,"2,923","2,687","2,764",41.6,"1,218","1,123","1,168",17.6,"2,831","2,639","2,708",40.8
Kansas - Municipalities,"23,780","6,706","5,769","6,021",25.3,"5,570","4,983","5,176",86,851,506,562,9.3,285,280,283,4.7
Kentucky - Total,"242,998","26,164","23,721","24,945",10.3,"10,551","9,615","10,039",40.2,"7,186","6,355","6,784",27.2,"8,427","7,751","8,122",32.6
Kentucky - State,"84,020","11,802","11,590","11,718",13.9,"2,055","2,046","2,049",17.5,"5,632","5,438","5,560",47.4,"4,115","4,106","4,109",35.1
"Kentucky - Local, total","158,978","14,362","12,131","13,227",8.3,"8,496","7,569","7,990",60.4,"1,554",917,"1,224",9.3,"4,312","3,645","4,013",30.3
Kentucky - Counties,"18,183","6,554","4,849","5,719",31.5,"2,198","1,726","1,939",33.9,"1,091",523,813,14.2,"3,265","2,600","2,967",51.9
Kentucky - Municipalities,"26,777","7,808","7,282","7,508",28,"6,298","5,843","6,051",80.6,463,394,411,5.5,"1,047","1,045","1,046",13.9
Louisiana - Total,"255,481","38,571","35,177","36,927",14.5,"18,719","16,800","17,723",48,"7,298","6,615","6,889",18.7,"12,554","11,762","12,315",33.3
Louisiana - State,"73,179","9,300","8,999","9,171",12.5,"1,854","1,746","1,825",19.9,"1,701","1,647","1,663",18.1,"5,745","5,606","5,683",62
"Louisiana - Local, total","182,302","29,271","26,178","27,756",15.2,"16,865","15,054","15,898",57.3,"5,597","4,968","5,226",18.8,"6,809","6,156","6,632",23.9
Louisiana - Parishes,"42,385","15,687","13,979","14,913",35.2,"6,990","6,298","6,615",44.4,"3,599","3,182","3,355",22.5,"5,098","4,499","4,943",33.1
Louisiana - Municipalities,"38,260","13,366","11,984","12,626",33,"9,875","8,756","9,284",73.5,"1,998","1,786","1,870",14.8,"1,493","1,442","1,472",11.7
Maine - Total,"69,476","6,555","5,753","6,049",8.7,"3,349","2,878","3,041",50.3,"1,173",994,"1,061",17.5,"2,033","1,881","1,947",32.2
Maine - State,"20,109","2,735","2,532","2,607",13,550,547,549,21.1,905,789,833,32,"1,280","1,196","1,225",47
"Maine - Local, total","49,367","3,820","3,221","3,442",7,"2,799","2,331","2,492",72.4,268,205,228,6.6,753,685,722,21
Maine - Counties,"1,979","1,545","1,372","1,450",73.3,557,491,514,35.4,235,196,214,14.8,753,685,722,49.8
Maine - Municipalities,"11,837","1,121","1,004","1,044",8.8,"1,112",996,"1,035",99.1,9,8,9,0.9,0,0,0,0
Maryland - Total,"305,393","42,801","39,999","41,732",13.7,"19,100","17,735","18,366",44,"8,772","7,942","8,512",20.4,"14,929","14,322","14,854",35.6
Maryland - State,"85,163","19,037","17,963","18,869",22.2,"2,224","2,224","2,224",11.8,"5,399","4,872","5,291",28,"11,414","10,867","11,354",60.2
"Maryland - Local, total","220,230","23,764","22,036","22,863",10.4,"16,876","15,511","16,142",70.6,"3,373","3,070","3,221",14.1,"3,515","3,455","3,500",15.3
Maryland - Counties,"185,263","17,370","16,106","16,718",9,"11,150","10,238","10,659",63.8,"2,705","2,413","2,559",15.3,"3,515","3,455","3,500",20.9
Maryland - Municipalities,"33,686","6,394","5,930","6,145",18.2,"5,726","5,273","5,483",89.2,668,657,662,10.8,0,0,0,0
Massachusetts - Total,"334,621","44,202","40,490","41,620",12.4,"22,573","19,334","20,310",48.8,"9,815","9,474","9,592",23,"11,814","11,682","11,718",28.2
Massachusetts - State,"102,886","24,127","23,704","23,843",23.2,"2,847","2,817","2,831",11.9,"9,473","9,205","9,294",39,"11,807","11,682","11,718",49.1
"Massachusetts - Local, total","231,735","20,075","16,786","17,777",7.7,"19,726","16,517","17,479",98.3,342,269,298,1.7,7,0,0,0
Massachusetts - Counties,672,11,11,11,1.6,10,10,10,90.9,1,1,1,9.1,0,0,0,0
Massachusetts - Municipalities,"102,177","10,750","9,688","9,966",9.8,"10,485","9,458","9,719",97.5,265,230,247,2.5,0,0,0,0
Michigan - Total,"435,112","51,625","46,441","48,754",11.2,"22,601","19,471","20,705",42.5,"11,172","9,931","10,529",21.6,"17,852","17,039","17,520",35.9
Michigan - State,"147,080","16,721","16,503","16,655",11.3,"2,908","2,884","2,897",17.4,"1,514","1,453","1,493",9,"12,299","12,166","12,265",73.6
"Michigan - Local, total","288,032","34,904","29,938","32,099",11.1,"19,693","16,587","17,808",55.5,"9,658","8,478","9,036",28.2,"5,553","4,873","5,255",16.4
Michigan - Counties,"48,158","18,338","16,380","17,380",36.1,"4,930","4,357","4,613",26.5,"7,909","7,190","7,559",43.5,"5,499","4,833","5,208",30
Michigan - Municipalities,"42,335","14,208","11,778","12,782",30.2,"12,651","10,530","11,359",88.9,"1,510","1,212","1,380",10.8,47,36,43,0.3
Minnesota - Total,"294,930","30,982","27,861","29,419",10,"13,505","12,161","12,667",43.1,"6,987","6,092","6,596",22.4,"10,490","9,608","10,156",34.5
Minnesota - State,"83,359","9,548","8,904","9,355",11.2,984,953,972,10.4,"4,179","3,717","4,004",42.8,"4,385","4,234","4,379",46.8
"Minnesota - Local, total","211,571","21,434","18,957","20,064",9.5,"12,521","11,208","11,695",58.3,"2,808","2,375","2,592",12.9,"6,105","5,374","5,777",28.8
Minnesota - Counties,"39,957","12,863","11,401","12,125",30.3,"4,676","4,223","4,394",36.2,"2,498","2,123","2,334",19.2,"5,689","5,055","5,397",44.5
Minnesota - Municipalities,"33,676","8,071","7,210","7,500",22.3,"7,798","6,958","7,242",96.6,273,252,258,3.4,0,0,0,0
Mississippi - Total,"188,739","18,426","15,935","16,892",8.9,"10,385","8,867","9,488",56.2,"3,188","2,535","2,724",16.1,"4,853","4,533","4,680",27.7
Mississippi - State,"56,096","4,152","4,137","4,150",7.4,"1,212","1,210","1,212",29.2,465,465,465,11.2,"2,475","2,462","2,473",59.6
"Mississippi - Local, total","132,643","14,274","11,798","12,742",9.6,"9,173","7,657","8,276",65,"2,723","2,070","2,259",17.7,"2,378","2,071","2,207",17.3
Mississippi - Counties,"27,926","7,477","6,284","6,763",24.2,"3,277","2,755","2,969",43.9,"1,874","1,508","1,638",24.2,"2,326","2,021","2,156",31.9
Mississippi - Municipalities,"24,731","6,797","5,514","5,975",24.2,"5,896","4,902","5,303",88.8,849,562,621,10.4,52,50,51,0.9
Missouri - Total,"319,357","43,499","40,225","41,505",13,"19,571","18,190","18,758",45.2,"8,767","7,317","7,844",18.9,"15,161","14,718","14,903",35.9
Missouri - State,"86,498","18,842","18,225","18,536",21.4,"2,573","2,434","2,498",13.5,"4,304","3,947","4,145",22.4,"11,965","11,844","11,893",64.2
"Missouri - Local, total","232,859","24,657","22,000","22,969",9.9,"16,998","15,756","16,260",70.8,"4,463","3,370","3,699",16.1,"3,196","2,874","3,010",13.1
Missouri - Counties,"22,641","10,032","9,082","9,516",42,"4,969","4,646","4,789",50.3,"2,482","2,149","2,322",24.4,"2,581","2,287","2,405",25.3
Missouri - Municipalities,"44,835","14,612","12,918","13,453",30,"12,029","11,110","11,471",85.3,"1,968","1,221","1,377",10.2,615,587,605,4.5
Montana - Total,"57,034","6,655","6,002","6,323",11.1,"2,774","2,583","2,665",42.1,"1,888","1,568","1,716",27.1,"1,993","1,851","1,942",30.7
Montana - State,"20,870","2,574","2,380","2,507",12,505,497,502,20,820,732,785,31.3,"1,249","1,151","1,220",48.7
"Montana - Local, total","36,164","4,081","3,622","3,816",10.6,"2,269","2,086","2,163",56.7,"1,068",836,931,24.4,744,700,722,18.9
Montana - Counties,"6,963","2,604","2,336","2,462",35.4,"1,100",990,"1,032",41.9,769,654,716,29.1,735,692,714,29
Montana - Municipalities,"5,000","1,477","1,286","1,354",27.1,"1,169","1,096","1,131",83.5,299,182,215,15.9,9,8,8,0.6
Nebraska - Total,"121,615","11,785","10,962","11,330",9.3,"5,296","4,860","5,045",44.5,"2,183","1,959","2,068",18.3,"4,306","4,143","4,217",37.2
Nebraska - State,"31,655","4,334","4,237","4,274",13.5,759,733,744,17.4,792,774,780,18.2,"2,783","2,730","2,750",64.3
"Nebraska - Local, total","89,960","7,451","6,725","7,056",7.8,"4,537","4,127","4,301",61,"1,391","1,185","1,288",18.3,"1,523","1,413","1,467",20.8
Nebraska - Counties,"14,337","4,378","3,940","4,157",29,"1,582","1,428","1,494",35.9,"1,273","1,099","1,196",28.8,"1,523","1,413","1,467",35.3
Nebraska - Municipalities,"12,881","3,057","2,777","2,890",22.4,"2,944","2,691","2,798",96.8,113,86,92,3.2,0,0,0,0
Nevada - Total,"115,261","18,541","17,800","18,067",15.7,"8,226","7,925","8,019",44.4,"4,484","4,160","4,293",23.8,"5,831","5,715","5,755",31.9
Nevada - State,"28,909","5,340","5,295","5,305",18.4,868,865,866,16.3,695,685,686,12.9,"3,777","3,745","3,753",70.7
"Nevada - Local, total","86,352","13,201","12,505","12,762",14.8,"7,358","7,060","7,153",56,"3,789","3,475","3,607",28.3,"2,054","1,970","2,002",15.7
Nevada - Counties,"25,202","10,265","9,684","9,886",39.2,"5,585","5,354","5,414",54.8,"3,157","2,884","2,997",30.3,"1,523","1,446","1,475",14.9
Nevada - Municipalities,"9,621","2,936","2,821","2,876",29.9,"1,773","1,706","1,739",60.5,632,591,610,21.2,531,524,527,18.3
New Hampshire - Total,"71,150","7,692","6,256","6,898",9.7,"4,446","3,547","3,893",56.4,"1,406","1,001","1,230",17.8,"1,840","1,708","1,775",25.7
New Hampshire - State,"18,931","2,545","2,195","2,397",12.7,533,484,509,21.2,950,717,856,35.7,"1,062",994,"1,032",43.1
"New Hampshire - Local, total","52,219","5,147","4,061","4,501",8.6,"3,913","3,063","3,384",75.2,456,284,374,8.3,778,714,743,16.5
New Hampshire - Counties,"3,944","1,478","1,163","1,314",33.3,334,232,277,21.1,366,217,294,22.4,778,714,743,56.5
New Hampshire - Municipalities,"11,154","1,299","1,149","1,208",10.8,"1,250","1,106","1,160",96,49,43,48,4,0,0,0,0
New Jersey - Total,"477,041","75,004","64,672","68,546",14.4,"39,726","31,432","34,635",50.5,"20,425","18,562","19,141",27.9,"14,853","14,678","14,770",21.5
New Jersey - State,"139,123","25,601","25,340","25,456",18.3,"4,023","3,952","3,979",15.6,"12,874","12,709","12,789",50.2,"8,704","8,679","8,688",34.1
"New Jersey - Local, total","337,918","49,403","39,332","43,090",12.8,"35,703","27,480","30,656",71.1,"7,551","5,853","6,352",14.7,"6,149","5,999","6,082",14.1
New Jersey - Counties,"60,439","14,496","13,974","14,236",23.6,"4,559","4,270","4,396",30.9,"3,842","3,712","3,788",26.6,"6,095","5,992","6,052",42.5
New Jersey - Municipalities,"55,358","20,498","14,202","16,446",29.7,"18,160","12,924","14,895",90.6,"2,305","1,278","1,534",9.3,33,0,17,0.1
New Mexico - Total,"123,339","16,278","15,679","15,957",12.9,"6,344","5,994","6,141",38.5,"3,734","3,565","3,634",22.8,"6,200","6,120","6,182",38.7
New Mexico - State,"45,141","7,686","7,592","7,642",16.9,629,629,629,8.2,"3,221","3,155","3,187",41.7,"3,836","3,808","3,826",50.1
"New Mexico - Local, total","78,198","8,592","8,087","8,315",10.6,"5,715","5,365","5,512",66.3,513,410,447,5.4,"2,364","2,312","2,356",28.3
New Mexico - Counties,"10,480","4,160","4,043","4,112",39.2,"1,660","1,610","1,632",39.7,160,135,147,3.6,"2,340","2,298","2,333",56.7
New Mexico - Municipalities,"17,843","4,432","4,044","4,203",23.6,"4,055","3,755","3,880",92.3,353,275,300,7.1,24,14,23,0.5
New York - Total,"1,196,632","183,566","168,705","175,402",14.7,"91,307","81,814","86,340",49.2,"34,375","30,054","31,609",18,"57,884","56,837","57,453",32.8
New York - State,"247,872","57,459","56,717","57,224",23.1,"6,251","6,118","6,196",10.8,"18,956","18,574","18,823",32.9,"32,252","32,025","32,205",56.3
"New York - Local, total","948,760","126,107","111,988","118,178",12.5,"85,056","75,696","80,144",67.8,"15,419","11,480","12,786",10.8,"25,632","24,812","25,248",21.4
New York - Counties,"103,693","28,760","25,717","27,301",26.3,"12,299","10,434","11,403",41.8,"4,230","3,715","3,990",14.6,"12,231","11,568","11,908",43.6
New York - Municipalities,"493,558","88,143","81,186","84,444",17.1,"67,118","61,266","64,091",75.9,"7,634","6,678","7,017",8.3,"13,391","13,242","13,336",15.8
North Carolina - Total,"559,758","62,847","59,915","61,000",10.9,"29,460","27,517","28,358",46.5,"8,316","7,677","7,767",12.7,"25,071","24,721","24,875",40.8
