Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee15fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"Arizona - Local, total","206,781","32,097","31,247","31,666",15.3,"17,737","17,494","17,612",55.6,"8,834","8,385","8,608",27.2,"5,526","5,368","5,446",17.2
Arizona - Counties,"32,355","18,506","17,958","18,247",56.4,"5,840","5,786","5,814",31.9,"7,232","6,892","7,077",38.8,"5,434","5,280","5,356",29.4
Arizona - Municipalities,"43,997","13,591","13,289","13,419",30.5,"11,897","11,708","11,798",87.9,"1,602","1,493","1,531",11.4,92,88,90,0.7
Arkansas - Total,"170,901","20,803","19,344","19,879",11.6,"9,171","8,456","8,704",43.8,"3,492","2,919","3,125",15.7,"8,140","7,969","8,050",40.5
Arkansas - State,"63,297","8,174","8,010","8,093",12.8,"1,236","1,221","1,229",15.2,"1,436","1,294","1,365",16.9,"5,502","5,495","5,499",67.9
"Arkansas - Local, total","107,604","12,629","11,334","11,786",11,"7,935","7,235","7,475",63.4,"2,056","1,625","1,760",14.9,"2,638","2,474","2,551",21.6
Arkansas - Counties,"13,237","6,543","5,667","5,940",44.9,"2,557","2,174","2,272",38.2,"1,417","1,088","1,186",20,"2,569","2,405","2,482",41.8
Arkansas - Municipalities,"20,497","6,086","5,667","5,846",28.5,"5,378","5,061","5,203",89,639,537,574,9.8,69,69,69,1.2
California - Total,"1,776,205","236,990","225,086","231,312",13,"103,483","96,871","99,945",43.2,"45,045","42,937","44,057",19,"88,462","85,278","87,310",37.7
California - State,"404,882","73,638","71,099","72,665",17.9,"11,470","11,221","11,257",15.5,"6,486","6,020","6,248",8.6,"55,682","53,858","55,160",75.9
"California - Local, total","1,371,323","163,352","153,987","158,647",11.6,"92,013","85,650","88,688",55.9,"38,559","36,917","37,809",23.8,"32,780","31,420","32,150",20.3
California - Counties,"384,790","107,489","102,573","105,309",27.4,"41,441","39,288","40,547",38.5,"34,877","33,375","34,188",32.5,"31,171","29,910","30,574",29
California - Municipalities,"221,159","55,863","51,414","53,338",24.1,"50,572","46,362","48,141",90.3,"3,682","3,542","3,621",6.8,"1,609","1,510","1,576",3
Colorado - Total,"287,057","34,808","33,065","33,957",11.8,"15,629","14,950","15,235",44.9,"7,997","7,134","7,625",22.5,"11,182","10,981","11,097",32.7
Colorado - State,"84,828","13,634","13,056","13,478",15.9,"1,272","1,255","1,263",9.4,"5,113","4,605","4,974",36.9,"7,249","7,196","7,241",53.7
"Colorado - Local, total","202,229","21,174","20,009","20,479",10.1,"14,357","13,695","13,972",68.2,"2,884","2,529","2,651",12.9,"3,933","3,785","3,856",18.8
Colorado - Counties,"28,601","9,302","8,787","8,981",31.4,"4,801","4,558","4,636",51.6,"1,515","1,388","1,436",16,"2,986","2,841","2,909",32.4
Colorado - Municipalities,"46,977","11,872","11,222","11,498",24.5,"9,556","9,137","9,336",81.2,"1,369","1,141","1,215",10.6,947,944,947,8.2
Connecticut - Total,"190,948","23,277","21,460","21,965",11.5,"10,910","9,522","9,901",45.1,"6,563","6,196","6,291",28.6,"5,804","5,742","5,773",26.3
Connecticut - State,"62,848","14,315","13,672","13,819",22,"2,126","1,887","1,921",13.9,"6,385","6,043","6,125",44.3,"5,804","5,742","5,773",41.8
"Connecticut - Local, total","128,100","8,962","7,788","8,146",6.4,"8,784","7,635","7,980",98,178,153,166,2,0,0,0,0
Connecticut - Municipalities,"57,276","5,071","4,523","4,727",8.3,"4,939","4,404","4,600",97.3,132,119,127,2.7,0,0,0,0
Delaware - Total,"49,332","7,558","7,267","7,443",15.1,"2,688","2,503","2,611",35.1,"1,938","1,878","1,915",25.7,"2,932","2,886","2,917",39.2
Delaware - State,"26,052","5,862","5,752","5,824",22.4,"1,106","1,091","1,100",18.9,"1,824","1,775","1,807",31,"2,932","2,886","2,917",50.1
"Delaware - Local, total","23,280","1,696","1,515","1,619",7,"1,582","1,412","1,511",93.3,114,103,108,6.7,0,0,0,0
Delaware - Counties,"2,606",653,510,596,22.9,576,439,523,87.8,77,71,73,12.2,0,0,0,0
Delaware - Municipalities,"2,807","1,044","1,005","1,023",36.4,"1,006",973,988,96.6,38,32,35,3.4,0,0,0,0
District of Columbia - Total,"47,383","7,850","7,810","7,854",16.6,"4,477","4,476","4,477",57,"2,021","2,007","2,020",25.7,"1,352","1,327","1,357",17.3
"District of Columbia - Local, total","47,383","7,850","7,810","7,854",16.6,"4,477","4,476","4,477",57,"2,021","2,007","2,020",25.7,"1,352","1,327","1,357",17.3
District of Columbia - Municipality,"35,313","7,850","7,810","7,854",22.2,"4,477","4,476","4,477",57,"2,021","2,007","2,020",25.7,"1,352","1,327","1,357",17.3
Florida - Total ,"876,261","137,339","130,260","133,266",15.2,"65,046","59,667","61,851",46.4,"31,867","30,669","31,287",23.5,"40,426","39,924","40,128",30.1
Florida - State,"177,827","47,990","46,617","47,191",26.5,"4,380","4,020","4,137",8.8,"19,973","19,218","19,594",41.5,"23,637","23,379","23,460",49.7
"Florida - Local, total","698,434","89,349","83,643","86,075",12.3,"60,666","55,647","57,714",67.1,"11,894","11,451","11,693",13.6,"16,789","16,545","16,668",19.4
Florida - Counties,"171,919","64,388","60,389","61,998",36.1,"37,071","33,736","35,005",56.5,"11,358","10,938","11,156",18,"15,959","15,715","15,837",25.5
Florida - Municipalities,"91,501","24,961","23,254","24,077",26.3,"23,595","21,911","22,709",94.3,536,513,537,2.2,830,830,831,3.5
Georgia - Total,"504,748","71,785","66,883","68,795",13.6,"29,244","27,537","28,226",41,"15,446","13,295","14,110",20.5,"27,095","26,051","26,459",38.5
Georgia - State,"125,791","23,510","22,641","22,968",18.3,"2,870","2,811","2,846",12.4,"3,727","3,642","3,672",16,"16,913","16,188","16,450",71.6
"Georgia - Local, total","378,957","48,275","44,242","45,827",12.1,"26,374","24,726","25,380",55.4,"11,719","9,653","10,438",22.8,"10,182","9,863","10,009",21.8
Georgia - Counties,"65,567","30,782","28,032","29,119",44.4,"12,216","11,410","11,706",40.2,"9,917","8,271","8,927",30.7,"8,649","8,351","8,486",29.1
Georgia - Municipalities,"49,321","17,493","16,210","16,708",33.9,"14,158","13,316","13,674",81.8,"1,802","1,382","1,511",9,"1,533","1,512","1,523",9.1
Hawaii - Total,"75,016","9,941","9,701","9,760",13,"4,167","4,007","4,035",41.3,"3,220","3,149","3,177",32.6,"2,554","2,545","2,548",26.1
Hawaii - State,"58,415","5,119","5,051","5,075",8.7,0,0,0,0,"2,565","2,506","2,527",49.8,"2,554","2,545","2,548",50.2
"Hawaii - Local, total","16,601","4,822","4,650","4,685",28.2,"4,167","4,007","4,035",86.1,655,643,650,13.9,0,0,0,0
Hawaii - Counties,"6,144","1,552","1,473","1,493",24.3,"1,305","1,230","1,248",83.6,247,243,245,16.4,0,0,0,0
Hawaii - Municipalities,"10,268","3,270","3,177","3,192",31.1,"2,862","2,777","2,787",87.3,408,400,405,12.7,0,0,0,0
Idaho - Total,"80,470","10,768","10,019","10,313",12.8,"4,216","3,928","4,019",39,"2,320","2,113","2,204",21.4,"4,232","3,978","4,090",39.7
Idaho - State,"23,583","3,470","3,370","3,416",14.5,503,483,492,14.4,567,516,534,15.6,"2,400","2,371","2,390",70
"Idaho - Local, total","56,887","7,298","6,649","6,897",12.1,"3,713","3,445","3,527",51.1,"1,753","1,597","1,670",24.2,"1,832","1,607","1,700",24.6
Idaho - Counties,"9,380","5,013","4,497","4,706",50.2,"1,578","1,426","1,474",31.3,"1,604","1,464","1,532",32.6,"1,831","1,607","1,700",36.1
Idaho - Municipalities,"9,020","2,285","2,152","2,191",24.3,"2,135","2,019","2,053",93.7,149,133,138,6.3,1,0,0,0
Illinois - Total,"628,737","82,395","74,255","77,305",12.3,"45,616","38,590","41,164",53.2,"13,981","13,165","13,499",17.5,"22,798","22,500","22,642",29.3
Illinois - State,"125,501","18,058","18,004","18,034",14.4,"3,191","3,165","3,176",17.6,"2,583","2,555","2,574",14.3,"12,284","12,284","12,284",68.1
"Illinois - Local, total","503,236","64,337","56,251","59,271",11.8,"42,425","35,425","37,988",64.1,"11,398","10,610","10,925",18.4,"10,514","10,216","10,358",17.5
Illinois - Counties,"54,952","26,885","24,930","25,644",46.7,"5,782","4,815","5,100",19.9,"10,589","9,899","10,186",39.7,"10,514","10,216","10,358",40.4
Illinois - Municipalities,"104,653","37,452","31,321","33,627",32.1,"36,643","30,610","32,888",97.8,809,711,739,2.2,0,0,0,0
Indiana - Total,"320,414","38,037","34,225","35,695",11.1,"16,862","14,944","15,553",43.6,"8,454","7,400","7,829",21.9,"12,721","11,881","12,313",34.5
Indiana - State,"88,229","9,314","9,240","9,268",10.5,"1,839","1,839","1,839",19.8,"1,498","1,434","1,458",15.7,"5,977","5,967","5,971",64.4
"Indiana - Local, total","232,185","28,723","24,985","26,427",11.4,"15,023","13,105","13,714",51.9,"6,956","5,966","6,371",24.1,"6,744","5,914","6,342",24
Indiana - Counties,"43,649","14,185","12,007","12,891",29.5,"3,793","3,149","3,322",25.8,"4,719","4,001","4,294",33.3,"5,673","4,857","5,275",40.9
Indiana - Municipalities,"51,063","14,514","12,955","13,511",26.5,"11,230","9,956","10,392",76.9,"2,213","1,942","2,052",15.2,"1,071","1,057","1,067",7.9
Iowa - Total,"182,381","15,690","14,127","14,772",8.1,"7,732","6,872","7,131",48.3,"3,295","3,071","3,191",21.6,"4,663","4,184","4,450",30.1
Iowa - State,"50,255","6,185","5,914","6,094",12.1,954,936,941,15.4,"2,315","2,227","2,287",37.5,"2,916","2,751","2,866",47
"Iowa - Local, total","132,126","9,505","8,213","8,678",6.6,"6,778","5,936","6,190",71.3,980,844,904,10.4,"1,747","1,433","1,584",18.3
Iowa - Counties,"22,957","4,746","4,066","4,347",18.9,"2,120","1,884","1,959",45.1,880,749,805,18.5,"1,746","1,433","1,583",36.4
Iowa - Municipalities,"23,365","4,759","4,147","4,331",18.5,"4,658","4,052","4,231",97.7,100,95,99,2.3,1,0,1,0
Kansas - Total,"196,098","20,099","18,399","18,951",9.7,"9,414","8,580","8,874",46.8,"4,209","3,596","3,765",19.9,"6,476","6,223","6,312",33.3
Kansas - State,"51,540","6,645","6,453","6,536",12.7,"1,049",983,"1,014",15.5,"2,162","2,050","2,095",32.1,"3,434","3,420","3,427",52.4
"Kansas - Local, total","144,558","13,454","11,946","12,415",8.6,"8,365","7,597","7,860",63.3,"2,047","1,546","1,670",13.5,"3,042","2,803","2,885",23.2
Kansas - Counties,"21,898","6,341","5,699","5,907",27,"2,418","2,206","2,281",38.6,"1,168",968,"1,024",17.3,"2,755","2,525","2,602",44
Kansas - Municipalities,"25,943","7,106","6,241","6,502",25.1,"5,943","5,387","5,574",85.7,876,576,645,9.9,287,278,283,4.4
Kentucky - Total,"245,976","25,885","23,553","24,727",10.1,"10,101","9,248","9,628",38.9,"7,420","6,522","7,005",28.3,"8,364","7,783","8,094",32.7
Kentucky - State,"85,091","11,977","11,773","11,889",14,"2,078","2,074","2,076",17.5,"5,657","5,467","5,577",46.9,"4,242","4,232","4,236",35.6
"Kentucky - Local, total","160,885","13,908","11,780","12,838",8,"8,023","7,174","7,552",58.8,"1,763","1,055","1,428",11.1,"4,122","3,551","3,858",30.1
Kentucky - Counties,"14,993","4,993","3,627","4,246",28.3,"1,525","1,268","1,364",32.1,913,369,614,14.5,"2,555","1,990","2,268",53.4
Kentucky - Municipalities,"31,346","8,915","8,153","8,592",27.4,"6,498","5,906","6,188",72,850,686,814,9.5,"1,567","1,561","1,590",18.5
Louisiana - Total,"259,310","38,701","35,139","36,867",14.2,"18,193","16,282","17,161",46.5,"7,832","6,849","7,235",19.6,"12,676","12,008","12,471",33.8
Louisiana - State,"75,267","9,281","9,070","9,186",12.2,"1,734","1,676","1,717",18.7,"1,692","1,643","1,658",18,"5,855","5,751","5,811",63.3
"Louisiana - Local, total","184,043","29,420","26,069","27,681",15,"16,459","14,606","15,444",55.8,"6,140","5,206","5,577",20.1,"6,821","6,257","6,660",24.1
Louisiana - Parishes,"45,148","16,724","14,684","15,565",34.5,"8,124","6,975","7,402",47.6,"3,857","3,396","3,545",22.8,"4,743","4,313","4,618",29.7
Louisiana - Municipalities,"35,154","12,419","11,123","11,843",33.7,"8,335","7,631","8,042",67.9,"2,283","1,810","2,032",17.2,"1,801","1,682","1,769",14.9
Maine - Total,"70,337","6,290","5,388","5,794",8.2,"3,247","2,738","2,923",50.4,"1,062",863,965,16.7,"1,981","1,787","1,906",32.9
Maine - State,"21,004","2,532","2,314","2,459",11.7,537,537,537,21.8,795,672,747,30.4,"1,200","1,105","1,175",47.8
"Maine - Local, total","49,333","3,758","3,074","3,335",6.8,"2,710","2,201","2,386",71.5,267,191,218,6.5,781,682,731,21.9
Maine - Counties,"1,761","1,394","1,156","1,253",71.2,379,307,332,26.5,234,167,190,15.2,781,682,731,58.3
Maine - Municipalities,"17,465","1,323","1,178","1,248",7.1,"1,310","1,167","1,235",99,13,11,13,1,0,0,0,0
Maryland - Total,"304,466","44,708","41,809","43,639",14.3,"19,690","18,201","18,923",43.4,"8,655","7,847","8,460",19.4,"16,363","15,761","16,256",37.3
Maryland - State,"87,404","20,223","19,215","20,054",22.9,"2,296","2,296","2,296",11.4,"5,251","4,771","5,167",25.8,"12,676","12,148","12,591",62.8
"Maryland - Local, total","217,062","24,485","22,594","23,585",10.9,"17,394","15,905","16,627",70.5,"3,404","3,076","3,293",14,"3,687","3,613","3,665",15.5
Maryland - Counties,"184,189","18,576","17,157","17,906",9.7,"12,181","11,154","11,639",65,"2,708","2,390","2,602",14.5,"3,687","3,613","3,665",20.5
Maryland - Municipalities,"31,624","5,909","5,437","5,679",18,"5,213","4,751","4,988",87.8,696,686,691,12.2,0,0,0,0
Massachusetts - Total,"338,013","44,317","41,068","42,174",12.5,"22,035","19,280","20,214",47.9,"9,726","9,343","9,479",22.5,"12,556","12,445","12,481",29.6
Massachusetts - State,"102,222","24,850","24,392","24,554",24,"2,888","2,855","2,871",11.7,"9,407","9,092","9,202",37.5,"12,555","12,445","12,481",50.8
"Massachusetts - Local, total","235,791","19,467","16,676","17,620",7.5,"19,147","16,425","17,343",98.4,319,251,277,1.6,1,0,0,0
Massachusetts - Counties,"1,323",16,16,17,1.3,15,15,16,94.1,1,1,1,5.9,0,0,0,0
Massachusetts - Municipalities,"164,122","15,560","13,593","14,315",8.7,"15,250","13,348","14,045",98.1,310,245,270,1.9,0,0,0,0
Michigan - Total,"436,674","52,310","46,775","49,213",11.3,"22,927","19,444","20,769",42.2,"11,205","10,104","10,652",21.6,"18,178","17,227","17,792",36.2
Michigan - State,"142,292","16,684","16,425","16,610",11.7,"2,783","2,753","2,767",16.7,"1,489","1,428","1,465",8.8,"12,412","12,244","12,378",74.5
"Michigan - Local, total","294,382","35,626","30,350","32,603",11.1,"20,144","16,691","18,002",55.2,"9,716","8,676","9,187",28.2,"5,766","4,983","5,414",16.6
Michigan - Counties,"51,462","18,927","16,387","17,484",34,"5,604","4,477","4,834",27.6,"7,621","6,966","7,287",41.7,"5,702","4,944","5,363",30.7
Michigan - Municipalities,"51,440","15,079","12,672","13,712",26.7,"13,054","11,006","11,863",86.5,"1,966","1,630","1,802",13.1,59,36,47,0.3
Minnesota - Total,"285,013","29,624","26,480","28,146",9.9,"13,040","11,628","12,181",43.3,"6,565","5,678","6,252",22.2,"10,019","9,174","9,713",34.5
Minnesota - State,"82,277","9,110","8,470","8,968",10.9,948,920,937,10.4,"3,932","3,468","3,812",42.5,"4,230","4,082","4,219",47
"Minnesota - Local, total","202,736","20,514","18,010","19,178",9.5,"12,092","10,708","11,244",58.6,"2,633","2,210","2,440",12.7,"5,789","5,092","5,494",28.6
Minnesota - Counties,"35,825","10,970","9,596","10,253",28.6,"3,425","2,993","3,138",30.6,"2,326","1,918","2,139",20.9,"5,219","4,685","4,976",48.5
Minnesota - Municipalities,"37,373","8,910","7,981","8,377",22.4,"8,603","7,689","8,076",96.4,307,292,301,3.6,0,0,0,0
Mississippi - Total,"190,587","18,876","16,554","17,406",9.1,"10,416","9,030","9,576",55,"3,070","2,432","2,617",15,"5,390","5,092","5,213",29.9
Mississippi - State,"56,711","4,669","4,654","4,665",8.2,"1,228","1,227","1,227",26.3,453,453,453,9.7,"2,988","2,974","2,985",64
"Mississippi - Local, total","133,876","14,207","11,900","12,741",9.5,"9,188","7,803","8,349",65.5,"2,617","1,979","2,164",17,"2,402","2,118","2,228",17.5
Mississippi - Counties,"27,260","7,961","6,466","6,967",25.6,"3,720","3,006","3,257",46.7,"1,924","1,422","1,563",22.4,"2,317","2,038","2,147",30.8
Mississippi - Municipalities,"25,014","6,246","5,434","5,774",23.1,"5,468","4,797","5,092",88.2,693,557,601,10.4,85,80,81,1.4
Missouri - Total,"316,196","43,830","40,596","41,803",13.2,"19,640","18,071","18,627",44.6,"8,700","7,466","7,952",19,"15,490","15,059","15,224",36.4
Missouri - State,"87,578","19,170","18,567","18,864",21.5,"2,543","2,415","2,473",13.1,"4,340","3,993","4,184",22.2,"12,287","12,159","12,207",64.7
"Missouri - Local, total","228,618","24,660","22,029","22,939",10,"17,097","15,656","16,154",70.4,"4,360","3,473","3,768",16.4,"3,203","2,900","3,017",13.2
Missouri - Counties,"20,578","9,003","7,801","8,175",39.7,"3,972","3,520","3,642",44.6,"2,548","2,066","2,228",27.3,"2,483","2,215","2,305",28.2
Missouri - Municipalities,"50,887","15,657","14,228","14,764",29,"13,125","12,136","12,512",84.7,"1,812","1,407","1,540",10.4,720,685,712,4.8
Montana - Total,"57,215","6,526","5,835","6,167",10.8,"2,720","2,500","2,586",41.9,"1,824","1,494","1,650",26.8,"1,982","1,841","1,931",31.3
Montana - State,"20,877","2,566","2,378","2,491",11.9,514,491,503,20.2,770,695,738,29.6,"1,282","1,192","1,250",50.2
"Montana - Local, total","36,338","3,960","3,457","3,676",10.1,"2,206","2,009","2,083",56.7,"1,054",799,912,24.8,700,649,681,18.5
Montana - Counties,"6,993","2,483","2,174","2,315",33.1,"1,004",910,940,40.6,788,623,703,30.4,691,641,672,29
Montana - Municipalities,"5,288","1,477","1,283","1,361",25.7,"1,202","1,099","1,143",84,266,176,209,15.4,9,8,9,0.7
Nebraska - Total,"118,398","11,944","11,079","11,457",9.7,"5,191","4,729","4,938",43.1,"2,209","1,991","2,080",18.2,"4,544","4,359","4,439",38.7
Nebraska - State,"32,122","4,472","4,379","4,425",13.8,762,748,759,17.2,783,772,776,17.5,"2,927","2,859","2,890",65.3
"Nebraska - Local, total","86,276","7,472","6,700","7,032",8.2,"4,429","3,981","4,179",59.4,"1,426","1,219","1,304",18.5,"1,617","1,500","1,549",22
Nebraska - Counties,"13,408","4,254","3,799","3,990",29.8,"1,325","1,176","1,236",31,"1,312","1,123","1,205",30.2,"1,617","1,500","1,549",38.8
Nebraska - Municipalities,"13,449","3,218","2,901","3,042",22.6,"3,104","2,805","2,943",96.7,114,96,99,3.3,0,0,0,0
Nevada - Total,"112,780","18,026","17,232","17,561",15.6,"7,940","7,581","7,733",44,"4,446","4,143","4,275",24.3,"5,640","5,508","5,553",31.6
Nevada - State,"28,377","5,201","5,138","5,155",18.2,877,867,872,16.9,702,689,692,13.4,"3,622","3,582","3,591",69.7
"Nevada - Local, total","84,403","12,825","12,094","12,406",14.7,"7,063","6,714","6,861",55.3,"3,744","3,454","3,583",28.9,"2,018","1,926","1,962",15.8
Nevada - Counties,"26,125","9,855","9,342","9,560",36.6,"5,245","5,061","5,135",53.7,"3,119","2,866","2,979",31.2,"1,491","1,415","1,446",15.1
Nevada - Municipalities,"9,400","2,970","2,752","2,846",30.3,"1,818","1,653","1,726",60.6,625,588,604,21.2,527,511,516,18.1
New Hampshire - Total,"71,371","7,610","6,175","6,818",9.6,"4,378","3,532","3,885",57,"1,368",918,"1,120",16.4,"1,864","1,725","1,813",26.6
New Hampshire - State,"19,031","2,538","2,177","2,361",12.4,541,496,519,22,913,665,772,32.7,"1,084","1,016","1,070",45.3
"New Hampshire - Local, total","52,340","5,072","3,998","4,457",8.5,"3,837","3,036","3,366",75.5,455,253,348,7.8,780,709,743,16.7
New Hampshire - Counties,"4,178","1,675","1,171","1,361",32.6,504,260,331,24.3,391,202,287,21.1,780,709,743,54.6
New Hampshire - Municipalities,"16,964","1,665","1,417","1,547",9.1,"1,622","1,382","1,506",97.3,43,35,41,2.7,0,0,0,0
New Jersey - Total,"476,779","73,632","64,391","67,824",14.2,"38,699","31,287","34,096",50.3,"20,179","18,449","19,016",28,"14,754","14,655","14,712",21.7
New Jersey - State,"140,992","25,536","25,295","25,423",18,"4,088","4,040","4,065",16,"12,910","12,732","12,827",50.5,"8,538","8,523","8,531",33.6
"New Jersey - Local, total","335,787","48,096","39,096","42,401",12.6,"34,611","27,247","30,031",70.8,"7,269","5,717","6,189",14.6,"6,216","6,132","6,181",14.6
New Jersey - Counties,"92,660","17,561","16,725","17,264",18.6,"6,895","6,452","6,694",38.8,"4,467","4,143","4,396",25.5,"6,199","6,130","6,174",35.8
New Jersey - Municipalities,"73,536","18,697","13,553","15,241",20.7,"17,032","12,521","14,086",92.4,"1,665","1,032","1,155",7.6,0,0,0,0
New Mexico - Total,"125,380","16,169","15,554","15,828",12.6,"6,168","5,807","5,961",37.7,"3,784","3,604","3,672",23.2,"6,217","6,143","6,195",39.1
New Mexico - State,"45,909","7,588","7,483","7,534",16.4,517,517,517,6.9,"3,272","3,196","3,227",42.8,"3,799","3,770","3,790",50.3
"New Mexico - Local, total","79,471","8,581","8,071","8,294",10.4,"5,651","5,290","5,444",65.6,512,408,445,5.4,"2,418","2,373","2,405",29
New Mexico - Counties,"10,131","4,135","4,024","4,084",40.3,"1,584","1,529","1,554",38.1,170,143,156,3.8,"2,381","2,352","2,374",58.1
New Mexico - Municipalities,"17,952","4,446","4,047","4,210",23.5,"4,067","3,761","3,890",92.4,342,265,289,6.9,37,21,31,0.7
New York - Total,"1,172,622","177,520","162,640","168,951",14.4,"90,718","81,667","85,651",50.7,"33,835","29,090","30,841",18.3,"52,967","51,883","52,459",31
New York - State,"241,893","53,349","52,555","53,099",22,"6,225","6,128","6,198",11.7,"18,583","18,142","18,458",34.8,"28,541","28,285","28,443",53.6
"New York - Local, total","930,729","124,171","110,085","115,852",12.4,"84,493","75,539","79,453",68.6,"15,252","10,948","12,383",10.7,"24,426","23,598","24,016",20.7
New York - Counties,"107,335","30,965","26,025","27,819",25.9,"13,538","11,202","12,138",43.6,"5,656","3,749","4,301",15.5,"11,771","11,074","11,380",40.9
