Bureau of Justice Statistics,,,,,,
Filename: jeee15fut19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2015/a,"Expenditures, fiscal 2015 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2015 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2015 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2015, all functions","Full-time equivalent employment, March 2015, general functions only/c"
"Fresno, CA","970,442","1,871,423","1,807,593","1,633,754","8,023","8,023"
"Fulton, GA","1,005,775","1,182,995","903,304","979,949","5,189","5,158"
"Gwinnet, GA","888,884","1,173,952","1,139,600","921,350","4,946","4,738"
"Hamilton, OH","809,606","1,129,139","1,005,947","1,129,139","4,772","4,772"
"Harris, TX","4,561,939","4,733,932","4,733,870","4,699,488","26,137","26,120"
"Hennepin, MN","1,222,578","2,384,409","2,345,242","2,325,657","7,535","7,535"
"Hidalgo, TX","841,061","406,466","405,475","406,466","2,897","2,897"
"Hillsborough, FL","1,348,848","1,883,675","1,864,675","1,596,047","9,334","8,954"
"Hudson, NJ","664,744","863,660","615,143","859,147","4,341","4,341"
"Jackson, MO","686,698","237,140","237,140","227,005","1,271","1,271"
"Jefferson, AL","660,370","569,029","569,029","510,891","2,638","2,638"
"Jefferson, CO","565,223","418,815","400,087","418,815","2,929","2,929"
"Johnson, KS","579,708","633,655","560,464","623,306","3,377","3,367"
"Kane, IL","529,330","200,186","200,186","200,186","1,312","1,312"
"Kent, MI","637,304","608,704","608,704","575,815","1,914","1,914"
"Kern, CA","877,197","2,218,915","2,123,725","1,936,832","9,579","9,579"
"King, WA","2,126,561","2,828,845","2,827,628","2,124,359","12,910","9,034"
"Lake, IL","704,995","509,387","509,387","500,330","2,571","2,539"
"Lake, IN","487,895","206,508","203,508","206,358","2,449","2,449"
"Lancaster, PA","535,737","377,791","377,308","377,712","1,835","1,835"
"Lee, FL","699,530","915,216","910,576","832,383","4,553","4,156"
"Los Angeles, CA","10,097,037","24,002,052","23,625,077","21,018,380","101,981","101,884"
"Macomb, MI","865,086","759,436","740,277","701,234","2,456","2,456"
"Maricopa, AZ","4,175,049","1,769,422","1,651,379","1,769,422","12,983","12,983"
"Mecklenburg, NC","1,033,282","2,827,429","2,756,924","2,702,980","27,121","27,121"
"Middlesex, NJ","825,867","733,052","727,567","733,052","3,456","3,456"
"Milwaukee, WI","958,654","1,610,328","1,610,328","1,246,957","6,734","5,698"
"Monmouth, NJ","624,320","667,566","638,474","667,500","4,317","4,317"
"Monroe, NY","745,376","1,949,894","1,272,524","1,929,540","5,762","5,549"
"Montgomery, MD","1,033,994","7,480,357","7,355,378","6,387,199","37,652","36,764"
"Montgomery, OH","531,837","626,593","592,352","584,297","4,374","4,226"
"Montgomery, PA","817,373","526,650","506,633","522,378","3,353","3,353"
"Multnomah, OR","790,230","1,031,870","998,846","1,031,870","4,940","4,940"
"Nassau, NY","1,355,319","4,065,163","3,705,793","4,024,917","13,621","13,621"
"New Castle, DE","553,658","354,934","354,934","318,588","1,639","1,639"
"Norfolk, MA","694,787","94,532","94,532","35,352",204,204
"Oakland, MI","1,244,711","1,197,495","1,169,588","1,103,385","3,898","3,898"
"Ocean, NJ","587,137","641,778","638,547","641,361","3,376","3,241"
"Oklahoma, OK","777,829","105,980","105,980","105,905","2,247","2,247"
"Orange, CA","3,153,962","3,953,222","3,840,624","3,322,544","19,330","19,312"
"Orange, FL","1,290,639","1,896,259","1,835,162","1,809,993","10,528","9,917"
"Palm Beach, FL","1,424,685","2,172,650","2,139,650","2,018,613","10,332","9,804"
"Passaic, NJ","504,588","623,853","594,977","623,844","3,642","3,642"
"Pierce, WA","841,706","684,579","684,579","684,480","3,143","3,143"
"Pima, AZ","1,009,737","1,049,446","1,049,446","1,037,119","6,472","6,414"
"Pinellas, FL","947,535","1,168,656","1,089,461","1,081,587","5,547","5,317"
"Polk, FL","648,758","626,307","626,307","529,713","4,209","4,044"
"Prince Georges, MD","905,737","4,310,066","4,231,422","4,082,670","30,659","30,403"
"Riverside, CA","2,347,921","4,210,690","4,177,787","4,210,690","22,237","22,237"
"Sacramento, CA","1,494,294","3,086,043","3,014,620","2,657,669","11,907","11,473"
"Salt Lake, UT","1,102,629","851,157","850,583","851,157","5,357","5,357"
"San Bernardino, CA","2,117,311","4,128,361","3,913,131","3,691,182","19,504","19,503"
"San Diego, CA","3,284,061","4,739,889","4,423,987","4,147,614","20,413","20,413"
"San Joaquin, CA","721,929","1,542,436","1,488,057","1,368,260","7,039","7,039"
"San Mateo, CA","765,447","1,784,628","1,693,431","1,612,899","5,623","5,623"
"Santa Clara, CA","1,917,481","5,106,226","4,986,496","5,106,226","18,739","18,739"
"Shelby, TN","937,953","2,593,090","2,337,719","2,514,666","23,976","23,976"
"Snohomish, WA","770,049","493,487","493,482","493,487","2,651","2,651"
"St. Louis, MO","1,001,213","826,889","688,925","635,136","3,990","3,990"
"Stanislaus, CA","533,534","1,101,230","1,041,217","994,169","4,661","4,661"
"Suffolk, NY","1,492,278","3,491,249","3,226,025","3,158,113","12,781","12,220"
"Summit, OH","541,833","504,237","504,237","504,237","3,515","3,515"
"Tarrant, TX","1,985,924","1,701,791","1,701,791","1,701,791","12,765","12,765"
"Travis, TX","1,180,173","1,028,926","1,028,926","1,028,926","7,180","7,180"
"Tulsa, OK","640,979","313,630","313,269","296,422","2,247","2,247"
"Union, NJ","550,367","634,819","598,446","634,819","3,555","3,555"
"Utah, UT","572,650","250,843","217,124","217,124","1,388","1,385"
"Ventura, CA","846,922","2,298,092","2,190,805","2,025,627","9,193","9,142"
"Wake, NC","1,022,431","2,457,216","2,345,793","2,385,262","23,680","23,680"
"Washington, OR","572,872","531,131","531,131","531,131","1,836","1,836"
"Wayne, MI","1,764,726","1,894,647","1,654,741","1,761,252","3,800","3,800"
"Westchester, NY","969,220","3,793,424","3,315,910","3,625,362","9,631","9,591"
"Will, IL","686,142","346,269","346,269","346,269","2,229","2,229"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
