Bureau of Justice Statistics,,,,,,,,
Filename: jeee15fut18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2015 (thousands),"Personal income, calendar year 2015, amount (millions of dollars)/a","Personal income, calendar year 2015, per capita/a","Expenditures, fiscal 2015 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2015 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2015 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2015, all functions","Full-time equivalent employment, 3/1/2015, general functions only/c"
Pennsylvania,"12,785","644,120","50,381","90,222,271","70,591,854","75,481,049","163,453","158,874"
Rhode Island,"1,056","52,865","50,062","8,900,825","7,685,981","7,535,554","18,338","17,540"
South Carolina,"4,892","193,226","39,498","30,366,641","24,587,456","25,224,165","80,181","78,401"
South Dakota,854,"41,548","48,651","4,773,791","3,986,774","4,263,678","14,438","14,438"
Tennessee,"6,591","280,720","42,591","30,842,097","23,881,815","28,340,888","78,383","78,383"
Texas,"27,470","1,280,251","46,605","136,514,037","106,109,507","119,843,860","304,330","304,330"
Utah,"2,982","121,885","40,874","18,360,434","14,949,759","16,423,836","55,380","54,975"
Vermont,625,"30,999","49,598","6,585,027","4,865,575","6,139,614","14,564","14,509"
Virginia,"8,362","442,331","52,898","50,181,974","38,559,031","44,497,616","125,749","123,899"
Washington,"7,164","385,688","53,837","50,812,399","39,028,470","43,823,035","122,220","122,111"
West Virginia,"1,842","67,997","36,915","14,252,984","11,674,710","12,784,546","40,096","40,011"
Wisconsin,"5,761","268,948","46,684","40,116,752","29,056,645","34,745,699","74,383","74,383"
Wyoming,586,"33,442","57,068","6,089,770","4,584,179","5,186,777","13,438","13,400"
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, September 2018.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities and state-operated liquor stores.",,,,,,,,
