"REVISED 12/11/00",,,,,,,,,,
"Municipalities","-",1253408,136364,10.9,117992,86.5,18372,13.5,0,0.0
,,,,,,,,,,
"Idaho",1189,5073179,361611,7.1,154374,42.7,83184,23.0,124053,34.3
"State","-",2502009,171380,6.8,28453,16.6,45367,26.5,97560,56.9
"Local, total","-",2571170,190231,7.4,125921,66.2,37817,19.9,26493,13.9
"Counties","-",538689,118588,22.0,59091,49.8,33004,27.8,26493,22.3
"Municipalities","-",561262,71643,12.8,66830,93.3,4813,6.7,0,0.0
,,,,,,,,,,
"Illinois",11847,59754239,4253532,7.1,2278190,53.6,766138,18.0,1209204,28.4
"State","-",25562212,1317604,5.2,262498,19.9,220818,16.8,834288,63.3
"Local, total","-",34192027,2935928,8.6,2015692,68.7,545320,18.6,374916,12.8
"Counties","-",3998709,1105378,27.6,243258,22.0,487204,44.1,374916,33.9
"Municipalities","-",10891345,1830550,16.8,1772434,96.8,58116,3.2,0,0.0
,,,,,,,,,,
"Indiana",5841,24252426,1364411,5.6,620613,45.5,248731,18.2,495067,36.3
"State","-",10276596,568746,5.5,142188,25.0,76503,13.5,350055,61.5
"Local, total","-",13975830,795665,5.7,478425,60.1,172228,21.6,145012,18.2
"Counties","-",2738200,353170,12.9,113799,32.2,125293,35.5,114078,32.3
"Municipalities","-",4194339,442495,10.5,364626,82.4,46935,10.6,30934,7.0
,,,,,,,,,,
"Iowa",2852,13430663,705688,5.3,333217,47.2,183767,26.0,188704,26.7
"State","-",6180830,338400,5.5,60942,18.0,136087,40.2,141371,41.8
"Local, total","-",7249833,367288,5.1,272275,74.1,47680,13.0,47333,12.9
"Counties","-",1441507,161882,11.2,75807,46.8,39210,24.2,46865,29.0
"Municipalities","-",2493558,205406,8.2,196468,95.6,8470,4.1,468,0.2
,,,,,,,,,,
"Kansas",2572,12213513,750257,6.1,363978,48.5,162787,21.7,223492,29.8
"State","-",5012854,315766,6.3,40085,12.7,98168,31.1,177513,56.2
"Local, total","-",7200659,434491,6.0,323893,74.5,64619,14.9,45979,10.6
"Counties","-",1337115,195655,14.6,104611,53.5,45790,23.4,45254,23.1
"Municipalities","-",2241063,238836,10.7,219282,91.8,18829,7.9,725,0.3
,,,,,,,,,,
"Kentucky",3884,16652894,870593,5.2,372163,42.7,190132,21.8,308298,35.4
"State","-",9017289,473252,5.2,103039,21.8,159745,33.8,210468,44.5
"Local, total","-",7635605,397341,5.2,269124,67.7,30387,7.6,97830,24.6
"Counties","-",1527906,187969,12.3,76044,40.5,22630,12.0,89295,47.5
"Municipalities","-",2086718,209372,10.0,193080,92.2,7757,3.7,8535,4.1
,,,,,,,,,,
"Louisiana",4351,20679394,1378296,6.7,681787,49.5,258863,18.8,437646,31.8
"State","-",11004015,549755,5.0,133436,24.3,104990,19.1,311329,56.6
"Local, total","-",9675379,828541,8.6,548351,66.2,153873,18.6,126317,15.2
"Parishes","-",2612679,398140,15.2,252902,63.5,81795,20.5,63443,15.9
"Municipalities","-",3038918,430401,14.2,295449,68.6,72078,16.7,62874,14.6
,,,,,,,,,,
"Maine",1243,5999200,264344,4.4,128912,48.8,45399,17.2,90033,34.1
"State","-",3496649,135245,3.9,33596,24.8,37647,27.8,64002,47.3
"Local, total","-",2502551,129099,5.2,95316,73.8,7752,6.0,26031,20.2
"Counties","-",72319,46283,64.0,15325,33.1,5210,11.3,25748,55.6
"Municipalities","-",1591669,82816,5.2,79991,96.6,2542,3.1,283,0.3
,,,,,,,,,,
"Maryland",5072,24711045,2153376,8.7,894706,41.5,383798,17.8,874872,40.6
"State","-",12315751,1181652,9.6,206432,17.5,238908,20.2,736312,62.3
"Local, total","-",12395294,971724,7.8,688274,70.8,144890,14.9,138560,14.3
"Counties","-",9179613,643339,7.0,395769,61.5,109010,16.9,138560,21.5
"Municipalities","-",2521553,328385,13.0,292505,89.1,35880,10.9,0,0.0
,,,,,,,,,,
"Massachusetts",6092,36451707,2377212,6.5,1115933,46.9,518564,21.8,742715,31.2
"State","-",19789756,1202365,6.1,251321,20.9,467868,38.9,483176,40.2
"Local, total","-",16661951,1174847,7.1,864612,73.6,50696,4.3,259539,22.1
"Counties","-",490559,192680,39.3,1752,0.9,1698,0.9,189230,98.2
"Municipalities","-",12538437,982167,7.8,862860,87.9,48998,5.0,70309,7.2
,,,,,,,,,,
"Michigan",9594,49001731,3705510,7.6,1460660,39.4,751071,20.3,1493779,40.3
"State","-",21780566,1628611,7.5,215887,13.3,201185,12.4,1211539,74.4
"Local, total","-",27221165,2076899,7.6,1244773,59.9,549886,26.5,282240,13.6
"Counties","-",5656541,926458,16.4,224580,24.2,424510,45.8,277368,29.9
"Municipalities","-",8205024,1150441,14.0,1020193,88.7,125376,10.9,4872,0.4
,,,,,,,,,,
"Minnesota",4658,27890770,1451883,5.2,652199,44.9,345457,23.8,454227,31.3
"State","-",11257014,482206,4.3,85759,17.8,141293,29.3,255154,52.9
"Local, total","-",16633756,969677,5.8,566440,58.4,204164,21.1,199073,20.5
"Counties","-",3539914,572450,16.2,183884,32.1,189765,33.1,198801,34.7
"Municipalities","-",5155695,397227,7.7,382556,96.3,14399,3.6,272,0.1
,,,,,,,,,,
"Mississippi",2716,11712492,632890,5.4,286555,45.3,102006,16.1,244329,38.6
"State","-",5710438,299187,5.2,50719,17.0,41273,13.8,207195,69.3
"Local, total","-",6002054,333703,5.6,235836,70.7,60733,18.2,37134,11.1
"Counties","-",1647331,163317,9.9,77963,47.7,52584,32.2,32770,20.1
"Municipalities","-",1524355,170386,11.2,157873,92.7,8149,4.8,4364,2.6
,,,,,,,,,,
"Missouri",5359,21613816,1406752,6.5,720136,51.2,226687,16.1,459929,32.7
"State","-",9510038,535647,5.6,105367,19.7,118241,22.1,312039,58.3
"Local, total","-",12103778,871105,7.2,614769,70.6,108446,12.4,147890,17.0
"Counties","-",1105141,272107,24.6,99457,36.6,61061,22.4,111589,41.0
"Municipalities","-",4092878,598998,14.6,515312,86.0,47385,7.9,36301,6.1
,,,,,,,,,,
"Montana",879,4199338,229236,5.5,101592,44.3,54092,23.6,73552,32.1
"State","-",2436777,110350,4.5,21887,19.8,22231,20.1,66232,60.0
"Local, total","-",1762561,118886,6.7,79705,67.0,31861,26.8,7320,6.2
"Counties","-",341867,73225,21.4,39924,54.5,26102,35.6,7199,9.8
"Municipalities","-",321341,45661,14.2,39781,87.1,5759,12.6,121,0.3
,,,,,,,,,,
"Nebraska",1652,8977160,394268,4.4,176594,44.8,78321,19.9,139353,35.3
"State","-",3313945,161906,4.9,35690,22.0,32638,20.2,93578,57.8
"Local, total","-",5663215,232362,4.1,140904,60.6,45683,19.7,45775,19.7
"Counties","-",631339,123350,19.5,36232,29.4,41343,33.5,45775,37.1
"Municipalities","-",1322950,109012,8.2,104672,96.0,4340,4.0,0,0.0
,,,,,,,,,,
"Nevada",1603,7946314,799788,10.1,342102,42.8,171922,21.5,285764,35.7
"State","-",3207072,215585,6.7,39141,18.2,26623,12.3,149821,69.5
"Local, total","-",4739242,584203,12.3,302961,51.9,145299,24.9,135943,23.3
"Counties","-",2087818,432129,20.7,210488,48.7,113683,26.3,107958,25.0
"Municipalities","-",830795,152074,18.3,92473,60.8,31616,20.8,27985,18.4
,,,,,,,,,,
"New Hampshire",1162,5192273,309070,6.0,146154,47.3,74819,24.2,88097,28.5
"State","-",2847611,149084,5.2,26007,17.4,61694,41.4,61383,41.2
"Local, total","-",2344662,159986,6.8,120147,75.1,13125,8.2,26714,16.7
"Counties","-",176247,41985,23.8,9633,22.9,5638,13.4,26714,63.6
"Municipalities","-",1138764,118001,10.4,110514,93.7,7487,6.3,0,0.0
,,,,,,,,,,
"New Jersey",7988,48972606,3899745,8.0,1797338,46.1,976047,25.0,1126360,28.9
"State","-",24543578,1447880,5.9,239359,16.5,437360,30.2,771161,53.3
"Local, total","-",24429028,2451865,10.0,1557979,63.5,538687,22.0,355199,14.5
"Counties","-",5180553,877048,16.9,112091,12.8,411598,46.9,353359,40.3
"Municipalities","-",8171185,1574817,19.3,1445888,91.8,127089,8.1,1840,0.1
,,,,,,,,,,
"New Mexico",1713,8598180,650772,7.6,282245,43.4,128483,19.7,240044,36.9
"State","-",4692293,335457,7.1,56149,16.7,105664,31.5,173644,51.8
"Local, total","-",3905887,315315,8.1,226096,71.7,22819,7.2,66400,21.1
"Counties","-",670249,111340,16.6,63737,57.2,10924,9.8,36679,32.9
"Municipalities","-",1509309,203975,13.5,162359,79.6,11895,5.8,29721,14.6
,,,,,,,,,,
"New York",18185,144338344,10430288,7.2,4663271,44.7,1956805,18.8,3810212,36.5
"State","-",57002935,3625871,6.4,340203,9.4,1178682,32.5,2106986,58.1
"Local, total","-",87335409,6804417,7.8,4323068,63.5,778123,11.4,1703226,25.0
"Counties","-",12729646,1840488,14.5,926104,50.3,236377,12.8,678007,36.8
"Municipalities","-",57119803,4963929,8.7,3396964,68.4,541746,10.9,1025219,20.7
,,,,,,,,,,
"North Carolina",7323,33978331,2428595,7.1,997997,41.1,374219,15.4,1056379,43.5
"State","-",14567559,1385760,9.5,194927,14.1,333966,24.1,856867,61.8
"Local, total","-",19410772,1042835,5.4,803070,77.0,40253,3.9,199512,19.1
"Counties","-",12410218,488622,3.9,256488,52.5,32622,6.7,199512,40.8
"Municipalities","-",4823753,554213,11.5,546582,98.6,7631,1.4,0,0.0
,,,,,,,,,,
"North Dakota",644,2957900,112111,3.8,53592,47.8,32824,29.3,25695,22.9
"State","-",1652281,43316,2.6,6380,14.7,20397,47.1,16539,38.2
"Local, total","-",1305619,68795,5.3,47212,68.6,12427,18.1,9156,13.3
"Counties","-",222247,35258,15.9,15907,45.1,10427,29.6,8924,25.3
"Municipalities","-",381776,33537,8.8,31305,93.3,2000,6.0,232,0.7
,,,,,,,,,,
"Ohio",11173,55037506,3991208,7.3,1723435,43.2,861657,21.6,1406116,35.2
"State","-",25463785,1388992,5.5,182455,13.1,152749,11.0,1053788,75.9
"Local, total","-",29573721,2602216,8.8,1540980,59.2,708908,27.2,352328,13.5
"Counties","-",6925972,1180892,17.1,313648,26.6,532066,45.1,335178,28.4
"Municipalities","-",8389250,1421324,16.9,1227332,86.4,176842,12.4,17150,1.2
,,,,,,,,,,
"Oklahoma",3301,13527223,862949,6.4,401607,46.5,152149,17.6,309193,35.8
"State","-",6728578,432561,6.4,51208,11.8,98774,22.8,282579,65.3
"Local, total","-",6798645,430388,6.3,350399,81.4,53375,12.4,26614,6.2
"Counties","-",813352,94770,11.7,38257,40.4,29973,31.6,26540,28.0
"Municipalities","-",2739661,335618,12.3,312142,93.0,23402,7.0,74,0.0
,,,,,,,,,,
"Oregon",3204,18458673,1214688,6.6,532398,43.8,246964,20.3,435326,35.8
"State","-",8748278,517763,5.9,102363,19.8,159613,30.8,255787,49.4
"Local, total","-",9710395,696925,7.2,430035,61.7,87351,12.5,179539,25.8
"Counties","-",1795642,386469,21.5,139403,36.1,68804,17.8,178262,46.1
"Municipalities","-",2213698,310456,14.0,290632,93.6,18547,6.0,1277,0.4
,,,,,,,,,,
"Pennsylvania",12056,60227375,4259304,7.1,1734859,40.7,840756,19.7,1683689,39.5
"State","-",29022618,1847518,6.4,618259,33.5,237983,12.9,991276,53.7
"Local, total","-",31204757,2411786,7.7,1116600,46.3,602773,25.0,692413,28.7
"Counties","-",4463609,923971,20.7,71350,7.7,380810,41.2,471811,51.1
"Municipalities","-",8321513,1487815,17.9,1045250,70.3,221963,14.9,220602,14.8
,,,,,,,,,,
"Rhode Island",990,5562264,369466,6.6,164101,44.4,89141,24.1,116224,31.5
"State","-",3556083,226336,6.4,28826,12.7,81286,35.9,116224,51.4
"Local, total","-",2006181,143130,7.1,135275,94.5,7855,5.5,0,0.0
"Municipalities","-",1802828,143130,7.9,135275,94.5,7855,5.5,0,0.0
,,,,,,,,,,
"South Carolina",3699,17863572,1085504,6.1,448031,41.3,148972,13.7,488501,45.0
"State","-",9679487,566578,5.9,132763,23.4,42449,7.5,391366,69.1
"Local, total","-",8184085,518926,6.3,315268,60.8,106523,20.5,97135,18.7
"Counties","-",2012290,340441,16.9,152543,44.8,92939,27.3,94959,27.9
"Municipalities","-",1271728,178485,14.0,162725,91.2,13584,7.6,2176,1.2
,,,,,,,,,,
"South Dakota",732,3082295,184418,6.0,80207,43.5,45185,24.5,59026,32.0
"State","-",1605264,86044,5.4,19846,23.1,22433,26.1,43765,50.9
"Local, total","-",1477031,98374,6.7,60361,61.4,22752,23.1,15261,15.5
"Counties","-",223840,56568,25.3,20103,35.5,21825,38.6,14640,25.9
"Municipalities","-",511917,41806,8.2,40258,96.3,927,2.2,621,1.5
,,,,,,,,,,
"Tennessee",5320,25758795,1500591,5.8,659599,44.0,309157,20.6,531835,35.4
"State","-",10311888,555416,5.4,82000,14.8,120618,21.7,352798,63.5
"Local, total","-",15446907,945175,6.1,577599,61.1,188539,19.9,179037,18.9
"Counties","-",5659040,439963,7.8,150476,34.2,142283,32.3,147204,33.5
"Municipalities","-",8841367,505212,5.7,427123,84.5,46256,9.2,31833,6.3
,,,,,,,,,,
"Texas",19128,83495236,6782792,8.1,2581529,38.1,1013587,14.9,3187676,47.0
"State","-",33717344,2709953,8.0,290072,10.7,306605,11.3,2113276,78.0
"Local, total","-",49777892,4072839,8.2,2291457,56.3,706982,17.4,1074400,26.4
"Counties","-",6922675,2029636,29.3,494266,24.4,573275,28.2,962095,47.4
"Municipalities","-",14232893,2043203,14.4,1797191,88.0,133707,6.5,112305,5.5
,,,,,,,,,,
"Utah",2000,9882454,648551,6.6,264535,40.8,163819,25.3,220197,34.0
"State","-",4645009,315481,6.8,43574,13.8,114300,36.2,157607,50.0
"Local, total","-",5237445,333070,6.4,220961,66.3,49519,14.9,62590,18.8
"Counties","-",733539,183108,25.0,82473,45.0,38045,20.8,62590,34.2
"Municipalities","-",1315237,149962,11.4,138488,92.3,11474,7.7,0,0.0
,,,,,,,,,,
"Vermont",589,2893181,141112,4.9,67431,47.8,30550,21.6,43131,30.6
"State","-",1747918,105910,6.1,33825,31.9,28998,27.4,43087,40.7
"Local, total","-",1145263,35202,3.1,33606,95.5,1552,4.4,44,0.1
"Counties","-",5906,2643,44.8,2456,92.9,169,6.4,18,0.7
"Municipalities","-",431127,32559,7.6,31150,95.7,1383,4.2,26,0.1
,,,,,,,,,,
"Virginia",6675,29029840,2256253,7.8,910445,40.4,348614,15.5,997194,44.2
"State","-",13370249,961528,7.2,159314,16.6,175808,18.3,626406,65.1
"Local, total","-",15659591,1294725,8.3,751131,58.0,172806,13.3,370788,28.6
"Counties","-",8037274,653819,8.1,358959,54.9,94711,14.5,200149,30.6
"Municipalities","-",6674015,640906,9.6,392172,61.2,78095,12.2,170639,26.6
,,,,,,,,,,
"Washington",5533,34580855,2005775,5.8,806145,40.2,438991,21.9,760639,37.9
"State","-",15655799,674734,4.3,119399,17.7,58205,8.6,497130,73.7
"Local, total","-",18925056,1331041,7.0,686746,51.6,380786,28.6,263509,19.8
"Counties","-",3251351,762450,23.5,225580,29.6,304712,40.0,232158,30.4
"Municipalities","-",4561667,568591,12.5,461166,81.1,76074,13.4,31351,5.5
,,,,,,,,,,
"West Virginia",1826,8436836,326833,3.9,132766,40.6,90365,27.6,103702,31.7
"State","-",5250976,183713,3.5,39241,21.4,63233,34.4,81239,44.2
"Local, total","-",3185860,143120,4.5,93525,65.3,27132,19.0,22463,15.7
"Counties","-",532189,73708,13.8,28561,38.7,22935,31.1,22212,30.1
"Municipalities","-",623443,69412,11.1,64964,93.6,4197,6.0,251,0.4
,,,,,,,,,,
"Wisconsin",5160,26610126,1889624,7.1,873491,46.2,376823,19.9,639310,33.8
"State","-",10699681,653916,6.1,59449,9.1,169308,25.9,425159,65.0
"Local, total","-",15910445,1235708,7.8,814042,65.9,207515,16.8,214151,17.3
"Counties","-",3959778,608720,15.4,228228,37.5,166506,27.4,213986,35.2
"Municipalities","-",4497222,626988,13.9,585814,93.4,41009,6.5,165,0.0
,,,,,,,,,,
"Wyoming",481,3041563,171353,5.6,77631,45.3,41405,24.2,52317,30.5
"State","-",1375444,65503,4.8,9943,15.2,24256,37.0,31304,47.8
"Local, total","-",1666119,105850,6.4,67688,63.9,17149,16.2,21013,19.9
"Counties","-",372930,57827,15.5,24553,42.5,12503,21.6,20771,35.9
"Municipalities","-",350261,48023,13.7,43135,89.8,4646,9.7,242,0.5
,,,,,,,,,,
,,,,,,,,,,
"This table has been revised since its initial posting.",,,,,,,,,,
"Notes:  Local government data are estimates subject to variability.",,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 1996.",,,,,,,,,,
"a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts",,,,,,,,,,
"and special districts, which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not",,,,,,,,,,
"equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
"b/ Justice system expenditure of special districts and independent school districts (primarily for special police forces) are not",,,,,,,,,,
"available.",,,,,,,,,,
