"Bureau of Justice Statistics",,,,,,,,,,,,,
"Local, total",5876,,4849,4597,4655,79.2,10449,,1340,1147,1221,20.8,1949
"Counties",1550,,1273,1211,1230,79.4,2416,,345,298,320,20.6,469
"Municipalities",4326,,3576,3386,3425,79.2,8034,,995,849,901,20.8,1481
,,,,,,,,,,,,,
"California",93550,,67427,64687,65687,70.2,335727,,31060,25160,27863,29.8,87002
"State",12295,,7387,7036,7160,58.2,31647,,5542,4885,5135,41.8,15447
"Local, total",81255,,60040,57651,58527,72.0,304080,,25518,20275,22728,28.0,71555
"Counties",27388,,21359,19951,20387,74.4,104218,,7280,6770,7001,25.6,21947
"Municipalities",53867,,38681,37700,38140,70.8,199862,,18238,13505,15727,29.2,49608
,,,,,,,,,,,,,
"Colorado",11879,,8642,8571,8591,72.3,31971,,3568,3109,3288,27.7,8882
"State",1319,,867,867,867,65.7,2990,,472,426,452,34.3,1443
"Local, total",10560,,7775,7704,7724,73.1,28981,,3096,2683,2836,26.9,7439
"Counties",2760,,2071,2059,2070,75.0,6658,,770,655,690,25.0,1740
"Municipalities",7800,,5704,5645,5654,72.5,22323,,2326,2028,2146,27.5,5700
,,,,,,,,,,,,,
"Connecticut",9925,,7997,7583,7736,77.9,33966,,2772,1798,2189,22.1,5739
"State",1624,,1036,1035,1036,63.8,4797,,597,559,588,36.2,1942
"Local, total",8301,,6961,6548,6700,80.7,29169,,2175,1239,1601,19.3,3797
"Municipalities",8301,,6961,6548,6700,80.7,29169,,2175,1239,1601,19.3,3797
,,,,,,,,,,,,,
"Delaware",2123,,1521,1516,1519,71.5,5954,,738,439,604,28.5,1448
"State",842,,564,564,564,67.0,2331,,291,258,278,33.0,701
"Local, total",1281,,957,952,955,74.6,3623,,447,181,326,25.4,747
"Counties",418,,279,279,279,66.7,1226,,225,45,139,33.3,304
"Municipalities",863,,678,673,676,78.3,2396,,222,136,187,21.7,444
,,,,,,,,,,,,,
"District of Columbia",4276,,3614,3612,3613,84.5,14692,,721,605,663,15.5,1929
"Local, total",4276,,3614,3612,3613,84.5,14692,,721,605,663,15.5,1929
"Municipality",4276,,3614,3612,3613,84.5,14692,,721,605,663,15.5,1929
,,,,,,,,,,,,,
"Florida",52294,,35484,35105,35268,67.4,127918,,19249,15200,17026,32.6,40564
"State",3875,,2188,2188,2188,56.5,7751,,1734,1615,1687,43.5,3678
"Local, total",48419,,33296,32917,33080,68.3,120166,,17515,13585,15339,31.7,36886
"Counties",24417,,15767,15603,15651,64.1,54559,,10059,7900,8766,35.9,21414
"Municipalities",24002,,17529,17314,17429,72.6,65608,,7456,5685,6573,27.4,15472
,,,,,,,,,,,,,
"Georgia",22199,,17944,17492,17602,79.3,45737,,5410,4043,4597,20.7,9417
"State",2117,,1067,1067,1067,50.4,3412,,1071,1021,1050,49.6,2690
"Local, total",20082,,16877,16425,16535,82.3,42326,,4339,3022,3547,17.7,6727
"Counties",9119,,7363,7197,7268,79.7,19206,,2180,1572,1851,20.3,3826
"Municipalities",10963,,9514,9228,9267,84.5,23119,,2159,1450,1696,15.5,2901
,,,,,,,,,,,,,
"Hawaii",3534,,2717,2717,2717,76.9,11181,,989,775,817,23.1,2289
"State",0,,0,0,0,0.0,0,,0,0,0,0.0,0
"Local, total",3534,,2717,2717,2717,76.9,11181,,989,775,817,23.1,2289
"Counties",1077,,796,796,796,73.9,3075,,340,265,281,26.1,722
"Municipalities",2457,,1921,1921,1921,78.2,8106,,649,510,536,21.8,1567
,,,,,,,,,,,,,
"Idaho",2971,,2156,2083,2109,71.0,6093,,996,790,862,29.0,1779
"State",421,,243,243,243,57.7,791,,193,165,178,42.3,472
"Local, total",2550,,1913,1840,1866,73.2,5302,,803,625,684,26.8,1307
"Counties",1147,,787,750,759,66.2,1841,,439,353,388,33.8,678
"Municipalities",1403,,1126,1090,1107,78.9,3461,,364,272,296,21.1,629
,,,,,,,,,,,,,
"Illinois",44150,,34660,32385,33064,74.9,150319,,13397,10002,11086,25.1,32564
"State",3981,,2176,2176,2176,54.7,9706,,1806,1804,1805,45.3,5948
"Local, total",40169,,32484,30209,30888,76.9,140612,,11591,8198,9281,23.1,26616
"Counties",5457,,4159,3775,3973,72.8,12992,,1715,1371,1484,27.2,3714
"Municipalities",34712,,28325,26434,26915,77.5,127621,,9876,6827,7797,22.5,22902
,,,,,,,,,,,,,
"Indiana",14784,,11014,10478,10676,72.2,32746,,5009,3737,4108,27.8,7602
"State",2034,,1248,1248,1248,61.4,4494,,786,785,786,38.6,1662
"Local, total",12750,,9766,9230,9428,73.9,28252,,4223,2952,3322,26.1,5940
"Counties",3394,,2389,2325,2350,69.2,6046,,1212,945,1044,30.8,1853
"Municipalities",9356,,7377,6905,7078,75.7,22206,,3011,2007,2278,24.3,4087
,,,,,,,,,,,,,
"Iowa",6750,,5383,4934,5032,74.5,15387,,2121,1549,1718,25.5,4037
"State",944,,637,637,637,67.5,2200,,332,299,307,32.5,944
"Local, total",5806,,4746,4297,4395,75.7,13187,,1789,1250,1411,24.3,3093
"Counties",1921,,1339,1257,1274,66.3,3817,,776,586,647,33.7,1432
"Municipalities",3885,,3407,3040,3121,80.3,9371,,1013,664,764,19.7,1660
,,,,,,,,,,,,,
"Kansas",8254,,6581,5981,6134,74.3,18375,,2510,1980,2120,25.7,4713
"State",992,,607,607,607,61.2,1863,,395,379,385,38.8,826
"Local, total",7262,,5974,5374,5527,76.1,16511,,2115,1601,1735,23.9,3888
"Counties",2556,,2051,1889,1928,75.4,5477,,792,586,628,24.6,1257
"Municipalities",4706,,3923,3485,3599,76.5,11034,,1323,1015,1107,23.5,2631
,,,,,,,,,,,,,
"Kentucky",8577,,6443,6112,6334,73.8,17160,,2475,2060,2243,26.2,4722
"State",1811,,978,957,968,53.5,3021,,846,830,843,46.5,2036
"Local, total",6766,,5465,5155,5366,79.3,14140,,1629,1230,1400,20.7,2686
"Counties",1904,,1536,1426,1492,78.4,3941,,511,345,412,21.6,803
"Municipalities",4862,,3929,3729,3874,79.7,10199,,1118,885,988,20.3,1883
,,,,,,,,,,,,,
"Louisiana",14645,,11620,11042,11145,76.1,28098,,4187,3104,3500,23.9,6726
"State",1098,,678,678,678,61.7,1747,,425,417,420,38.3,799
"Local, total",13547,,10942,10364,10467,77.3,26352,,3762,2687,3080,22.7,5927
"Parishes",5342,,4081,3867,3906,73.1,10194,,1748,1289,1436,26.9,3292
"Municipalities",8205,,6861,6497,6561,80.0,16158,,2014,1398,1644,20.0,2636
,,,,,,,,,,,,,
"Maine",2923,,2549,2099,2243,76.7,6481,,988,523,680,23.3,1335
"State",362,,308,308,308,85.1,1124,,54,54,54,14.9,115
"Local, total",2561,,2241,1791,1935,75.6,5358,,934,469,626,24.4,1220
"Counties",480,,423,351,378,78.8,908,,109,97,102,21.3,225
"Municipalities",2081,,1818,1440,1557,74.8,4449,,825,372,524,25.2,995
,,,,,,,,,,,,,
"Maryland",17255,,13649,13421,13522,78.4,46324,,4501,3262,3733,21.6,9437
"State",2364,,1594,1594,1594,67.4,6656,,778,755,770,32.6,1692
"Local, total",14891,,12055,11827,11928,80.1,39668,,3723,2507,2963,19.9,7745
"Counties",8617,,7211,7003,7099,82.4,23886,,2046,1308,1518,17.6,3783
"Municipalities",6274,,4844,4824,4829,77.0,15782,,1677,1199,1445,23.0,3962
,,,,,,,,,,,,,
"Massachusetts",20008,,16874,15489,15916,79.5,62843,,5248,3400,4092,20.5,10102
"State",2675,,1598,1598,1598,59.7,6042,,1082,1069,1077,40.3,3367
"Local, total",17333,,15276,13891,14318,82.6,56801,,4166,2331,3015,17.4,6734
"Counties",32,,15,14,14,43.8,40,,22,18,18,56.3,54
"Municipalities",17301,,15261,13877,14304,82.7,56761,,4144,2313,2997,17.3,6681
,,,,,,,,,,,,,
"Michigan",24381,,20124,19134,19479,79.9,72361,,6330,4075,4902,20.1,11513
"State",2993,,2009,2009,2009,67.1,8034,,1094,927,984,32.9,2319
"Local, total",21388,,18115,17125,17470,81.7,64327,,5236,3148,3918,18.3,9194
"Counties",4575,,3718,3553,3623,79.2,12795,,1059,867,952,20.8,2311
"Municipalities",16813,,14397,13572,13847,82.4,51532,,4177,2281,2966,17.6,6883
,,,,,,,,,,,,,
"Minnesota",10904,,8579,8030,8240,75.6,31790,,3169,2259,2664,24.4,7056
"State",859,,503,503,503,58.6,2359,,366,343,356,41.4,1093
"Local, total",10045,,8076,7527,7737,77.0,29431,,2803,1916,2308,23.0,5963
"Counties",2994,,2253,2085,2163,72.2,7621,,960,733,831,27.8,2110
"Municipalities",7051,,5823,5442,5574,79.1,21811,,1843,1183,1477,20.9,3853
,,,,,,,,,,,,,
"Mississippi",8268,,6435,5776,6005,72.6,13328,,2776,1952,2263,27.4,3798
"State",927,,617,617,617,66.6,1774,,310,310,310,33.4,734
"Local, total",7341,,5818,5159,5388,73.4,11554,,2466,1642,1953,26.6,3064
"Counties",2605,,1938,1715,1802,69.2,3576,,967,701,803,30.8,1223
"Municipalities",4736,,3880,3444,3586,75.7,7978,,1499,941,1150,24.3,1841
,,,,,,,,,,,,,
"Missouri",17065,,12528,11759,12087,70.8,35899,,5364,4710,4978,29.2,10607
"State",2380,,1232,1232,1232,51.8,3964,,1174,1121,1148,48.2,2612
"Local, total",14685,,11296,10527,10855,73.9,31935,,4190,3589,3830,26.1,7995
"Counties",3344,,2473,2167,2288,68.4,5728,,1168,975,1056,31.6,2126
"Municipalities",11341,,8823,8360,8567,75.5,26207,,3022,2614,2774,24.5,5869
,,,,,,,,,,,,,
"Montana",2207,,1587,1504,1524,69.1,4101,,814,624,683,30.9,1354
"State",429,,220,217,218,50.8,548,,218,204,211,49.2,538
"Local, total",1778,,1367,1287,1306,73.5,3553,,596,420,472,26.5,817
"Counties",879,,617,593,598,68.0,1592,,373,245,281,32.0,460
"Municipalities",899,,750,694,708,78.8,1961,,223,175,191,21.2,357
,,,,,,,,,,,,,
"Nebraska",4270,,3262,3098,3144,73.6,9812,,1215,1021,1126,26.4,2373
"State",667,,452,434,442,66.3,1206,,227,220,225,33.7,518
"Local, total",3603,,2810,2664,2702,75.0,8606,,988,801,901,25.0,1855
"Counties",1102,,763,729,743,67.4,1851,,391,316,359,32.6,717
"Municipalities",2501,,2047,1935,1959,78.3,6755,,597,485,542,21.7,1137
,,,,,,,,,,,,,
"Nevada",5346,,3576,3515,3541,66.2,15607,,2026,1641,1805,33.8,5701
"State",627,,353,353,353,56.3,1457,,274,273,274,43.7,855
"Local, total",4719,,3223,3162,3188,67.6,14150,,1752,1368,1531,32.4,4847
"Counties",3211,,2135,2074,2100,65.4,9451,,1269,1021,1111,34.6,3660
"Municipalities",1508,,1088,1088,1088,72.1,4699,,483,347,420,27.9,1186
,,,,,,,,,,,,,
"New Hampshire",3215,,2759,2315,2464,76.6,8397,,975,616,751,23.4,1643
"State",415,,299,299,299,72.0,1141,,125,107,116,28.0,293
"Local, total",2800,,2460,2016,2165,77.3,7256,,850,509,635,22.7,1351
"Counties",233,,222,125,167,71.7,422,,78,55,66,28.3,132
"Municipalities",2567,,2238,1891,1998,77.8,6834,,772,454,569,22.2,1219
,,,,,,,,,,,,,
"New Jersey",31149,,23273,21869,22436,72.0,106359,,12356,6295,8713,28.0,26556
"State",3637,,1015,1001,1012,27.8,2920,,2625,2625,2625,72.2,14108
"Local, total",27512,,22258,20868,21424,77.9,103439,,9731,3670,6088,22.1,12448
"Counties",2394,,1920,1919,1920,80.2,7359,,522,439,474,19.8,1317
"Municipalities",25118,,20338,18949,19504,77.6,96080,,9209,3231,5614,22.4,11131
,,,,,,,,,,,,,
"New Mexico",5430,,3986,3903,3950,72.7,11295,,1713,1311,1480,27.3,2974
"State",633,,462,462,462,73.0,1570,,171,171,171,27.0,584
"Local, total",4797,,3524,3441,3488,72.7,9725,,1542,1140,1309,27.3,2389
"Counties",1349,,1066,992,1031,76.4,2702,,320,317,318,23.6,631
"Municipalities",3448,,2458,2449,2457,71.3,7023,,1222,823,991,28.7,1758
,,,,,,,,,,,,,
"New York",80663,,73123,68941,70025,86.8,292534,,13773,8781,10638,13.2,33085
"State",5460,,3989,3989,3989,73.1,18924,,1554,1390,1471,26.9,4196
"Local, total",75203,,69134,64952,66036,87.8,273610,,12219,7391,9167,12.2,28889
"Counties",11683,,9858,9586,9737,83.3,47331,,2465,1469,1946,16.7,5977
"Municipalities",63520,,59276,55366,56299,88.6,226279,,9754,5922,7221,11.4,22911
,,,,,,,,,,,,,
"North Carolina",21177,,17566,16825,17024,80.4,46964,,4702,3817,4153,19.6,9099
"State",3311,,2281,2263,2279,68.8,8235,,1035,1025,1032,31.2,2584
"Local, total",17866,,15285,14562,14745,82.5,38729,,3667,2792,3121,17.5,6516
"Counties",5908,,4947,4747,4829,81.7,11995,,1241,995,1079,18.3,2111
"Municipalities",11958,,10338,9815,9916,82.9,26734,,2426,1797,2042,17.1,4405
,,,,,,,,,,,,,
"North Dakota",1415,,1132,1077,1095,77.4,2853,,346,309,320,22.6,625
"State",223,,127,127,127,57.0,362,,96,95,96,43.0,205
"Local, total",1192,,1005,950,968,81.2,2491,,250,214,224,18.8,420
"Counties",446,,372,349,356,79.8,846,,100,86,90,20.2,158
"Municipalities",746,,633,601,612,82.0,1645,,150,128,134,18.0,262
,,,,,,,,,,,,,
"Ohio",30597,,24327,22149,22738,74.3,78796,,9565,6911,7859,25.7,18472
"State",2439,,1307,1307,1307,53.6,5566,,1136,1122,1132,46.4,3144
"Local, total",28158,,23020,20842,21431,76.1,73231,,8429,5789,6727,23.9,15328
"Counties",6606,,4394,4219,4291,65.0,12358,,2410,2210,2315,35.0,4881
"Municipalities",21552,,18626,16623,17140,79.5,60873,,6019,3579,4412,20.5,10447
,,,,,,,,,,,,,
"Oklahoma",10297,,7891,7444,7608,73.9,19601,,2957,2513,2689,26.1,5066
"State",1714,,952,952,952,55.5,2564,,777,753,762,44.5,1628
"Local, total",8583,,6939,6492,6656,77.5,17037,,2180,1760,1927,22.5,3438
"Counties",2019,,1519,1350,1399,69.3,2417,,697,548,620,30.7,1047
"Municipalities",6564,,5420,5142,5257,80.1,14620,,1483,1212,1307,19.9,2391
,,,,,,,,,,,,,
"Oregon",7854,,5794,5545,5623,71.6,21689,,2359,2060,2231,28.4,6466
"State",1394,,953,901,930,66.7,3457,,505,436,464,33.3,1256
"Local, total",6460,,4841,4644,4693,72.6,18232,,1854,1624,1767,27.4,5211
"Counties",2088,,1546,1452,1485,71.1,5246,,628,581,603,28.9,1930
"Municipalities",4372,,3295,3192,3208,73.4,12986,,1226,1043,1164,26.6,3281
,,,,,,,,,,,,,
"Pennsylvania",30434,,26328,22824,24126,79.3,85920,,8946,4389,6308,20.7,16105
"State",5391,,4112,4112,4112,76.3,15758,,1279,1162,1279,23.7,4592
"Local, total",25043,,22216,18712,20014,79.9,70163,,7667,3227,5029,20.1,11514
"Counties",2224,,1234,1002,1099,49.4,2927,,1287,1007,1125,50.6,2542
"Municipalities",22819,,20982,17710,18915,82.9,67236,,6380,2220,3904,17.1,8972
,,,,,,,,,,,,,
"Rhode Island",2877,,2299,2285,2292,79.7,8704,,738,500,585,20.3,1325
"State",279,,209,209,209,74.9,1039,,71,70,70,25.1,219
"Local, total",2598,,2090,2076,2083,80.2,7665,,667,430,515,19.8,1106
"Municipalities",2598,,2090,2076,2083,80.2,7665,,667,430,515,19.8,1106
,,,,,,,,,,,,,
"South Carolina",12141,,8907,8762,8858,73.0,22160,,3678,3064,3283,27.0,6562
"State",2747,,1340,1340,1340,48.8,3764,,1417,1402,1407,51.2,3390
"Local, total",9394,,7567,7422,7518,80.0,18396,,2261,1662,1876,20.0,3172
"Counties",4507,,3500,3465,3470,77.0,8326,,1307,883,1037,23.0,1721
"Municipalities",4887,,4067,3957,4048,82.8,10069,,954,779,839,17.2,1451
,,,,,,,,,,,,,
"South Dakota",1788,,1428,1298,1343,75.1,3491,,518,397,445,24.9,781
"State",273,,187,185,186,68.1,537,,90,85,87,31.9,171
"Local, total",1515,,1241,1113,1157,76.4,2953,,428,312,358,23.6,610
"Counties",619,,463,411,426,68.8,999,,222,162,193,31.2,286
"Municipalities",896,,778,702,731,81.6,1955,,206,150,165,18.4,324
,,,,,,,,,,,,,
"Tennessee",16160,,12601,12186,12336,76.3,32459,,4082,3688,3824,23.7,7878
"State",1760,,956,956,956,54.3,3020,,807,801,804,45.7,1670
"Local, total",14400,,11645,11230,11380,79.0,29440,,3275,2887,3020,21.0,6208
"Counties",4227,,3461,3368,3405,80.6,7934,,862,779,822,19.4,1461
"Municipalities",10173,,8184,7862,7975,78.4,21505,,2413,2108,2198,21.6,4747
,,,,,,,,,,,,,
"Texas",57119,,43070,42367,42574,74.5,132198,,16323,13766,14545,25.5,31466
"State",3579,,1469,1469,1469,41.0,4665,,2132,2092,2110,59.0,5541
"Local, total",53540,,41601,40898,41105,76.8,127533,,14191,11674,12435,23.2,25925
"Counties",14643,,11697,11475,11580,79.1,30773,,3216,2916,3063,20.9,6353
"Municipalities",38897,,29904,29423,29525,75.9,96760,,10975,8758,9372,24.1,19572
,,,,,,,,,,,,,
"Utah",5225,,3565,3451,3493,66.9,10958,,2271,1316,1732,33.1,3763
"State",724,,386,386,386,53.3,1309,,361,319,338,46.7,939
"Local, total",4501,,3179,3065,3107,69.0,9649,,1910,997,1394,31.0,2824
"Counties",1536,,1085,1038,1055,68.7,3237,,600,378,481,31.3,1071
"Municipalities",2965,,2094,2027,2052,69.2,6412,,1310,619,913,30.8,1752
,,,,,,,,,,,,,
"Vermont",1266,,1033,865,928,73.3,2969,,392,285,338,26.7,796
"State",469,,330,304,308,65.7,1200,,175,139,161,34.3,421
"Local, total",797,,703,561,620,77.8,1769,,217,146,177,22.2,375
"Counties",19,,4,2,2,10.5,6,,17,17,17,89.5,31
"Municipalities",778,,699,559,618,79.4,1764,,200,129,160,20.6,345
,,,,,,,,,,,,,
"Virginia",17644,,13892,13612,13744,77.9,44892,,4362,3470,3900,22.1,8737
"State",2504,,1764,1764,1764,70.4,6160,,826,681,740,29.6,1766
"Local, total",15140,,12128,11848,11980,79.1,38732,,3536,2789,3160,20.9,6971
"Counties",6668,,5225,5068,5145,77.2,17786,,1759,1265,1523,22.8,3480
"Municipalities",8472,,6903,6780,6835,80.7,20945,,1777,1524,1637,19.3,3491
,,,,,,,,,,,,,
"Washington",13123,,9096,8960,9006,68.6,38777,,4349,3978,4117,31.4,11816
"State",2132,,925,925,925,43.4,4134,,1208,1207,1207,56.6,3300
"Local, total",10991,,8171,8035,8081,73.5,34643,,3141,2771,2910,26.5,8516
"Counties",3753,,2649,2613,2631,70.1,10477,,1190,1077,1122,29.9,3208
"Municipalities",7238,,5522,5422,5450,75.3,24166,,1951,1694,1788,24.7,5308
,,,,,,,,,,,,,
"West Virginia",3615,,2895,2787,2858,79.1,6872,,866,662,757,20.9,1287
"State",951,,645,645,645,67.8,1944,,314,299,306,32.2,550
"Local, total",2664,,2250,2142,2213,83.1,4928,,552,363,451,16.9,737
"Counties",856,,743,735,739,86.3,1582,,130,102,117,13.7,199
"Municipalities",1808,,1507,1407,1474,81.5,3346,,422,261,334,18.5,538
,,,,,,,,,,,,,
"Wisconsin",16442,,13322,12369,12563,76.4,46392,,5257,3325,3879,23.6,9203
"State",836,,567,566,566,67.7,1772,,285,260,270,32.3,798
"Local, total",15606,,12755,11803,11997,76.9,44620,,4972,3065,3609,23.1,8405
"Counties",3938,,3097,2886,2958,75.1,9901,,1124,910,980,24.9,2638
"Municipalities",11668,,9658,8917,9039,77.5,34719,,3848,2155,2629,22.5,5767
,,,,,,,,,,,,,
"Wyoming",1620,,1073,1067,1072,66.2,2967,,628,507,548,33.8,1101
"State",189,,111,111,111,58.7,324,,78,78,78,41.3,221
"Local, total",1431,,962,956,961,67.2,2643,,550,429,470,32.8,880
"Counties",566,,345,344,345,61.0,860,,241,209,221,39.0,403
"Municipalities",865,,617,612,616,71.2,1783,,309,220,249,28.8,477
,,,,,,,,,,,,,
"Notes: March payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection",,,,,,,,,,,,,
"March payrolls on table 6.  Local government data are estimates subject to variability.",,,,,,,,,,,,,
