"Franklin, OH","12",129498,129168,119554,9614,330,,18911,18911,16602,2309,0,,57690,57690,56519,1171,0,,52897,52567,46433,6134,5670,330,"Franklin, OH"
"Fresno, CA","06",140867,140867,139548,1319,0,,38879,38879,38618,261,0,,51389,51389,51125,264,0,,50599,50599,49805,794,788,0,"Fresno, CA"
"Fulton, GA","12",132307,132307,128080,4227,0,,35342,35342,32415,2927,0,,56011,56011,54922,1089,0,,40954,40954,40743,211,0,0,"Fulton, GA"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton, OH","12",115780,112432,110946,1486,3348,,46783,43435,43342,93,3348,,51645,51645,50252,1393,0,,17352,17352,17352,0,0,0,"Hamilton, OH"
"Harris, TX","12",461598,461598,429054,32544,0,,138106,138106,133637,4469,0,,115447,115447,112532,2915,0,,208045,208045,182885,25160,24341,0,"Harris, TX"
"Hennepin, MN","12",216392,216392,190672,25720,0,,53057,53057,47282,5775,0,,78121,78121,74802,3319,0,,85214,85214,68588,16626,6729,0,"Hennepin, MN"
"Hillsborough, FL","09",220789,220789,202017,18772,0,,102625,102625,96348,6277,0,,50952,50952,48930,2022,0,,67212,67212,56739,10473,4121,0,"Hillsborough, FL"
"Hudson, NJ","12",,,,,,,,,,,,,,,,,,,,,,,,,"Hudson, NJ"
"Jackson, MO","12",,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, MO"
"Jefferson, AL","09",59985,59985,55941,4044,0,,25531,25531,22169,3362,0,,16994,16994,16327,667,0,,17460,17460,17445,15,0,0,"Jefferson, AL"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson, KY","06",72884,72884,72884,0,0,,36954,36954,36954,0,0,,4446,4446,4446,0,0,,31484,31484,31484,0,0,0,"Jefferson, KY"
"King, WA","12",295507,295507,276412,19095,0,,73307,73307,72880,427,0,,147997,147997,129593,18404,0,,74203,74203,73939,264,133,0,"King, WA"
"Lake, IN","12",40621,40171,39717,454,450,,11314,11314,11228,86,0,,17248,17248,17054,194,0,,12059,11609,11435,174,0,450,"Lake, IN"
"Los Angeles, CA","06",2844987,2799271,2674782,124489,45716,,1210581,1164865,1085043,79822,45716,,1006488,1006488,970930,35558,0,,627918,627918,618809,9109,948,0,"Los Angeles, CA"
"Macomb, WI","12",64790,64790,64407,383,0,,20775,20775,20450,325,0,,29378,29378,29368,10,0,,14637,14637,14589,48,48,0,"Macomb, WI"
"Maricopa, AZ","06",316509,316509,307188,9321,0,,68146,68146,63420,4726,0,,147670,147670,143992,3678,0,,100693,100693,99776,917,11,0,"Maricopa, AZ"
"Middlesex, NJ","12",52006,52006,52006,0,0,,11479,11479,11479,0,0,,17569,17569,17569,0,0,,22958,22958,22958,0,0,0,"Middlesex, NJ"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI","12",160767,160767,148516,12251,0,,23161,23161,23161,0,0,,56591,56591,56591,0,0,,81015,81015,68764,12251,12251,0,"Milwaukee, WI"
"Monmouth, NJ","12",62636,58491,58274,217,4145,,8148,8148,8111,37,0,,23597,23597,23597,0,0,,30891,26746,26566,180,180,4145,"Monmouth, NJ"
"Monroe, NY","12",122888,118401,117060,1341,4487,,38185,38185,36882,1303,0,,22967,22967,22967,0,0,,61736,57249,57211,38,0,4487,"Monroe, NY"
"Montgomery, MD","06",161265,160888,135716,25172,377,,105966,105589,91375,14214,377,,23918,23918,20507,3411,0,,31381,31381,23834,7547,7547,0,"Montgomery, MD"
"Montgomery, OH","12",90174,88017,86025,1992,2157,,20934,20934,20200,734,0,,44062,44062,42811,1251,0,,25178,23021,23014,7,0,2157,"Montgomery, OH"
"Montgomery, PA","12",61972,49989,49679,310,11983,,514,514,502,12,0,,29430,29430,29277,153,0,,32028,20045,19900,145,0,11983,"Montgomery, PA"
"Multnomah, OR","06",132193,132193,114411,17782,0,,22525,22525,22419,106,0,,26914,26914,26730,184,0,,82754,82754,65262,17492,17395,0,"Multnomah, OR"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nassau, NY","12",659998,658077,636079,21998,1921,,458856,458856,439639,19217,0,,49800,49800,49792,8,0,,151342,149421,146648,2773,2656,1921,"Nassau, NY"
"Norfolk, MA","06",18577,18577,18577,0,0,,0,0,0,0,0,,467,467,467,0,0,,18110,18110,18110,0,0,0,"Norfolk, MA"
"Oakland, MI","12",114345,111715,109774,1941,2630,,25286,25286,24756,530,0,,42837,42837,42816,21,0,,46222,43592,42202,1390,0,2630,"Oakland, MI"
"Oklahoma, OK","06",20353,20209,19133,1076,144,,5725,5725,5390,335,0,,3460,3316,3282,34,144,,11168,11168,10461,707,0,0,"Oklahoma, OK"
"Orange, CA","06",459554,419459,405300,14159,40095,,137061,135306,132375,2931,1755,,173804,135464,132342,3122,38340,,148689,148689,140583,8106,7552,0,"Orange, CA"
"Palm Beach, FL","09",258547,258547,224996,33551,0,,131731,131731,109947,21784,0,,50058,50058,38438,11620,0,,76758,76758,76611,147,0,0,"Palm Beach, FL"
"Pima, AZ","06",159996,159996,156351,3645,0,,43686,43686,42797,889,0,,69103,69103,66851,2252,0,,47207,47207,46703,504,0,0,"Pima, AZ"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinellas, FL","09",155367,155367,136764,18603,0,,64771,64771,61650,3121,0,,42549,42549,30304,12245,0,,48047,48047,44810,3237,3119,0,"Pinellas, FL"
"Prince Georges, MD","06",144010,144010,143768,242,0,,92180,92180,92172,8,0,,25706,25706,25706,0,0,,26124,26124,25890,234,227,0,"Prince Georges, MD"
"Riverside, CA","06",342090,340252,321741,18511,1838,,118776,118776,117678,1098,0,,120227,120227,103287,16940,0,,103087,101249,100776,473,355,1838,"Riverside, CA"
"Sacramento, CA","06",356733,309151,297457,11694,47582,,86509,86509,85173,1336,0,,159635,117876,116848,1028,41759,,110589,104766,95436,9330,9294,5823,"Sacramento, CA"
"St. Louis, MO","12",86209,86209,83488,2721,0,,43680,43680,41870,1810,0,,14447,14447,14208,239,0,,28082,28082,27410,672,0,0,"St. Louis, MO"
"Salt Lake, UT","12",135281,135281,99423,35858,0,,53352,53352,52297,1055,0,,25790,25790,25442,348,0,,56139,56139,21684,34455,34339,0,"Salt Lake, UT"
"San Bernadino, CA","06",324313,304726,287346,17380,19587,,117664,117664,105496,12168,0,,114124,95749,94628,1121,18375,,92525,91313,87222,4091,0,1212,"San Bernadino, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA","06",602003,602003,529356,72647,0,,110493,110493,107029,3464,0,,313513,313513,244660,68853,0,,177997,177997,177667,330,0,0,"San Diego, CA"
"San Mateo, CA","06",166659,166659,165828,831,0,,36011,36011,35293,718,0,,79335,79335,79222,113,0,,51313,51313,51313,0,0,0,"San Mateo, CA"
"Santa Clara, CA","06",476566,476566,453525,23041,0,,42491,42491,40370,2121,0,,238163,238163,234149,4014,0,,195912,195912,179006,16906,15427,0,"Santa Clara, CA"
"Shelby, TN","06",158701,158701,154248,4453,0,,36665,36665,32688,3977,0,,46283,46283,45937,346,0,,75753,75753,75623,130,0,0,"Shelby, TN"
"Suffolk, NY","12",487301,465712,449626,16086,21589,,353741,353741,344680,9061,0,,56996,36954,33218,3736,20042,,76564,75017,71728,3289,3031,1547,"Suffolk, NY"
"Summit, OH","12",47185,47185,46696,489,0,,18062,18062,17953,109,0,,21264,21264,20919,345,0,,7859,7859,7824,35,0,0,"Summit, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarrant, TX","12",135619,135619,131509,4110,0,,14493,14493,13244,1249,0,,51725,51725,51308,417,0,,69401,69401,66957,2444,936,0,"Tarrant, TX"
"Union, NJ","12",,,,,,,,,,,,,,,,,,,,,,,,,"Union, NJ"
"Ventura, CA","06",211270,211270,209692,1578,0,,65452,65452,64170,1282,0,,77978,77978,77874,104,0,,67840,67840,67648,192,192,0,"Ventura, CA"
"Wayne, MI","12",299044,262090,260786,1304,36954,,25808,25808,25555,253,0,,138328,138328,137900,428,0,,134908,97954,97331,623,0,36954,"Wayne, MI"
"Westchester, NY","12",146325,146325,143153,3172,0,,18137,18137,15348,2789,0,,37121,37121,36954,167,0,,91067,91067,90851,216,0,0,"Westchester, NY"
"Worcester, MA","06",,,,,,,,,,,,,,,,,,,,,,,,,"Worcester, MA"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:  Fiscal years end between July 1997 and June 1998.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jurisdictions without data did not report for 1998.",,,,,,,,,,,,,,,,,,,,,,,,,,
"a/ In 1997 Middlesex County in Massachusetts was abolished.  Thus it is no longer being included in this table.",,,,,,,,,,,,,,,,,,,,,,,,,,
"The county taking its place among the 68 large counties in this table is DeKalb, Georgia.",,,,,,,,,,,,,,,,,,,,,,,,,,
