"Bureau of Justice Statistics",,,,,,,,,,
"Local, total","-",1894332,125145,6.6,78202,62.5,35041,28.0,11902,9.5
"Counties","-",389896,83848,21.5,43469,51.8,28671,34.2,11708,14.0
"Municipalities","-",379903,41297,10.9,34733,84.1,6370,15.4,194,0.5
,,,,,,,,,,
"Nebraska",1663,9497688,444909,4.7,189473,42.6,85892,19.3,169544,38.1
"State","-",3462378,191667,5.5,37344,19.5,35544,18.5,118779,62.0
"Local, total","-",6035310,253242,4.2,152129,60.1,50348,19.9,50765,20.0
"Counties","-",691428,140256,20.3,43622,31.1,45869,32.7,50765,36.2
"Municipalities","-",1418965,112986,8.0,108507,96.0,4479,4.0,0,0.0
,,,,,,,,,,
"Nevada",1747,9770697,978089,10.0,420786,43.0,189375,19.4,367928,37.6
"State","-",3482405,275959,7.9,43767,15.9,31539,11.4,200653,72.7
"Local, total","-",6288292,702130,11.2,377019,53.7,157836,22.5,167275,23.8
"Counties","-",2899063,512298,17.7,254137,49.6,126315,24.7,131846,25.7
"Municipalities","-",1069462,189832,17.8,122882,64.7,31521,16.6,35429,18.7
,,,,,,,,,,
"New Hampshire",1185,5632511,339867,6.0,164726,48.5,87291,25.7,87850,25.8
"State","-",3022498,163097,5.4,31944,19.6,71145,43.6,60008,36.8
"Local, total","-",2610013,176770,6.8,132782,75.1,16146,9.1,27842,15.8
"Counties","-",192316,45061,23.4,10444,23.2,6775,15.0,27842,61.8
"Municipalities","-",1265995,131709,10.4,122338,92.9,9371,7.1,0,0.0
,,,,,,,,,,
"New Jersey",8115,50855120,4272929,8.4,1917652,44.9,974158,22.8,1381119,32.3
"State","-",24525531,1710862,7.0,246420,14.4,469179,27.4,995263,58.2
"Local, total","-",26329589,2562067,9.7,1671232,65.2,504979,19.7,385856,15.1
"Counties","-",5617030,876520,15.6,133994,15.3,360273,41.1,382253,43.6
"Municipalities","-",9184955,1685547,18.4,1537238,91.2,144706,8.6,3603,0.2
,,,,,,,,,,
"New Mexico",1737,9787191,722452,7.4,303499,42.0,147130,20.4,271823,37.6
"State","-",5352671,374462,7.0,54484,14.5,124896,33.4,195082,52.1
"Local, total","-",4434520,347990,7.8,249015,71.6,22234,6.4,76741,22.1
"Counties","-",686137,118501,17.3,65745,55.5,9412,7.9,43344,36.6
"Municipalities","-",1598979,229489,14.4,183270,79.9,12822,5.6,33397,14.6
,,,,,,,,,,
"New York",18175,152874913,11320243,7.4,5139274,45.4,2092631,18.5,4088338,36.1
"State","-",60066941,3868233,6.4,387581,10.0,1323657,34.2,2156995,55.8
"Local, total","-",92807972,7452010,8.0,4751693,63.8,768974,10.3,1931343,25.9
"Counties","-",13511759,2136556,15.8,1098391,51.4,266921,12.5,771244,36.1
"Municipalities","-",58565962,5315454,9.1,3653302,68.7,502053,9.4,1160099,21.8
,,,,,,,,,,
"North Carolina",7546,38973532,2699877,6.9,1125051,41.7,433990,16.1,1140836,42.3
"State","-",16676462,1544187,9.3,245771,15.9,346628,22.4,951788,61.6
"Local, total","-",22297070,1155690,5.2,879280,76.1,87362,7.6,189048,16.4
"Counties","-",14743112,561216,3.8,293994,52.4,78174,13.9,189048,33.7
"Municipalities","-",5259296,594474,11.3,585286,98.5,9188,1.5,0,0.0
,,,,,,,,,,
"North Dakota",638,3561585,141377,4.0,61826,43.7,38461,27.2,41090,29.1
"State","-",1985368,67338,3.4,10772,16.0,25513,37.9,31053,46.1
"Local, total","-",1576217,74039,4.7,51054,69.0,12948,17.5,10037,13.6
"Counties","-",246195,40161,16.3,19198,47.8,11102,27.6,9861,24.6
"Municipalities","-",503699,33878,6.7,31856,94.0,1846,5.4,176,0.5
,,,,,,,,,,
"Ohio",11209,60166739,4502318,7.5,1926244,42.8,935511,20.8,1640563,36.4
"State","-",27994895,1613588,5.8,192213,11.9,171739,10.6,1249636,77.4
"Local, total","-",32171844,2888730,9.0,1734031,60.0,763772,26.4,390927,13.5
"Counties","-",7442134,1310165,17.6,377885,28.8,565576,43.2,366704,28.0
"Municipalities","-",9239503,1578565,17.1,1356146,85.9,198196,12.6,24223,1.5
,,,,,,,,,,
"Oklahoma",3347,14681542,1006585,6.9,395509,39.3,158952,15.8,452124,44.9
"State","-",7165749,536277,7.5,27349,5.1,117639,21.9,391289,73.0
"Local, total","-",7515793,470308,6.3,368160,78.3,41313,8.8,60835,12.9
"Counties","-",815113,121749,14.9,43355,35.6,17752,14.6,60642,49.8
"Municipalities","-",3028238,348559,11.5,324805,93.2,23561,6.8,193,0.1
,,,,,,,,,,
"Oregon",3282,20825811,1511215,7.3,587212,38.9,247751,16.4,676252,44.7
"State","-",9758876,646644,6.6,106856,16.5,150284,23.2,389504,60.2
"Local, total","-",11066935,864571,7.8,480356,55.6,97467,11.3,286748,33.2
"Counties","-",2087332,546700,26.2,181756,33.2,79316,14.5,285628,52.2
"Municipalities","-",2523300,317871,12.6,298600,93.9,18151,5.7,1120,0.4
,,,,,,,,,,
"Pennsylvania",12001,65856251,4808599,7.3,1972573,41.0,937580,19.5,1898446,39.5
"State","-",30645826,2154646,7.0,692047,32.1,278959,12.9,1183640,54.9
"Local, total","-",35210425,2653953,7.5,1280526,48.2,658621,24.8,714806,26.9
"Counties","-",4913914,994340,20.2,91007,9.2,419185,42.2,484148,48.7
"Municipalities","-",9394571,1659613,17.7,1189519,71.7,239436,14.4,230658,13.9
,,,,,,,,,,
"Rhode Island",988,5632241,393320,7.0,173340,44.1,93402,23.7,126578,32.2
"State","-",3416319,237113,6.9,24995,10.5,85540,36.1,126578,53.4
"Local, total","-",2215922,156207,7.0,148345,95.0,7862,5.0,0,0.0
"Municipalities","-",2009079,156207,7.8,148345,95.0,7862,5.0,0,0.0
,,,,,,,,,,
"South Carolina",3836,19873058,1252265,6.3,537615,42.9,166539,13.3,548111,43.8
"State","-",10432837,637329,6.1,159241,25.0,55328,8.7,422760,66.3
"Local, total","-",9440221,614936,6.5,378374,61.5,111211,18.1,125351,20.4
"Counties","-",2177556,396479,18.2,180671,45.6,96704,24.4,119104,30.0
"Municipalities","-",1649483,218457,13.2,197703,90.5,14507,6.6,6247,2.9
,,,,,,,,,,
"South Dakota",738,3408899,190841,5.6,81478,42.7,35144,18.4,74219,38.9
"State","-",1751647,93631,5.3,17003,18.2,19233,20.5,57395,61.3
"Local, total","-",1657252,97210,5.9,64475,66.3,15911,16.4,16824,17.3
"Counties","-",229342,52225,22.8,21283,40.8,14786,28.3,16156,30.9
"Municipalities","-",580294,44985,7.8,43192,96.0,1125,2.5,668,1.5
,,,,,,,,,,
"Tennessee",5431,28631844,1761671,6.2,807975,45.9,358446,20.3,595250,33.8
"State","-",10851359,619451,5.7,97332,15.7,162139,26.2,359980,58.1
"Local, total","-",17780485,1142220,6.4,710643,62.2,196307,17.2,235270,20.6
"Counties","-",6822913,533498,7.8,197872,37.1,141223,26.5,194403,36.4
"Municipalities","-",9862784,608722,6.2,512771,84.2,55084,9.0,40867,6.7
,,,,,,,,,,
"Texas",19760,93270035,7676657,8.2,2919722,38.0,1178392,15.4,3578543,46.6
"State","-",37037885,3164143,8.5,285056,9.0,367373,11.6,2511714,79.4
"Local, total","-",56232150,4512514,8.0,2634666,58.4,811019,18.0,1066829,23.6
"Counties","-",7676421,2268916,29.6,573658,25.3,654092,28.8,1041166,45.9
"Municipalities","-",16188460,2243598,13.9,2061008,91.9,156927,7.0,25663,1.1
,,,,,,,,,,
"Utah",2100,11649342,781574,6.7,330892,42.3,164511,21.0,286171,36.6
"State","-",5753306,354295,6.2,61277,17.3,105350,29.7,187668,53.0
"Local, total","-",5896036,427279,7.2,269615,63.1,59161,13.8,98503,23.1
"Counties","-",903419,246717,27.3,102805,41.7,45409,18.4,98503,39.9
"Municipalities","-",1534281,180562,11.8,166810,92.4,13752,7.6,0,0.0
,,,,,,,,,,
"Vermont",591,3296397,142964,4.3,70129,49.1,33677,23.6,39158,27.4
"State","-",1939702,101692,5.2,31276,30.8,31317,30.8,39099,38.4
"Local, total","-",1356695,41272,3.0,38853,94.1,2360,5.7,59,0.1
"Counties","-",6132,2202,35.9,1025,46.5,1125,51.1,52,2.4
"Municipalities","-",504964,39070,7.7,37828,96.8,1235,3.2,7,0.0
,,,,,,,,,,
"Virginia",6791,33118871,2514865,7.6,1049091,41.7,425961,16.9,1039813,41.3
"State","-",14869143,1085767,7.3,174356,16.1,201434,18.6,709977,65.4
"Local, total","-",18249728,1429098,7.8,874735,61.2,224527,15.7,329836,23.1
"Counties","-",9309395,736543,7.9,440415,59.8,127268,17.3,168860,22.9
"Municipalities","-",7500121,692555,9.2,434320,62.7,97259,14.0,160976,23.2
,,,,,,,,,,
"Washington",5689,37858771,2288192,6.0,899403,39.3,497168,21.7,891621,39.0
"State","-",16831888,770093,4.6,139342,18.1,65787,8.5,564964,73.4
"Local, total","-",21026883,1518099,7.2,760061,50.1,431381,28.4,326657,21.5
"Counties","-",3930072,876608,22.3,245043,28.0,340666,38.9,290899,33.2
"Municipalities","-",5004621,641491,12.8,515018,80.3,90715,14.1,35758,5.6
,,,,,,,,,,
"West Virginia",1811,9140842,390683,4.3,144137,36.9,100828,25.8,145718,37.3
"State","-",5618700,233246,4.2,43660,18.7,69573,29.8,120013,51.5
"Local, total","-",3522142,157437,4.5,100477,63.8,31255,19.9,25705,16.3
"Counties","-",564871,84907,15.0,33610,39.6,25868,30.5,25429,29.9
"Municipalities","-",699646,72530,10.4,66867,92.2,5387,7.4,276,0.4
,,,,,,,,,,
"Wisconsin",5224,29333383,2166142,7.4,959773,44.3,384837,17.8,821532,37.9
"State","-",11520453,798458,6.9,59643,7.5,172872,21.7,565943,70.9
"Local, total","-",17812930,1367684,7.7,900130,65.8,211965,15.5,255589,18.7
"Counties","-",4193972,694832,16.6,266486,38.4,173169,24.9,255177,36.7
"Municipalities","-",4966757,672852,13.5,633644,94.2,38796,5.8,412,0.1
,,,,,,,,,,
"Wyoming",481,3345733,188801,5.6,81961,43.4,48033,25.4,58807,31.1
"State","-",1461465,81687,5.6,11013,13.5,29730,36.4,40944,50.1
"Local, total","-",1884268,107114,5.7,70948,66.2,18303,17.1,17863,16.7
"Counties","-",401339,57655,14.4,26433,45.8,13862,24.0,17360,30.1
"Municipalities","-",366873,49459,13.5,44515,90.0,4441,9.0,503,1.0
,,,,,,,,,,
"Notes:  Local government data are estimates subject to variability.",,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 1998.",,,,,,,,,,
"a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts",,,,,,,,,,
"and special districts, which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not",,,,,,,,,,
"equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
"b/ Justice system expenditure of special districts and independent school districts (primarily for special police forces) are not",,,,,,,,,,
"available.",,,,,,,,,,
