"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9816.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 16.  Justice system employment and payrolls of 49 large city governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  10/12/2001",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                Total justice system",,,,,,"                                                     Police protection",,,,,,"                                                        Judicial and legal",,"    Judicial and legal",,,,"                                                      Corrections",,,,,
"Baltimore, MD",5049,4663,4869,15483,3266,,4298,3912,4118,13069,3276,,751,751,751,2414,3214,,0,0,0,0,0,"Baltimore, MD"
"Baton Rouge, LA",2291,2002,2114,6240,3024,,1257,1106,1187,3654,3226,,634,535,551,1434,2524,,400,361,376,1152,3147,"Baton Rouge, LA"
"Boston, MA",3001,2814,2908,10495,3684,,2956,2769,2863,10320,3681,,45,45,45,175,3879,,0,0,0,0,0,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",1357,1163,1242,4189,3515,,1326,1135,1212,4081,3508,,31,28,30,108,3788,,0,0,0,0,0,"Buffalo, NY"
"Charlotte, NC",1678,1583,1607,5204,3270,,1657,1565,1588,5116,3253,,21,18,19,88,4717,,0,0,0,0,0,"Charlotte, NC"
"Chicago, IL",17634,17634,17634,91580,5193,,17166,17166,17166,89693,5225,,468,468,468,1887,4032,,0,0,0,0,0,"Chicago, IL"
"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,,,,"Cincinnati, OH"
"Cleveland, OH",3464,2931,3061,10091,3333,,2828,2352,2448,8371,3451,,544,495,523,1480,2873,,92,84,90,241,2715,"Cleveland, OH"
"Columbus, OH",2605,2555,2584,9490,3695,,2134,2134,2134,8296,3888,,416,368,396,1051,2730,,55,53,54,142,2631,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",4282,3916,3962,14466,3649,,3923,3568,3608,13297,3681,,359,348,354,1168,3322,,0,0,0,0,0,"Dallas, TX"
"Denver, CO",,,,,,,,,,,,,,,,,,,,,,,,"Denver, CO"
"Detroit, MI",5290,5290,5290,18451,3488,,4583,4583,4583,15631,3411,,707,707,707,2821,3990,,0,0,0,0,0,"Detroit, MI"
"El Paso, TX",,,,,,,,,,,,,,,,,,,,,,,,"El Paso, TX"
"Fort Worth, TX",1841,1659,1737,5767,3416,,1676,1501,1573,5309,3480,,165,158,164,458,2816,,0,0,0,0,0,"Fort Worth, TX"
"Honolulu, HI",2911,2758,2789,10894,3930,,2570,2431,2457,9673,3961,,341,327,332,1221,3705,,0,0,0,0,0,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",8237,8122,8186,23198,2815,,7468,7445,7456,21135,2836,,769,677,730,2063,2585,,0,0,0,0,0,"Houston, TX"
"Indianapolis, IN",3437,3309,3375,9645,2885,,2214,2152,2160,6929,3214,,889,837,887,1947,2234,,334,320,328,769,2375,"Indianapolis, IN"
"Jacksonville, FL",2549,2549,2549,9369,3676,,1778,1778,1778,6863,3860,,105,105,105,419,3988,,666,666,666,2088,3135,"Jacksonville, FL"
"Kansas City, MO",2180,2179,2179,6665,3057,,1930,1930,1930,6051,3135,,162,161,161,436,2695,,88,88,88,177,2016,"Kansas City, MO"
"Long Beach, CA",1456,1342,1421,6718,4900,,1358,1249,1325,6218,4873,,98,93,96,500,5270,,0,0,0,0,0,"Long Beach, CA"
"Los Angeles, CA",13297,13273,13286,66159,4978,,12557,12554,12555,61997,4938,,740,719,731,4162,5682,,0,0,0,0,0,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",2500,2500,2500,7338,2935,,2390,2390,2390,7007,2932,,110,110,110,330,3002,,0,0,0,0,0,"Memphis, TN"
"Miami, FL",1497,1376,1497,5991,4254,,1456,1335,1456,5806,4246,,41,41,41,185,4512,,0,0,0,0,0,"Miami, FL"
"Milwaukee, WI",4190,3905,3963,16070,4087,,4046,3771,3826,15407,4059,,144,134,137,663,4895,,0,0,0,0,0,"Milwaukee, WI"
"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,,,,"Minneapolis, MN"
"Nashville, TN",3338,3237,3285,8243,2516,,1863,1863,1863,4742,2546,,930,840,883,2303,2639,,545,534,539,1197,2221,"Nashville, TN"
"Newark, NJ",,,,,,,,,,,,,,,,,,,,,,,,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",3753,3466,3633,10115,2855,,2066,1889,1958,5239,2740,,428,419,423,676,1600,,1259,1158,1252,4201,3498,"New Orleans, LA"
"New York, NY",69598,67089,67569,270731,4008,,48631,46621,46923,187572,3998,,5671,5330,5456,18453,3380,,15296,15138,15190,64705,4261,"New York, NY"
"Oakland, CA",1189,1077,1169,6299,5720,,1134,1022,1114,5985,5720,,55,55,55,314,5707,,0,0,0,0,0,"Oakland, CA"
"Oklahoma City, OK",1485,1372,1389,5045,3656,,1354,1249,1260,4592,3661,,124,116,122,433,3651,,7,7,7,20,2805,"Oklahoma City, OK"
"Omaha, NE",916,898,909,3600,3986,,880,864,874,3451,3973,,36,34,35,149,4317,,0,0,0,0,0,"Omaha, NE"
"Philadelphia, PA",14437,13439,13850,47677,3479,,8841,7849,8257,30195,3730,,3240,3234,3237,10312,3187,,2356,2356,2356,7171,3044,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",3991,3844,3907,15219,3907,,3373,3283,3329,13122,3962,,618,561,578,2097,3584,,0,0,0,0,0,"Phoenix, AZ"
"Pittsburgh, PA",1463,1206,1369,5093,3962,,1322,1100,1239,4759,4079,,87,66,81,213,2821,,54,40,49,122,2631,"Pittsburgh, PA"
"Portland, OR",1419,1393,1406,6273,4477,,1378,1353,1365,6062,4455,,41,40,41,211,5214,,0,0,0,0,0,"Portland, OR"
"St.Louis, MO",3439,3384,3401,10499,3089,,2283,2271,2273,7550,3322,,544,507,519,1361,2623,,612,606,609,1587,2605,"St.Louis, MO"
"San Antonio, TX",2870,2584,2722,9038,3426,,2643,2371,2500,8487,3510,,227,213,222,550,2497,,0,0,0,0,0,"San Antonio, TX"
"San Diego, CA",2974,2928,2954,13199,4471,,2698,2665,2683,11986,4470,,276,263,271,1213,4482,,0,0,0,0,0,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",5017,5017,5017,22801,4545,,2537,2537,2537,11329,4466,,1297,1297,1297,6813,5253,,1183,1183,1183,4659,3938,"San Francisco, CA"
"San Jose, CA",1967,1800,1848,9919,5442,,1886,1720,1767,9416,5403,,81,80,81,503,6262,,0,0,0,0,0,"San Jose, CA"
"Seattle, WA",2173,2102,2142,9399,4402,,1751,1738,1747,7911,4537,,387,338,364,1373,3762,,35,26,31,115,3699,"Seattle, WA"
"Toledo, OH",1023,1023,1023,3966,3877,,813,813,813,3335,4102,,210,210,210,631,3006,,0,0,0,0,0,"Toledo, OH"
"Tucson, AZ",,,,,,,,,,,,,,,,,,,,,,,,"Tucson, AZ"
"Tulsa, OK",1012,998,1010,3512,3501,,930,920,929,3270,3543,,82,78,81,242,3010,,0,0,0,0,0,"Tulsa, OK"
"Washington, DC",7939,7785,7863,29212,3724,,4335,4217,4276,16621,3911,,355,344,350,1376,3928,,3249,3224,3237,11215,3459,"Washington, DC"
,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Jurisdictions without data did not report for 1998.",,,,,,,,,,,,,,,,,,,,,,,,
