"Nevada",281868,275959,238597,37362,5909,,43838,43767,39127,4640,71,,32480,31539,30842,697,941,,205550,200653,168628,32025,28480,4897,"Nevada"
"New Hampshire",169586,163097,153863,9234,6489,,32784,31944,26576,5368,840,,76214,71145,68424,2721,5069,,60588,60008,58863,1145,717,580,"New Hampshire"
"New Jersey",1813050,1710862,1649061,61801,102188,,252699,246420,234256,12164,6279,,493456,469179,456189,12990,24277,,1066895,995263,958616,36647,18527,71632,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",375884,374462,363545,10917,1422,,54659,54484,52126,2358,175,,124896,124896,123025,1871,0,,196329,195082,188394,6688,6095,1247,"New Mexico"
"New York",4166994,3868233,3353234,514999,298761,,419160,387581,347361,40220,31579,,1375739,1323657,1157221,166436,52082,,2372095,2156995,1848652,308343,289881,215100,"New York"
"North Carolina",1583203,1544187,1432182,112005,39016,,255059,245771,205839,39932,9288,,347627,346628,339584,7044,999,,980517,951788,886759,65029,47220,28729,"North Carolina"
"North Dakota",69623,67338,57611,9727,2285,,10772,10772,10579,193,0,,27249,25513,24969,544,1736,,31602,31053,22063,8990,8522,549,"North Dakota"
"Ohio",1786710,1613588,1438234,175354,173122,,207888,192213,168098,24115,15675,,209365,171739,165236,6503,37626,,1369457,1249636,1104900,144736,124491,119821,"Ohio"
,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",581777,536277,498470,37807,45500,,27361,27349,22596,4753,12,,138420,117639,116401,1238,20781,,415996,391289,359473,31816,20185,24707,"Oklahoma"
"Oregon",760794,646644,506261,140383,114150,,138279,106856,100118,6738,31423,,150284,150284,149878,406,0,,472231,389504,256265,133239,128667,82727,"Oregon"
"Pennsylvania",2268269,2154646,1990091,164555,113623,,703188,692047,676997,15050,11141,,335587,278959,277272,1687,56628,,1229494,1183640,1035822,147818,135429,45854,"Pennsylvania"
"Rhode Island",237613,237113,227479,9634,500,,25495,24995,22987,2008,500,,85540,85540,81340,4200,0,,126578,126578,123152,3426,904,0,"Rhode Island"
"South Carolina",659228,637329,599128,38201,21899,,170145,159241,146572,12669,10904,,66323,55328,53061,2267,10995,,422760,422760,399495,23265,14763,0,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",94414,93631,90017,3614,783,,17140,17003,16004,999,137,,19763,19233,18568,665,530,,57511,57395,55445,1950,1178,116,"South Dakota"
"Tennessee",710493,619451,576160,43291,91042,,103110,97332,93014,4318,5778,,165979,162139,156861,5278,3840,,441404,359980,326285,33695,30243,81424,"Tennessee"
"Texas",3271967,3164143,2877287,286856,107824,,291058,285056,256266,28790,6002,,382600,367373,355996,11377,15227,,2598309,2511714,2265025,246689,22994,86595,"Texas"
"Utah",355289,354295,346119,8176,994,,61277,61277,57615,3662,0,,106344,105350,102403,2947,994,,187668,187668,186101,1567,125,0,"Utah"
"Vermont",102469,101692,97449,4243,777,,32053,31276,28791,2485,777,,31317,31317,30650,667,0,,39099,39099,38008,1091,0,0,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia",1588306,1085767,1044059,41708,502539,,348330,174356,157986,16370,173974,,306898,201434,198037,3397,105464,,933078,709977,688036,21941,1380,223101,"Virginia"
"Washington",848057,770093,693867,76226,77964,,215955,139342,119271,20071,76613,,67138,65787,62506,3281,1351,,564964,564964,512090,52874,37735,0,"Washington"
"West Virginia",233246,233246,196365,36881,0,,43660,43660,36983,6677,0,,69573,69573,67566,2007,0,,120013,120013,91816,28197,25961,0,"West Virginia"
"Wisconsin",911518,798458,746200,52258,113060,,61316,59643,55920,3723,1673,,195657,172872,170840,2032,22785,,654545,565943,519440,46503,40737,88602,"Wisconsin"
"Wyoming",85806,81687,76975,4712,4119,,14005,11013,9471,1542,2992,,30316,29730,28925,805,586,,41485,40944,38579,2365,1744,541,"Wyoming"
