"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9811.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 11.  Justice system employment and payrolls of State governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                         Total justice system",,,,,,"                                                           Police protection",,,,,,"                                                          Judicial and Legal",,,,,,"                                                                     Corrections",,,,,
"Kentucky",11518,10419,11119,27597,2512,,1824,1787,1811,5057,2798,,4208,3401,3946,10677,2827,,5486,5231,5362,11863,2209,"Kentucky"
"Louisiana",9703,9507,9584,21196,2219,,1103,1095,1098,2546,2321,,1757,1661,1697,5614,3345,,6843,6751,6789,13036,1926,"Louisiana"
"Maine",2142,2084,2130,6167,2929,,362,362,362,1239,3422,,640,593,616,1976,3245,,1140,1129,1152,2952,2604,"Maine"
"Maryland",17450,16243,17237,50191,2960,,2372,2349,2364,8348,3535,,3869,3348,3778,10976,3007,,11209,10546,11095,30868,2818,"Maryland"
,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",15562,15247,15438,50985,3306,,2680,2667,2675,9409,3519,,6697,6469,6611,21551,3264,,6185,6111,6152,20025,3257,"Massachusetts"
"Michigan",22718,22325,22494,77546,3451,,3103,2936,2993,10354,3492,,2038,2006,2017,7635,3790,,17577,17383,17484,59557,3405,"Michigan"
"Minnesota",6583,6317,6502,23374,3620,,869,846,859,3452,4046,,2098,1987,2058,8281,4048,,3616,3484,3585,11641,3272,"Minnesota"
"Mississippi",5542,5514,5526,12101,2189,,927,927,927,2509,2706,,473,457,463,2184,4725,,4142,4130,4136,7409,1792,"Mississippi"
"Missouri",16728,15888,16214,36448,2257,,2406,2353,2380,6576,2780,,3526,3243,3376,9603,2899,,10796,10292,10458,20269,1936,"Missouri"
,,,,,,,,,,,,,,,,,,,,,,,,
"Montana",1580,1426,1506,3875,2558,,438,421,429,1086,2532,,232,162,193,768,3930,,910,843,884,2021,2307,"Montana"
"Nebraska",3331,3161,3247,8218,2553,,679,654,667,1724,2588,,717,635,673,2175,3342,,1935,1872,1907,4319,2272,"Nebraska"
"Nevada",4268,4180,4231,14305,3386,,627,626,627,2311,3691,,518,507,513,2279,4457,,3123,3047,3091,9715,3146,"Nevada"
"New Hampshire",2533,2418,2473,7055,2877,,424,406,415,1434,3500,,926,894,906,2645,2930,,1183,1118,1152,2976,2608,"New Hampshire"
"New Jersey",25424,25233,25353,95210,3764,,3640,3626,3637,17028,4691,,12446,12291,12381,42693,3458,,9338,9316,9335,35489,3806,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",6710,6564,6650,16942,2555,,633,633,633,2154,3403,,2280,2171,2228,6174,2791,,3797,3760,3789,8614,2276,"New Mexico"
"New York",58850,56752,57741,221751,3847,,5543,5379,5460,23121,4271,,17668,16797,17228,77618,4537,,35639,34576,35053,121012,3445,"New York"
"North Carolina",28512,28172,28382,78206,2763,,3316,3288,3311,10818,3277,,6037,5819,5982,18456,3122,,19159,19065,19089,48932,2565,"North Carolina"
"North Dakota",1130,1052,1076,2793,2623,,223,222,223,567,2542,,444,395,405,1258,3152,,463,435,448,968,2184,"North Dakota"
"Ohio",22390,21823,22199,69542,3139,,2443,2429,2439,8709,3577,,2826,2372,2675,9348,3573,,17121,17022,17085,51486,3016,"Ohio"
,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",14847,14560,14692,25203,1717,,1729,1705,1714,4192,2451,,2317,2232,2248,6459,2871,,10801,10623,10730,14553,1356,"Oklahoma"
"Oregon",8274,7608,8109,23718,2960,,1458,1337,1394,4713,3401,,2701,2433,2695,7970,2989,,4115,3838,4020,11035,2789,"Oregon"
"Pennsylvania",22013,21515,22000,71918,3288,,5391,5274,5391,20349,3827,,2431,2338,2445,9628,3929,,14191,13903,14164,41940,2976,"Pennsylvania"
"Rhode Island",3100,3066,3073,12479,4058,,280,279,279,1257,4505,,1101,1068,1075,3947,3663,,1719,1719,1719,7274,4232,"Rhode Island"
"South Carolina",12400,12376,12385,28322,2287,,2757,2742,2747,7154,2604,,670,666,668,2382,3574,,8973,8968,8970,18786,2094,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",1717,1587,1643,3785,2330,,277,270,273,708,2608,,568,474,511,1418,2867,,872,843,859,1660,1939,"South Dakota"
"Tennessee",9739,9665,9691,23784,2453,,1763,1757,1760,4690,2668,,1900,1847,1865,6891,3698,,6076,6061,6066,12204,2011,"Tennessee"
"Texas",54662,54471,54513,125312,2297,,3601,3561,3579,10206,2858,,4840,4751,4768,17276,3609,,46221,46159,46166,97830,2118,"Texas"
"Utah",5454,4824,5113,13998,2799,,747,705,724,2248,3143,,1651,1456,1556,4696,3088,,3056,2663,2833,7054,2550,"Utah"
"Vermont",1999,1841,1929,5564,2921,,505,443,469,1621,3571,,586,516,558,1766,3211,,908,882,902,2177,2424,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia",20030,18849,19363,49129,2545,,2590,2445,2504,7926,3199,,3559,3027,3219,10002,3114,,13881,13377,13640,31202,2297,"Virginia"
"Washington",11882,11446,11613,37529,3237,,2133,2132,2132,7433,3486,,1782,1609,1665,7037,4283,,7967,7705,7816,23059,2950,"Washington"
"West Virginia",3052,2996,3024,7170,2377,,959,944,951,2494,2633,,1127,1093,1112,2843,2571,,966,959,961,1832,1904,"West Virginia"
"Wisconsin",10601,9450,10099,31666,3142,,852,826,836,2569,3082,,2090,1759,1951,9327,4894,,7659,6865,7312,19770,2700,"Wisconsin"
"Wyoming",1317,1276,1296,3214,2481,,189,189,189,545,2883,,400,364,381,1109,2929,,728,723,726,1561,2151,"Wyoming"
,,,,,,,,,,,,,,,,,,,,,,,,
"Note: These data are based on a summation of responses from individual state agencies. Some agency data may be",,,,,,,,,,,,,,,,,,,,,,,,
"for a prior reporting period.",,,,,,,,,,,,,,,,,,,,,,,,
