"Municipalities",87824,87217,83010,4207,607,,80867,80325,76134,4191,542,,6820,6820,6804,16,0,,137,72,72,0,65,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois",4947973,4947973,4651751,296222,"-",,2678105,2678105,2540875,137230,"-",,824601,824601,810473,14128,"-",,1445267,1445267,1300403,144864,"-","Illinois"
"State",1616932,1562057,1429485,132572,54875,,307230,306210,279759,26451,1020,,243204,234344,232182,2162,8860,,1066498,1021503,917544,103959,44995,"State"
"Local, total",3385934,3385916,3222266,163650,18,,2371913,2371895,2261116,110779,18,,590257,590257,578291,11966,0,,423764,423764,382859,40905,0,"Local, total"
"Counties",1238344,1238344,1176983,61361,0,,283838,283838,275272,8566,0,,531977,531977,520087,11890,0,,422529,422529,381624,40905,0,"Counties"
"Municipalities",2148372,2147572,2045283,102289,800,,2088854,2088057,1985844,102213,797,,58280,58280,58204,76,0,,1238,1235,1235,0,3,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana",1618462,1618462,1524502,93960,"-",,709678,709678,674743,34935,"-",,281232,281232,273687,7545,"-",,627552,627552,576072,51480,"-","Indiana"
"State",711549,695340,657030,38310,16209,,179143,176430,166379,10051,2713,,85048,85047,83579,1468,1,,447358,433863,407072,26791,13495,"State"
"Local, total",930266,923122,867472,55650,7144,,533248,533248,508364,24884,0,,196185,196185,190108,6077,0,,200833,193689,169000,24689,7144,"Local, total"
"Counties",429311,426790,395990,30800,2521,,129456,129456,122887,6569,0,,145014,145014,141035,3979,0,,154841,152320,132068,20252,2521,"Counties"
"Municipalities",500955,496332,471482,24850,4623,,403792,403792,385477,18315,0,,51171,51171,49073,2098,0,,45992,41369,36932,4437,4623,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa",819496,819496,792058,27438,"-",,366281,366281,354507,11774,"-",,202250,202250,200492,1758,"-",,250965,250965,237059,13906,"-","Iowa"
"State",452134,397218,390617,6601,54916,,65801,65292,62601,2691,509,,159007,151066,149434,1632,7941,,227326,180860,178582,2278,46466,"State"
"Local, total",422278,422278,401441,20837,0,,300989,300989,291906,9083,0,,51184,51184,51058,126,0,,70105,70105,58477,11628,0,"Local, total"
"Counties",202509,202509,190102,12407,0,,90398,90398,89663,735,0,,42292,42292,42240,52,0,,69819,69819,58199,11620,0,"Counties"
"Municipalities",222065,219769,211339,8430,2296,,212760,210591,202243,8348,2169,,8892,8892,8818,74,0,,413,286,278,8,127,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas",918778,918778,863126,55652,"-",,417796,417796,395123,22673,"-",,190754,190754,183637,7117,"-",,310228,310228,284366,25862,"-","Kansas"
"State",415758,381182,361472,19710,34576,,45021,45021,38216,6805,0,,115756,111492,107427,4065,4264,,254981,224669,215829,8840,30312,"State"
"Local, total",537596,537596,501654,35942,0,,372775,372775,356907,15868,0,,79262,79262,76210,3052,0,,85559,85559,68537,17022,0,"Local, total"
"Counties",272827,272827,244822,28005,0,,141930,141930,133775,8155,0,,51128,51128,48295,2833,0,,79769,79769,62752,17017,0,"Counties"
"Municipalities",269537,264769,256832,7937,4768,,235613,230845,223132,7713,4768,,28134,28134,27915,219,0,,5790,5790,5785,5,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky",1081703,1081703,1030059,51644,"-",,416319,416319,391474,24845,"-",,253651,253651,246108,7543,"-",,411733,411733,392477,19256,"-","Kentucky"
"State",695273,624282,591125,33157,70991,,129274,116149,103390,12759,13125,,261651,220569,213505,7064,41082,,304348,287564,274230,13334,16784,"State"
"Local, total",457421,457421,438934,18487,0,,300170,300170,288084,12086,0,,33082,33082,32603,479,0,,124169,124169,118247,5922,0,"Local, total"
"Counties",216938,216905,208676,8229,33,,77359,77359,75340,2019,0,,26709,26709,26246,463,0,,112870,112837,107090,5747,33,"Counties"
"Municipalities",243151,240516,230258,10258,2635,,225446,222811,212744,10067,2635,,6373,6373,6357,16,0,,11332,11332,11157,175,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana",1631382,1631382,1541625,89757,"-",,768841,768841,721713,47128,"-",,321140,321140,314744,6396,"-",,541401,541401,505168,36233,"-","Louisiana"
"State",774461,640672,609821,30851,133789,,207625,165820,152294,13526,41805,,119165,119165,118029,1136,0,,447671,355687,339498,16189,91984,"State"
"Local, total",990818,990710,931804,58906,108,,603129,603021,569419,33602,108,,201975,201975,196715,5260,0,,185714,185714,165670,20044,0,"Local, total"
"Parishes",464410,464165,430985,33180,245,,235990,235760,222593,13167,230,,103254,103239,99164,4075,15,,125166,125166,109228,15938,0,"Parishes"
"Municipalities",527451,526545,500819,25726,906,,367389,367261,346826,20435,128,,98736,98736,97551,1185,0,,61326,60548,56442,4106,778,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Maine",307616,307616,299803,7813,"-",,149376,149376,144566,4810,"-",,57391,57391,57115,276,"-",,100849,100849,98122,2727,"-","Maine"
"State",161822,160576,156523,4053,1246,,40455,39698,36380,3318,757,,49056,48567,48360,207,489,,72311,72311,71783,528,0,"State"
"Local, total",147040,147040,143280,3760,0,,109678,109678,108186,1492,0,,8824,8824,8755,69,0,,28538,28538,26339,2199,0,"Local, total"
"Counties",48720,48720,46050,2670,0,,15434,15434,15006,428,0,,5599,5599,5530,69,0,,27687,27687,25514,2173,0,"Counties"
"Municipalities",98320,98320,97230,1090,0,,94244,94244,93180,1064,0,,3225,3225,3225,0,0,,851,851,825,26,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland",2265880,2265880,2147620,118260,"-",,948942,948942,893038,55904,"-",,414797,414797,391947,22850,"-",,902141,902141,862635,39506,"-","Maryland"
"State",1277308,1189844,1138400,51444,87464,,273975,189146,181570,7576,84829,,260979,260814,242702,18112,165,,742354,739884,714128,25756,2470,"State"
"Local, total",1076036,1076036,1009220,66816,0,,759796,759796,711468,48328,0,,153983,153983,149245,4738,0,,162257,162257,148507,13750,0,"Local, total"
"Counties",736910,736533,682817,53716,377,,459379,459002,423108,35894,377,,115274,115274,111202,4072,0,,162257,162257,148507,13750,0,"Counties"
"Municipalities",339503,339503,326403,13100,0,,300794,300794,288360,12434,0,,38709,38709,38043,666,0,,0,0,0,0,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",2697094,2697094,2441203,255891,"-",,1186568,1186568,1108774,77794,"-",,628906,628906,548173,80733,"-",,881620,881620,784256,97364,"-","Massachusetts"
"State",1764472,1438436,1240043,198393,326036,,306873,251427,225035,26392,55446,,595783,580818,501084,79734,14965,,861816,606191,513924,92267,255625,"State"
"Local, total",1258658,1258658,1201160,57498,0,,935141,935141,883739,51402,0,,48088,48088,47089,999,0,,275429,275429,270332,5097,0,"Local, total"
"Counties",201620,201620,196850,4770,0,,2265,2265,2265,0,0,,2218,2218,2218,0,0,,197137,197137,192367,4770,0,"Counties"
"Municipalities",1057167,1057038,1004310,52728,129,,933005,932876,881474,51402,129,,45870,45870,44871,999,0,,78292,78292,77965,327,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan",4005027,4005027,3917426,87601,"-",,1633879,1633879,1587454,46425,"-",,794133,794133,787256,6877,"-",,1577015,1577015,1542716,34299,"-","Michigan"
"State",1805503,1633316,1603002,30314,172187,,255842,230686,220031,10655,25156,,234921,131453,128570,2883,103468,,1314740,1271177,1254401,16776,43563,"State"
"Local, total",2411434,2371711,2314424,57287,39723,,1403254,1403193,1367423,35770,61,,662680,662680,658686,3994,0,,345500,305838,288315,17523,39662,"Local, total"
"Counties",1095198,1050858,1024666,26192,44340,,258099,254665,248731,5934,3434,,495827,495827,493091,2736,0,,341272,300366,282844,17522,40906,"Counties"
"Municipalities",1364256,1320853,1289758,31095,43403,,1186848,1148528,1118692,29836,38320,,166853,166853,165595,1258,0,,10555,5472,5471,1,5083,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota",1708779,1708779,1605672,103107,"-",,791316,791316,746595,44721,"-",,393742,393742,376996,16746,"-",,523721,523721,482081,41640,"-","Minnesota"
"State",622779,531256,502041,29215,91523,,112883,101630,90503,11127,11253,,177765,157485,147710,9775,20280,,332131,272141,263828,8313,59990,"State"
"Local, total",1177523,1177523,1103631,73892,0,,689686,689686,656092,33594,0,,236257,236257,229286,6971,0,,251580,251580,218253,33327,0,"Local, total"
"Counties",711843,703309,648471,54838,8534,,245683,237327,222483,14844,8356,,215091,215067,208110,6957,24,,251069,250915,217878,33037,154,"Counties"
"Municipalities",475943,474214,455160,19054,1729,,453324,452359,433609,18750,965,,21190,21190,21176,14,0,,1429,665,375,290,764,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi",724226,724226,685267,38959,"-",,341159,341159,327005,14154,"-",,129176,129176,127871,1305,"-",,253891,253891,230391,23500,"-","Mississippi"
"State",328579,316576,292717,23859,12003,,55715,54377,51285,3092,1338,,52259,52259,51278,981,0,,220605,209940,190154,19786,10665,"State"
"Local, total",407650,407650,392550,15100,0,,286782,286782,275720,11062,0,,76917,76917,76593,324,0,,43951,43951,40237,3714,0,"Local, total"
"Counties",205384,205384,200393,4991,0,,97906,97906,96786,1120,0,,67213,67213,67056,157,0,,40265,40265,36551,3714,0,"Counties"
"Municipalities",202999,202266,192157,10109,733,,189175,188876,178934,9942,299,,9704,9704,9537,167,0,,4120,3686,3686,0,434,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Missouri",1692233,1692233,1578054,114179,"-",,812063,812063,750807,61256,"-",,283925,283925,277002,6923,"-",,596245,596245,550245,46000,"-","Missouri"
"State",765960,707524,653019,54505,58436,,142618,116388,100226,16162,26230,,162089,135629,131727,3902,26460,,461253,455507,421066,34441,5746,"State"
"Local, total",986049,984709,925035,59674,1340,,697015,695675,650581,45094,1340,,148296,148296,145275,3021,0,,140738,140738,129179,11559,0,"Local, total"
"Counties",327200,326363,313668,12695,837,,132272,131435,127618,3817,837,,87562,87562,86586,976,0,,107366,107366,99464,7902,0,"Counties"
"Municipalities",666449,658346,611367,46979,8103,,572328,564240,522963,41277,8088,,60749,60734,58689,2045,15,,33372,33372,29715,3657,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Montana",258836,258836,244068,14768,"-",,101963,101963,97322,4641,"-",,58064,58064,57601,463,"-",,98809,98809,89145,9664,"-","Montana"
"State",148909,133691,122186,11505,15218,,32959,23761,22100,1661,9198,,29043,23023,22760,263,6020,,86907,86907,77326,9581,0,"State"
"Local, total",125145,125145,121882,3263,0,,78202,78202,75222,2980,0,,35041,35041,34841,200,0,,11902,11902,11819,83,0,"Local, total"
"Counties",83882,83848,81473,2375,34,,43469,43469,41356,2113,0,,28671,28671,28492,179,0,,11742,11708,11625,83,34,"Counties"
"Municipalities",41539,41297,40409,888,242,,34975,34733,33866,867,242,,6370,6370,6349,21,0,,194,194,194,0,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Nebraska",444909,444909,412586,32323,"-",,189473,189473,180147,9326,"-",,85892,85892,83706,2186,"-",,169544,169544,148733,20811,"-","Nebraska"
"State",201303,191667,173932,17735,9636,,46980,37344,34780,2564,9636,,35544,35544,35066,478,0,,118779,118779,104086,14693,0,"State"
"Local, total",253242,253242,238654,14588,0,,152129,152129,145367,6762,0,,50348,50348,48640,1708,0,,50765,50765,44647,6118,0,"Local, total"
"Counties",140558,140256,130441,9815,302,,43622,43622,41628,1994,0,,45869,45869,44166,1703,0,,51067,50765,44647,6118,302,"Counties"
"Municipalities",118284,112986,108213,4773,5298,,108507,108507,103739,4768,0,,4479,4479,4474,5,0,,5298,0,0,0,5298,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Nevada",978089,978089,899895,78194,"-",,420786,420786,387109,33677,"-",,189375,189375,180571,8804,"-",,367928,367928,332215,35713,"-","Nevada"
"State",281868,275959,238597,37362,5909,,43838,43767,39127,4640,71,,32480,31539,30842,697,941,,205550,200653,168628,32025,4897,"State"
"Local, total",702130,702130,661298,40832,0,,377019,377019,347982,29037,0,,157836,157836,149729,8107,0,,167275,167275,163587,3688,0,"Local, total"
"Counties",512328,512298,490615,21683,30,,254137,254137,242970,11167,0,,126345,126315,118354,7961,30,,131846,131846,129291,2555,0,"Counties"
"Municipalities",259153,189832,170683,19149,69321,,190257,122882,105012,17870,67375,,31521,31521,31375,146,0,,37375,35429,34296,1133,1946,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire",339867,339867,329385,10482,"-",,164726,164726,158349,6377,"-",,87291,87291,84378,2913,"-",,87850,87850,86658,1192,"-","New Hampshire"
"State",169586,163097,153863,9234,6489,,32784,31944,26576,5368,840,,76214,71145,68424,2721,5069,,60588,60008,58863,1145,580,"State"
"Local, total",176770,176770,175522,1248,0,,132782,132782,131773,1009,0,,16146,16146,15954,192,0,,27842,27842,27795,47,0,"Local, total"
"Counties",45061,45061,44762,299,0,,10444,10444,10378,66,0,,6775,6775,6589,186,0,,27842,27842,27795,47,0,"Counties"
"Municipalities",131709,131709,130760,949,0,,122338,122338,121395,943,0,,9371,9371,9365,6,0,,0,0,0,0,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey",4272929,4272929,4150561,122368,"-",,1917652,1917652,1870238,47414,"-",,974158,974158,952708,21450,"-",,1381119,1381119,1327615,53504,"-","New Jersey"
"State",1813050,1710862,1649061,61801,102188,,252699,246420,234256,12164,6279,,493456,469179,456189,12990,24277,,1066895,995263,958616,36647,71632,"State"
"Local, total",2562106,2562067,2501500,60567,39,,1671271,1671232,1635982,35250,39,,504979,504979,496519,8460,0,,385856,385856,368999,16857,0,"Local, total"
"Counties",881067,876520,847512,29008,4547,,134396,133994,128618,5376,402,,360273,360273,353498,6775,0,,386398,382253,365396,16857,4145,"Counties"
"Municipalities",1686199,1685547,1653988,31559,652,,1537418,1537238,1507364,29874,180,,145178,144706,143021,1685,472,,3603,3603,3603,0,0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",722452,722452,688869,33583,"-",,303499,303499,289791,13708,"-",,147130,147130,142448,4682,"-",,271823,271823,256630,15193,"-","New Mexico"
"State",375884,374462,363545,10917,1422,,54659,54484,52126,2358,175,,124896,124896,123025,1871,0,,196329,195082,188394,6688,1247,"State"
"Local, total",348012,347990,325324,22666,22,,249015,249015,237665,11350,0,,22256,22234,19423,2811,22,,76741,76741,68236,8505,0,"Local, total"
"Counties",131950,118501,103120,15381,13449,,65745,65745,61417,4328,0,,9434,9412,6824,2588,22,,56771,43344,34879,8465,13427,"Counties"
"Municipalities",230068,229489,222204,7285,579,,183437,183270,176248,7022,167,,12898,12822,12599,223,76,,33733,33397,33357,40,336,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"New York",11320243,11320243,10555834,764409,"-",,5139274,5139274,4952172,187102,"-",,2092631,2092631,1918728,173903,"-",,4088338,4088338,3684934,403404,"-","New York"
"State",4166994,3868233,3353234,514999,298761,,419160,387581,347361,40220,31579,,1375739,1323657,1157221,166436,52082,,2372095,2156995,1848652,308343,215100,"State"
