"Bureau of Justice Statistics",,,,,,,,,,,,,
"Iowa",432604,,38346,8.9,,19424,50.7,,9516,24.8,,9407,24.5
"State",160234,,17578,11.0,,3144,17.9,,7185,40.9,,7250,41.2
"Local, total",272370,,20768,7.6,,16280,78.4,,2331,11.2,,2157,10.4
"Counties",46947,,9413,20.1,,5249,55.8,,2009,21.3,,2155,22.9
"Municipalities",55599,,11355,20.4,,11031,97.1,,322,2.8,,2,0.0
,,,,,,,,,,,,,
"Kansas",408829,,45287,11.1,,23088,51.0,,9417,20.8,,12782,28.2
"State",121426,,16298,13.4,,2689,16.5,,5549,34.0,,8060,49.5
"Local, total",287403,,28989,10.1,,20399,70.4,,3869,13.3,,4722,16.3
"Counties",47658,,13256,27.8,,6735,50.8,,2311,17.4,,4211,31.8
"Municipalities",58906,,15733,26.7,,13664,86.9,,1558,9.9,,510,3.2
,,,,,,,,,,,,,
"Kentucky",484915,,51050,10.5,,21883,42.9,,12976,25.4,,16191,31.7
"State",190557,,27597,14.5,,5057,18.3,,10677,38.7,,11863,43.0
"Local, total",294358,,23453,8.0,,16826,71.7,,2299,9.8,,4328,18.5
"Counties",35794,,10646,29.7,,4744,44.6,,2025,19.0,,3877,36.4
"Municipalities",47840,,12807,26.8,,12081,94.3,,275,2.1,,452,3.5
,,,,,,,,,,,,,
"Louisiana",606766,,74209,12.2,,34825,46.9,,14955,20.2,,24429,32.9
"State",227273,,21196,9.3,,2546,12.0,,5614,26.5,,13036,61.5
"Local, total",379493,,53013,14.0,,32279,60.9,,9341,17.6,,11393,21.5
"Parishes",83052,,24315,29.3,,13486,55.5,,5741,23.6,,5088,20.9
"Municipalities",80714,,28698,35.6,,18793,65.5,,3600,12.5,,6305,22.0
,,,,,,,,,,,,,
"Maine",164693,,14336,8.7,,7817,54.5,,2389,16.7,,4130,28.8
"State",54033,,6167,11.4,,1239,20.1,,1976,32.0,,2952,47.9
"Local, total",110661,,8169,7.4,,6578,80.5,,413,5.1,,1178,14.4
"Counties",3400,,2662,78.3,,1133,42.6,,351,13.2,,1178,44.2
"Municipalities",65248,,5507,8.4,,5445,98.9,,62,1.1,,0,0.0
,,,,,,,,,,,,,
"Maryland",814989,,113233,13.9,,55761,49.2,,19269,17.0,,38203,33.7
"State",264514,,50191,19.0,,8348,16.6,,10976,21.9,,30868,61.5
"Local, total",550475,,63042,11.5,,47413,75.2,,8293,13.2,,7335,11.6
"Counties",438760,,40846,9.3,,27669,67.7,,5841,14.3,,7335,18.0
"Municipalities",104363,,22196,21.3,,19744,89.0,,2452,11.0,,0,0.0
,,,,,,,,,,,,,
"Massachusetts",946704,,126353,13.3,,72945,57.7,,22633,17.9,,30775,24.4
"State",270969,,50985,18.8,,9409,18.5,,21551,42.3,,20025,39.3
"Local, total",675735,,75367,11.2,,63536,84.3,,1082,1.4,,10750,14.3
"Counties",15532,,10925,70.3,,94,0.9,,96,0.9,,10735,98.3
"Municipalities",563576,,64443,11.4,,63442,98.4,,986,1.5,,15,0.0
,,,,,,,,,,,,,
"Michigan",1501972,,196974,13.1,,83874,42.6,,38644,19.6,,74455,37.8
"State",450988,,77546,17.2,,10354,13.4,,7635,9.8,,59557,76.8
"Local, total",1050984,,119428,11.4,,73521,61.6,,31009,26.0,,14898,12.5
"Counties",137988,,53946,39.1,,15105,28.0,,24367,45.2,,14473,26.8
"Municipalities",211883,,65483,30.9,,58415,89.2,,6642,10.1,,425,0.6
,,,,,,,,,,,,,
"Minnesota",803989,,84443,10.5,,38846,46.0,,20661,24.5,,24936,29.5
"State",235005,,23374,9.9,,3452,14.8,,8281,35.4,,11641,49.8
"Local, total",568983,,61069,10.7,,35394,58.0,,12380,20.3,,13295,21.8
"Counties",114673,,34400,30.0,,9731,28.3,,11375,33.1,,13295,38.6
"Municipalities",111347,,26669,24.0,,25664,96.2,,1005,3.8,,0,0.0
,,,,,,,,,,,,,
"Mississippi",365764,,34444,9.4,,17126,49.7,,7202,20.9,,10116,29.4
"State",125411,,12101,9.6,,2509,20.7,,2184,18.0,,7409,61.2
"Local, total",240352,,22343,9.3,,14618,65.4,,5018,22.5,,2707,12.1
"Counties",63092,,11566,18.3,,4799,41.5,,4259,36.8,,2509,21.7
"Municipalities",45082,,10777,23.9,,9819,91.1,,759,7.0,,199,1.8
,,,,,,,,,,,,,
"Missouri",704765,,89985,12.8,,46507,51.7,,17476,19.4,,26002,28.9
"State",210762,,36448,17.3,,6576,18.0,,9603,26.3,,20269,55.6
"Local, total",494003,,53537,10.8,,39930,74.6,,7873,14.7,,5733,10.7
"Counties",40461,,16600,41.0,,7854,47.3,,4805,28.9,,3941,23.7
"Municipalities",111921,,36937,33.0,,32076,86.8,,3069,8.3,,1792,4.9
,,,,,,,,,,,,,
"Montana",117888,,10814,9.2,,5455,50.4,,2421,22.4,,2939,27.2
"State",46188,,3875,8.4,,1086,28.0,,768,19.8,,2021,52.2
"Local, total",71700,,6939,9.7,,4369,63.0,,1652,23.8,,918,13.2
"Counties",12284,,4225,34.4,,2052,48.6,,1305,30.9,,868,20.5
"Municipalities",9977,,2714,27.2,,2318,85.4,,347,12.8,,50,1.8
,,,,,,,,,,,,,
"Nebraska",253905,,23272,9.2,,12185,52.4,,4570,19.6,,6518,28.0
"State",66679,,8218,12.3,,1724,21.0,,2175,26.5,,4319,52.6
"Local, total",187226,,15055,8.0,,10461,69.5,,2395,15.9,,2199,14.6
"Counties",20533,,6835,33.3,,2569,37.6,,2067,30.2,,2199,32.2
"Municipalities",36571,,8220,22.5,,7892,96.0,,328,4.0,,0,0.0
,,,,,,,,,,,,,
"Nevada",258953,,48722,18.8,,21308,43.7,,11770,24.2,,15644,32.1
"State",73339,,14305,19.5,,2311,16.2,,2279,15.9,,9715,67.9
"Local, total",185614,,34417,18.5,,18997,55.2,,9491,27.6,,5929,17.2
"Counties",63386,,25554,40.3,,13111,51.3,,7709,30.2,,4734,18.5
"Municipalities",30761,,8863,28.8,,5885,66.4,,1782,20.1,,1195,13.5
,,,,,,,,,,,,,
"New Hampshire",145445,,17596,12.1,,10040,57.1,,3293,18.7,,4263,24.2
"State",42762,,7055,16.5,,1434,20.3,,2645,37.5,,2976,42.2
"Local, total",102684,,10541,10.3,,8607,81.6,,648,6.1,,1287,12.2
"Counties",7748,,2335,30.1,,554,23.7,,495,21.2,,1287,55.1
"Municipalities",42792,,8206,19.2,,8053,98.1,,153,1.9,,0,0.0
,,,,,,,,,,,,,
"New Jersey",1578351,,256497,16.3,,132915,51.8,,66731,26.0,,56851,22.2
"State",451679,,95210,21.1,,17028,17.9,,42693,44.8,,35489,37.3
"Local, total",1126672,,161287,14.3,,115887,71.9,,24038,14.9,,21362,13.2
"Counties",187074,,46058,24.6,,8676,18.8,,16023,34.8,,21359,46.4
"Municipalities",328298,,115229,35.1,,107211,93.0,,8015,7.0,,3,0.0
,,,,,,,,,,,,,
"New Mexico",260556,,33020,12.7,,14269,43.2,,7202,21.8,,11550,35.0
"State",102295,,16942,16.6,,2154,12.7,,6174,36.4,,8614,50.8
"Local, total",158260,,16078,10.2,,12114,75.3,,1028,6.4,,2935,18.3
"Counties",20216,,5289,26.2,,3333,63.0,,258,4.9,,1697,32.1
"Municipalities",39339,,10789,27.4,,8781,81.4,,770,7.1,,1238,11.5
,,,,,,,,,,,,,
"New York",3947230,,666766,16.9,,325619,48.8,,117739,17.7,,223408,33.5
"State",893241,,221751,24.8,,23121,10.4,,77618,35.0,,121012,54.6
"Local, total",3053988,,445015,14.6,,302498,68.0,,40121,9.0,,102396,23.0
"Counties",369597,,105812,28.6,,53308,50.4,,14838,14.0,,37667,35.6
"Municipalities",1739463,,339203,19.5,,249190,73.5,,25283,7.5,,64730,19.1
,,,,,,,,,,,,,
"North Carolina",1067186,,134696,12.6,,56063,41.6,,20648,15.3,,57985,43.0
"State",332673,,78206,23.5,,10818,13.8,,18456,23.6,,48932,62.6
"Local, total",734513,,56490,7.7,,45245,80.1,,2192,3.9,,9053,16.0
"Counties",596861,,24950,4.2,,14106,56.5,,1791,7.2,,9053,36.3
"Municipalities",109519,,31540,28.8,,31139,98.7,,401,1.3,,0,0.0
,,,,,,,,,,,,,
"North Dakota",89308,,7058,7.9,,3478,49.3,,2185,31.0,,1395,19.8
"State",37275,,2793,7.5,,567,20.3,,1258,45.0,,968,34.7
"Local, total",52033,,4265,8.2,,2911,68.3,,927,21.7,,427,10.0
"Counties",7397,,2228,30.1,,1004,45.1,,799,35.9,,424,19.0
"Municipalities",8735,,2037,23.3,,1906,93.6,,128,6.3,,3,0.1
,,,,,,,,,,,,,
"Ohio",1594790,,216864,13.6,,97268,44.9,,49586,22.9,,70009,32.3
"State",406015,,69542,17.1,,8709,12.5,,9348,13.4,,51486,74.0
"Local, total",1188775,,147322,12.4,,88559,60.1,,40239,27.3,,18524,12.6
"Counties",230111,,62656,27.2,,17239,27.5,,28861,46.1,,16556,26.4
"Municipalities",262905,,84666,32.2,,71321,84.2,,11378,13.4,,1968,2.3
,,,,,,,,,,,,,
"Oklahoma",416189,,49116,11.8,,24666,50.2,,9190,18.7,,15260,31.1
"State",142157,,25203,17.7,,4192,16.6,,6459,25.6,,14553,57.7
"Local, total",274032,,23913,8.7,,20475,85.6,,2731,11.4,,708,3.0
"Counties",27711,,5458,19.7,,3464,63.5,,1364,25.0,,630,11.6
"Municipalities",73254,,18455,25.2,,17010,92.2,,1367,7.4,,77,0.4
,,,,,,,,,,,,,
"Oregon",509584,,62914,12.3,,28156,44.8,,12837,20.4,,21921,34.8
"State",161177,,23718,14.7,,4713,19.9,,7970,33.6,,11035,46.5
"Local, total",348408,,39196,11.2,,23443,59.8,,4867,12.4,,10886,27.8
"Counties",58003,,21944,37.8,,7176,32.7,,3889,17.7,,10879,49.6
"Municipalities",62878,,17252,27.4,,16267,94.3,,978,5.7,,6,0.0
,,,,,,,,,,,,,
"Pennsylvania",1594890,,214925,13.5,,102026,47.5,,43953,20.5,,68947,32.1
"State",458535,,71918,15.7,,20349,28.3,,9628,13.4,,41940,58.3
"Local, total",1136355,,143007,12.6,,81677,57.1,,34324,24.0,,27006,18.9
"Counties",122790,,49001,39.9,,5468,11.2,,23838,48.6,,19694,40.2
"Municipalities",215342,,94006,43.7,,76208,81.1,,10486,11.2,,7312,7.8
,,,,,,,,,,,,,
"Rhode Island",156603,,21449,13.7,,10029,46.8,,4146,19.3,,7274,33.9
"State",64062,,12479,19.5,,1257,10.1,,3947,31.6,,7274,58.3
"Local, total",92541,,8970,9.7,,8771,97.8,,199,2.2,,0,0.0
"Municipalities",85513,,8970,10.5,,8771,97.8,,199,2.2,,0,0.0
,,,,,,,,,,,,,
"South Carolina",550793,,60422,11.0,,28722,47.5,,8664,14.3,,23036,38.1
"State",194583,,28322,14.6,,7154,25.3,,2382,8.4,,18786,66.3
"Local, total",356210,,32100,9.0,,21567,67.2,,6282,19.6,,4251,13.2
"Counties",72766,,19698,27.1,,10048,51.0,,5459,27.7,,4192,21.3
"Municipalities",40242,,12402,30.8,,11520,92.9,,823,6.6,,59,0.5
,,,,,,,,,,,,,
"South Dakota",89354,,8942,10.0,,4271,47.8,,2101,23.5,,2569,28.7
"State",31727,,3785,11.9,,708,18.7,,1418,37.5,,1660,43.8
"Local, total",57627,,5156,8.9,,3563,69.1,,683,13.2,,910,17.6
"Counties",7922,,2783,35.1,,1284,46.1,,613,22.0,,886,31.8
"Municipalities",12860,,2373,18.4,,2279,96.1,,70,3.0,,23,1.0
,,,,,,,,,,,,,
"Tennessee",674223,,78092,11.6,,40337,51.7,,15991,20.5,,21764,27.9
"State",202450,,23784,11.7,,4690,19.7,,6891,29.0,,12204,51.3
"Local, total",471773,,54308,11.5,,35648,65.6,,9100,16.8,,9560,17.6
"Counties",260362,,23499,9.0,,9395,40.0,,5825,24.8,,8278,35.2
"Municipalities",195029,,30809,15.8,,26253,85.2,,3274,10.6,,1282,4.2
,,,,,,,,,,,,,
"Texas",2758855,,369359,13.4,,163663,44.3,,59625,16.1,,146071,39.5
"State",745437,,125312,16.8,,10206,8.1,,17276,13.8,,97830,78.1
"Local, total",2013417,,244047,12.1,,153457,62.9,,42349,17.4,,48241,19.8
"Counties",249614,,117695,47.2,,37125,31.5,,32862,27.9,,47708,40.5
"Municipalities",402126,,126352,31.4,,116332,92.1,,9487,7.5,,533,0.4
,,,,,,,,,,,,,
"Utah",283316,,31588,11.1,,14720,46.6,,7324,23.2,,9544,30.2
"State",119149,,13998,11.7,,2248,16.1,,4696,33.5,,7054,50.4
"Local, total",164167,,17590,10.7,,12472,70.9,,2628,14.9,,2490,14.2
"Counties",24059,,8660,36.0,,4308,49.7,,1862,21.5,,2490,28.8
"Municipalities",31190,,8930,28.6,,8164,91.4,,766,8.6,,0,0.0
,,,,,,,,,,,,,
"Vermont",78693,,7827,9.9,,3765,48.1,,1884,24.1,,2177,27.8
"State",34289,,5564,16.2,,1621,29.1,,1766,31.7,,2177,39.1
"Local, total",44404,,2264,5.1,,2145,94.8,,119,5.2,,0,0.0
"Counties",370,,126,34.2,,36,28.7,,90,71.3,,0,0.0
"Municipalities",9823,,2137,21.8,,2108,98.7,,29,1.3,,0,0.0
,,,,,,,,,,,,,
"Virginia",974121,,122376,12.6,,53628,43.8,,20802,17.0,,47946,39.2
"State",321662,,49129,15.3,,7926,16.1,,10002,20.4,,31202,63.5
"Local, total",652459,,73247,11.2,,45703,62.4,,10801,14.7,,16744,22.9
"Counties",377568,,37341,9.9,,21266,57.0,,6935,18.6,,9140,24.5
"Municipalities",252004,,35907,14.2,,24437,68.1,,3866,10.8,,7604,21.2
,,,,,,,,,,,,,
"Washington",945892,,113814,12.0,,50593,44.5,,26097,22.9,,37125,32.6
"State",328577,,37529,11.4,,7433,19.8,,7037,18.8,,23059,61.4
"Local, total",617315,,76285,12.4,,43159,56.6,,19059,25.0,,14066,18.4
"Counties",117733,,42666,36.2,,13685,32.1,,15459,36.2,,13521,31.7
"Municipalities",133716,,33619,25.1,,29474,87.7,,3600,10.7,,545,1.6
,,,,,,,,,,,,,
"West Virginia",211827,,15108,7.1,,8159,54.0,,4494,29.7,,2456,16.3
"State",75763,,7170,9.5,,2494,34.8,,2843,39.7,,1832,25.6
"Local, total",136064,,7938,5.8,,5664,71.4,,1650,20.8,,624,7.9
"Counties",12993,,3923,30.2,,1781,45.4,,1518,38.7,,624,15.9
"Municipalities",21245,,4015,18.9,,3883,96.7,,132,3.3,,0,0.0
,,,,,,,,,,,,,
"Wisconsin",832558,,102653,12.3,,55595,54.2,,18913,18.4,,28145,27.4
"State",207996,,31666,15.2,,2569,8.1,,9327,29.5,,19770,62.4
"Local, total",624562,,70987,11.4,,53026,74.7,,9585,13.5,,8376,11.8
"Counties",113921,,28697,25.2,,12539,43.7,,7782,27.1,,8376,29.2
"Municipalities",142406,,42290,29.7,,40486,95.7,,1803,4.3,,0,0.0
,,,,,,,,,,,,,
"Wyoming",89761,,8141,9.1,,4068,50.0,,1925,23.6,,2148,26.4
"State",24201,,3214,13.3,,545,16.9,,1109,34.5,,1561,48.6
"Local, total",65560,,4926,7.5,,3523,71.5,,816,16.6,,587,11.9
"Counties",10751,,2452,22.8,,1263,51.5,,601,24.5,,587,23.9
"Municipalities",8471,,2475,29.2,,2260,91.3,,215,8.7,,0,0.0
,,,,,,,,,,,,,
"Notes: March payroll data may not sum to total because of rounding.",,,,,,,,,,,,,
"Local government data are estimates subject to variability.",,,,,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts,",,,,,,,,,,,,,
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the",,,,,,,,,,,,,
" ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,
"b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not",,,,,,,,,,,,,
"available.",,,,,,,,,,,,,
