Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename:  cjee0705.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2007",,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2007",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
Counties,"12,205","5,286","4,851","5,009",41,,"2,056","1,901","1,952",39,,"1,066",889,950,19,,"2,164","2,061","2,107",42.1,,Counties
Municipalities,"19,668","6,091","5,370","5,588",28.4,,"5,173","4,748","4,895",87.6,,855,561,631,11.3,,63,61,62,1.1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
California,"1,835,452","254,412","239,377","246,329",13.4,,"110,396","102,141","105,490",42.8,,"53,285","50,567","51,875",21.1,,"90,731","86,669","88,964",36.1,,California
State,"387,168","75,723","71,862","73,703",19,,"14,245","13,001","13,283",18,,"4,988","4,517","4,710",6.4,,"56,490","54,344","55,710",75.6,,State
"Local, total","1,448,284","178,689","167,515","172,626",11.9,,"96,151","89,140","92,207",53.4,,"48,297","46,050","47,165",27.3,,"34,241","32,325","33,254",19.3,,"Local, total"
Counties,"357,886","112,104","106,735","109,176",30.5,,"34,781","33,320","33,860",31,,"44,421","42,351","43,374",39.7,,"32,902","31,064","31,942",29.3,,Counties
Municipalities,"251,211","66,585","60,780","63,450",25.3,,"61,370","55,820","58,347",92,,"3,876","3,699","3,791",6,,"1,339","1,261","1,312",2.1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Colorado,"262,424","31,872","29,991","30,946",11.8,,"14,307","13,759","13,973",45.2,,"6,873","5,727","6,345",20.5,,"10,692","10,505","10,628",34.3,,Colorado
State,"67,784","12,240","11,293","11,898",17.6,,"1,192","1,171","1,181",9.9,,"4,197","3,356","3,884",32.6,,"6,851","6,766","6,833",57.4,,State
"Local, total","194,640","19,632","18,698","19,048",9.8,,"13,115","12,588","12,792",67.2,,"2,676","2,371","2,461",12.9,,"3,841","3,739","3,795",19.9,,"Local, total"
Counties,"26,628","7,884","7,576","7,719",29,,"3,733","3,575","3,642",47.2,,"1,157","1,101","1,126",14.6,,"2,994","2,900","2,951",38.2,,Counties
Municipalities,"44,533","11,748","11,122","11,329",25.4,,"9,382","9,013","9,150",80.8,,"1,519","1,270","1,335",11.8,,847,839,844,7.4,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"187,545","24,479","22,611","23,189",12.4,,"11,656","10,266","10,703",46.2,,"5,199","4,859","4,930",21.3,,"7,624","7,486","7,556",32.6,,Connecticut
State,"61,823","14,768","14,281","14,434",23.3,,"2,121","2,075","2,102",14.6,,"5,025","4,720","4,776",33.1,,"7,622","7,486","7,556",52.3,,State
"Local, total","125,722","9,711","8,330","8,755",7,,"9,535","8,191","8,601",98.2,,174,139,154,1.8,,2,0,0,0,,"Local, total"
Municipalities,"115,184","9,711","8,330","8,755",7.6,,"9,535","8,191","8,601",98.2,,174,139,154,1.8,,2,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Delaware,"51,612","9,538","8,658","9,200",18.4,,"4,839","4,093","4,557",49.5,,"1,820","1,749","1,786",19.4,,"2,879","2,816","2,857",31.1,,Delaware
State,"26,148","5,646","5,506","5,584",21.4,,"1,037","1,014","1,021",18.3,,"1,730","1,676","1,706",30.6,,"2,879","2,816","2,857",51.2,,State
"Local, total","25,464","3,892","3,152","3,616",15.1,,"3,802","3,079","3,536",97.8,,90,73,80,2.2,,0,0,0,0,,"Local, total"
Counties,"2,602",642,481,606,23.3,,573,414,538,88.8,,69,67,68,11.2,,0,0,0,0,,Counties
Municipalities,"6,380","3,250","2,671","3,010",47.2,,"3,229","2,665","2,998",99.6,,21,6,12,0.4,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,"47,116","6,720","6,557","6,642",14.1,,"4,093","3,962","4,028",60.6,,"1,752","1,722","1,740",26.2,,875,873,874,13.2,,District of Columbia
"Local, total","47,116","6,720","6,557","6,642",14.1,,"4,093","3,962","4,028",60.6,,"1,752","1,722","1,740",26.2,,875,873,874,13.2,,"Local, total"
Municipality,"36,842","6,720","6,557","6,642",18,,"4,093","3,962","4,028",60.6,,"1,752","1,722","1,740",26.2,,875,873,874,13.2,,Municipality
,,,,,,,,,,,,,,,,,,,,,,
Florida,"890,834","150,650","142,749","146,004",16.1,,"68,834","63,192","65,408",44.8,,"35,450","33,661","34,485",23.6,,"46,366","45,896","46,111",31.6,,Florida
State,"188,772","55,085","53,482","54,210",28.7,,"4,559","4,376","4,441",8.2,,"21,283","20,161","20,685",38.2,,"29,243","28,945","29,084",53.7,,State
"Local, total","702,062","95,565","89,267","91,794",12.7,,"64,275","58,816","60,967",66.4,,"14,167","13,500","13,800",15,,"17,123","16,951","17,027",18.5,,"Local, total"
Counties,"174,148","65,780","61,831","63,362",36.4,,"35,770","32,604","33,780",53.3,,"13,561","12,948","13,228",20.9,,"16,449","16,279","16,354",25.8,,Counties
Municipalities,"109,318","29,785","27,436","28,432",26,,"28,505","26,212","27,187",95.6,,606,552,572,2,,674,672,673,2.4,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Georgia,"519,684","73,784","68,860","70,870",13.2,,"28,960","26,945","27,645",39,,"14,883","12,960","13,686",19.3,,"29,941","28,955","29,539",41.7,,Georgia
State,"126,420","25,772","25,134","25,484",20.2,,"2,041","2,031","2,036",8,,"3,667","3,612","3,629",14.2,,"20,064","19,491","19,819",77.8,,State
"Local, total","393,264","48,012","43,726","45,386",11.1,,"26,919","24,914","25,609",56.4,,"11,216","9,348","10,057",22.2,,"9,877","9,464","9,720",21.4,,"Local, total"
Counties,"65,524","30,287","27,605","28,756",43.9,,"12,361","11,569","11,895",41.4,,"9,255","7,766","8,339",29,,"8,671","8,270","8,522",29.6,,Counties
Municipalities,"50,127","17,725","16,121","16,630",33.2,,"14,558","13,345","13,714",82.5,,"1,961","1,582","1,718",10.3,,"1,206","1,194","1,198",7.2,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"71,503","9,271","9,012","9,090",12.6,,"3,862","3,698","3,736",41.1,,"3,042","2,957","2,992",32.9,,"2,367","2,357","2,362",26,,Hawaii
State,"57,210","4,824","4,742","4,775",8.3,,0,0,0,0,,"2,457","2,385","2,413",50.5,,"2,367","2,357","2,362",49.5,,State
"Local, total","14,293","4,447","4,270","4,315",29,,"3,862","3,698","3,736",86.6,,585,572,579,13.4,,0,0,0,0,,"Local, total"
Counties,"5,588","1,472","1,394","1,416",25.3,,"1,202","1,129","1,148",81.1,,270,265,268,18.9,,0,0,0,0,,Counties
Municipalities,"8,568","2,975","2,876","2,899",33.8,,"2,660","2,569","2,588",89.3,,315,307,311,10.7,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Idaho,"80,585","9,394","8,755","9,024",11.2,,"4,188","3,929","4,023",44.6,,"1,865","1,720","1,778",19.7,,"3,341","3,106","3,223",35.7,,Idaho
State,"22,190","2,868","2,786","2,838",12.8,,497,474,487,17.2,,471,450,459,16.2,,"1,900","1,862","1,892",66.7,,State
"Local, total","58,395","6,526","5,969","6,186",10.6,,"3,691","3,455","3,536",57.2,,"1,394","1,270","1,319",21.3,,"1,441","1,244","1,331",21.5,,"Local, total"
Counties,"12,510","4,521","4,078","4,259",34,,"1,811","1,673","1,723",40.5,,"1,269","1,161","1,205",28.3,,"1,441","1,244","1,331",31.3,,Counties
Municipalities,"7,304","2,005","1,891","1,927",26.4,,"1,880","1,782","1,813",94.1,,125,109,114,5.9,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Illinois,"645,306","92,356","84,268","87,176",13.5,,"53,272","46,279","48,713",55.9,,"16,912","16,094","16,429",18.8,,"22,172","21,895","22,034",25.3,,Illinois
State,"125,015","18,646","18,582","18,611",14.9,,"3,953","3,952","3,953",21.2,,"2,626","2,570","2,594",13.9,,"12,067","12,060","12,064",64.8,,State
"Local, total","520,291","73,710","65,686","68,565",13.2,,"49,319","42,327","44,760",65.3,,"14,286","13,524","13,835",20.2,,"10,105","9,835","9,970",14.5,,"Local, total"
Counties,"58,976","29,724","28,353","28,949",49.1,,"6,264","5,741","5,942",20.5,,"13,396","12,805","13,071",45.2,,"10,064","9,807","9,936",34.3,,Counties
Municipalities,"107,851","43,986","37,333","39,616",36.7,,"43,055","36,586","38,818",98,,890,719,764,1.9,,41,28,34,0.1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Indiana,"339,787","40,924","36,757","38,267",10.9,,"18,622","16,514","17,110",44.7,,"8,490","7,334","7,817",20.4,,"13,812","12,909","13,340",34.9,,Indiana
State,"89,558","10,582","10,529","10,555",11.8,,"1,882","1,881","1,882",17.8,,"1,359","1,311","1,333",12.6,,"7,341","7,337","7,340",69.5,,State
"Local, total","250,229","30,342","26,228","27,712",10.5,,"16,740","14,633","15,228",55,,"7,131","6,023","6,484",23.4,,"6,471","5,572","6,000",21.7,,"Local, total"
Counties,"49,489","14,022","12,205","13,002",26.3,,"4,145","3,760","3,896",30,,"4,605","3,996","4,255",32.7,,"5,272","4,449","4,851",37.3,,Counties
Municipalities,"50,066","16,320","14,023","14,710",29.4,,"12,595","10,873","11,332",77,,"2,526","2,027","2,229",15.2,,"1,199","1,123","1,149",7.8,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Iowa,"182,356","16,057","14,352","15,042",8.3,,"7,933","6,961","7,240",48.1,,"3,322","3,034","3,195",21.2,,"4,802","4,357","4,607",30.6,,Iowa
State,"53,427","6,658","6,307","6,538",12.2,,966,964,964,14.7,,"2,414","2,258","2,361",36.1,,"3,278","3,085","3,213",49.1,,State
"Local, total","128,929","9,399","8,045","8,504",6.7,,"6,967","5,997","6,276",73.8,,908,776,834,9.8,,"1,524","1,272","1,394",16.4,,"Local, total"
Counties,"24,625","4,768","4,041","4,321",17.5,,"2,445","2,071","2,175",50.3,,803,701,755,17.5,,"1,520","1,269","1,391",32.2,,Counties
Municipalities,"21,967","4,631","4,004","4,183",19,,"4,522","3,926","4,101",98,,105,75,79,1.9,,4,3,3,0.1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Kansas,"187,953","20,657","18,823","19,340",10,,"9,737","8,920","9,162",47.4,,"4,258","3,510","3,693",19.1,,"6,662","6,393","6,485",33.5,,Kansas
State,"45,098","7,029","6,791","6,883",15.3,,"1,155","1,143","1,149",16.7,,"2,265","2,060","2,138",31.1,,"3,609","3,588","3,596",52.2,,State
"Local, total","142,855","13,628","12,032","12,457",8.4,,"8,582","7,777","8,013",64.3,,"1,993","1,450","1,555",12.5,,"3,053","2,805","2,889",23.2,,"Local, total"
Counties,"23,631","6,632","5,986","6,209",26.3,,"2,765","2,542","2,625",42.3,,"1,053",878,934,15,,"2,814","2,566","2,650",42.7,,Counties
Municipalities,"24,889","6,996","6,046","6,248",25.1,,"5,817","5,235","5,388",86.2,,940,572,621,9.9,,239,239,239,3.8,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"246,837","25,707","23,121","24,399",9.9,,"10,664","9,849","10,171",41.7,,"6,921","5,749","6,477",26.5,,"8,122","7,523","7,751",31.8,,Kentucky
State,"80,307","12,201","11,337","11,873",14.8,,"2,390","2,390","2,390",20.1,,"5,532","4,833","5,355",45.1,,"4,279","4,114","4,128",34.8,,State
"Local, total","166,530","13,506","11,784","12,526",7.6,,"8,274","7,459","7,781",62.1,,"1,389",916,"1,122",9,,"3,843","3,409","3,623",28.9,,"Local, total"
Counties,"16,765","5,857","4,650","5,186",30.9,,"2,217","1,815","1,972",38,,895,505,678,13.1,,"2,745","2,330","2,536",48.9,,Counties
Municipalities,"26,043","7,649","7,134","7,340",28.2,,"6,057","5,644","5,809",79.1,,494,411,444,6,,"1,098","1,079","1,087",14.8,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"264,622","37,801","34,440","35,922",13.1,,"17,579","15,658","16,507",46,,"7,531","6,618","6,970",19.4,,"12,691","12,164","12,445",34.6,,Louisiana
State,"84,593","10,555","10,274","10,400",12.3,,"1,737","1,722","1,727",16.6,,"1,547","1,463","1,484",14.3,,"7,271","7,089","7,189",69.1,,State
"Local, total","180,029","27,246","24,166","25,522",13.4,,"15,842","13,936","14,780",57.9,,"5,984","5,155","5,486",21.5,,"5,420","5,075","5,256",20.6,,"Local, total"
Parishes,"41,794","14,654","13,117","13,815",33.1,,"6,617","5,837","6,204",44.9,,"4,219","3,729","3,916",28.3,,"3,818","3,551","3,695",26.7,,Parishes
Municipalities,"35,810","12,592","11,049","11,707",32.7,,"9,225","8,099","8,576",73.3,,"1,765","1,426","1,570",13.4,,"1,602","1,524","1,561",13.3,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Maine,"76,382","6,706","5,790","6,131",7.9,,"3,551","2,902","3,098",50.5,,"1,079",950,"1,011",16.5,,"2,076","1,938","2,022",33,,Maine
State,"22,870","2,667","2,519","2,598",11.4,,551,527,536,20.6,,793,725,760,29.3,,"1,323","1,267","1,302",50.1,,State
"Local, total","53,512","4,039","3,271","3,533",6.4,,"3,000","2,375","2,562",72.5,,286,225,251,7.1,,753,671,720,20.4,,"Local, total"
Counties,"1,817","1,518","1,327","1,420",78.2,,506,443,463,32.6,,259,213,237,16.7,,753,671,720,50.7,,Counties
Municipalities,"30,404","2,521","1,944","2,113",6.9,,"2,494","1,932","2,099",99.3,,27,12,14,0.7,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Maryland,"300,723","44,163","41,213","42,863",14.2,,"19,921","18,200","18,967",44.3,,"8,579","7,755","8,302",19.4,,"15,663","15,258","15,594",36.4,,Maryland
State,"90,333","19,685","18,867","19,515",21.6,,"2,398","2,368","2,394",12.3,,"5,076","4,607","4,952",25.4,,"12,211","11,892","12,169",62.4,,State
"Local, total","210,390","24,478","22,346","23,348",11.1,,"17,523","15,832","16,573",71,,"3,503","3,148","3,350",14.3,,"3,452","3,366","3,425",14.7,,"Local, total"
Counties,"172,902","16,942","15,464","16,215",9.4,,"10,924","9,868","10,362",63.9,,"2,578","2,242","2,440",15,,"3,440","3,354","3,413",21,,Counties
Municipalities,"35,633","7,536","6,882","7,133",20,,"6,599","5,964","6,211",87.1,,925,906,910,12.8,,12,12,12,0.2,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,"334,715","45,702","41,895","43,144",12.6,,"26,402","23,232","24,136",55.9,,"10,413","9,924","10,214",23.7,,"8,887","8,739","8,794",20.4,,Massachusetts
State,"96,109","22,569","21,961","22,287",23.2,,"6,455","6,349","6,388",28.7,,"10,095","9,665","9,931",44.6,,"6,019","5,947","5,968",26.8,,State
"Local, total","238,606","23,133","19,934","20,857",8.5,,"19,947","16,883","17,748",85.1,,318,259,283,1.4,,"2,868","2,792","2,826",13.5,,"Local, total"
Counties,"2,418","1,823","1,749","1,783",73.7,,13,13,13,0.7,,23,23,23,1.3,,"1,787","1,713","1,747",98,,Counties
Municipalities,"198,267","21,310","18,185","19,074",9.6,,"19,934","16,870","17,735",93,,295,236,260,1.4,,"1,081","1,079","1,079",5.7,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Michigan,"493,466","59,794","54,556","56,835",11.9,,"24,758","21,523","22,709",40,,"12,226","11,104","11,662",20.5,,"22,810","21,929","22,464",39.5,,Michigan
State,"144,807","21,373","21,047","21,285",14.7,,"2,759","2,719","2,730",12.8,,"1,564","1,500","1,541",7.2,,"17,050","16,828","17,014",79.9,,State
"Local, total","348,659","38,421","33,509","35,550",10.6,,"21,999","18,804","19,979",56.2,,"10,662","9,604","10,121",28.5,,"5,760","5,101","5,450",15.3,,"Local, total"
Counties,"51,787","19,592","17,797","18,751",36.2,,"5,214","4,718","4,957",26.4,,"8,721","8,059","8,437",45,,"5,657","5,020","5,357",28.6,,Counties
Municipalities,"63,704","18,829","15,712","16,799",26.4,,"16,785","14,086","15,022",89.4,,"1,941","1,545","1,684",10,,103,81,93,0.6,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"280,783","29,421","26,049","27,832",10,,"12,523","11,073","11,635",41.8,,"6,866","5,942","6,558",23.6,,"10,032","9,034","9,639",34.6,,Minnesota
State,"78,266","8,665","7,998","8,528",10.9,,991,951,976,11.4,,"3,532","3,057","3,440",40.3,,"4,142","3,990","4,112",48.2,,State
"Local, total","202,517","20,756","18,051","19,304",9.6,,"11,532","10,122","10,659",55.2,,"3,334","2,885","3,118",16.2,,"5,890","5,044","5,527",28.6,,"Local, total"
Counties,"40,957","12,749","11,035","11,918",29.1,,"3,838","3,379","3,555",29.8,,"3,021","2,612","2,836",23.8,,"5,890","5,044","5,527",46.4,,Counties
Municipalities,"36,085","8,007","7,016","7,386",20.5,,"7,694","6,743","7,104",96.2,,313,273,282,3.8,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"189,188","18,441","16,264","16,996",8.9,,"9,777","8,381","8,866",52.2,,"3,139","2,541","2,713",16,,"5,525","5,342","5,417",31.9,,Mississippi
State,"55,824","5,489","5,431","5,459",9.8,,"1,235","1,235","1,235",22.6,,701,661,677,12.4,,"3,553","3,535","3,547",65,,State
"Local, total","133,364","12,952","10,833","11,537",8.6,,"8,542","7,146","7,631",66.1,,"2,438","1,880","2,036",17.6,,"1,972","1,807","1,870",16.2,,"Local, total"
Counties,"28,559","6,713","5,826","6,172",21.6,,"3,104","2,653","2,830",45.9,,"1,702","1,430","1,536",24.9,,"1,907","1,743","1,806",29.3,,Counties
Municipalities,"22,707","6,239","5,007","5,365",23.6,,"5,438","4,493","4,801",89.5,,736,450,500,9.3,,65,64,64,1.2,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Missouri,"327,622","43,496","40,363","41,460",12.6,,"19,259","17,728","18,217",43.9,,"8,224","7,191","7,574",18.3,,"16,013","15,444","15,669",37.8,,Missouri
State,"89,532","18,602","17,972","18,254",20.4,,"2,405","2,291","2,338",12.8,,"3,580","3,378","3,481",19.1,,"12,617","12,303","12,435",68.1,,State
"Local, total","238,090","24,894","22,391","23,206",9.7,,"16,854","15,437","15,879",68.4,,"4,644","3,813","4,093",17.6,,"3,396","3,141","3,234",13.9,,"Local, total"
Counties,"22,982","10,202","9,302","9,629",41.9,,"4,511","4,168","4,275",44.4,,"3,096","2,766","2,902",30.1,,"2,595","2,368","2,452",25.5,,Counties
Municipalities,"45,519","14,692","13,089","13,577",29.8,,"12,343","11,269","11,604",85.5,,"1,548","1,047","1,191",8.8,,801,773,782,5.8,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Montana,"55,982","6,422","5,544","5,890",10.6,,"2,714","2,425","2,534",43,,"1,767","1,314","1,491",25.3,,"1,941","1,805","1,865",31.7,,Montana
State,"20,017","2,380","2,186","2,279",11.4,,431,413,420,18.4,,729,612,670,29.4,,"1,220","1,161","1,189",52.2,,State
"Local, total","35,965","4,042","3,358","3,611",10.2,,"2,283","2,012","2,114",58.5,,"1,038",702,821,22.7,,721,644,676,18.7,,"Local, total"
Counties,"6,712","2,669","2,176","2,363",35.2,,"1,159",968,"1,037",43.9,,798,571,658,27.8,,712,637,668,28.3,,Counties
Municipalities,"4,479","1,373","1,182","1,248",27.9,,"1,124","1,044","1,077",86.3,,240,131,163,13.1,,9,7,8,0.6,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"113,600","11,608","10,663","11,052",9.4,,"5,155","4,751","4,907",44.4,,"2,085","1,810","1,917",17.3,,"4,368","4,102","4,228",38.3,,Nebraska
State,"32,465","4,503","4,304","4,401",13.6,,791,759,776,17.6,,794,721,748,17,,"2,918","2,824","2,877",65.4,,State
"Local, total","81,135","7,105","6,359","6,651",7.8,,"4,364","3,992","4,131",62.1,,"1,291","1,089","1,169",17.6,,"1,450","1,278","1,351",20.3,,"Local, total"
Counties,"12,405","4,190","3,697","3,896",31.4,,"1,543","1,402","1,453",37.3,,"1,197","1,017","1,092",28,,"1,450","1,278","1,351",34.7,,Counties
Municipalities,"12,152","2,915","2,662","2,755",22.7,,"2,821","2,590","2,678",97.2,,94,72,77,2.8,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Nevada,"110,317","18,878","17,406","17,861",15.6,,"8,354","7,472","7,684",43,,"3,750","3,429","3,569",20,,"6,774","6,505","6,608",37,,Nevada
State,"28,506","5,284","5,200","5,229",18.3,,796,796,796,15.2,,667,639,647,12.4,,"3,821","3,765","3,786",72.4,,State
"Local, total","81,811","13,594","12,206","12,632",14.7,,"7,558","6,676","6,888",54.5,,"3,083","2,790","2,922",23.1,,"2,953","2,740","2,822",22.3,,"Local, total"
Counties,"25,970","9,996","8,967","9,238",35.6,,"5,263","4,665","4,762",51.5,,"2,372","2,144","2,243",24.3,,"2,361","2,158","2,233",24.2,,Counties
Municipalities,"11,007","3,598","3,239","3,394",30.8,,"2,295","2,011","2,126",62.6,,711,646,679,20,,592,582,589,17.4,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"72,175","7,772","6,539","7,029",9.8,,"4,336","3,416","3,730",53.1,,"1,363","1,158","1,274",18.1,,"2,073","1,965","2,025",28.8,,New Hampshire
State,"19,588","2,786","2,698","2,750",14,,454,439,448,16.3,,946,939,944,34.3,,"1,386","1,320","1,358",49.4,,State
"Local, total","52,587","4,986","3,841","4,279",8.2,,"3,882","2,977","3,282",76.7,,417,219,330,7.7,,687,645,667,15.6,,"Local, total"
