Bureau of Justice Statistics,,,,,,,,,,,,,
Ohio,"32,697","26,121","23,562","24,483",74.9,,"$115,724 ","9,703","7,263","8,214",25.1,,"$27,222 "
State,"2,711","1,487","1,487","1,487",54.9,,"$7,985 ","1,227","1,217","1,224",45.1,,"$4,711 "
"Local, total","29,986","24,634","22,075","22,996",76.7,,"$107,740 ","8,476","6,046","6,990",23.3,,"$22,511 "
Counties,"8,025","5,575","5,332","5,446",67.9,,"$21,469 ","2,682","2,458","2,579",32.1,,"$8,529 "
Municipalities,"21,961","19,059","16,743","17,550",79.9,,"$86,271 ","5,794","3,588","4,411",20.1,,"$13,981 "
,,,,,,,,,,,,,
Oklahoma,"11,290","8,122","7,598","7,760",68.7,,"$29,808 ","3,814","3,354","3,530",31.3,,"$9,522 "
State,"1,887",974,974,974,51.6,,"$4,997 ",930,887,913,48.4,,"$3,069 "
"Local, total","9,403","7,148","6,624","6,786",72.2,,"$24,811 ","2,884","2,467","2,617",27.8,,"$6,453 "
Counties,"2,679","1,620","1,484","1,529",57.1,,"$3,435 ","1,222","1,112","1,150",42.9,,"$2,512 "
Municipalities,"6,724","5,528","5,140","5,257",78.2,,"$21,376 ","1,662","1,355","1,467",21.8,,"$3,940 "
,,,,,,,,,,,,,
Oregon,"9,014","6,277","6,108","6,162",68.4,,"$33,069 ","3,137","2,713","2,852",31.6,,"$11,316 "
State,"1,285",674,672,673,52.4,,"$3,220 ",724,583,612,47.6,,"$2,239 "
"Local, total","7,729","5,603","5,436","5,489",71,,"$29,849 ","2,413","2,130","2,240",29,,"$9,076 "
Counties,"2,820","1,809","1,765","1,781",63.2,,"$8,632 ","1,109",996,"1,039",36.8,,"$4,339 "
Municipalities,"4,909","3,794","3,671","3,708",75.5,,"$21,216 ","1,304","1,134","1,201",24.5,,"$4,738 "
,,,,,,,,,,,,,
Pennsylvania,"33,051","28,508","24,817","26,631",80.6,,"$131,476 ","9,215","4,814","6,420",19.4,,"$22,243 "
State,"6,419","5,052","5,052","5,052",78.7,,"$25,691 ","1,395","1,331","1,367",21.3,,"$6,916 "
"Local, total","26,632","23,456","19,765","21,579",81,,"$105,785 ","7,820","3,483","5,053",19,,"$15,326 "
Counties,"2,944","1,660","1,437","1,547",52.5,,"$5,512 ","1,564","1,285","1,397",47.5,,"$4,400 "
Municipalities,"23,688","21,796","18,328","20,032",84.6,,"$100,273 ","6,256","2,198","3,656",15.4,,"$10,927 "
,,,,,,,,,,,,,
Rhode Island,"3,488","2,634","2,628","2,629",75.4,,"$12,883 ","1,051",712,859,24.6,,"$2,771 "
State,310,217,217,217,70,,"$1,416 ",94,92,93,30,,$475 
"Local, total","3,178","2,417","2,411","2,412",75.9,,"$11,467 ",957,620,766,24.1,,"$2,296 "
Municipalities,"3,178","2,417","2,411","2,412",75.9,,"$11,467 ",957,620,766,24.1,,"$2,296 "
,,,,,,,,,,,,,
South Carolina,"13,053","10,487","10,323","10,386",79.6,,"$34,581 ","3,077","2,418","2,667",20.4,,"$7,216 "
State,"2,054","1,375","1,375","1,375",66.9,,"$5,087 ",681,677,679,33.1,,"$2,128 "
"Local, total","10,999","9,112","8,948","9,011",81.9,,"$29,494 ","2,396","1,741","1,988",18.1,,"$5,088 "
Counties,"5,446","4,465","4,396","4,434",81.4,,"$14,368 ","1,273",840,"1,012",18.6,,"$2,514 "
Municipalities,"5,553","4,647","4,552","4,577",82.4,,"$15,126 ","1,123",901,976,17.6,,"$2,574 "
,,,,,,,,,,,,,
South Dakota,"1,826","1,452","1,372","1,396",76.5,,"$5,304 ",531,386,430,23.5,,"$1,093 "
State,298,190,189,189,63.4,,$788 ,111,105,109,36.6,,$308 
"Local, total","1,528","1,262","1,183","1,207",79,,"$4,516 ",420,281,321,21,,$786 
Counties,601,463,433,444,73.9,,"$1,408 ",215,136,157,26.1,,$348 
Municipalities,927,799,750,763,82.3,,"$3,108 ",205,145,164,17.7,,$438 
,,,,,,,,,,,,,
Tennessee,"18,686","14,186","13,765","13,932",74.6,,"$50,407 ","5,456","4,311","4,754",25.4,,"$13,120 "
State,"2,014","1,121","1,121","1,121",55.7,,"$4,386 ",900,887,893,44.3,,"$2,817 "
"Local, total","16,672","13,065","12,644","12,811",76.8,,"$46,021 ","4,556","3,424","3,861",23.2,,"$10,303 "
Counties,"5,517","4,011","3,806","3,900",70.7,,"$12,470 ","1,755","1,499","1,617",29.3,,"$4,113 "
Municipalities,"11,155","9,054","8,838","8,911",79.9,,"$33,551 ","2,801","1,925","2,244",20.1,,"$6,190 "
,,,,,,,,,,,,,
Texas,"64,621","47,260","46,622","46,895",72.6,,"$209,822 ","19,454","16,692","17,726",27.4,,"$50,875 "
State,"4,210","2,286","2,286","2,286",54.3,,"$10,011 ","1,958","1,896","1,924",45.7,,"$5,797 "
"Local, total","60,411","44,974","44,336","44,609",73.8,,"$199,811 ","17,496","14,796","15,802",26.2,,"$45,078 "
Counties,"16,151","11,106","10,910","11,003",68.1,,"$39,452 ","5,322","4,985","5,148",31.9,,"$14,686 "
Municipalities,"44,260","33,868","33,426","33,606",75.9,,"$160,359 ","12,174","9,811","10,654",24.1,,"$30,392 "
,,,,,,,,,,,,,
Utah,"5,993","4,344","4,115","4,168",69.5,,"$17,134 ","2,660","1,384","1,825",30.5,,"$5,480 "
State,809,464,464,464,57.4,,"$1,814 ",388,321,345,42.6,,"$1,213 "
"Local, total","5,184","3,880","3,651","3,704",71.5,,"$15,320 ","2,272","1,063","1,480",28.5,,"$4,268 "
Counties,"1,538","1,107","1,057","1,075",69.9,,"$4,301 ",601,369,463,30.1,,"$1,321 "
Municipalities,"3,646","2,773","2,594","2,629",72.1,,"$11,020 ","1,671",694,"1,017",27.9,,"$2,947 "
,,,,,,,,,,,,,
Vermont,"1,518","1,086",946,998,65.7,,"$4,757 ",609,471,520,34.3,,"$1,941 "
State,636,337,317,323,50.8,,"$1,936 ",346,292,313,49.2,,"$1,268 "
"Local, total",882,749,629,675,76.5,,"$2,821 ",263,179,207,23.5,,$673 
Counties,33,14,13,14,42.4,,$64 ,19,18,19,57.6,,$46 
Municipalities,849,735,616,661,77.9,,"$2,757 ",244,161,188,22.1,,$627 
,,,,,,,,,,,,,
Virginia,"21,769","16,925","16,444","16,691",76.7,,"$75,143 ","5,689","4,615","5,078",23.3,,"$17,140 "
