Bureau of Justice Statistics,,,,,,
filename:  cjee0319.csv,,,,,,
table #:  19 Supplemental data for 68 large county governments,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version:  1/12/2005,,,,,,

Table 19. Supplemental data for 68 large county governments,,,,,,

,,"Expenditures, fiscal 2003 (thousands of dollars)",,,"Full-time equivalent employment, March 2003",
"Macomb, WI","808,529","$495,177 ","$483,422 ","$472,920 ","2,931","2,931"
"Maricopa, AZ","3,303,876","$2,285,982 ","$2,016,563 ","$2,285,982 ","15,208","15,208"
"Middlesex, NJ","775,549","$411,712 ","$408,736 ","$411,712 ","4,166","4,166"

"Milwaukee, WI","937,136","$1,282,921 ","$1,282,921 ","$1,015,064 ","7,839","6,488"
"Monmouth, NJ","629,836","$496,529 ","$472,095 ","$496,463 ","5,382","5,382"
"Monroe, NY","738,422","$1,306,839 ","$1,030,994 ","$1,249,878 ","5,822","5,639"
"Montgomery, MD","910,156","$3,829,968 ","$3,521,286 ","$3,476,853 ","33,240","32,399"
"Montgomery, OH","554,470","$606,321 ","$602,092 ","$565,664 ","4,324","4,324"
"Montgomery, PA","766,517","$481,636 ","$476,502 ","$468,847 ","3,615","3,615"
"Multnomah, OR","677,626","$690,276 ","$665,903 ","$690,276 ","4,611","4,611"

"Nassau, NY","1,344,892","$3,074,367 ","$2,661,113 ","$3,073,367 ","17,451","17,451"
"Norfolk, MA","656,486","$84,606 ","$84,606 ","$45,192 ",467,467
"Oakland, MI","1,202,721","$867,419 ","$856,452 ","$833,841 ","4,378","4,378"
"Oklahoma, OK","672,487","$125,676 ","$125,676 ","$125,676 ","2,126","2,126"
"Orange, CA","2,938,507","$3,185,108 ","$2,918,582 ","$2,999,077 ","24,209","24,209"
"Palm Beach, FL","1,190,390","$1,414,706 ","$1,384,236 ","$1,297,505 ","9,653","9,273"
"Pima, AZ","881,221","$950,215 ","$927,765 ","$950,215 ","7,237","7,237"

"Pinellas, FL","926,716","$890,911 ","$845,817 ","$798,927 ","6,526","6,121"
"Prince Georges, MD","833,084","$2,679,356 ","$2,466,532 ","$2,521,845 ","28,924","28,568"
"Riverside, CA","1,699,112","$2,480,967 ","$2,387,512 ","$2,480,712 ","19,142","19,137"
"Sacramento, CA","1,305,082","$2,852,971 ","$2,723,614 ","$2,690,227 ","14,183","13,745"
"St. Louis, MO","1,018,102","$605,757 ","$405,257 ","$583,282 ","4,185","4,185"
"Salt Lake, UT","919,308","$496,057 ","$496,057 ","$496,057 ","4,629","4,629"
"San Bernadino, CA","1,816,072","$2,905,386 ","$2,591,674 ","$2,755,263 ","19,306","19,305"

"San Diego, CA","2,906,660","$3,503,476 ","$3,259,563 ","$3,279,511 ","20,603","20,603"
"San Mateo, CA","703,202","$1,046,188 ","$1,034,220 ","$975,824 ","6,256","6,256"
"Santa Clara, CA","1,683,505","$3,062,821 ","$2,855,684 ","$3,062,821 ","18,100","18,100"
"Shelby, TN","905,678","$1,722,335 ","$1,368,351 ","$1,683,818 ","13,732","13,732"
"Suffolk, NY","1,458,655","$2,308,321 ","$2,050,146 ","$2,125,488 ","12,630","12,052"
"Summit, OH","546,381","$500,677 ","$498,753 ","$498,556 ","4,126","4,093"

"Tarrant, TX","1,527,366","$550,537 ","$550,412 ","$550,537 ","8,461","8,461"
"Travis, TX","850,813","$554,165 ","$554,165 ","$554,165 ","4,521","4,521"
"Union, NJ","530,763","$438,744 ","$414,290 ","$438,744 ","3,956","3,956"
"Ventura, CA","783,920","$1,269,083 ","$1,189,406 ","$1,156,045 ","8,739","8,687"
"Wayne, MI","2,045,540","$3,079,149 ","$3,000,164 ","$2,978,819 ","6,541","6,541"
"Westchester, NY","937,279","$2,293,966 ","$2,008,256 ","$2,253,267 ","6,375","6,319"

Note: Jurisdictions without data did not report for 2003.,,,,,,
"a/ Population data are from the Bureau of the Census, July 1, 2002 county population estimates. ",,,,,,
"b/ ""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and county-operated liquor stores."
"d/ On 1/6/2003 Jefferson County, Kentucky consolidated operations with the City of Louisville."
