Bureau of Justice Statistics,,,,,,,,,,,,
Indiana,"$976,010 ","$109,854 ",11.3,,"$54,527 ",49.6,,"$21,274 ",19.4,,"$34,053 ",31
State,"$277,482 ","$34,973 ",12.6,,"$7,159 ",20.5,,"$6,276 ",17.9,,"$21,538 ",61.6
"Local, total","$698,528 ","$74,880 ",10.7,,"$47,368 ",63.3,,"$14,998 ",20,,"$12,515 ",16.7
Counties,"$122,422 ","$30,284 ",24.7,,"$11,001 ",36.3,,"$9,364 ",30.9,,"$9,919 ",32.8
Municipalities,"$146,100 ","$44,597 ",30.5,,"$36,367 ",81.5,,"$5,634 ",12.6,,"$2,595 ",5.8

Iowa,"$552,733 ","$52,679 ",9.5,,"$25,427 ",48.3,,"$12,533 ",23.8,,"$14,719 ",27.9
State,"$204,202 ","$24,739 ",12.1,,"$4,011 ",16.2,,"$9,305 ",37.6,,"$11,423 ",46.2
"Local, total","$348,532 ","$27,940 ",8,,"$21,416 ",76.6,,"$3,229 ",11.6,,"$3,295 ",11.8
Counties,"$65,892 ","$13,332 ",20.2,,"$7,228 ",54.2,,"$2,826 ",21.2,,"$3,278 ",24.6
Municipalities,"$68,731 ","$14,608 ",21.3,,"$14,188 ",97.1,,$403 ,2.8,,$17 ,0.1

Kansas,"$504,880 ","$56,165 ",11.1,,"$28,164 ",50.1,,"$11,637 ",20.7,,"$16,365 ",29.1
State,"$143,050 ","$19,592 ",13.7,,"$3,534 ",18,,"$6,800 ",34.7,,"$9,258 ",47.3
"Local, total","$361,830 ","$36,573 ",10.1,,"$24,630 ",67.3,,"$4,837 ",13.2,,"$7,107 ",19.4
Counties,"$59,422 ","$16,675 ",28.1,,"$7,362 ",44.1,,"$2,863 ",17.2,,"$6,450 ",38.7
Municipalities,"$74,960 ","$19,899 ",26.5,,"$17,268 ",86.8,,"$1,973 ",9.9,,$657 ,3.3

Kentucky,"$621,162 ","$68,031 ",11,,"$31,291 ",46,,"$19,658 ",28.9,,"$17,082 ",25.1
State,"$250,966 ","$32,971 ",13.1,,"$7,391 ",22.4,,"$15,749 ",47.8,,"$9,831 ",29.8
"Local, total","$370,196 ","$35,060 ",9.5,,"$23,900 ",68.2,,"$3,909 ",11.1,,"$7,251 ",20.7
Counties,"$43,268 ","$11,455 ",26.5,,"$5,533 ",48.3,,"$1,478 ",12.9,,"$4,444 ",38.8
Municipalities,"$74,712 ","$23,605 ",31.6,,"$18,367 ",77.8,,"$2,430 ",10.3,,"$2,807 ",11.9

Louisiana,"$746,907 ","$102,033 ",13.7,,"$43,392 ",42.5,,"$21,001 ",20.6,,"$37,639 ",36.9
State,"$278,225 ","$35,024 ",12.6,,"$4,925 ",14.1,,"$7,400 ",21.1,,"$22,698 ",64.8
"Local, total","$468,682 ","$67,009 ",14.3,,"$38,467 ",57.4,,"$13,601 ",20.3,,"$14,941 ",22.3
Parishes,"$112,472 ","$31,776 ",28.3,,"$15,786 ",49.7,,"$8,787 ",27.7,,"$7,203 ",22.7
Municipalities,"$95,746 ","$35,233 ",36.8,,"$22,681 ",64.4,,"$4,814 ",13.7,,"$7,738 ",22

Maine,"$215,832 ","$20,392 ",9.4,,"$10,405 ",51,,"$3,646 ",17.9,,"$6,341 ",31.1
State,"$73,466 ","$9,854 ",13.4,,"$2,508 ",25.5,,"$2,959 ",30,,"$4,387 ",44.5
"Local, total","$142,366 ","$10,538 ",7.4,,"$7,897 ",74.9,,$687 ,6.5,,"$1,955 ",18.5
Counties,"$5,017 ","$3,804 ",75.8,,"$1,240 ",32.6,,$609 ,16,,"$1,955 ",51.4
Municipalities,"$83,218 ","$6,734 ",8.1,,"$6,657 ",98.8,,$78 ,1.2,, $-   ,0

Maryland,"$1,096,159 ","$155,103 ",14.1,,"$76,282 ",49.2,,"$26,202 ",16.9,,"$52,618 ",33.9
State,"$343,447 ","$66,581 ",19.4,,"$11,277 ",16.9,,"$14,208 ",21.3,,"$41,097 ",61.7
"Local, total","$752,712 ","$88,522 ",11.8,,"$65,006 ",73.4,,"$11,994 ",13.5,,"$11,522 ",13
Counties,"$618,334 ","$61,904 ",10,,"$41,467 ",67,,"$8,916 ",14.4,,"$11,522 ",18.6
Municipalities,"$128,843 ","$26,617 ",20.7,,"$23,539 ",88.4,,"$3,078 ",11.6,, $-   ,0

Massachusetts,"$1,242,413 ","$189,985 ",15.3,,"$108,819 ",57.3,,"$40,610 ",21.4,,"$40,556 ",21.3
State,"$371,707 ","$96,080 ",25.8,,"$26,979 ",28.1,,"$39,389 ",41,,"$29,712 ",30.9
"Local, total","$870,706 ","$93,905 ",10.8,,"$81,841 ",87.2,,"$1,221 ",1.3,,"$10,844 ",11.5
Counties,"$8,984 ","$6,269 ",69.8,,$6 ,0.1,,$1 ,0,,"$6,262 ",99.9
Municipalities,"$727,589 ","$87,636 ",12,,"$81,835 ",93.4,,"$1,219 ",1.4,,"$4,581 ",5.2

Michigan,"$1,862,175 ","$245,511 ",13.2,,"$109,229 ",44.5,,"$47,025 ",19.2,,"$89,258 ",36.4
State,"$524,838 ","$93,638 ",17.8,,"$15,170 ",16.2,,"$9,214 ",9.8,,"$69,254 ",74
"Local, total","$1,337,337 ","$151,874 ",11.4,,"$94,059 ",61.9,,"$37,811 ",24.9,,"$20,003 ",13.2
Counties,"$176,343 ","$69,755 ",39.6,,"$19,954 ",28.6,,"$30,194 ",43.3,,"$19,607 ",28.1
Municipalities,"$359,679 ","$82,118 ",22.8,,"$74,105 ",90.2,,"$7,618 ",9.3,,$396 ,0.5

Minnesota,"$1,013,610 ","$109,396 ",10.8,,"$49,641 ",45.4,,"$27,863 ",25.5,,"$31,893 ",29.2
State,"$310,580 ","$31,438 ",10.1,,"$4,525 ",14.4,,"$12,603 ",40.1,,"$14,310 ",45.5
"Local, total","$703,030 ","$77,959 ",11.1,,"$45,116 ",57.9,,"$15,260 ",19.6,,"$17,583 ",22.6
Counties,"$155,961 ","$45,332 ",29.1,,"$13,806 ",30.5,,"$13,944 ",30.8,,"$17,583 ",38.8
Municipalities,"$141,074 ","$32,626 ",23.1,,"$31,310 ",96,,"$1,316 ",4,, $-   ,0

Mississippi,"$451,698 ","$42,079 ",9.3,,"$22,038 ",52.4,,"$8,043 ",19.1,,"$11,998 ",28.5
State,"$158,046 ","$15,358 ",9.7,,"$3,289 ",21.4,,"$3,280 ",21.4,,"$8,789 ",57.2
"Local, total","$293,652 ","$26,722 ",9.1,,"$18,749 ",70.2,,"$4,764 ",17.8,,"$3,209 ",12
Counties,"$65,503 ","$12,781 ",19.5,,"$6,060 ",47.4,,"$3,616 ",28.3,,"$3,105 ",24.3
Municipalities,"$56,322 ","$13,941 ",24.8,,"$12,689 ",91,,"$1,148 ",8.2,,$104 ,0.7

Missouri,"$871,960 ","$118,148 ",13.5,,"$59,697 ",50.5,,"$25,876 ",21.9,,"$32,575 ",27.6
State,"$251,332 ","$46,113 ",18.3,,"$7,104 ",15.4,,"$13,820 ",30,,"$25,190 ",54.6
"Local, total","$620,628 ","$72,034 ",11.6,,"$52,593 ",73,,"$12,056 ",16.7,,"$7,385 ",10.3
Counties,"$58,597 ","$24,424 ",41.7,,"$12,180 ",49.9,,"$7,094 ",29,,"$5,150 ",21.1
Municipalities,"$149,400 ","$47,610 ",31.9,,"$40,413 ",84.9,,"$4,962 ",10.4,,"$2,235 ",4.7

Montana,"$145,969 ","$15,788 ",10.8,,"$7,233 ",45.8,,"$4,004 ",25.4,,"$4,551 ",28.8
State,"$57,946 ","$6,235 ",10.8,,"$1,387 ",22.2,,"$1,709 ",27.4,,"$3,139 ",50.3
"Local, total","$88,024 ","$9,554 ",10.9,,"$5,846 ",61.2,,"$2,295 ",24,,"$1,412 ",14.8
Counties,"$14,890 ","$5,989 ",40.2,,"$2,799 ",46.7,,"$1,831 ",30.6,,"$1,360 ",22.7
Municipalities,"$12,911 ","$3,565 ",27.6,,"$3,047 ",85.5,,$465 ,13,,$52 ,1.5

Nebraska,"$332,386 ","$32,290 ",9.7,,"$15,949 ",49.4,,"$6,287 ",19.5,,"$10,054 ",31.1
State,"$92,944 ","$11,898 ",12.8,,"$2,430 ",20.4,,"$2,770 ",23.3,,"$6,698 ",56.3
"Local, total","$239,442 ","$20,392 ",8.5,,"$13,519 ",66.3,,"$3,517 ",17.2,,"$3,356 ",16.5
Counties,"$33,059 ","$10,852 ",32.8,,"$4,396 ",40.5,,"$3,100 ",28.6,,"$3,356 ",30.9
Municipalities,"$40,100 ","$9,540 ",23.8,,"$9,123 ",95.6,,$417 ,4.4,, $-   ,0

Nevada,"$360,932 ","$73,229 ",20.3,,"$34,844 ",47.6,,"$15,499 ",21.2,,"$22,887 ",31.3
State,"$89,707 ","$19,027 ",21.2,,"$3,717 ",19.5,,"$3,324 ",17.5,,"$11,987 ",63
"Local, total","$271,226 ","$54,202 ",20,,"$31,127 ",57.4,,"$12,175 ",22.5,,"$10,900 ",20.1
Counties,"$103,091 ","$40,128 ",38.9,,"$22,311 ",55.6,,"$9,498 ",23.7,,"$8,319 ",20.7
Municipalities,"$48,906 ","$14,074 ",28.8,,"$8,815 ",62.6,,"$2,677 ",19,,"$2,581 ",18.3

New Hampshire,"$212,384 ","$24,744 ",11.7,,"$13,959 ",56.4,,"$4,391 ",17.7,,"$6,393 ",25.8
State,"$67,158 ","$9,772 ",14.6,,"$1,643 ",16.8,,"$3,342 ",34.2,,"$4,787 ",49
"Local, total","$145,227 ","$14,971 ",10.3,,"$12,316 ",82.3,,"$1,049 ",7,,"$1,606 ",10.7
Counties,"$10,036 ","$3,178 ",31.7,,$773 ,24.3,,$799 ,25.1,,"$1,606 ",50.5
Municipalities,"$58,066 ","$11,793 ",20.3,,"$11,543 ",97.9,,$250 ,2.1,, $-   ,0

New Jersey,"$2,088,687 ","$360,766 ",17.3,,"$186,908 ",51.8,,"$97,015 ",26.9,,"$76,843 ",21.3
State,"$647,504 ","$132,413 ",20.4,,"$22,824 ",17.2,,"$63,172 ",47.7,,"$46,417 ",35.1
"Local, total","$1,441,183 ","$228,353 ",15.8,,"$164,084 ",71.9,,"$33,843 ",14.8,,"$30,426 ",13.3
Counties,"$238,018 ","$64,157 ",27,,"$11,903 ",18.6,,"$22,001 ",34.3,,"$30,252 ",47.2
Municipalities,"$443,160 ","$164,197 ",37.1,,"$152,180 ",92.7,,"$11,842 ",7.2,,$174 ,0.1

New Mexico,"$335,001 ","$43,737 ",13.1,,"$17,834 ",40.8,,"$9,941 ",22.7,,"$15,961 ",36.5
State,"$134,637 ","$22,997 ",17.1,,"$2,321 ",10.1,,"$8,947 ",38.9,,"$11,729 ",51
"Local, total","$200,364 ","$20,740 ",10.4,,"$15,514 ",74.8,,$994 ,4.8,,"$4,233 ",20.4
Counties,"$19,786 ","$7,442 ",37.6,,"$4,719 ",63.4,,$212 ,2.8,,"$2,511 ",33.7
Municipalities,"$51,571 ","$13,298 ",25.8,,"$10,794 ",81.2,,$782 ,5.9,,"$1,722 ",12.9

New York,"$5,215,580 ","$966,017 ",18.5,,"$531,529 ",55,,"$156,742 ",16.2,,"$277,747 ",28.8
State,"$1,067,277 ","$277,104 ",26,,"$32,053 ",11.6,,"$101,047 ",36.5,,"$144,004 ",52
"Local, total","$4,148,304 ","$688,913 ",16.6,,"$499,476 ",72.5,,"$55,695 ",8.1,,"$133,742 ",19.4
Counties,"$438,703 ","$135,987 ",31,,"$74,295 ",54.6,,"$18,568 ",13.7,,"$43,124 ",31.7
Municipalities,"$2,454,168 ","$552,926 ",22.5,,"$425,181 ",76.9,,"$37,127 ",6.7,,"$90,619 ",16.4

North Carolina,"$1,429,598 ","$161,287 ",11.3,,"$74,606 ",46.3,,"$24,764 ",15.4,,"$61,917 ",38.4
State,"$425,798 ","$84,701 ",19.9,,"$11,957 ",14.1,,"$21,991 ",26,,"$50,753 ",59.9
"Local, total","$1,003,800 ","$76,586 ",7.6,,"$62,649 ",81.8,,"$2,773 ",3.6,,"$11,164 ",14.6
Counties,"$821,874 ","$33,004 ",4,,"$20,512 ",62.1,,"$2,153 ",6.5,,"$10,339 ",31.3
Municipalities,"$149,930 ","$43,581 ",29.1,,"$42,137 ",96.7,,$620 ,1.4,,$825 ,1.9

North Dakota,"$119,310 ","$9,015 ",7.6,,"$4,215 ",46.8,,"$2,521 ",28,,"$2,280 ",25.3
State,"$51,324 ","$3,998 ",7.8,,$679 ,17,,"$1,719 ",43,,"$1,599 ",40
"Local, total","$67,985 ","$5,018 ",7.4,,"$3,536 ",70.5,,$802 ,16,,$680 ,13.6
Counties,"$9,645 ","$2,666 ",27.6,,"$1,288 ",48.3,,$701 ,26.3,,$677 ,25.4
Municipalities,"$10,269 ","$2,352 ",22.9,,"$2,248 ",95.6,,$101 ,4.3,,$3 ,0.1

Ohio,"$2,054,318 ","$276,659 ",13.5,,"$126,097 ",45.6,,"$65,175 ",23.6,,"$85,388 ",30.9
State,"$483,289 ","$84,857 ",17.6,,"$10,942 ",12.9,,"$12,006 ",14.1,,"$61,909 ",73
"Local, total","$1,571,029 ","$191,802 ",12.2,,"$115,155 ",60,,"$53,169 ",27.7,,"$23,479 ",12.2
Counties,"$294,327 ","$85,469 ",29,,"$24,530 ",28.7,,"$38,834 ",45.4,,"$22,105 ",25.9
Municipalities,"$338,693 ","$106,334 ",31.4,,"$90,625 ",85.2,,"$14,335 ",13.5,,"$1,374 ",1.3

Oklahoma,"$540,750 ","$63,647 ",11.8,,"$31,916 ",50.1,,"$13,436 ",21.1,,"$18,295 ",28.7
State,"$195,871 ","$31,592 ",16.1,,"$6,329 ",20,,"$9,378 ",29.7,,"$15,886 ",50.3
"Local, total","$344,879 ","$32,055 ",9.3,,"$25,587 ",79.8,,"$4,059 ",12.7,,"$2,409 ",7.5
Counties,"$42,436 ","$9,316 ",22,,"$4,502 ",48.3,,"$2,499 ",26.8,,"$2,314 ",24.8
Municipalities,"$90,296 ","$22,739 ",25.2,,"$21,085 ",92.7,,"$1,559 ",6.9,,$95 ,0.4

Oregon,"$627,665 ","$81,619 ",13,,"$35,678 ",43.7,,"$16,409 ",20.1,,"$29,533 ",36.2
State,"$205,133 ","$30,724 ",15,,"$4,610 ",15,,"$10,077 ",32.8,,"$16,036 ",52.2
"Local, total","$422,532 ","$50,895 ",12,,"$31,067 ",61,,"$6,332 ",12.4,,"$13,496 ",26.5
Counties,"$73,243 ","$28,262 ",38.6,,"$9,625 ",34.1,,"$5,141 ",18.2,,"$13,496 ",47.8
Municipalities,"$81,358 ","$22,633 ",27.8,,"$21,442 ",94.7,,"$1,191 ",5.3,, $-   ,0

Pennsylvania,"$2,004,087 ","$287,712 ",14.4,,"$132,415 ",46,,"$59,101 ",20.5,,"$96,197 ",33.4
State,"$594,664 ","$100,055 ",16.8,,"$26,316 ",26.3,,"$16,143 ",16.1,,"$57,596 ",57.6
"Local, total","$1,409,423 ","$187,657 ",13.3,,"$106,099 ",56.5,,"$42,958 ",22.9,,"$38,601 ",20.6
Counties,"$162,285 ","$67,457 ",41.6,,"$7,637 ",11.3,,"$29,867 ",44.3,,"$29,953 ",44.4
Municipalities,"$273,440 ","$120,200 ",44,,"$98,462 ",81.9,,"$13,090 ",10.9,,"$8,648 ",7.2

Rhode Island,"$222,893 ","$29,133 ",13.1,,"$15,588 ",53.5,,"$5,357 ",18.4,,"$8,187 ",28.1
State,"$80,680 ","$15,032 ",18.6,,"$1,818 ",12.1,,"$5,027 ",33.4,,"$8,187 ",54.5
"Local, total","$142,212 ","$14,101 ",9.9,,"$13,771 ",97.7,,$330 ,2.3,, $-   ,0
Municipalities,"$133,079 ","$14,101 ",10.6,,"$13,771 ",97.7,,$330 ,2.3,, $-   ,0

South Carolina,"$674,042 ","$76,245 ",11.3,,"$37,977 ",49.8,,"$12,039 ",15.8,,"$26,229 ",34.4
State,"$225,639 ","$30,700 ",13.6,,"$8,534 ",27.8,,"$2,825 ",9.2,,"$19,341 ",63
"Local, total","$448,403 ","$45,545 ",10.2,,"$29,443 ",64.6,,"$9,214 ",20.2,,"$6,888 ",15.1
Counties,"$76,451 ","$30,073 ",39.3,,"$15,103 ",50.2,,"$8,168 ",27.2,,"$6,802 ",22.6
Municipalities,"$50,406 ","$15,472 ",30.7,,"$14,340 ",92.7,,"$1,046 ",6.8,,$86 ,0.6

South Dakota,"$115,118 ","$11,393 ",9.9,,"$5,410 ",47.5,,"$2,716 ",23.8,,"$3,267 ",28.7
State,"$38,924 ","$4,870 ",12.5,,$934 ,19.2,,"$1,877 ",38.5,,"$2,059 ",42.3
"Local, total","$76,194 ","$6,523 ",8.6,,"$4,476 ",68.6,,$839 ,12.9,,"$1,208 ",18.5
Counties,"$8,671 ","$3,438 ",39.6,,"$1,502 ",43.7,,$751 ,21.8,,"$1,184 ",34.5
Municipalities,"$16,784 ","$3,085 ",18.4,,"$2,973 ",96.4,,$87 ,2.8,,$24 ,0.8

Tennessee,"$880,713 ","$108,373 ",12.3,,"$56,367 ",52,,"$20,158 ",18.6,,"$31,849 ",29.4
State,"$246,425 ","$31,519 ",12.8,,"$6,439 ",20.4,,"$8,651 ",27.4,,"$16,428 ",52.1
"Local, total","$634,288 ","$76,854 ",12.1,,"$49,927 ",65,,"$11,507 ",15,,"$15,420 ",20.1
Counties,"$331,859 ","$34,199 ",10.3,,"$12,962 ",37.9,,"$8,119 ",23.7,,"$13,117 ",38.4
Municipalities,"$280,007 ","$42,656 ",15.2,,"$36,965 ",86.7,,"$3,387 ",7.9,,"$2,303 ",5.4

Texas,"$3,682,580 ","$481,548 ",13.1,,"$213,269 ",44.3,,"$84,808 ",17.6,,"$183,471 ",38.1
State,"$881,916 ","$145,623 ",16.5,,"$12,886 ",8.8,,"$21,502 ",14.8,,"$111,235 ",76.4
"Local, total","$2,800,664 ","$335,925 ",12,,"$200,383 ",59.7,,"$63,306 ",18.8,,"$72,237 ",21.5
