"Cleveland, OH","3,442","3,010","3,100","$11,300 ","$3,676 ","2,722","2,324","2,397","$9,050 ","$3,811 ",634,601,617,"$2,033 ","$3,312 ",86,85,86,$218 ,"$2,541 ","Cleveland, OH"
"Columbus, OH","2,721","2,671","2,700","$11,912 ","$4,435 ","2,180","2,170","2,176","$10,140 ","$4,666 ",485,447,469,"$1,568 ","$3,402 ",56,54,55,$204 ,"$3,703 ","Columbus, OH"

"Dallas, TX","4,227","3,832","4,030","$18,585 ","$4,781 ","3,877","3,498","3,689","$17,201 ","$4,854 ",350,334,341,"$1,384 ","$4,011 ",0,0,0, $-   , $-   ,"Dallas, TX"
"Denver, CO","3,590","3,537","3,549","$15,292 ","$4,278 ","1,792","1,792","1,792","$9,159 ","$5,111 ",784,735,746,"$3,022 ","$3,904 ","1,014","1,010","1,011","$3,111 ","$3,072 ","Denver, CO"
"Detroit, MI","5,318","5,318","5,318","$22,589 ","$4,248 ","4,588","4,588","4,588","$19,749 ","$4,304 ",730,730,730,"$2,840 ","$3,890 ",0,0,0, $-   , $-   ,"Detroit, MI"
"El Paso, TX","1,622","1,602","1,607","$5,204 ","$3,241 ","1,483","1,479","1,481","$4,831 ","$3,263 ",139,123,126,$374 ,"$2,977 ",0,0,0, $-   , $-   ,"El Paso, TX"
"Fort Worth, TX","1,941","1,832","1,885","$7,778 ","$4,181 ","1,750","1,641","1,694","$7,114 ","$4,264 ",191,191,191,$664 ,"$3,475 ",0,0,0, $-   , $-   ,"Fort Worth, TX"
"Honolulu, HI","2,939","2,795","2,827","$11,825 ","$4,210 ","2,616","2,480","2,508","$10,505 ","$4,215 ",323,315,319,"$1,320 ","$4,169 ",0,0,0, $-   , $-   ,"Honolulu, HI"

"Houston, TX","7,769","7,661","7,732","$27,131 ","$3,516 ","7,057","7,009","7,043","$25,018 ","$3,561 ",712,652,689,"$2,113 ","$3,034 ",0,0,0, $-   , $-   ,"Houston, TX"
"Indianapolis, IN","6,191","5,913","5,997","$17,475 ","$2,934 ","3,395","3,248","3,266","$10,694 ","$3,283 ","1,707","1,600","1,656","$4,268 ","$2,617 ","1,089","1,065","1,075","$2,513 ","$2,346 ","Indianapolis, IN"
"Jacksonville, FL","3,488","3,172","3,454","$11,594 ","$3,480 ","2,394","2,105","2,360","$8,399 ","$3,747 ",448,421,448,"$1,125 ","$2,573 ",646,646,646,"$2,070 ","$3,205 ","Jacksonville, FL"
"Kansas City, MO","2,202","2,201","2,202","$9,107 ","$4,137 ","1,960","1,959","1,960","$8,208 ","$4,189 ",160,160,160,$661 ,"$4,133 ",82,82,82,$237 ,"$2,891 ","Kansas City, MO"
"Long Beach, CA","1,590","1,430","1,542","$8,627 ","$5,808 ","1,479","1,324","1,433","$7,945 ","$5,767 ",111,106,109,$682 ,"$6,315 ",0,0,0, $-   , $-   ,"Long Beach, CA"
"Los Angeles, CA","13,073","13,015","13,045","$86,572 ","$6,642 ","12,080","12,040","12,060","$79,680 ","$6,613 ",993,975,985,"$6,892 ","$6,995 ",0,0,0, $-   , $-   ,"Los Angeles, CA"

"Memphis, TN","3,068","2,671","2,834","$10,778 ","$3,924 ","2,929","2,532","2,695","$10,305 ","$3,953 ",139,139,139,$472 ,"$3,399 ",0,0,0, $-   , $-   ,"Memphis, TN"
"Miami, FL","1,618","1,536","1,592","$8,476 ","$5,457 ","1,570","1,488","1,544","$8,182 ","$5,436 ",48,48,48,$294 ,"$6,129 ",0,0,0, $-   , $-   ,"Miami, FL"
"Milwaukee, WI","2,853","2,716","2,747","$11,702 ","$4,270 ","2,720","2,583","2,614","$11,061 ","$4,241 ",133,133,133,$641 ,"$4,817 ",0,0,0, $-   , $-   ,"Milwaukee, WI"
"Minneapolis, MN","1,237","1,237","1,237","$6,190 ","$5,004 ","1,142","1,142","1,142","$5,674 ","$4,969 ",95,95,95,$515 ,"$5,421 ",0,0,0, $-   , $-   ,"Minneapolis, MN"
"Nashville, TN","3,425","3,130","3,236","$11,069 ","$3,465 ","1,971","1,751","1,837","$6,798 ","$3,794 ",700,646,659,"$2,117 ","$3,198 ",754,733,740,"$2,154 ","$2,913 ","Nashville, TN"
"Newark, NJ","2,073","1,745","1,877","$11,656 ","$6,523 ","1,906","1,587","1,718","$11,018 ","$6,772 ",167,158,159,$638 ,"$4,019 ",0,0,0, $-   , $-   ,"Newark, NJ"

"New Orleans, LA","4,202","3,924","4,033","$10,677 ","$2,665 ","2,192","2,039","2,059","$4,186 ","$2,040 ",617,606,612,"$1,253 ","$2,055 ","1,393","1,279","1,362","$5,238 ","$3,951 ","New Orleans, LA"
"New York, NY","73,108","65,480","69,946","$461,136 ","$6,747 ","53,362","46,249","50,389","$341,276 ","$6,988 ","5,413","5,116","5,310","$29,266 ","$5,575 ","14,333","14,115","14,247","$90,595 ","$6,380 ","New York, NY"
"Oakland, CA","1,358","1,358","1,358","$9,246 ","$6,809 ","1,279","1,279","1,279","$8,645 ","$6,760 ",79,79,79,$601 ,"$7,605 ",0,0,0, $-   , $-   ,"Oakland, CA"
"Oklahoma City, OK","1,536","1,418","1,443","$6,642 ","$4,652 ","1,391","1,284","1,303","$6,071 ","$4,702 ",136,125,131,$542 ,"$4,240 ",9,9,9,$29 ,"$3,231 ","Oklahoma City, OK"
"Omaha, NE",932,909,921,"$3,775 ","$4,115 ",893,870,882,"$3,554 ","$4,046 ",39,39,39,$221 ,"$5,665 ",0,0,0, $-   , $-   ,"Omaha, NE"
"Philadelphia, PA","14,679","13,690","13,943","$61,536 ","$4,418 ","8,905","7,919","8,170","$40,170 ","$4,941 ","3,513","3,510","3,512","$12,750 ","$3,630 ","2,261","2,261","2,261","$8,616 ","$3,811 ","Philadelphia, PA"

"Phoenix, AZ","4,375","4,265","4,328","$21,649 ","$5,017 ","3,761","3,675","3,726","$18,925 ","$5,110 ",614,590,602,"$2,724 ","$4,438 ",0,0,0, $-   , $-   ,"Phoenix, AZ"
"Pittsburgh, PA","1,414","1,207","1,365","$5,377 ","$4,219 ","1,350","1,143","1,301","$5,220 ","$4,318 ",64,64,64,$157 ,"$2,449 ",0,0,0, $-   , $-   ,"Pittsburgh, PA"
"Portland, OR","1,393","1,383","1,388","$7,082 ","$5,101 ","1,348","1,342","1,344","$6,811 ","$5,068 ",45,41,44,$270 ,"$6,166 ",0,0,0, $-   , $-   ,"Portland, OR"
"St.Louis, MO","3,363","3,300","3,323","$12,302 ","$3,703 ","2,067","2,060","2,062","$7,912 ","$3,837 ",766,710,731,"$2,451 ","$3,346 ",530,530,530,"$1,939 ","$3,659 ","St.Louis, MO"
"San Antonio, TX","3,032","2,778","2,888","$11,847 ","$4,201 ","2,812","2,571","2,674","$11,169 ","$4,283 ",220,207,214,$678 ,"$3,186 ",0,0,0, $-   , $-   ,"San Antonio, TX"
"San Diego, CA","3,192","3,033","3,111","$16,889 ","$5,447 ","2,840","2,726","2,773","$15,041 ","$5,448 ",352,307,338,"$1,849 ","$5,434 ",0,0,0, $-   , $-   ,"San Diego, CA"

"San Francisco, CA","5,380","5,380","5,380","$37,524 ","$6,975 ","2,664","2,664","2,664","$19,535 ","$7,333 ","1,383","1,383","1,383","$9,789 ","$7,078 ","1,333","1,333","1,333","$8,199 ","$6,151 ","San Francisco, CA"
"San Jose, CA","2,096","1,902","1,961","$15,020 ","$7,793 ","2,000","1,809","1,866","$14,136 ","$7,709 ",96,93,95,$885 ,"$9,418 ",0,0,0, $-   , $-   ,"San Jose, CA"
"Seattle, WA","2,402","2,185","2,281","$11,906 ","$5,309 ","1,921","1,803","1,843","$9,966 ","$5,479 ",440,350,399,"$1,771 ","$4,505 ",41,32,39,$170 ,"$4,496 ","Seattle, WA"
"Toledo, OH","1,035","1,035","1,035","$4,464 ","$4,313 ",820,820,820,"$3,737 ","$4,557 ",215,215,215,$727 ,"$3,381 ",0,0,0, $-   , $-   ,"Toledo, OH"
"Tucson, AZ","1,587","1,558","1,580","$7,132 ","$4,551 ","1,294","1,289","1,293","$6,060 ","$4,697 ",293,269,287,"$1,072 ","$3,853 ",0,0,0, $-   , $-   ,"Tucson, AZ"
"Tulsa, OK","1,081","1,006","1,028","$4,101 ","$4,044 ",999,932,953,"$3,850 ","$4,101 ",82,74,75,$251 ,"$3,324 ",0,0,0, $-   , $-   ,"Tulsa, OK"
"Washington, DC","6,950","6,792","6,870","$37,344 ","$5,464 ","4,398","4,263","4,331","$24,853 ","$5,799 ","1,500","1,481","1,489","$7,835 ","$5,228 ","1,052","1,048","1,050","$4,656 ","$4,433 ","Washington, DC"

Note: Jurisdictions without data did not report for 2003,,,,,,,,,,,,,,,,,,,,,
