Bureau of Justice Statistics,,,,,,,,,,,,,
"Local, total","12,107","8,988","8,749","8,888",73.4,,"$42,727 ","3,482","3,086","3,219",26.6,,"$11,090 "
Counties,"3,682","2,616","2,476","2,531",68.7,,"$10,885 ","1,289","1,071","1,151",31.3,,"$3,819 "
Municipalities,"8,425","6,372","6,273","6,357",75.5,,"$31,842 ","2,193","2,015","2,068",24.5,,"$7,270 "

Connecticut,"10,373","8,034","7,972","8,213",79.2,,"$43,016 ","2,922","1,842","2,160",20.8,,"$7,148 "
State,"1,761","1,267","1,267","1,267",71.9,,"$6,565 ",506,477,494,28.1,,"$1,969 "
"Local, total","8,612","6,767","6,705","6,946",80.7,,"$36,451 ","2,416","1,365","1,666",19.3,,"$5,179 "
Municipalities,"8,612","6,767","6,705","6,946",80.7,,"$36,451 ","2,416","1,365","1,666",19.3,,"$5,179 "

Delaware,"2,558","1,819","1,816","1,816",71,,"$8,344 ",837,615,742,29,,"$1,927 "
State,917,616,616,616,67.2,,"$3,020 ",302,296,301,32.8,,$894 
"Local, total","1,641","1,203","1,200","1,200",73.1,,"$5,324 ",535,319,441,26.9,,"$1,033 "
Counties,561,361,361,361,64.3,,"$1,781 ",282,106,200,35.7,,$486 
Municipalities,"1,080",842,839,839,77.7,,"$3,544 ",253,213,241,22.3,,$548 

District of Columbia,"4,331","3,592","3,591","3,592",82.9,,"$21,731 ",806,672,739,17.1,,"$3,122 "
"Local, total","4,331","3,592","3,591","3,592",82.9,,"$21,731 ",806,672,739,17.1,,"$3,122 "
Municipality,"4,331","3,592","3,591","3,592",82.9,,"$21,731 ",806,672,739,17.1,,"$3,122 "

Florida,"59,825","38,823","38,502","38,673",64.6,,"$172,822 ","23,765","19,209","21,152",35.4,,"$64,557 "
State,"4,365","2,075","2,075","2,075",47.5,,"$7,260 ","2,304","2,277","2,290",52.5,,"$7,608 "
"Local, total","55,460","36,748","36,427","36,598",66,,"$165,562 ","21,461","16,932","18,862",34,,"$56,950 "
Counties,"29,579","18,073","17,989","18,043",61,,"$79,594 ","13,427","10,405","11,536",39,,"$36,258 "
Municipalities,"25,881","18,675","18,438","18,555",71.7,,"$85,968 ","8,034","6,527","7,326",28.3,,"$20,691 "

Georgia,"25,451","20,109","19,405","19,714",77.5,,"$63,216 ","6,430","5,327","5,737",22.5,,"$14,676 "
State,"2,317","1,222","1,222","1,222",52.7,,"$4,229 ","1,103","1,084","1,095",47.3,,"$3,347 "
"Local, total","23,134","18,887","18,183","18,492",79.9,,"$58,986 ","5,327","4,243","4,642",20.1,,"$11,329 "
Counties,"10,971","8,537","8,207","8,341",76,,"$26,825 ","2,981","2,392","2,630",24,,"$6,237 "
Municipalities,"12,163","10,350","9,976","10,151",83.5,,"$32,161 ","2,346","1,851","2,012",16.5,,"$5,092 "

Hawaii,"3,637","2,784","2,784","2,784",76.5,,"$12,272 ",998,811,853,23.5,,"$2,729 "
State,0,0,0,0,0,, $-   ,0,0,0,0,, $-   
"Local, total","3,637","2,784","2,784","2,784",76.5,,"$12,272 ",998,811,853,23.5,,"$2,729 "
Counties,"1,129",847,847,847,75,,"$3,666 ",319,268,282,25,,$830 
Municipalities,"2,508","1,937","1,937","1,937",77.2,,"$8,605 ",679,543,571,22.8,,"$1,899 "

Idaho,"3,690","2,703","2,646","2,660",72.1,,"$9,633 ","1,184",932,"1,030",27.9,,"$2,583 "
State,464,258,258,258,55.6,,"$1,068 ",231,183,206,44.4,,$575 
"Local, total","3,226","2,445","2,388","2,402",74.5,,"$8,565 ",953,749,824,25.5,,"$2,007 "
Counties,"1,647","1,158","1,119","1,129",68.5,,"$3,650 ",591,474,518,31.5,,"$1,195 "
Municipalities,"1,579","1,287","1,269","1,273",80.6,,"$4,915 ",362,275,306,19.4,,$812 

Illinois,"45,933","37,100","34,365","35,379",77,,"$143,430 ","13,736","8,961","10,554",23,,"$32,975 "
State,"4,190","2,326","2,325","2,326",55.5,,"$11,674 ","1,891","1,856","1,864",44.5,,"$7,495 "
"Local, total","41,743","34,774","32,040","33,053",79.2,,"$131,756 ","11,845","7,105","8,690",20.8,,"$25,479 "
Counties,"5,218","3,607","3,410","3,515",67.4,,"$13,962 ","1,969","1,585","1,703",32.6,,"$5,482 "
Municipalities,"36,525","31,167","28,630","29,538",80.9,,"$117,795 ","9,876","5,520","6,987",19.1,,"$19,997 "

Indiana,"17,201","12,504","11,602","11,994",69.7,,"$42,561 ","6,655","4,848","5,207",30.3,,"$11,966 "
State,"1,999","1,205","1,205","1,205",60.3,,"$5,091 ",794,794,794,39.7,,"$2,068 "
"Local, total","15,202","11,299","10,397","10,789",71,,"$37,470 ","5,861","4,054","4,413",29,,"$9,898 "
Counties,"4,002","2,806","2,572","2,618",65.4,,"$8,134 ","1,474","1,303","1,384",34.6,,"$2,867 "
Municipalities,"11,200","8,493","7,825","8,171",73,,"$29,336 ","4,387","2,751","3,029",27,,"$7,031 "

Iowa,"7,240","5,701","5,280","5,393",74.5,,"$20,038 ","2,146","1,714","1,847",25.5,,"$5,389 "
State,902,611,611,611,67.7,,"$2,893 ",295,289,291,32.3,,"$1,118 "
"Local, total","6,338","5,090","4,669","4,782",75.4,,"$17,145 ","1,851","1,425","1,556",24.6,,"$4,271 "
Counties,"2,257","1,465","1,415","1,425",63.1,,"$4,973 ",923,789,832,36.9,,"$2,255 "
Municipalities,"4,081","3,625","3,254","3,357",82.3,,"$12,172 ",928,636,724,17.7,,"$2,016 "

Kansas,"8,626","6,429","6,024","6,137",71.1,,"$21,919 ","2,811","2,332","2,489",28.9,,"$6,245 "
State,"1,084",583,583,583,53.8,,"$2,168 ",509,497,501,46.2,,"$1,366 "
"Local, total","7,542","5,846","5,441","5,554",73.6,,"$19,752 ","2,302","1,835","1,988",26.4,,"$4,878 "
Counties,"2,555","1,793","1,709","1,724",67.5,,"$5,484 ",947,792,831,32.5,,"$1,878 "
Municipalities,"4,987","4,053","3,732","3,830",76.8,,"$14,268 ","1,355","1,043","1,157",23.2,,"$3,000 "

Kentucky,"9,745","7,176","6,802","6,945",71.3,,"$23,854 ","3,329","2,557","2,800",28.7,,"$7,437 "
State,"2,203",969,967,969,44,,"$3,605 ","1,240","1,222","1,234",56,,"$3,786 "
"Local, total","7,542","6,207","5,835","5,976",79.2,,"$20,249 ","2,089","1,335","1,566",20.8,,"$3,651 "
Counties,"1,785","1,530","1,333","1,394",78.1,,"$4,760 ",681,259,391,21.9,,$773 
Municipalities,"5,757","4,677","4,502","4,582",79.6,,"$15,489 ","1,408","1,076","1,175",20.4,,"$2,878 "

Louisiana,"16,485","12,725","11,830","12,263",74.4,,"$34,199 ","5,063","3,770","4,222",25.6,,"$9,194 "
State,"1,652","1,011","1,011","1,011",61.2,,"$3,771 ",643,640,641,38.8,,"$1,154 "
"Local, total","14,833","11,714","10,819","11,252",75.9,,"$30,427 ","4,420","3,130","3,581",24.1,,"$8,040 "
Parishes,"5,997","4,203","4,055","4,120",68.7,,"$11,267 ","2,231","1,701","1,877",31.3,,"$4,518 "
Municipalities,"8,836","7,511","6,764","7,132",80.7,,"$19,160 ","2,189","1,429","1,704",19.3,,"$3,521 "

Maine,"3,104","2,653","2,207","2,352",75.8,,"$8,392 ",979,646,752,24.2,,"$2,013 "
State,594,381,376,380,64,,"$1,879 ",214,212,214,36,,$629 
"Local, total","2,510","2,272","1,831","1,972",78.6,,"$6,513 ",765,434,538,21.4,,"$1,384 "
Counties,396,383,272,299,75.5,,$983 ,120,81,97,24.5,,$257 
Municipalities,"2,114","1,889","1,559","1,673",79.1,,"$5,530 ",645,353,441,20.9,,"$1,127 "

Maryland,"17,102","12,436","12,215","12,290",71.9,,"$58,449 ","5,483","4,210","4,812",28.1,,"$17,834 "
State,"2,481","1,600","1,600","1,600",64.5,,"$8,175 ",888,859,881,35.5,,"$3,102 "
"Local, total","14,621","10,836","10,615","10,690",73.1,,"$50,274 ","4,595","3,351","3,931",26.9,,"$14,732 "
Counties,"9,006","6,413","6,204","6,275",69.7,,"$30,834 ","3,145","2,404","2,731",30.3,,"$10,633 "
Municipalities,"5,615","4,423","4,411","4,415",78.6,,"$19,440 ","1,450",947,"1,200",21.4,,"$4,099 "

Massachusetts,"23,416","20,635","19,063","19,560",83.5,,"$96,973 ","5,320","3,174","3,856",16.5,,"$11,847 "
State,"5,586","5,038","4,999","5,012",89.7,,"$24,696 ",578,570,574,10.3,,"$2,282 "
"Local, total","17,830","15,597","14,064","14,548",81.6,,"$72,276 ","4,742","2,604","3,282",18.4,,"$9,565 "
Counties,2,2,2,2,100,,$6 ,0,0,0,0,, $-   
Municipalities,"17,828","15,595","14,062","14,546",81.6,,"$72,270 ","4,742","2,604","3,282",18.4,,"$9,565 "

Michigan,"26,059","21,163","20,017","20,498",78.7,,"$92,205 ","7,058","4,677","5,561",21.3,,"$17,024 "
State,"3,398","2,296","2,296","2,296",67.6,,"$10,824 ","1,149","1,056","1,102",32.4,,"$4,346 "
"Local, total","22,661","18,867","17,721","18,202",80.3,,"$81,381 ","5,909","3,621","4,459",19.7,,"$12,678 "
Counties,"5,245","4,198","4,053","4,113",78.4,,"$16,664 ","1,251","1,051","1,132",21.6,,"$3,290 "
Municipalities,"17,416","14,669","13,668","14,089",80.9,,"$64,717 ","4,658","2,570","3,327",19.1,,"$9,388 "

Minnesota,"11,448","8,794","8,228","8,462",73.9,,"$39,569 ","3,388","2,609","2,986",26.1,,"$10,072 "
State,944,523,523,523,55.4,,"$2,951 ",429,403,421,44.6,,"$1,574 "
"Local, total","10,504","8,271","7,705","7,939",75.6,,"$36,618 ","2,959","2,206","2,565",24.4,,"$8,499 "
Counties,"3,500","2,494","2,285","2,384",68.1,,"$10,218 ","1,241",990,"1,116",31.9,,"$3,588 "
Municipalities,"7,004","5,777","5,420","5,555",79.3,,"$26,400 ","1,718","1,216","1,449",20.7,,"$4,910 "

Mississippi,"8,973","6,907","6,265","6,494",72.4,,"$16,881 ","2,942","2,261","2,479",27.6,,"$5,157 "
State,"1,189",663,663,663,55.8,,"$2,014 ",526,526,526,44.2,,"$1,274 "
"Local, total","7,784","6,244","5,602","5,831",74.9,,"$14,867 ","2,416","1,735","1,953",25.1,,"$3,882 "
Counties,"2,658","1,847","1,642","1,697",63.8,,"$4,253 ","1,176",832,961,36.2,,"$1,808 "
Municipalities,"5,126","4,397","3,960","4,134",80.6,,"$10,614 ","1,240",903,992,19.4,,"$2,075 "

Missouri,"18,886","13,996","13,299","13,604",72,,"$46,304 ","5,808","4,990","5,282",28,,"$13,392 "
State,"2,428","1,307","1,307","1,307",53.8,,"$4,524 ","1,161","1,063","1,121",46.2,,"$2,580 "
"Local, total","16,458","12,689","11,992","12,297",74.7,,"$41,780 ","4,647","3,927","4,161",25.3,,"$10,813 "
Counties,"4,657","3,358","3,186","3,287",70.6,,"$9,168 ","1,462","1,316","1,370",29.4,,"$3,012 "
Municipalities,"11,801","9,331","8,806","9,010",76.3,,"$32,612 ","3,185","2,611","2,791",23.7,,"$7,801 "

Montana,"2,315","1,608","1,528","1,550",67,,"$5,331 ",853,682,765,33,,"$1,902 "
State,438,204,204,204,46.6,,$659 ,244,213,234,53.4,,$728 
"Local, total","1,877","1,404","1,324","1,346",71.7,,"$4,672 ",609,469,531,28.3,,"$1,174 "
Counties,977,664,607,619,63.4,,"$2,035 ",419,306,358,36.6,,$763 
Municipalities,900,740,717,727,80.8,,"$2,637 ",190,163,173,19.2,,$411 

Nebraska,"4,778","3,700","3,490","3,556",74.4,,"$12,732 ","1,392","1,142","1,222",25.6,,"$3,217 "
State,743,509,509,509,68.5,,"$1,786 ",240,230,234,31.5,,$644 
"Local, total","4,035","3,191","2,981","3,047",75.5,,"$10,946 ","1,152",912,988,24.5,,"$2,573 "
Counties,"1,501","1,022","1,000","1,041",69.4,,"$3,295 ",561,432,460,30.6,,"$1,101 "
Municipalities,"2,534","2,169","1,981","2,006",79.2,,"$7,651 ",591,480,528,20.8,,"$1,472 "

Nevada,"6,962","4,278","4,257","4,261",61.2,,"$23,687 ","3,268","2,449","2,701",38.8,,"$11,156 "
State,770,392,392,392,50.9,,"$2,220 ",379,378,378,49.1,,"$1,497 "
"Local, total","6,192","3,886","3,865","3,869",62.5,,"$21,467 ","2,889","2,071","2,323",37.5,,"$9,659 "
Counties,"4,410","2,681","2,661","2,665",60.4,,"$14,622 ","2,191","1,596","1,745",39.6,,"$7,690 "
Municipalities,"1,782","1,205","1,204","1,204",67.6,,"$6,846 ",698,475,578,32.4,,"$1,970 "

New Hampshire,"3,669","3,444","2,593","2,806",76.5,,"$11,485 ","1,103",716,863,23.5,,"$2,474 "
State,406,278,278,278,68.5,,"$1,248 ",135,119,128,31.5,,$394 
"Local, total","3,263","3,166","2,315","2,528",77.5,,"$10,237 ",968,597,735,22.5,,"$2,079 "
Counties,219,161,120,140,63.9,,$571 ,104,61,79,36.1,,$201 
Municipalities,"3,044","3,005","2,195","2,388",78.4,,"$9,665 ",864,536,656,21.6,,"$1,878 "

New Jersey,"35,471","26,559","24,977","25,568",72.1,,"$149,336 ","15,051","7,302","9,903",27.9,,"$37,573 "
State,"4,144","1,364","1,320","1,343",32.4,,"$4,626 ","2,801","2,801","2,801",67.6,,"$18,198 "
"Local, total","31,327","25,195","23,657","24,225",77.3,,"$144,709 ","12,250","4,501","7,102",22.7,,"$19,375 "
Counties,"2,692","1,907","1,895","1,896",70.4,,"$9,187 ",919,768,796,29.6,,"$2,716 "
Municipalities,"28,635","23,288","21,762","22,329",78,,"$135,522 ","11,331","3,733","6,306",22,,"$16,659 "

New Mexico,"5,627","4,222","4,134","4,176",74.2,,"$14,161 ","1,686","1,217","1,451",25.8,,"$3,673 "
State,633,462,462,462,73,,"$1,691 ",171,171,171,27,,$629 
"Local, total","4,994","3,760","3,672","3,714",74.4,,"$12,470 ","1,515","1,046","1,280",25.6,,"$3,044 "
Counties,"1,556","1,196","1,143","1,172",75.3,,"$3,798 ",437,338,384,24.7,,$922 
Municipalities,"3,438","2,564","2,529","2,542",73.9,,"$8,672 ","1,078",708,896,26.1,,"$2,122 "

New York,"86,585","79,210","70,300","74,768",86.4,,"$479,471 ","14,970","9,765","11,817",13.6,,"$52,058 "
State,"6,149","4,505","4,505","4,505",73.3,,"$26,545 ","1,731","1,568","1,644",26.7,,"$5,508 "
"Local, total","80,436","74,705","65,795","70,263",87.4,,"$452,926 ","13,239","8,197","10,173",12.6,,"$46,550 "
Counties,"13,477","10,942","10,455","10,626",78.8,,"$64,100 ","3,469","2,380","2,851",21.2,,"$10,195 "
Municipalities,"66,959","63,763","55,340","59,637",89.1,,"$388,825 ","9,770","5,817","7,322",10.9,,"$36,356 "

North Carolina,"23,730","19,169","18,531","18,739",79,,"$61,169 ","5,547","4,727","4,991",21,,"$13,437 "
State,"3,297","2,280","2,280","2,280",69.2,,"$8,924 ","1,021","1,012","1,017",30.8,,"$3,034 "
"Local, total","20,433","16,889","16,251","16,459",80.6,,"$52,245 ","4,526","3,715","3,974",19.4,,"$10,403 "
Counties,"7,437","6,109","5,844","5,958",80.1,,"$16,959 ","1,669","1,382","1,479",19.9,,"$3,553 "
Municipalities,"12,996","10,780","10,407","10,501",80.8,,"$35,286 ","2,857","2,333","2,495",19.2,,"$6,850 "

North Dakota,"1,417","1,152","1,090","1,099",77.6,,"$3,463 ",334,305,318,22.4,,$752 
State,219,125,125,125,57.1,,$423 ,96,90,94,42.9,,$256 
"Local, total","1,198","1,027",965,974,81.3,,"$3,039 ",238,215,224,18.7,,$496 
Counties,503,413,393,396,78.7,,"$1,080 ",113,102,107,21.3,,$208 
Municipalities,695,614,572,578,83.2,,"$1,959 ",125,113,117,16.8,,$288 

Ohio,"33,076","26,587","23,840","24,612",74.4,,"$102,020 ","10,204","7,643","8,464",25.6,,"$24,076 "
State,"2,695","1,451","1,451","1,451",53.8,,"$6,998 ","1,247","1,234","1,244",46.2,,"$3,944 "
"Local, total","30,381","25,136","22,389","23,161",76.2,,"$95,023 ","8,957","6,409","7,220",23.8,,"$20,132 "
Counties,"7,346","4,965","4,781","4,859",66.1,,"$17,096 ","2,649","2,388","2,487",33.9,,"$7,434 "
Municipalities,"23,035","20,171","17,608","18,302",79.5,,"$77,926 ","6,308","4,021","4,733",20.5,,"$12,699 "

Oklahoma,"10,593","7,843","7,306","7,606",71.8,,"$24,867 ","3,401","2,802","2,987",28.2,,"$7,049 "
State,"1,827","1,012",982,994,54.4,,"$3,903 ",879,792,833,45.6,,"$2,426 "
"Local, total","8,766","6,831","6,324","6,612",75.4,,"$20,964 ","2,522","2,010","2,154",24.6,,"$4,623 "
Counties,"2,202","1,476","1,353","1,391",63.2,,"$2,944 ",898,746,811,36.8,,"$1,558 "
Municipalities,"6,564","5,355","4,971","5,221",79.5,,"$18,020 ","1,624","1,264","1,343",20.5,,"$3,065 "

Oregon,"8,274","5,961","5,773","5,820",70.3,,"$27,302 ","2,771","2,345","2,454",29.7,,"$8,375 "
State,"1,185",650,650,650,54.9,,"$2,843 ",657,511,535,45.1,,"$1,767 "
"Local, total","7,089","5,311","5,123","5,170",72.9,,"$24,459 ","2,114","1,834","1,919",27.1,,"$6,608 "
Counties,"2,354","1,671","1,582","1,612",68.5,,"$7,088 ",785,694,742,31.5,,"$2,538 "
Municipalities,"4,735","3,640","3,541","3,558",75.1,,"$17,372 ","1,329","1,140","1,177",24.9,,"$4,071 "

Pennsylvania,"31,781","27,522","24,096","25,807",81.2,,"$113,558 ","9,308","4,572","5,974",18.8,,"$18,857 "
State,"5,816","4,610","4,610","4,610",79.3,,"$20,807 ","1,207","1,204","1,206",20.7,,"$5,509 "
"Local, total","25,965","22,912","19,486","21,197",81.6,,"$92,751 ","8,101","3,368","4,768",18.4,,"$13,348 "
Counties,"2,546","1,443","1,261","1,401",55,,"$4,311 ","1,436","1,006","1,145",45,,"$3,326 "
Municipalities,"23,419","21,469","18,225","19,796",84.5,,"$88,440 ","6,665","2,362","3,623",15.5,,"$10,022 "

Rhode Island,"3,467","2,529","2,529","2,529",72.9,,"$12,333 ","1,201",811,938,27.1,,"$3,256 "
State,292,209,209,209,71.6,,"$1,467 ",84,83,83,28.4,,$350 
"Local, total","3,175","2,320","2,320","2,320",73.1,,"$10,865 ","1,117",728,855,26.9,,"$2,906 "
Municipalities,"3,175","2,320","2,320","2,320",73.1,,"$10,865 ","1,117",728,855,26.9,,"$2,906 "

South Carolina,"13,922","10,495","10,055","10,162",73,,"$29,562 ","4,101","3,542","3,760",27,,"$8,415 "
State,"3,115","1,356","1,356","1,356",43.5,,"$4,402 ","1,765","1,755","1,759",56.5,,"$4,132 "
"Local, total","10,807","9,139","8,699","8,806",81.5,,"$25,161 ","2,336","1,787","2,001",18.5,,"$4,282 "
Counties,"5,358","4,468","4,240","4,303",80.3,,"$12,809 ","1,290",899,"1,055",19.7,,"$2,294 "
Municipalities,"5,449","4,671","4,459","4,503",82.6,,"$12,351 ","1,046",888,946,17.4,,"$1,988 "

South Dakota,"1,757","1,356","1,275","1,282",73,,"$4,288 ",570,446,475,27,,"$1,122 "
State,276,176,172,173,62.7,,$667 ,104,102,103,37.3,,$267 
"Local, total","1,481","1,180","1,103","1,109",74.9,,"$3,621 ",466,344,372,25.1,,$855 
Counties,575,422,386,389,67.7,,"$1,126 ",243,167,186,32.3,,$377 
Municipalities,906,758,717,720,79.5,,"$2,495 ",223,177,186,20.5,,$478 

Tennessee,"18,026","13,760","13,129","13,365",74.1,,"$44,087 ","5,436","4,177","4,661",25.9,,"$12,279 "
State,"2,001","1,094","1,094","1,094",54.7,,"$4,044 ",910,904,907,45.3,,"$2,395 "
"Local, total","16,025","12,666","12,035","12,271",76.6,,"$40,043 ","4,526","3,273","3,754",23.4,,"$9,884 "
Counties,"4,674","3,503","3,341","3,403",72.8,,"$9,835 ","1,397","1,196","1,271",27.2,,"$3,128 "
Municipalities,"11,351","9,163","8,694","8,868",78.1,,"$30,208 ","3,129","2,077","2,483",21.9,,"$6,757 "

Texas,"60,554","45,541","44,586","45,098",74.5,,"$173,910 ","17,079","14,504","15,456",25.5,,"$39,359 "
State,"4,019","2,108","2,108","2,108",52.5,,"$7,715 ","1,928","1,896","1,911",47.5,,"$5,171 "
"Local, total","56,535","43,433","42,478","42,990",76,,"$166,195 ","15,151","12,608","13,545",24,,"$34,188 "
Counties,"14,434","10,613","10,403","10,509",72.8,,"$32,191 ","4,003","3,808","3,925",27.2,,"$10,135 "
Municipalities,"42,101","32,820","32,075","32,481",77.2,,"$134,004 ","11,148","8,800","9,620",22.8,,"$24,053 "

Utah,"5,599","4,038","3,818","3,858",68.9,,"$14,022 ","2,434","1,357","1,741",31.1,,"$4,657 "
State,854,465,465,465,54.4,,"$1,616 ",428,358,389,45.6,,"$1,294 "
"Local, total","4,745","3,573","3,353","3,393",71.5,,"$12,407 ","2,006",999,"1,352",28.5,,"$3,363 "
Counties,"1,659","1,164","1,121","1,128",68,,"$3,676 ",625,437,531,32,,"$1,183 "
Municipalities,"3,086","2,409","2,232","2,265",73.4,,"$8,730 ","1,381",562,821,26.6,,"$2,180 "

Vermont,"1,236","1,028",908,945,76.5,,"$3,900 ",341,261,291,23.5,,$827 
State,390,315,292,302,77.4,,"$1,594 ",88,88,88,22.6,,$282 
"Local, total",846,713,616,643,76,,"$2,306 ",253,173,203,24,,$546 
Counties,27,1,1,1,3.7,,$2 ,28,22,26,96.3,,$59 
Municipalities,819,712,615,642,78.4,,"$2,304 ",225,151,177,21.6,,$487 

Virginia,"19,660","15,285","15,012","15,149",77.1,,"$59,912 ","5,133","4,065","4,511",22.9,,"$13,064 "
State,"2,672","1,860","1,860","1,860",69.6,,"$7,957 ",894,738,812,30.4,,"$2,234 "
"Local, total","16,988","13,425","13,152","13,289",78.2,,"$51,955 ","4,239","3,327","3,699",21.8,,"$10,830 "
Counties,"8,156","6,401","6,225","6,295",77.2,,"$25,420 ","2,178","1,697","1,861",22.8,,"$5,829 "
Municipalities,"8,832","7,024","6,927","6,994",79.2,,"$26,535 ","2,061","1,630","1,838",20.8,,"$5,001 "

Washington,"14,331","9,945","9,555","9,763",68.1,,"$50,385 ","4,911","4,350","4,568",31.9,,"$16,729 "
State,"2,212",983,983,983,44.4,,"$5,100 ","1,229","1,229","1,229",55.6,,"$4,683 "
"Local, total","12,119","8,962","8,572","8,780",72.4,,"$45,285 ","3,682","3,121","3,339",27.6,,"$12,046 "
Counties,"4,347","3,146","3,112","3,119",71.8,,"$14,942 ","1,261","1,205","1,228",28.2,,"$4,326 "
Municipalities,"7,772","5,816","5,460","5,661",72.8,,"$30,344 ","2,421","1,916","2,111",27.2,,"$7,720 "

West Virginia,"3,765","3,011","2,821","2,979",79.1,,"$8,385 ",952,712,786,20.9,,"$1,486 "
State,964,616,616,616,63.9,,"$2,244 ",354,343,348,36.1,,$724 
"Local, total","2,801","2,395","2,205","2,363",84.4,,"$6,142 ",598,369,438,15.6,,$762 
Counties,982,824,824,824,83.9,,"$2,239 ",174,145,158,16.1,,$275 
