Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0305.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2003",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2003",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
"Local, total","363,260","42,450","38,740","40,304",11.1,,"24,214","22,426","23,134",57.4,,"10,260","8,824","9,385",23.3,,"7,976","7,490","7,785",19.3,,"Local, total"
Counties,"60,279","26,959","24,480","25,617",42.5,,"11,518","10,599","10,971",42.8,,"8,567","7,465","7,943",31,,"6,874","6,416","6,703",26.2,,Counties
Municipalities,"44,854","15,491","14,260","14,687",32.7,,"12,696","11,827","12,163",82.8,,"1,693","1,359","1,442",9.8,,"1,102","1,074","1,082",7.4,,Municipalities

Hawaii,"71,764","9,085","8,806","8,879",12.4,,"3,782","3,595","3,637",41,,"2,881","2,811","2,832",31.9,,"2,422","2,400","2,410",27.1,,Hawaii
State,"57,458","4,735","4,654","4,680",8.1,,0,0,0,0,,"2,313","2,254","2,270",48.5,,"2,422","2,400","2,410",51.5,,State
"Local, total","14,306","4,350","4,152","4,199",29.4,,"3,782","3,595","3,637",86.6,,568,557,562,13.4,,0,0,0,0,,"Local, total"
Counties,"5,106","1,411","1,357","1,372",26.9,,"1,166","1,115","1,129",82.3,,245,242,243,17.7,,0,0,0,0,,Counties
Municipalities,"9,085","2,939","2,795","2,827",31.1,,"2,616","2,480","2,508",88.7,,323,315,319,11.3,,0,0,0,0,,Municipalities

Idaho,"78,548","8,636","7,898","8,194",10.4,,"3,887","3,578","3,690",45,,"1,727","1,570","1,630",19.9,,"3,022","2,750","2,874",35.1,,Idaho
State,"23,320","2,658","2,550","2,609",11.2,,489,441,464,17.8,,449,436,442,16.9,,"1,720","1,673","1,703",65.3,,State
"Local, total","55,228","5,978","5,348","5,585",10.1,,"3,398","3,137","3,226",57.8,,"1,278","1,134","1,188",21.3,,"1,302","1,077","1,171",21,,"Local, total"
Counties,"11,801","4,189","3,721","3,910",33.1,,"1,749","1,593","1,647",42.1,,"1,138","1,051","1,092",27.9,,"1,302","1,077","1,171",29.9,,Counties
Municipalities,"6,617","1,789","1,627","1,675",25.3,,"1,649","1,544","1,579",94.3,,140,83,96,5.7,,0,0,0,0,,Municipalities

Illinois,"641,248","91,876","83,318","86,279",13.5,,"50,836","43,326","45,933",53.2,,"17,560","16,813","17,056",19.8,,"23,480","23,179","23,290",27,,Illinois
State,"133,916","21,208","21,092","21,132",15.8,,"4,217","4,181","4,190",19.8,,"3,114","3,049","3,072",14.5,,"13,877","13,862","13,870",65.6,,State
"Local, total","507,332","70,668","62,226","65,147",12.8,,"46,619","39,145","41,743",64.1,,"14,446","13,764","13,984",21.5,,"9,603","9,317","9,420",14.5,,"Local, total"
Counties,"60,041","28,811","27,391","27,915",46.5,,"5,576","4,995","5,218",18.7,,"13,632","13,079","13,277",47.6,,"9,603","9,317","9,420",33.7,,Counties
Municipalities,"107,885","41,857","34,835","37,232",34.5,,"41,043","34,150","36,525",98.1,,814,685,707,1.9,,0,0,0,0,,Municipalities

Indiana,"332,380","40,812","36,614","38,048",11.4,,"19,159","16,450","17,201",45.2,,"7,737","6,924","7,298",19.2,,"13,916","13,240","13,549",35.6,,Indiana
State,"90,788","11,460","11,414","11,441",12.6,,"1,999","1,999","1,999",17.5,,"1,265","1,223","1,249",10.9,,"8,196","8,192","8,193",71.6,,State
"Local, total","241,592","29,352","25,200","26,607",11,,"17,160","14,451","15,202",57.1,,"6,472","5,701","6,049",22.7,,"5,720","5,048","5,356",20.1,,"Local, total"
Counties,"46,741","13,025","11,558","12,169",26,,"4,280","3,875","4,002",32.9,,"4,147","3,729","3,917",32.2,,"4,598","3,954","4,250",34.9,,Counties
Municipalities,"48,811","16,327","13,642","14,438",29.6,,"12,880","10,576","11,200",77.6,,"2,325","1,972","2,132",14.8,,"1,122","1,094","1,106",7.7,,Municipalities

Iowa,"179,633","15,907","14,143","14,868",8.3,,"7,847","6,994","7,240",48.7,,"3,359","2,919","3,164",21.3,,"4,701","4,230","4,464",30,,Iowa
State,"52,795","6,465","6,103","6,352",12,,906,900,902,14.2,,"2,306","2,117","2,255",35.5,,"3,253","3,086","3,195",50.3,,State
"Local, total","126,838","9,442","8,040","8,516",6.7,,"6,941","6,094","6,338",74.4,,"1,053",802,909,10.7,,"1,448","1,144","1,269",14.9,,"Local, total"
Counties,"24,231","4,785","4,074","4,357",18,,"2,388","2,204","2,257",51.8,,954,731,836,19.2,,"1,443","1,139","1,264",29,,Counties
Municipalities,"22,014","4,657","3,966","4,159",18.9,,"4,553","3,890","4,081",98.1,,99,71,73,1.8,,5,5,5,0.1,,Municipalities

Kansas,"178,042","19,697","17,682","18,221",10.2,,"9,240","8,356","8,626",47.3,,"4,260","3,388","3,575",19.6,,"6,197","5,938","6,020",33,,Kansas
State,"43,908","6,831","6,609","6,687",15.2,,"1,092","1,080","1,084",16.2,,"2,206","2,022","2,083",31.1,,"3,533","3,507","3,520",52.6,,State
"Local, total","134,134","12,866","11,073","11,534",8.6,,"8,148","7,276","7,542",65.4,,"2,054","1,366","1,492",12.9,,"2,664","2,431","2,500",21.7,,"Local, total"
Counties,"22,642","6,167","5,556","5,745",25.4,,"2,740","2,501","2,555",44.5,,"1,001",861,927,16.1,,"2,426","2,194","2,263",39.4,,Counties
Municipalities,"23,456","6,699","5,517","5,789",24.7,,"5,408","4,775","4,987",86.1,,"1,053",505,565,9.8,,238,237,237,4.1,,Municipalities

Kentucky,"227,902","24,355","21,564","22,879",10,,"10,505","9,359","9,745",42.6,,"6,639","5,438","6,215",27.2,,"7,211","6,767","6,919",30.2,,Kentucky
State,"78,828","11,210","10,213","10,903",13.8,,"2,209","2,189","2,203",20.2,,"5,100","4,258","4,922",45.1,,"3,901","3,766","3,778",34.7,,State
"Local, total","149,074","13,145","11,351","11,976",8,,"8,296","7,170","7,542",63,,"1,539","1,180","1,293",10.8,,"3,310","3,001","3,141",26.2,,"Local, total"
Counties,"17,098","5,235","4,015","4,447",26,,"2,211","1,592","1,785",40.1,,824,529,630,14.2,,"2,200","1,894","2,032",45.7,,Counties
Municipalities,"25,976","7,910","7,336","7,529",29,,"6,085","5,578","5,757",76.5,,715,651,663,8.8,,"1,110","1,107","1,109",14.7,,Municipalities

Louisiana,"279,087","40,290","36,268","37,861",13.6,,"17,788","15,600","16,485",43.5,,"8,228","7,279","7,582",20,,"14,274","13,389","13,794",36.4,,Louisiana
State,"90,189","11,765","11,221","11,425",12.7,,"1,654","1,651","1,652",14.5,,"1,768","1,715","1,732",15.2,,"8,343","7,855","8,041",70.4,,State
"Local, total","188,898","28,525","25,047","26,436",14,,"16,134","13,949","14,833",56.1,,"6,460","5,564","5,850",22.1,,"5,931","5,534","5,753",21.8,,"Local, total"
Parishes,"42,316","13,943","12,615","13,113",31,,"6,434","5,756","5,997",45.7,,"4,084","3,608","3,765",28.7,,"3,425","3,251","3,351",25.6,,Parishes
Municipalities,"38,882","14,582","12,432","13,323",34.3,,"9,700","8,193","8,836",66.3,,"2,376","1,956","2,085",15.6,,"2,506","2,283","2,402",18,,Municipalities

Maine,"75,041","6,910","5,733","6,205",8.3,,"3,632","2,853","3,104",50,,"1,098",947,"1,016",16.4,,"2,180","1,933","2,085",33.6,,Maine
State,"21,830","2,708","2,516","2,640",12.1,,595,588,594,22.5,,759,685,720,27.3,,"1,354","1,243","1,326",50.2,,State
"Local, total","53,211","4,202","3,217","3,565",6.7,,"3,037","2,265","2,510",70.4,,339,262,296,8.3,,826,690,759,21.3,,"Local, total"
Counties,"1,894","1,640","1,287","1,429",75.4,,503,353,396,27.7,,311,244,274,19.2,,826,690,759,53.1,,Counties
Municipalities,"30,503","2,562","1,930","2,136",7,,"2,534","1,912","2,114",99,,28,18,22,1,,0,0,0,0,,Municipalities

Maryland,"287,513","40,710","38,031","39,577",13.8,,"17,919","16,425","17,102",43.2,,"7,617","6,790","7,360",18.6,,"15,174","14,816","15,115",38.2,,Maryland
State,"91,762","18,909","18,116","18,764",20.4,,"2,488","2,459","2,481",13.2,,"4,355","3,877","4,256",22.7,,"12,066","11,780","12,027",64.1,,State
"Local, total","195,751","21,801","19,915","20,813",10.6,,"15,431","13,966","14,621",70.2,,"3,262","2,913","3,104",14.9,,"3,108","3,036","3,088",14.8,,"Local, total"
Counties,"159,130","15,113","13,749","14,388",9,,"9,558","8,608","9,006",62.6,,"2,447","2,105","2,294",15.9,,"3,108","3,036","3,088",21.5,,Counties
Municipalities,"34,732","6,688","6,166","6,425",18.5,,"5,873","5,358","5,615",87.4,,815,808,810,12.6,,0,0,0,0,,Municipalities

Massachusetts,"320,372","45,155","40,719","42,151",13.2,,"25,955","22,237","23,416",55.6,,"9,605","9,052","9,215",21.9,,"9,595","9,430","9,520",22.6,,Massachusetts
State,"91,064","21,835","21,203","21,421",23.5,,"5,616","5,569","5,586",26.1,,"9,301","8,794","8,943",41.7,,"6,918","6,840","6,892",32.2,,State
"Local, total","229,308","23,320","19,516","20,730",9,,"20,339","16,668","17,830",86,,304,258,272,1.3,,"2,677","2,590","2,628",12.7,,"Local, total"
Counties,"2,338","1,616","1,531","1,569",67.1,,2,2,2,0.1,,2,1,1,0.1,,"1,612","1,528","1,566",99.8,,Counties
Municipalities,"193,229","21,704","17,985","19,161",9.9,,"20,337","16,666","17,828",93,,302,257,271,1.4,,"1,065","1,062","1,062",5.5,,Municipalities

Michigan,"512,026","65,597","60,051","62,597",12.2,,"28,221","24,694","26,059",41.6,,"12,660","11,667","12,211",19.5,,"24,716","23,690","24,327",38.9,,Michigan
State,"137,062","24,063","23,648","23,950",17.5,,"3,445","3,352","3,398",14.2,,"1,892","1,848","1,873",7.8,,"18,726","18,448","18,679",78,,State
"Local, total","374,964","41,534","36,403","38,647",10.3,,"24,776","21,342","22,661",58.6,,"10,768","9,819","10,338",26.7,,"5,990","5,242","5,648",14.6,,"Local, total"
Counties,"51,585","19,878","18,151","19,049",36.9,,"5,449","5,104","5,245",27.5,,"8,567","7,905","8,268",43.4,,"5,862","5,142","5,536",29.1,,Counties
Municipalities,"93,002","21,656","18,252","19,598",21.1,,"19,327","16,238","17,416",88.9,,"2,201","1,914","2,070",10.6,,128,100,112,0.6,,Municipalities

Minnesota,"283,691","27,730","24,415","26,155",9.2,,"12,182","10,837","11,448",43.8,,"6,648","5,587","6,273",24,,"8,900","7,991","8,434",32.2,,Minnesota
State,"75,220","7,554","6,841","7,339",9.8,,952,926,944,12.9,,"2,763","2,221","2,596",35.4,,"3,839","3,694","3,799",51.8,,State
"Local, total","208,471","20,176","17,574","18,816",9,,"11,230","9,911","10,504",55.8,,"3,885","3,366","3,677",19.5,,"5,061","4,297","4,635",24.6,,"Local, total"
Counties,"41,932","12,416","10,694","11,560",27.6,,"3,735","3,275","3,500",30.3,,"3,620","3,122","3,425",29.6,,"5,061","4,297","4,635",40.1,,Counties
Municipalities,"36,517","7,760","6,880","7,256",19.9,,"7,495","6,636","7,004",96.5,,265,244,252,3.5,,0,0,0,0,,Municipalities

Mississippi,"186,130","19,108","16,916","17,592",9.5,,"9,849","8,526","8,973",51,,"3,156","2,494","2,632",15,,"6,103","5,896","5,987",34,,Mississippi
State,"56,269","6,050","5,962","6,006",10.7,,"1,189","1,189","1,189",19.8,,688,626,652,10.9,,"4,173","4,147","4,165",69.3,,State
"Local, total","129,861","13,058","10,954","11,586",8.9,,"8,660","7,337","7,784",67.2,,"2,468","1,868","1,980",17.1,,"1,930","1,749","1,822",15.7,,"Local, total"
Counties,"27,340","6,646","5,656","5,984",21.9,,"3,023","2,474","2,658",44.4,,"1,751","1,490","1,561",26.1,,"1,872","1,692","1,765",29.5,,Counties
Municipalities,"22,784","6,412","5,298","5,602",24.6,,"5,637","4,863","5,126",91.5,,717,378,419,7.5,,58,57,57,1,,Municipalities

Missouri,"311,972","44,152","40,510","41,803",13.4,,"19,804","18,289","18,886",45.2,,"9,112","7,816","8,171",19.5,,"15,236","14,405","14,746",35.3,,Missouri
State,"90,912","18,774","17,849","18,170",20,,"2,468","2,370","2,428",13.4,,"4,344","4,017","4,112",22.6,,"11,962","11,462","11,630",64,,State
"Local, total","221,060","25,378","22,661","23,633",10.7,,"17,336","15,919","16,458",69.6,,"4,768","3,799","4,059",17.2,,"3,274","2,943","3,116",13.2,,"Local, total"
Counties,"22,904","10,157","9,234","9,640",42.1,,"4,820","4,502","4,657",48.3,,"2,720","2,427","2,517",26.1,,"2,617","2,305","2,466",25.6,,Counties
Municipalities,"46,126","15,221","13,427","13,993",30.3,,"12,516","11,417","11,801",84.3,,"2,048","1,372","1,542",11,,657,638,650,4.6,,Municipalities

Montana,"52,886","5,847","4,982","5,337",10.1,,"2,461","2,210","2,315",43.4,,"1,598","1,138","1,310",24.5,,"1,788","1,634","1,712",32.1,,Montana
State,"18,700","2,084","1,897","1,997",10.7,,448,417,438,21.9,,523,414,468,23.4,,"1,113","1,066","1,091",54.6,,State
"Local, total","34,186","3,763","3,085","3,340",9.8,,"2,013","1,793","1,877",56.2,,"1,075",724,842,25.2,,675,568,621,18.6,,"Local, total"
Counties,"6,118","2,600","2,058","2,279",37.3,,"1,083",913,977,42.9,,861,595,699,30.7,,656,550,603,26.5,,Counties
Municipalities,"4,220","1,163","1,027","1,061",25.1,,930,880,900,84.8,,214,129,143,13.5,,19,18,18,1.7,,Municipalities

Nebraska,"113,703","11,060","9,975","10,372",9.1,,"5,092","4,632","4,778",46.1,,"2,033","1,695","1,820",17.5,,"3,935","3,648","3,774",36.4,,Nebraska
State,"33,500","3,986","3,856","3,914",11.7,,749,739,743,19,,745,677,703,18,,"2,492","2,440","2,468",63.1,,State
"Local, total","80,203","7,074","6,119","6,458",8.1,,"4,343","3,893","4,035",62.5,,"1,288","1,018","1,117",17.3,,"1,443","1,208","1,306",20.2,,"Local, total"
Counties,"12,802","4,215","3,581","3,842",30,,"1,583","1,432","1,501",39.1,,"1,189",941,"1,035",26.9,,"1,443","1,208","1,306",34,,Counties
Municipalities,"12,263","2,859","2,538","2,616",21.3,,"2,760","2,461","2,534",96.9,,99,77,82,3.1,,0,0,0,0,,Municipalities

Nevada,"92,655","16,583","15,232","15,687",16.9,,"7,546","6,706","6,962",44.4,,"3,393","3,150","3,254",20.7,,"5,644","5,376","5,471",34.9,,Nevada
State,"24,716","4,569","4,476","4,506",18.2,,771,770,770,17.1,,652,626,633,14,,"3,146","3,080","3,103",68.9,,State
"Local, total","67,939","12,014","10,756","11,181",16.5,,"6,775","5,936","6,192",55.4,,"2,741","2,524","2,621",23.4,,"2,498","2,296","2,368",21.2,,"Local, total"
Counties,"23,157","9,016","8,036","8,329",36,,"4,872","4,257","4,410",52.9,,"2,165","1,990","2,064",24.8,,"1,979","1,789","1,855",22.3,,Counties
Municipalities,"10,523","2,998","2,720","2,852",27.1,,"1,903","1,679","1,782",62.5,,576,534,557,19.5,,519,507,513,18,,Municipalities

New Hampshire,"68,192","7,892","6,370","6,893",10.1,,"4,547","3,309","3,669",53.2,,"1,318","1,135","1,245",18.1,,"2,027","1,926","1,979",28.7,,New Hampshire
State,"20,359","2,838","2,759","2,803",13.8,,413,397,406,14.5,,933,932,933,33.3,,"1,492","1,430","1,464",52.2,,State
"Local, total","47,833","5,054","3,611","4,090",8.6,,"4,134","2,912","3,263",79.8,,385,203,312,7.6,,535,496,515,12.6,,"Local, total"
Counties,"3,714","1,124",831,996,26.8,,265,181,219,22,,324,154,262,26.3,,535,496,515,51.7,,Counties
Municipalities,"17,895","3,930","2,780","3,094",17.3,,"3,869","2,731","3,044",98.4,,61,49,50,1.6,,0,0,0,0,,Municipalities

New Jersey,"489,448","82,103","69,774","73,934",15.1,,"41,610","32,279","35,471",48,,"23,277","20,765","21,601",29.2,,"17,216","16,730","16,862",22.8,,New Jersey
State,"146,698","28,442","28,238","28,335",19.3,,"4,165","4,121","4,144",14.6,,"14,179","14,039","14,105",49.8,,"10,098","10,078","10,086",35.6,,State
"Local, total","342,750","53,661","41,536","45,599",13.3,,"37,445","28,158","31,327",68.7,,"9,098","6,726","7,496",16.4,,"7,118","6,652","6,776",14.9,,"Local, total"
Counties,"61,347","13,817","13,443","13,589",22.2,,"2,826","2,663","2,692",19.8,,"4,213","4,129","4,175",30.7,,"6,778","6,651","6,722",49.5,,Counties
Municipalities,"102,438","39,844","28,093","32,010",31.2,,"34,619","25,495","28,635",89.5,,"4,885","2,597","3,321",10.4,,340,1,54,0.2,,Municipalities

New Mexico,"122,040","14,839","13,853","14,348",11.8,,"5,908","5,351","5,627",39.2,,"3,184","2,900","3,020",21,,"5,747","5,602","5,701",39.7,,New Mexico
State,"46,325","7,500","7,313","7,448",16.1,,633,633,633,8.5,,"2,725","2,610","2,682",36,,"4,142","4,070","4,133",55.5,,State
