Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  jeeus0905.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2009 (final)",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2009 (revised)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
"Local, total",27760,1437,1342,1389,5,1258,1185,1222,88,120,109,114,8.2,59,48,53,3.8,"Local, total"
Boroughs,10085,112,97,102,1,67,61,63,61.8,37,28,31,30.4,8,8,8,7.8,Boroughs
Municipalities,16775,1325,1245,1287,7.7,1191,1124,1159,90.1,83,81,83,6.4,51,40,45,3.5,Municipalities
,,,,,,,,,,,,,,,,,,
Arizona,297050,49636,48436,48998,16.5,21201,20744,20919,42.7,11487,10954,11226,22.9,16948,16738,16853,34.4,Arizona
State,68972,14806,14660,14739,21.4,2160,2134,2146,14.6,2116,2046,2084,14.1,10530,10480,10509,71.3,State
"Local, total",228078,34830,33776,34259,15,19041,18610,18773,54.8,9371,8908,9142,26.7,6418,6258,6344,18.5,"Local, total"
Counties,38317,19799,19223,19532,51,5942,5869,5901,30.2,7503,7159,7351,37.6,6354,6195,6280,32.2,Counties
Municipalities,50754,15031,14553,14727,29,13099,12741,12872,87.4,1868,1749,1791,12.2,64,63,64,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Arkansas,173514,20590,19326,19758,11.4,9029,8440,8661,43.8,3641,3119,3250,16.4,7920,7767,7847,39.7,Arkansas
State,61337,8036,7860,7904,12.9,1245,1229,1236,15.6,1633,1478,1514,19.2,5158,5153,5154,65.2,State
"Local, total",112177,12554,11466,11854,10.6,7784,7211,7425,62.6,2008,1641,1736,14.6,2762,2614,2693,22.7,"Local, total"
Counties,20855,6487,5756,6003,28.8,2456,2136,2240,37.3,1322,1059,1124,18.7,2709,2561,2639,44,Counties
Municipalities,31646,6067,5710,5851,18.5,5328,5075,5185,88.6,686,582,612,10.5,53,53,54,0.9,Municipalities
,,,,,,,,,,,,,,,,,,
California,1786023,263476,249108,256484,14.4,106675,99620,102865,40.1,54673,51325,53058,20.7,102128,98163,100561,39.2,California
State,411142,84453,81953,83367,20.3,12125,12060,12094,14.5,7252,6556,6777,8.1,65076,63337,64496,77.4,State
"Local, total",1374881,179023,167155,173117,12.6,94550,87560,90771,52.4,47421,44769,46281,26.7,37052,34826,36065,20.8,"Local, total"
Counties,422476,119807,113249,116759,27.6,40443,38512,39428,33.8,43915,41419,42836,36.7,35449,33318,34495,29.5,Counties
Municipalities,242943,59216,53906,56358,23.2,54107,49048,51343,91.1,3506,3350,3445,6.1,1603,1508,1570,2.8,Municipalities
,,,,,,,,,,,,,,,,,,
Colorado,274991,34011,32378,33217,12.1,14928,14398,14601,44,7479,6551,7086,21.3,11604,11429,11530,34.7,Colorado
State,72778,13279,12505,13011,17.9,1278,1254,1264,9.7,4537,3881,4313,33.1,7464,7370,7434,57.1,State
"Local, total",202213,20732,19873,20206,10,13650,13144,13337,66,2942,2670,2773,13.7,4140,4059,4096,20.3,"Local, total"
Counties,29808,8872,8535,8657,29,4568,4407,4463,51.6,1446,1335,1373,15.9,2858,2793,2821,32.6,Counties
Municipalities,47562,11860,11338,11549,24.3,9082,8737,8874,76.8,1496,1335,1400,12.1,1282,1266,1275,11,Municipalities
,,,,,,,,,,,,,,,,,,
Connecticut,190785,21511,20113,20565,10.8,8009,7166,7474,36.3,5494,5087,5160,25.1,8008,7860,7931,38.6,Connecticut
State,66498,15425,14869,15018,22.6,2107,2064,2081,13.9,5312,4945,5006,33.3,8006,7860,7931,52.8,State
"Local, total",124287,6086,5244,5547,4.5,5902,5102,5393,97.2,182,142,154,2.8,2,0,0,0,"Local, total"
Municipalities,61392,6086,5244,5547,9,5902,5102,5393,97.2,182,142,154,2.8,2,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Delaware,49726,7513,7198,7375,14.8,2710,2519,2620,35.5,1831,1759,1801,24.4,2972,2920,2954,40.1,Delaware
State,26510,5738,5613,5691,21.5,1026,1015,1022,18,1741,1678,1715,30.1,2971,2920,2954,51.9,State
"Local, total",23216,1775,1585,1684,7.3,1684,1504,1598,94.9,90,81,86,5.1,1,0,0,0,"Local, total"
Counties,3729,687,537,624,16.7,608,462,548,87.8,79,75,76,12.2,0,0,0,0,Counties
Municipalities,4234,1088,1048,1060,25,1076,1042,1050,99.1,11,6,10,0.9,1,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
District of Columbia,43902,8320,8129,8225,18.7,4762,4629,4677,56.9,2122,2075,2118,25.8,1436,1425,1430,17.4,District of Columbia
"Local, total",43902,8320,8129,8225,18.7,4762,4629,4677,56.9,2122,2075,2118,25.8,1436,1425,1430,17.4,"Local, total"
Municipality,35085,8320,8129,8225,23.4,4762,4629,4677,56.9,2122,2075,2118,25.8,1436,1425,1430,17.4,Municipality
,,,,,,,,,,,,,,,,,,
Florida,909138,151521,144305,147409,16.2,67406,62235,64396,43.7,35082,33646,34383,23.3,49033,48424,48630,33,Florida
State,185630,54950,53516,54133,29.2,4433,4285,4356,8,20232,19408,19815,36.6,30285,29823,29962,55.3,State
"Local, total",723508,96571,90789,93276,12.9,62973,57950,60040,64.4,14850,14238,14568,15.6,18748,18601,18668,20,"Local, total"
Counties,178940,70583,66480,68221,38.1,38446,35064,36426,53.4,14274,13675,14000,20.5,17863,17741,17795,26.1,Counties
Municipalities,86306,25988,24309,25055,29,24527,22886,23614,94.2,576,563,568,2.3,885,860,873,3.5,Municipalities
,,,,,,,,,,,,,,,,,,
Georgia,515905,71948,67505,69532,13.5,26650,25219,25859,37.2,15372,13535,14278,20.5,29926,28751,29395,42.3,Georgia
State,122582,24283,23537,23862,19.5,2092,2054,2077,8.7,3623,3541,3582,15,18568,17942,18203,76.3,State
"Local, total",393323,47665,43968,45670,11.6,24558,23165,23782,52.1,11749,9994,10696,23.4,11358,10809,11192,24.5,"Local, total"
Counties,73224,32655,29827,31157,42.6,12555,11806,12165,39,10269,8735,9332,30,9831,9286,9660,31,Counties
Municipalities,48088,15010,14141,14513,30.2,12003,11359,11617,80,1480,1259,1364,9.4,1527,1523,1532,10.6,Municipalities
,,,,,,,,,,,,,,,,,,
Hawaii,75120,9676,9418,9499,12.6,4067,3877,3933,41.4,3149,3093,3113,32.8,2460,2448,2453,25.8,Hawaii
State,60041,5029,4968,4989,8.3,0,0,0,0,2569,2520,2536,50.8,2460,2448,2453,49.2,State
"Local, total",15079,4647,4450,4510,29.9,4067,3877,3933,87.2,580,573,577,12.8,0,0,0,0,"Local, total"
Counties,5967,1592,1511,1531,25.7,1332,1252,1271,83,260,259,260,17,0,0,0,0,Counties
Municipalities,9485,3055,2939,2979,31.4,2735,2625,2662,89.4,320,314,317,10.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Idaho,79340,10400,9731,10004,12.6,4565,4304,4399,44,2130,1970,2042,20.4,3705,3457,3563,35.6,Idaho
State,23179,3054,2962,3019,13,512,488,504,16.7,505,479,489,16.2,2037,1995,2026,67.1,State
"Local, total",56161,7346,6769,6985,12.4,4053,3816,3895,55.8,1625,1491,1553,22.2,1668,1462,1537,22,"Local, total"
Counties,11875,5028,4559,4738,39.9,1873,1730,1780,37.6,1487,1367,1421,30,1668,1462,1537,32.4,Counties
Municipalities,10652,2318,2210,2247,21.1,2180,2086,2115,94.1,138,124,132,5.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Illinois,645035,92329,83188,86129,13.4,51557,43810,45923,53.3,17690,16681,17198,20,23082,22697,23008,26.7,Illinois
State,136542,18494,18414,18449,13.5,3798,3786,3791,20.5,2631,2570,2596,14.1,12065,12058,12062,65.4,State
"Local, total",508493,73835,64774,67680,13.3,47759,40024,42132,62.3,15059,14111,14602,21.6,11017,10639,10946,16.2,"Local, total"
Counties,78052,31151,29241,30264,38.8,5851,5202,5461,18,14283,13400,13857,45.8,11017,10639,10946,36.2,Counties
Municipalities,128509,42684,35533,37416,29.1,41908,34822,36671,98,776,711,745,2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Indiana,347748,40564,36522,37917,10.9,19015,17000,17604,46.4,8509,7372,7812,20.6,13040,12150,12501,33,Indiana
State,92484,10927,10875,10900,11.8,2113,2112,2112,19.4,1454,1406,1430,13.1,7360,7357,7358,67.5,State
"Local, total",255264,29637,25647,27017,10.6,16902,14888,15492,57.3,7055,5966,6382,23.6,5680,4793,5143,19,"Local, total"
Counties,69855,15060,12870,13737,19.7,4682,4172,4380,31.9,5064,4245,4560,33.2,5314,4453,4797,34.9,Counties
Municipalities,67199,14577,12777,13280,19.8,12220,10716,11112,83.7,1991,1721,1822,13.7,366,340,346,2.6,Municipalities
,,,,,,,,,,,,,,,,,,
Iowa,179622,16304,14634,15365,8.6,7545,6711,6986,45.5,3404,3124,3279,21.3,5355,4799,5100,33.2,Iowa
State,52288,6994,6567,6839,13.1,1059,1031,1042,15.2,2444,2283,2382,34.8,3491,3253,3415,49.9,State
"Local, total",127334,9310,8067,8526,6.7,6486,5680,5944,69.7,960,841,897,10.5,1864,1546,1685,19.8,"Local, total"
Counties,31109,4928,4246,4524,14.5,2217,1955,2047,45.2,850,745,793,17.5,1861,1546,1684,37.2,Counties
Municipalities,26631,4382,3821,4002,15,4269,3725,3897,97.4,110,96,104,2.6,3,0,1,0,Municipalities
,,,,,,,,,,,,,,,,,,
Kansas,203823,20855,18977,19542,9.6,9544,8704,8945,45.8,4359,3656,3865,19.8,6952,6617,6732,34.4,Kansas
State,45163,7085,6816,6918,15.3,1177,1123,1148,16.6,2292,2101,2166,31.3,3616,3592,3604,52.1,State
"Local, total",158660,13770,12161,12624,8,8367,7581,7797,61.8,2067,1555,1699,13.5,3336,3025,3128,24.8,"Local, total"
Counties,33896,6605,5886,6111,18,2394,2194,2251,36.8,1146,933,1000,16.4,3065,2759,2860,46.8,Counties
Municipalities,39526,7165,6275,6513,16.5,5973,5387,5546,85.2,921,622,699,10.7,271,266,268,4.1,Municipalities
,,,,,,,,,,,,,,,,,,
Kentucky,242876,25047,23019,24274,10,10653,9842,10261,42.3,6681,5793,6422,26.5,7713,7384,7591,31.3,Kentucky
State,81117,11917,11303,11810,14.6,2357,2357,2357,20,5472,4858,5365,45.4,4088,4088,4088,34.6,State
"Local, total",161759,13130,11716,12464,7.7,8296,7485,7904,63.4,1209,935,1057,8.5,3625,3296,3503,28.1,"Local, total"
Counties,19022,4421,3657,4040,21.2,1622,1400,1509,37.4,608,385,476,11.8,2191,1872,2055,50.9,Counties
Municipalities,38487,8709,8059,8424,21.9,6674,6085,6395,75.9,601,550,581,6.9,1434,1424,1448,17.2,Municipalities
,,,,,,,,,,,,,,,,,,
Louisiana,280465,39171,35757,37863,13.5,17153,15501,16517,43.6,7854,6787,7332,19.4,14164,13469,14014,37,Louisiana
State,91809,11238,11074,11140,12.1,1764,1737,1744,15.7,1705,1641,1663,14.9,7769,7696,7733,69.4,State
"Local, total",188656,27933,24683,26723,14.2,15389,13764,14773,55.3,6149,5146,5669,21.2,6395,5773,6281,23.5,"Local, total"
Parishes,46582,15905,13951,15129,32.5,7510,6657,7129,47.1,3947,3376,3657,24.2,4448,3918,4343,28.7,Parishes
Municipalities,36725,12028,10732,11594,31.6,7879,7107,7644,65.9,2202,1770,2012,17.4,1947,1855,1938,16.7,Municipalities
,,,,,,,,,,,,,,,,,,
Maine,72791,5232,4600,4876,6.7,2163,1740,1894,38.8,964,878,925,19,2105,1982,2057,42.2,Maine
State,21497,2626,2302,2435,11.3,551,329,408,16.8,761,702,730,30,1314,1271,1297,53.3,State
"Local, total",51294,2606,2298,2441,4.8,1612,1411,1486,60.9,203,176,195,8,791,711,760,31.1,"Local, total"
Counties,1887,1333,1185,1265,67,355,310,325,25.7,187,164,180,14.2,791,711,760,60.1,Counties
Municipalities,18652,1273,1113,1176,6.3,1257,1101,1161,98.7,16,12,15,1.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Maryland,303724,44298,41624,43169,14.2,18999,17558,18204,42.2,8857,8051,8606,19.9,16442,16015,16359,37.9,Maryland
State,89511,20422,19604,20264,22.6,2359,2330,2355,11.6,5239,4792,5140,25.4,12824,12482,12769,63,State
"Local, total",214213,23876,22020,22905,10.7,16640,15228,15849,69.2,3618,3259,3466,15.1,3618,3533,3590,15.7,"Local, total"
Counties,175137,17379,15903,16613,9.5,11162,10115,10565,63.6,2599,2255,2458,14.8,3618,3533,3590,21.6,Counties
Municipalities,33918,6497,6117,6292,18.6,5478,5113,5284,84,1019,1004,1008,16,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Massachusetts,330757,43318,39660,40864,12.4,21953,19106,19941,48.8,10638,10113,10381,25.4,10727,10441,10542,25.8,Massachusetts
State,96865,22793,22188,22486,23.2,6314,6197,6239,27.7,10235,9802,10038,44.6,6244,6189,6209,27.6,State
"Local, total",233892,20525,17472,18378,7.9,15639,12909,13702,74.6,403,311,343,1.9,4483,4252,4333,23.6,"Local, total"
Counties,4192,2835,2604,2675,63.8,22,22,22,0.8,2,2,2,0.1,2811,2580,2651,99.1,Counties
Municipalities,158724,17690,14868,15703,9.9,15617,12887,13680,87.1,401,309,341,2.2,1672,1672,1682,10.7,Municipalities
,,,,,,,,,,,,,,,,,,
Michigan,474233,58262,53037,55227,11.6,22516,19814,20805,37.7,13087,11657,12302,22.3,22659,21566,22120,40.1,Michigan
State,142924,20395,20060,20285,14.2,2741,2672,2695,13.3,1516,1453,1493,7.4,16138,15935,16097,79.4,State
"Local, total",331309,37867,32977,34942,10.5,19775,17142,18110,51.8,11571,10204,10809,30.9,6521,5631,6023,17.2,"Local, total"
Counties,73563,21099,18682,19752,26.9,5254,4675,4926,24.9,9418,8430,8872,44.9,6427,5577,5954,30.1,Counties
Municipalities,74380,16768,14295,15190,20.4,14521,12467,13184,86.8,2153,1774,1937,12.8,94,54,69,0.5,Municipalities
,,,,,,,,,,,,,,,,,,
Minnesota,279885,29248,26182,27756,9.9,13012,11716,12306,44.3,6482,5543,6113,22,9754,8923,9337,33.6,Minnesota
State,80536,8861,8238,8713,10.8,1053,1005,1032,11.8,3554,3121,3467,39.8,4254,4112,4214,48.4,State
"Local, total",199349,20387,17944,19043,9.6,11959,10711,11274,59.2,2928,2422,2646,13.9,5500,4811,5123,26.9,"Local, total"
Counties,46469,11391,9815,10491,22.6,3305,2911,3060,29.2,2586,2093,2308,22,5500,4811,5123,48.8,Counties
Municipalities,53581,8996,8129,8552,16,8654,7800,8214,96,342,329,338,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Mississippi,193906,19964,17346,18119,9.3,10430,8886,9341,51.6,3439,2712,2918,16.1,6095,5748,5860,32.3,Mississippi
State,57773,5628,5615,5619,9.7,1218,1218,1218,21.7,739,731,732,13,3671,3666,3669,65.3,State
"Local, total",136133,14336,11731,12500,9.2,9212,7668,8123,65,2700,1981,2186,17.5,2424,2082,2191,17.5,"Local, total"
Counties,37180,7882,6356,6841,18.4,3494,2872,3083,45.1,2034,1472,1639,24,2354,2012,2119,31,Counties
Municipalities,29060,6454,5375,5659,19.5,5718,4796,5040,89.1,666,509,547,9.7,70,70,72,1.3,Municipalities
,,,,,,,,,,,,,,,,,,
Missouri,325807,44158,41534,42677,13.1,19728,18680,19156,44.9,7979,6961,7426,17.4,16451,15893,16095,37.7,Missouri
State,90092,18850,18107,18597,20.6,2452,2265,2434,13.1,3444,3161,3381,18.2,12954,12681,12782,68.7,State
"Local, total",235715,25308,23427,24080,10.2,17276,16415,16722,69.4,4535,3800,4045,16.8,3497,3212,3313,13.8,"Local, total"
Counties,24685,9584,8696,9032,36.6,4060,3863,3948,43.7,3061,2640,2801,31,2463,2193,2283,25.3,Counties
Municipalities,59414,15724,14731,15048,25.3,13216,12552,12774,84.9,1474,1160,1244,8.3,1034,1019,1030,6.8,Municipalities
,,,,,,,,,,,,,,,,,,
Montana,58645,6842,5783,6190,10.6,2815,2497,2592,41.9,1845,1377,1557,25.2,2182,1909,2041,33,Montana
State,20590,2590,2323,2480,12,493,474,484,19.5,767,640,704,28.4,1330,1209,1292,52.1,State
"Local, total",38055,4252,3460,3710,9.7,2322,2023,2108,56.8,1078,737,853,23,852,700,749,20.2,"Local, total"
Counties,7770,2849,2195,2396,30.8,1158,928,985,41.1,848,574,670,28,843,693,741,30.9,Counties
Municipalities,5584,1403,1265,1314,23.5,1164,1095,1123,85.5,230,163,183,13.9,9,7,8,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
Nebraska,121167,11949,11020,11385,9.4,5363,4940,5103,44.8,2022,1796,1883,16.5,4564,4284,4399,38.6,Nebraska
State,32333,4542,4404,4465,13.8,772,765,770,17.2,759,716,728,16.3,3011,2923,2967,66.5,State
"Local, total",88834,7407,6616,6920,7.8,4591,4175,4333,62.6,1263,1080,1155,16.7,1553,1361,1432,20.7,"Local, total"
Counties,14761,4195,3681,3876,26.3,1478,1320,1375,35.5,1164,1000,1069,27.6,1553,1361,1432,36.9,Counties
Municipalities,15587,3212,2935,3044,19.5,3113,2855,2958,97.2,99,80,86,2.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Nevada,115316,20202,18577,19136,16.6,9465,8427,8715,45.5,3904,3585,3742,19.6,6833,6565,6679,34.9,Nevada
State,29517,5224,5153,5173,17.5,808,808,808,15.6,704,684,688,13.3,3712,3661,3677,71.1,State
"Local, total",85799,14978,13424,13963,16.3,8657,7619,7907,56.6,3200,2901,3054,21.9,3121,2904,3002,21.5,"Local, total"
Counties,27757,11052,9932,10290,37.1,6234,5543,5687,55.3,2435,2204,2327,22.6,2383,2185,2276,22.1,Counties
Municipalities,11565,3926,3492,3673,31.8,2423,2076,2220,60.4,765,697,727,19.8,738,719,726,19.8,Municipalities
,,,,,,,,,,,,,,,,,,
New Hampshire,73111,6538,5568,5895,8.1,2751,2165,2333,39.6,1514,1263,1341,22.7,2273,2140,2221,37.7,New Hampshire
State,19591,2877,2781,2839,14.5,524,499,512,18,994,987,992,34.9,1359,1295,1335,47,State
"Local, total",53520,3661,2787,3056,5.7,2227,1666,1821,59.6,520,276,349,11.4,914,845,886,29,"Local, total"
Counties,7718,1784,1344,1510,19.6,401,271,326,21.6,469,228,298,19.7,914,845,886,58.7,Counties
Municipalities,21699,1877,1443,1546,7.1,1826,1395,1495,96.7,51,48,51,3.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Jersey,512889,69962,62624,65234,12.7,27668,21573,23258,35.7,21750,20986,21457,32.9,20544,20065,20519,31.5,New Jersey
State,154106,28530,28292,28398,18.4,4509,4469,4471,15.7,14069,13886,13984,49.2,9952,9937,9943,35,State
"Local, total",358783,41432,34332,36836,10.3,23159,17104,18787,51,7681,7100,7473,20.3,10592,10128,10576,28.7,"Local, total"
Counties,127898,21358,20455,21377,16.7,4913,4635,4865,22.8,5853,5692,5936,27.8,10592,10128,10576,49.5,Counties
Municipalities,77440,20074,13877,15459,20,18246,12469,13922,90.1,1828,1408,1537,9.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Mexico,128995,16579,15839,16181,12.5,6516,6054,6244,38.6,3851,3667,3757,23.2,6212,6118,6180,38.2,New Mexico
State,48680,8275,8073,8189,16.8,734,734,734,9,3396,3241,3322,40.6,4145,4098,4133,50.5,State
"Local, total",80315,8304,7766,7992,10,5782,5320,5510,68.9,455,426,435,5.4,2067,2020,2047,25.6,"Local, total"
Counties,10091,3902,3754,3832,38,1795,1704,1751,45.7,96,86,90,2.3,2011,1964,1991,52,Counties
Municipalities,18869,4402,4012,4160,22,3987,3616,3759,90.4,359,340,345,8.3,56,56,56,1.3,Municipalities
,,,,,,,,,,,,,,,,,,
New York,1230677,186135,173323,178192,14.5,92168,82668,85643,48.1,33951,31980,32995,18.5,60016,58675,59554,33.4,New York
State,257490,63218,61909,62770,24.4,6796,6647,6741,10.7,22493,21805,22290,35.5,33929,33457,33739,53.8,State
"Local, total",973187,122917,111414,115422,11.9,85372,76021,78902,68.4,11458,10175,10705,9.3,26087,25218,25815,22.4,"Local, total"
Counties,164129,32422,27864,29562,18,15796,12662,13725,46.4,4871,4123,4396,14.9,11755,11079,11441,38.7,Counties
Municipalities,710984,90495,83550,85860,12.1,69576,63359,65177,75.9,6587,6052,6309,7.3,14332,14139,14374,16.7,Municipalities
,,,,,,,,,,,,,,,,,,
North Carolina,550693,64360,61672,63007,11.4,27262,25587,26339,41.8,8357,8166,8276,13.1,28741,27919,28392,45.1,North Carolina
State,147895,33229,32630,32999,22.3,3334,3321,3327,10.1,7266,7224,7262,22,22629,22085,22410,67.9,State
"Local, total",402798,31131,29042,30008,7.4,23928,22266,23012,76.7,1091,942,1014,3.4,6112,5834,5982,19.9,"Local, total"
Counties,335245,17131,15834,16471,4.9,10401,9496,9927,60.3,925,787,852,5.2,5805,5551,5692,34.6,Counties
Municipalities,46108,14000,13208,13537,29.4,13527,12770,13085,96.7,166,155,162,1.2,307,283,290,2.1,Municipalities
,,,,,,,,,,,,,,,,,,
North Dakota,44116,3638,3229,3338,7.6,1538,1437,1458,43.7,923,744,772,23.1,1177,1048,1108,33.2,North Dakota
State,17667,1548,1420,1467,8.3,189,186,188,12.8,575,531,541,36.9,784,703,738,50.3,State
"Local, total",26449,2090,1809,1871,7.1,1349,1251,1270,67.9,348,213,231,12.3,393,345,370,19.8,"Local, total"
Counties,4579,1050,941,981,21.4,451,417,426,43.4,206,179,185,18.9,393,345,370,37.7,Counties
Municipalities,5279,1040,868,890,16.9,898,834,844,94.8,142,34,46,5.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Ohio,610343,84266,75324,78736,12.9,32418,28526,29924,38,25357,21405,22899,29.1,26491,25393,25913,32.9,Ohio
State,142945,21997,21306,21582,15.1,2612,2607,2609,12.1,3296,2690,2928,13.6,16089,16009,16045,74.3,State
"Local, total",467398,62269,54018,57154,12.2,29806,25919,27315,47.8,22061,18715,19971,34.9,10402,9384,9868,17.3,"Local, total"
Counties,157067,34283,30798,32387,20.6,8217,7500,7849,24.2,16498,14525,15349,47.4,9568,8773,9189,28.4,Counties
Municipalities,121468,27986,23220,24767,20.4,21589,18419,19466,78.6,5563,4190,4622,18.7,834,611,679,2.7,Municipalities
,,,,,,,,,,,,,,,,,,
Oklahoma,218567,24483,22961,23508,10.8,11885,11042,11311,48.1,4851,4429,4579,19.5,7747,7490,7618,32.4,Oklahoma
State,72198,10954,10661,10801,15,2045,1965,1997,18.5,3043,2905,2962,27.4,5866,5791,5842,54.1,State
"Local, total",146369,13529,12300,12707,8.7,9840,9077,9314,73.3,1808,1524,1617,12.7,1881,1699,1776,14,"Local, total"
Counties,23495,5344,4859,5052,21.5,2480,2327,2385,47.2,1144,979,1040,20.6,1720,1553,1627,32.2,Counties
Municipalities,48405,8185,7441,7655,15.8,7360,6750,6929,90.5,664,545,577,7.5,161,146,149,1.9,Municipalities
,,,,,,,,,,,,,,,,,,
Oregon,196091,24187,22351,23177,11.8,9562,8911,9161,39.5,5121,4545,4860,21,9504,8895,9156,39.5,Oregon
State,63086,10440,9854,10168,16.1,1514,1330,1374,13.5,3385,3121,3285,32.3,5541,5403,5509,54.2,State
"Local, total",133005,13747,12497,13009,9.8,8048,7581,7787,59.9,1736,1424,1575,12.1,3963,3492,3647,28,"Local, total"
Counties,21986,8395,7462,7864,35.8,3052,2822,2948,37.5,1380,1148,1269,16.1,3963,3492,3647,46.4,Counties
Municipalities,22299,5352,5035,5145,23.1,4996,4759,4839,94.1,356,276,306,5.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Pennsylvania,604028,86908,74448,79848,13.2,30292,23666,25884,32.4,21794,18826,20174,25.3,34822,31956,33790,42.3,Pennsylvania
