Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus0908.csv,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 2008) and full-time equivalent justice employment per 10,000 population (July 2008) of state and local governments by activity and state (final)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 2008) and full-time equivalent justice employment per 10,000 population (July 2008) of state and local governments by activity and state (revised)",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure,",,,,Full-time equivalent justice employment,,,,
Ohio,11542645,614.08,286.46,150.23,177.39,68.21,25.92,19.05,19.84,22.45
Oklahoma,3687050,505.65,222.32,88.87,194.46,63.76,30.68,20.58,12.42,20.66
Oregon,3825657,676.02,296.2,108.8,271.02,60.58,23.95,15.15,12.7,23.93
Pennsylvania,12604767,613.59,243.11,126.36,244.12,63.35,20.54,16.05,16.01,26.81
Rhode Island,1053209,615.55,313.66,115.07,186.82,53.85,26.27,21.45,12.2,15.38
,,,,,,,,,,
South Carolina,4561242,456.76,215.98,75.02,165.76,64.87,29.84,22.99,10.52,24.51
South Dakota,812383,474.08,187.63,87.14,199.31,53.89,24.11,19.25,10.87,18.91
Tennessee,6296254,522.05,254.23,103.44,164.37,63.43,30.23,21.7,11.33,21.87
Texas,24782302,570.75,246.69,96.67,227.4,69.28,27.9,19.59,10.94,30.44
Utah,2784572,536.62,228.57,121.59,186.46,52.9,22.04,15.01,10.87,20
,,,,,,,,,,
Vermont,621760,541.27,238.79,110.77,191.71,45.5,16.52,10.13,11.23,17.76
Virginia,7882590,611.95,260.77,106.63,244.55,71.22,28.79,22.03,12.31,30.12
Washington,6664195,610.39,223.85,127.77,258.78,58.02,21.97,15.58,12.99,23.07
West Virginia,1819777,464,192.79,111.21,160,53.22,20.45,15.86,13.6,19.18
Wisconsin,5654774,665.55,293.73,105.46,266.36,64.38,26.89,19.99,10.62,26.87
Wyoming,544270,1035.65,433.83,194.26,407.56,84.08,36.01,25.19,17.73,30.33
,,,,,,,,,,
Note:  Local government data are estimates subject to variability.,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2010.",,,,,,,,,,
