Bureau of Justice Statistics,,,,,,,,,
Filename:  jeeus0906.csv,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2009 (final)",,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version:  ,,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2009 (revised)",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
,,Total justice system,,Police protection,,Judicial and Legal,,Corrections,
,,,,,,,,,
,Total,,Percent of,,Percent of,,Percent of,,Percent of
State and type,March,March,total March,March,total March,March,total March,March,total March
of government,payrolls/a,payrolls,payrolls/b,payrolls,payrolls/b,payrolls,payrolls/b,payrolls,payrolls/b
,,,,,,,,,
State,322316,62186,19.3,4341,7,13196,21.2,44649,71.8
"Local, total",862129,100993,11.7,68772,68.1,14321,14.2,17900,17.7
Counties,252979,54005,21.3,24014,44.5,12317,22.8,17674,32.7
Municipalities,211855,46988,22.2,44758,95.3,2004,4.3,226,0.5
,,,,,,,,,
Wyoming,198743,18405,9.3,8309,45.1,4367,23.7,5729,31.1
State,51850,7603,14.7,1272,16.7,2698,35.5,3633,47.8
"Local, total",146893,10802,7.4,7037,65.1,1669,15.5,2096,19.4
Counties,34872,5657,16.2,2387,42.2,1174,20.7,2096,37.1
Municipalities,20823,5145,24.7,4650,90.4,495,9.6,0,0
,,,,,,,,,
Notes: March payroll data may not sum to total because of rounding.,,,,,,,,,
Local government data are estimates subject to variability.,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the  ""Counties"" and ""Municipalities"" lines.",,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,
