Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2016,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
Missouri,"6,087,135",531.08,289.85,91.5,149.73,67.9,30.41,22.74,12.74,24.75
Montana,"1,040,859",733.92,299.23,187.39,247.3,59.66,25.39,17.39,15.93,18.34
Nebraska,"1,905,616",617.96,258.81,97.09,262.05,60.63,26.11,19.33,11.06,23.46
Nevada,"2,917,563",809.37,404.72,164.02,240.62,60.7,26.62,17.19,14.74,19.33
New Hampshire,"1,342,307",553.21,293.37,111.99,147.85,50.32,28.67,21.96,8.05,13.6
New Jersey,"8,870,827",806.61,396.65,169.43,240.53,76.68,38.72,29.96,21.55,16.41
New Mexico,"2,091,630",818.62,328.57,159.49,330.55,76.95,29.71,22.63,17.55,29.69
New York,"19,633,428",1040.52,505.43,211.07,324.02,87.01,44.05,38.36,15.91,27.06
North Carolina,"10,154,788",565.59,301.2,78.06,186.33,60.5,27.51,22.46,7.43,25.55
North Dakota,"754,434",639.19,259.5,149.1,230.6,58.49,25.09,20.94,12.99,20.41
Ohio,"11,634,370",631.33,314.52,150.91,165.9,62.78,26.98,20.28,17.03,18.77
Oklahoma,"3,926,331",545.92,261.36,99.65,184.91,57.16,29.57,20.95,10.8,16.78
Oregon,"4,089,976",806.82,321.65,187.52,297.65,54.57,21.79,14.59,11.52,21.26
Pennsylvania,"12,782,275",708.27,292.84,137.66,277.78,63.48,25.14,20.88,14.17,24.18
Rhode Island,"1,056,770",771.81,415.62,138.51,217.69,54.66,28.93,22.9,12.03,13.7
South Carolina,"4,957,968",463.61,249.59,71.75,142.26,60.16,28.45,22.73,9.68,22.04
South Dakota,"862,996",549.17,233.22,104.42,211.54,53.07,24.33,19.46,11.47,17.27
Tennessee,"6,646,010",560.01,272.42,116.24,171.35,61.77,31.61,25.46,11.31,18.84
Texas,"27,914,410",595.74,275.61,107.19,212.93,61.96,27.27,19.89,10.01,24.69
Utah,"3,041,868",508.81,218.68,112.21,177.92,47.72,20.83,14.39,9.84,17.05
Vermont,"623,657",651.63,296.68,135.69,219.26,52.69,23.94,16.02,11.3,17.45
Virginia,"8,410,106",723.28,281.61,122.22,319.45,66.48,26.07,20.93,10.71,29.7
Washington,"7,294,771",661.31,268.79,155.59,236.92,49.34,19.76,13.68,11.54,18.04
West Virginia,"1,831,023",556.51,211.76,151.96,192.78,58.25,22.48,17.97,15.3,20.46
Wisconsin,"5,772,628",690.27,320.84,113.09,256.33,60.33,27.64,21.22,9.4,23.3
Wyoming,"584,215",979.8,398.49,217.75,363.55,85.04,34.78,25.28,16.91,33.34
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,,,
